Net,Temperature
31660.636000000002,2
30766.066000000003,2
30201.596,1
29901.406000000003,1
30084.427000000003,1
30734.303,1
31637.994,1
31823.283,2
29546.483515,4
27652.289773,6
26421.059667999998,7
26616.876313,8
26391.766446999998,8
25537.515065000003,8
25913.537071000002,8
27803.338795,7
31212.5693223,5
34991.034,5
35197.896,6
34840.912000000004,5
34313.86,4
33238.146,3
31471.802000000003,2
29616.103,2
28225.159,2
27422.007999999998,2
27128.334,3
27240.126,3
27861.498,4
29463.261000000002,4
31760.863999999998,4
33373.787000000004,5
33942.210406679995,5
33780.7153163,6
32691.841831999995,6
31152.574342999997,7
29250.493034000003,7
29268.744078,7
29562.939932,7
31222.918894000002,6
33561.89730867,5
36451.781,5
36444.818999999996,5
35933.064,5
35289.072,4
34255.907,4
32589.987,4
30845.714,4
29342.443,5
28488.835,5
28028.074,5
27859.687,5
27992.567000000003,5
28625.048,5
29682.971,5
30630.116,5
31466.7814975,6
30261.564527000002,8
30651.785455000005,10
31065.00366,11
30658.179439000003,12
31537.084598,13
30802.829049,14
32017.124465,12
34866.1863129,11
36234.395,11
35787.163,11
34901.484,11
33854.711,11
32497.342999999997,11
30773.069,11
28875.409,11
27003.787,11
25789.801,10
25056.742000000002,10
24676.651,10
24680.267999999996,10
25076.381,10
25874.284,10
26768.377,11
27707.462000000003,12
28315.8414558,13
28664.656289999995,14
29234.1392544,15
28060.079917000003,16
26986.23827,16
26044.093724,15
27494.98654,14
30629.1645418,12
32700.509,11
32731.36,10
32091.962000000003,9
31384.63,8
29840.967999999997,8
28003.037999999997,8
26287.977000000003,8
25145.01,8
24633.998,9
24564.631,9
24916.545,9
26038.093999999997,9
28645.868,9
32752.82,9
34926.268,9
34856.671809599,9
34391.4895249,10
34411.54594253,10
34096.247795300005,11
32543.067162999996,11
33406.9870402,11
33543.531714799996,10
34353.386583800006,9
36687.678504660005,8
40251.206,7
41001.82,7
40751.549,6
40058.682,5
38483.25,4
35973.467000000004,3
33692.519,2
32288.116,2
31695.589,1
31377.35,1
31461.963,0
32349.539,0
34789.391,0
38501.602,0
40625.792,0
38523.188994000004,1
36916.170908,2
36916.175745,3
34946.23502,4
34501.62377,4
34641.219773,4
37427.433807999994,3
38176.600726,2
39484.9339528,0
43285.348,-1
43654.731,-2
43267.959,-2
42329.901,-3
40578.745,-4
38045.742,-4
35795.715,-5
34280.487,-5
33507.163,-5
33197.699,-5
33316.777,-5
34084.227999999996,-5
36285.312999999995,-5
39659.943999999996,-5
41491.745,-5
39126.729072,-4
36690.110215,-4
35066.183197000006,-3
34281.119108,-2
36292.446144,-2
36332.231595,-2
37894.714849,-2
40328.4579398,-2
42219.4159571,-2
46288.345,-3
46771.182,-3
46687.375,-3
46177.651,-3
44772.331,-3
42415.607,-3
40278.503,-3
38996.785,-3
38439.636,-3
38168.687000000005,-3
38288.055,-4
39122.047,-4
41197.331,-4
44535.907999999996,-4
46236.009000000005,-3
43355.280180999995,-2
40531.095133999996,0
39328.232702,0
38921.870651,0
37706.298552,0
38741.014433,0
39342.339592,0
40417.877911999996,0
43065.8854186,-1
46278.143,-1
46685.094000000005,-1
46298.755,-1
45375.916,-1
43466.257000000005,-1
40585.178,-1
38028.065,-1
36351.998999999996,-1
35444.417,-1
34965.626000000004,-1
34814.849,-1
35298.015,-1
37001.151,-1
40142.209,-1
41960.52,-1
41411.127638900005,0
39533.350521,0
38011.106764,0
36185.266339,0
32276.111031999997,-1
33904.149303,-1
34245.793807,-1
36279.1550955,-2
37614.963019400006,-3
41201.582,-4
41612.169,-5
40985.712999999996,-6
40285.58,-7
39185.486000000004,-8
37433.39,-9
35615.05,-10
34283.443999999996,-10
33741.263,-11
33634.164,-11
33761.807,-12
34349.846,-12
35444.155,-13
37105.873999999996,-13
38617.918,-12
38061.81974499999,-11
37201.304047,-10
35197.922186,-9
34717.712700000004,-8
33085.393621,-7
30742.622464999997,-6
31392.515187,-6
33399.203193,-6
37093.885029,-7
41182.212,-8
41956.041,-9
41778.096,-9
41583.145,-9
40725.167,-10
39249.248999999996,-10
37643.216,-10
36262.215,-10
35453.195,-10
34969.846,-10
34677.532999999996,-11
34890.882000000005,-11
35495.81,-11
36497.804,-11
37280.222,-10
35200.340777,-8
32765.305395000003,-6
30619.712368999997,-5
29195.248635,-3
28337.047204,-3
28043.019418000003,-2
28576.232021000003,-2
30592.374709,-2
34278.0988998,-3
38263.921,-3
38564.748,-3
38024.821,-3
37132.716,-3
35476.46,-2
33297.72,-2
31231.796000000002,-2
29781.347,-2
29008.029,-1
28825.467,-1
28957.771,-1
29853.14,-1
31925.14,-2
35086.818,-1
37499.075,0
37436.7990298,0
38401.3909509,2
38228.3867692,4
37710.341913000004,5
36125.17114600001,5
34535.123720999996,6
37247.7995962,5
37570.976390619995,4
38492.831,2
40186.687000000005,2
39949.334,2
39025.867999999995,2
37887.833,1
35946.025,1
33456.006,0
31198.636000000002,0
29655.827,0
28898.396,0
28688.345,0
28925.6,0
30022.093999999997,0
32626.367000000002,0
36755.081,0
38946.329,1
36547.352663000005,2
35660.307388,4
34529.19192,6
34583.437365,7
35471.602819,7
35221.157469,6
35968.3211773,5
36591.7189626,4
37851.0454654,2
41872.693,1
42624.03599999999,0
42480.544,0
41780.477,0
40166.685,-1
37710.958,-2
35398.734,-3
33878.693999999996,-3
33298.913,-4
33078.655,-4
33208.246,-4
34053.71,-5
36411.191,-5
39980.348,-5
41861.084,-5
39499.751757000005,-4
37450.702355,-3
35881.249094,-3
36888.578001,-3
36364.552165,-3
36459.584645,-3
36281.914336,-3
37338.458957999996,-3
39759.3547853,-3
42354.153,-3
42297.855,-2
41586.776,-2
40535.234,-2
38582.736000000004,-1
35976.575,-1
