DateTime,Load(MW),Ambient Temperature(C),PV(MW)
1/1/2017 0:00,26880.242,-7,0
1/1/2017 1:00,25849.235,-7,0
1/1/2017 2:00,25039.567,-7,0
1/1/2017 3:00,24637.405,-7,0
1/1/2017 4:00,24616.25,-7,0
1/1/2017 5:00,24973.72,-7,0
1/1/2017 6:00,25676.706,-8,0
1/1/2017 7:00,26198.004,-7,560.1037158
1/1/2017 8:00,26560.641,-6,3172.921209
1/1/2017 9:00,26688.486,-5,5297.275657
1/1/2017 10:00,26568.326,-4,6708.484973
1/1/2017 11:00,26448.629,-3,7322.229021
1/1/2017 12:00,26162.431,-3,7222.356272
1/1/2017 13:00,25880.581,-3,6392.922599
1/1/2017 14:00,25846.479,-3,4816.121878
1/1/2017 15:00,26250.631,-4,2584.163074
1/1/2017 16:00,27854.322,-6,0
1/1/2017 17:00,30868.947,-7,0
1/1/2017 18:00,31443.049,-7,0
1/1/2017 19:00,31448.801,-8,0
1/1/2017 20:00,31247.017,-8,0
1/1/2017 21:00,30526.558,-9,0
1/1/2017 22:00,29209.554,-10,0
1/1/2017 23:00,27618.297,-10,0
1/2/2017 0:00,26216.956,-11,0
1/2/2017 1:00,25382.532,-12,0
1/2/2017 2:00,24962.724,-12,0
1/2/2017 3:00,24873.872,-13,0
1/2/2017 4:00,25313.672,-13,0
1/2/2017 5:00,26355.024,-14,0
1/2/2017 6:00,27700.179,-14,0
1/2/2017 7:00,28747.046,-13,523.3878334
1/2/2017 8:00,29683.104,-10,3212.248204
1/2/2017 9:00,30930.002,-8,5411.25828
1/2/2017 10:00,31879.025,-6,6823.278367
1/2/2017 11:00,32418.817,-5,7471.037784
1/2/2017 12:00,32479.232,-5,7412.267709
1/2/2017 13:00,32375.431,-5,6604.493633
1/2/2017 14:00,32254.448,-5,5039.493785
1/2/2017 15:00,32428.946,-7,2769.801782
1/2/2017 16:00,33743.225,-8,0
1/2/2017 17:00,35538.536,-9,0
1/2/2017 18:00,35179.165,-9,0
1/2/2017 19:00,34600.567,-10,0
1/2/2017 20:00,33675.167,-10,0
1/2/2017 21:00,32036.271,-11,0
1/2/2017 22:00,29870.506,-12,0
1/2/2017 23:00,27771.633,-12,0
1/3/2017 0:00,26243.47,-13,0
1/3/2017 1:00,25341.231,-13,0
1/3/2017 2:00,25023.307,-13,0
1/3/2017 3:00,25124.463,-13,0
1/3/2017 4:00,25926.371,-13,0
1/3/2017 5:00,27975.564,-13,0
1/3/2017 6:00,31330.621,-13,0
1/3/2017 7:00,33316.069,-11,439.2033398
1/3/2017 8:00,33576.029,-8,3004.302517
1/3/2017 9:00,33840.467,-5,5152.659472
1/3/2017 10:00,34082.792,-3,6544.542855
1/3/2017 11:00,34092.194,-1,7120.140611
1/3/2017 12:00,34081.84,-1,7030.965101
1/3/2017 13:00,33750.605,-1,4349.24136
1/3/2017 14:00,33282.352,-1,4667.935837
1/3/2017 15:00,33279.548,-3,2408.799264
1/3/2017 16:00,34487.681,-4,0
1/3/2017 17:00,36360.327,-4,0
1/3/2017 18:00,36109.897,-6,0
1/3/2017 19:00,35310.722,-7,0
1/3/2017 20:00,34326.935,-8,0
1/3/2017 21:00,32580.564,-9,0
1/3/2017 22:00,30147.625,-10,0
1/3/2017 23:00,27889.485,-10,0
1/4/2017 0:00,26222.251,-11,0
1/4/2017 1:00,25288.72,-11,0
1/4/2017 2:00,24893.829,-11,0
1/4/2017 3:00,24910.125,-11,0
1/4/2017 4:00,25503.235,-11,0
1/4/2017 5:00,27504.918,-11,0
1/4/2017 6:00,30840.292,-10,0
1/4/2017 7:00,32655.855,-9,76.58236377
1/4/2017 8:00,32425.008,-6,611.330233
1/4/2017 9:00,32195.861,-4,2866.314304
1/4/2017 10:00,32124.956,-2,6419.533136
1/4/2017 11:00,31812.509,-1,5084.20331
1/4/2017 12:00,31142.257,-1,3073.751333
1/4/2017 13:00,30531.892,-1,6200.874796
1/4/2017 14:00,30445.533,-1,4530.283647
1/4/2017 15:00,30963.374,-3,2341.53922
1/4/2017 16:00,32564.057,-4,0
1/4/2017 17:00,35824.321,-5,0
1/4/2017 18:00,36414.711,-5,0
1/4/2017 19:00,36332.358,-5,0
1/4/2017 20:00,35857.214,-5,0
1/4/2017 21:00,34526.904,-6,0
1/4/2017 22:00,32492.449,-7,0
1/4/2017 23:00,30557.629,-8,0
1/5/2017 0:00,29307.789,-8,0
1/5/2017 1:00,28748.946,-8,0
1/5/2017 2:00,28529.852,-8,0
1/5/2017 3:00,28847.913,-8,0
1/5/2017 4:00,29936.375,-8,0
1/5/2017 5:00,32277.919,-9,0
1/5/2017 6:00,35879.205,-10,0
1/5/2017 7:00,37709.646,-9,30.05399986
1/5/2017 8:00,37580.425,-6,1542.18421
1/5/2017 9:00,37479.896,-3,4416.704868
1/5/2017 10:00,37291.864,-1,6262.684489
1/5/2017 11:00,36673.42,-1,4383.309137
1/5/2017 12:00,35776.756,-1,4722.300622
1/5/2017 13:00,35634.472,-1,2679.433236
1/5/2017 14:00,35739.602,-1,2848.11975
1/5/2017 15:00,36067.71,-1,932.1888194
1/5/2017 16:00,37379.43,-2,0
1/5/2017 17:00,39749.067,-2,0
1/5/2017 18:00,39758.275,-2,0
1/5/2017 19:00,39189.609,-2,0
1/5/2017 20:00,38301.584,-2,0
1/5/2017 21:00,36615.717,-2,0
1/5/2017 22:00,34283.996,-2,0
1/5/2017 23:00,32142.65,-3,0
1/6/2017 0:00,30653.796,-3,0
1/6/2017 1:00,29842.565,-4,0
1/6/2017 2:00,29492.524,-5,0
1/6/2017 3:00,29542.381,-6,0
1/6/2017 4:00,30361.549,-6,0
1/6/2017 5:00,32405.328,-6,0
1/6/2017 6:00,35724.93,-6,0
1/6/2017 7:00,37543.644,-5,299.7600558
1/6/2017 8:00,37613.468,-4,2773.27299
1/6/2017 9:00,37273.416,-2,4947.790397
1/6/2017 10:00,36657.936,0,6388.686862
1/6/2017 11:00,35999.211,0,7082.58313
1/6/2017 12:00,35547.186,0,4387.390734
1/6/2017 13:00,35490.143,0,6360.340721
1/6/2017 14:00,35639.93,0,4768.828986
1/6/2017 15:00,36222.251,0,2541.349457
1/6/2017 16:00,37592.511,-1,0
1/6/2017 17:00,39807.741,-1,0
1/6/2017 18:00,39612.142,-2,0
1/6/2017 19:00,38949.35,-3,0
1/6/2017 20:00,38256.674,-4,0
1/6/2017 21:00,37097.129,-4,0
1/6/2017 22:00,35354.55,-5,0
1/6/2017 23:00,33595.205,-5,0
1/7/2017 0:00,32210.356,-6,0
1/7/2017 1:00,31310.427,-7,0
1/7/2017 2:00,30931.625,-8,0
1/7/2017 3:00,30843.603,-9,0
1/7/2017 4:00,31189.215,-9,0
1/7/2017 5:00,32130.48,-10,0
1/7/2017 6:00,33502.621,-9,0
1/7/2017 7:00,34972.95,-8,314.2645249
1/7/2017 8:00,36463.365,-5,550.8214722
1/7/2017 9:00,38006.159,-2,4908.226028
1/7/2017 10:00,38908.117,0,6299.748725
1/7/2017 11:00,39202.044,0,2883.602521
1/7/2017 12:00,39173.606,0,3613.604282
1/7/2017 13:00,38933.514,1,3362.940544
1/7/2017 14:00,38698.253,0,2058.527896
1/7/2017 15:00,38513.771,0,724.326367
1/7/2017 16:00,39290.97,-1,0
1/7/2017 17:00,41329.648,-2,0
1/7/2017 18:00,41447.919,-3,0
1/7/2017 19:00,40919.47,-3,0
1/7/2017 20:00,40320.233,-3,0
1/7/2017 21:00,39268.069,-4,0
1/7/2017 22:00,37654.541,-4,0
1/7/2017 23:00,36054.901,-4,0
1/8/2017 0:00,34857.479,-4,0
1/8/2017 1:00,34166.138,-4,0
1/8/2017 2:00,33871.298,-4,0
1/8/2017 3:00,33887.292,-4,0
1/8/2017 4:00,34313.452,-4,0
1/8/2017 5:00,35142.414,-5,0
1/8/2017 6:00,36363.06,-5,0
1/8/2017 7:00,37330.852,-4,73.76778773
1/8/2017 8:00,38067.747,-2,2538.568792
1/8/2017 9:00,38401.676,0,2229.921088
1/8/2017 10:00,38363.373,0,3275.118373
