DateTime,Load(MW),Ambient Temperature(C),PV(MW)
1/1/2015 0:00,13640.02498,0,0
1/1/2015 1:00,13425.12194,0,0
1/1/2015 2:00,13286.07091,-1,0
1/1/2015 3:00,13310.89259,-1,0
1/1/2015 4:00,13423.3455,-1,0
1/1/2015 5:00,13736.27429,-2,0
1/1/2015 6:00,14103.95413,-2,0
1/1/2015 7:00,14389.45607,-1,0
1/1/2015 8:00,14644.76145,0,483.6321216
1/1/2015 9:00,15155.4219,1,1213.248051
1/1/2015 10:00,15547.05534,2,1010.651349
1/1/2015 11:00,15739.63284,3,1820.655142
1/1/2015 12:00,15721.29456,3,2855.858724
1/1/2015 13:00,15498.07424,3,1940.465745
1/1/2015 14:00,15243.14622,3,1352.305449
1/1/2015 15:00,15118.84573,3,1459.903943
1/1/2015 16:00,15297.12275,2,291.48834
1/1/2015 17:00,15841.85431,0,0
1/1/2015 18:00,16008.43852,0,0
1/1/2015 19:00,15736.49314,0,0
1/1/2015 20:00,15436.93268,0,0
1/1/2015 21:00,14903.8978,0,0
1/1/2015 22:00,14201.56881,0,0
1/1/2015 23:00,13461.5105,-1,0
1/2/2015 0:00,12879.83518,-2,0
1/2/2015 1:00,12491.89535,-3,0
1/2/2015 2:00,12339.45555,-4,0
1/2/2015 3:00,12377.97911,-4,0
1/2/2015 4:00,12622.07747,-4,0
1/2/2015 5:00,13240.43365,-3,0
1/2/2015 6:00,14047.2959,-3,0
1/2/2015 7:00,14578.72997,-2,0
1/2/2015 8:00,14880.74728,-1,230.3400443
1/2/2015 9:00,15251.27333,0,849.3718159
1/2/2015 10:00,15584.74348,0,1513.99484
1/2/2015 11:00,15676.56172,1,1147.033831
1/2/2015 12:00,15594.52103,1,1901.166893
1/2/2015 13:00,15426.38266,1,444.8422362
1/2/2015 14:00,15262.07656,0,544.3819157
1/2/2015 15:00,15167.72292,0,390.3941337
1/2/2015 16:00,15237.80289,0,181.0198092
1/2/2015 17:00,15708.48227,-1,0
1/2/2015 18:00,15780.14798,-2,0
1/2/2015 19:00,15425.89626,-3,0
1/2/2015 20:00,15007.03422,-4,0
1/2/2015 21:00,14517.30623,-4,0
1/2/2015 22:00,13801.93366,-5,0
1/2/2015 23:00,13134.5866,-5,0
1/3/2015 0:00,12484.44328,-5,0
1/3/2015 1:00,12121.49946,-6,0
1/3/2015 2:00,11870.54476,-6,0
1/3/2015 3:00,11756.96407,-6,0
1/3/2015 4:00,11888.33051,-6,0
1/3/2015 5:00,12298.65794,-6,0
1/3/2015 6:00,12816.49466,-5,0
1/3/2015 7:00,13353.76999,-4,0
