DateTime,Load(MW),Ambient Temperature(C),PV(MW)
1/1/2016 0:00,5479.057816,4,0
1/1/2016 1:00,5405.955778,4,0
1/1/2016 2:00,5334.159606,4,0
1/1/2016 3:00,5302.938201,3,0
1/1/2016 4:00,5364.298843,3,0
1/1/2016 5:00,5577.24296,3,0
1/1/2016 6:00,5795.663671,3,0
1/1/2016 7:00,5937.46327,4,0
1/1/2016 8:00,6077.226662,6,521.4123876
1/1/2016 9:00,6353.441947,8,1018.413984
1/1/2016 10:00,6577.393695,11,1369.382805
1/1/2016 11:00,6590.333717,12,1575.087391
1/1/2016 12:00,6521.626277,13,1652.654878
1/1/2016 13:00,6449.020616,14,1590.809585
1/1/2016 14:00,6379.348034,14,1399.142567
1/1/2016 15:00,6413.135107,13,1078.013503
1/1/2016 16:00,6551.22079,10,610.2211873
1/1/2016 17:00,6874.651486,7,96.27496063
1/1/2016 18:00,7078.585107,5,0
1/1/2016 19:00,7013.731888,4,0
1/1/2016 20:00,6919.989925,3,0
1/1/2016 21:00,6758.558178,2,0
1/1/2016 22:00,6481.728479,1,0
1/1/2016 23:00,6159.90999,0,0
1/2/2016 0:00,5879.102965,0,0
1/2/2016 1:00,5674.944657,0,0
1/2/2016 2:00,5559.242916,0,0
1/2/2016 3:00,5514.876642,-1,0
1/2/2016 4:00,5569.077875,-1,0
1/2/2016 5:00,5729.823437,-1,0
1/2/2016 6:00,6000.946914,-2,0
1/2/2016 7:00,6297.850531,-1,0
1/2/2016 8:00,6530.963571,1,560.906009
1/2/2016 9:00,6843.004597,4,1067.047727
1/2/2016 10:00,7033.594973,7,1411.391812
1/2/2016 11:00,7044.634992,9,1579.411839
1/2/2016 12:00,7002.371255,11,1581.497623
1/2/2016 13:00,6880.995624,12,1516.774304
1/2/2016 14:00,6786.279482,13,1328.787036
1/2/2016 15:00,6746.030361,12,1027.045103
1/2/2016 16:00,6819.718522,10,588.5930226
1/2/2016 17:00,7130.809989,7,24.60988869
1/2/2016 18:00,7374.892327,7,0
1/2/2016 19:00,7333.380035,6,0
1/2/2016 20:00,7230.154819,6,0
1/2/2016 21:00,7026.443475,5,0
1/2/2016 22:00,6709.728143,5,0
1/2/2016 23:00,6344.03034,4,0
1/3/2016 0:00,6074.962281,4,0
1/3/2016 1:00,5862.380435,3,0
1/3/2016 2:00,5730.525696,3,0
1/3/2016 3:00,5670.068524,3,0
1/3/2016 4:00,5690.476664,2,0
1/3/2016 5:00,5813.325831,2,0
1/3/2016 6:00,6014.302322,2,0
1/3/2016 7:00,6253.757352,3,0
1/3/2016 8:00,6378.478987,5,128.0588819
1/3/2016 9:00,6332.000543,9,356.2383899
1/3/2016 10:00,6084.1117,12,675.1305686
1/3/2016 11:00,5778.430406,14,793.2950096
1/3/2016 12:00,5538.229793,15,931.9783571
1/3/2016 13:00,5327.735361,16,618.9465222
1/3/2016 14:00,5168.032257,17,267.1623491
1/3/2016 15:00,5109.287567,16,224.677523
1/3/2016 16:00,5171.320492,14,41.93493746
1/3/2016 17:00,5539.793516,11,0
1/3/2016 18:00,6141.529854,11,0
1/3/2016 19:00,6285.383869,10,0
1/3/2016 20:00,6245.108181,9,0
1/3/2016 21:00,6160.625221,8,0
1/3/2016 22:00,5886.396362,8,0
1/3/2016 23:00,5583.67641,8,0
1/4/2016 0:00,5414.862915,7,0
1/4/2016 1:00,5383.468843,7,0
1/4/2016 2:00,5444.904462,7,0
1/4/2016 3:00,5638.739232,7,0
1/4/2016 4:00,6000.165701,7,0
1/4/2016 5:00,6662.535095,8,0
1/4/2016 6:00,7501.018179,8,0
1/4/2016 7:00,7835.130942,9,0
1/4/2016 8:00,7557.201135,11,410.3579836
1/4/2016 9:00,7124.51444,13,11.8954906
1/4/2016 10:00,6750.821542,15,80.02539457
1/4/2016 11:00,6388.053081,17,168.5005872
1/4/2016 12:00,6066.627232,18,170.9395331
1/4/2016 13:00,5833.094042,18,188.7297356
1/4/2016 14:00,5662.650971,18,163.2594607
1/4/2016 15:00,5582.580786,17,109.766195
1/4/2016 16:00,5628.019067,16,459.4989515
1/4/2016 17:00,6038.157568,14,15.70797311
