"Date & Time","use [kW]","gen [kW]","Grid [kW]","Solar [kW]","Heat Pump [kW]","Water Heater [kW]","EV [kW]"
2015-12-31 23:00:00,4.171358333,0.004801389,4.171358333,0.004801389,-0.000211389,0.000289444,-1.410492500
2015-12-31 22:00:00,4.315711389,0.004137222,4.315711389,0.004137222,-0.000155278,0.000199167,-1.406499722
2015-12-31 21:00:00,4.606599722,0.007759722,4.606599722,0.007759722,-0.000315000,0.000498611,-1.404413611
2015-12-31 20:00:00,5.031583611,0.014867778,5.031583611,0.014867778,-0.000089722,0.000843611,-1.406964167
2015-12-31 19:00:00,4.148032500,0.016770833,4.148032500,0.016770833,-0.000563611,0.001412222,-0.599583056
2015-12-31 18:00:00,3.448471667,0.065018333,3.448471667,0.065018333,-0.000834444,0.001516111,-0.001571944
2015-12-31 17:00:00,3.622719444,0.279250000,3.622719444,0.279250000,-0.000803611,0.001875833,-0.001609444
2015-12-31 16:00:00,3.104415000,0.765436389,3.104415000,0.765436389,-0.000618889,0.000677222,-0.001656111
2015-12-31 15:00:00,3.056265833,1.817590278,3.056265833,1.817590278,-0.000496111,0.000620556,-0.001665833
2015-12-31 14:00:00,2.621978889,3.133611944,2.621978889,3.133611944,-0.000478333,0.000817778,-0.001680833
2015-12-31 13:00:00,2.537178611,3.720498056,2.537178611,3.720498056,-0.000521111,0.000863056,-0.001689167
2015-12-31 12:00:00,2.645061667,2.244234722,2.645061667,2.244234722,-0.000503333,0.000766389,-0.001695278
2015-12-31 11:00:00,2.894108889,0.653125278,2.894108889,0.653125278,-0.000508889,0.000637500,-0.001641111
2015-12-31 10:00:00,2.673444444,0.511495833,2.673444444,0.511495833,-0.000465000,0.000644444,-0.001671111
2015-12-31 09:00:00,2.478510278,0.099837222,2.478510278,0.099837222,-0.000503333,0.000831389,-0.001636389
2015-12-31 08:00:00,2.091611944,0.021142778,2.091611944,0.021142778,-0.000643333,0.001265000,-0.001551667
2015-12-31 07:00:00,2.009288889,0.020422500,2.009288889,0.020422500,-0.000719722,0.001235000,-0.001553611
2015-12-31 06:00:00,2.000573333,0.020441111,2.000573333,0.020441111,-0.000569722,0.001251389,-0.001570000
2015-12-31 05:00:00,1.931528889,0.019655833,1.931528889,0.019655833,-0.000621944,0.001233889,-0.001602222
2015-12-31 04:00:00,1.968206667,0.020189167,1.968206667,0.020189167,-0.000633333,0.001244167,-0.001621111
2015-12-31 03:00:00,2.068599722,0.021360556,2.068599722,0.021360556,-0.000588611,0.001249444,-0.001616389
2015-12-31 02:00:00,2.093397222,0.021658333,2.093397222,0.021658333,-0.000627778,0.001285000,-0.001632778
2015-12-31 01:00:00,1.996080556,0.020285278,1.996080556,0.020285278,-0.000638333,0.001266389,-0.001626944
2015-12-31 00:00:00,2.159929444,0.022306111,2.159929444,0.022306111,-0.000579444,0.001261111,-0.001619722
2015-12-30 23:00:00,2.729818611,0.011348889,2.729818611,0.011348889,-0.000532222,0.000805556,-0.001626111
2015-12-30 22:00:00,2.769656667,0.006223056,2.769656667,0.006223056,-0.000565278,0.000544444,-0.001660833
2015-12-30 21:00:00,3.611456667,0.012508611,3.611456667,0.012508611,-0.000309722,0.000531389,-0.001645833
2015-12-30 20:00:00,4.224390833,0.016993333,4.224390833,0.016993333,0.000121111,0.000600278,-0.001595833
2015-12-30 19:00:00,3.650964167,0.021051111,3.650964167,0.021051111,0.000093889,0.001283333,-0.001568056
2015-12-30 18:00:00,1.288785000,0.041161944,1.288785000,0.041161944,-0.000479722,0.000456944,-0.001607500
2015-12-30 17:00:00,1.224391667,0.258286111,1.224391667,0.258286111,-0.000686389,0.000448611,-0.001612500
2015-12-30 16:00:00,1.264238056,0.465600278,1.264238056,0.465600278,-0.000733889,0.000439167,-0.001630000
2015-12-30 15:00:00,1.332234444,1.911137222,1.332234444,1.911137222,-0.000681111,0.000547500,-0.001648056
2015-12-30 14:00:00,3.101693611,3.251040556,3.101693611,3.251040556,-0.000398889,0.000602778,-0.545378889
2015-12-30 13:00:00,5.499038611,3.589442222,5.499038611,3.589442222,-0.000135000,0.000606111,-1.080913889
2015-12-30 12:00:00,4.793382222,2.271261389,4.793382222,2.271261389,-0.000010000,0.001080278,-0.001669444
2015-12-30 11:00:00,3.675105278,1.227783889,3.675105278,1.227783889,-0.000537778,0.002070833,-0.001578611
2015-12-30 10:00:00,3.039644167,0.693687500,3.039644167,0.693687500,-0.000380000,0.000664167,-0.001584444
2015-12-30 09:00:00,3.431690556,0.071866389,3.431690556,0.071866389,0.000035000,0.001258056,-0.001540000
2015-12-30 08:00:00,2.711066111,0.029636389,2.711066111,0.029636389,-0.000808333,0.001825000,-0.001501667
