"Date & Time","use [kW]","gen [kW]","Grid [kW]","Solar [kW]"
2015-12-31 23:00:00,0.369061389,-0.003693611,0.372755000,-0.003693611
2015-12-31 22:00:00,0.371242500,-0.003773056,0.375015556,-0.003773056
2015-12-31 21:00:00,0.420121111,-0.003816667,0.423937778,-0.003816667
2015-12-31 20:00:00,0.442964167,-0.003784722,0.446748889,-0.003784722
2015-12-31 19:00:00,0.548560556,-0.003849444,0.552410000,-0.003849444
2015-12-31 18:00:00,0.449057500,-0.015726389,0.464783889,-0.015726389
2015-12-31 17:00:00,0.330345833,-0.008382778,0.338728611,-0.008382778
2015-12-31 16:00:00,0.313456944,0.178358056,0.135098889,0.178358056
2015-12-31 15:00:00,0.317083056,0.430556944,-0.113473889,0.430556944
2015-12-31 14:00:00,0.326100278,0.435617222,-0.109516944,0.435617222
2015-12-31 13:00:00,0.354177778,0.354224722,-0.000046944,0.354224722
2015-12-31 12:00:00,0.342766944,0.490403889,-0.147636944,0.490403889
2015-12-31 11:00:00,0.340298611,0.281773333,0.058525278,0.281773333
2015-12-31 10:00:00,0.662889167,0.015135833,0.647753333,0.015135833
2015-12-31 09:00:00,0.390417778,-0.012743333,0.403161111,-0.012743333
2015-12-31 08:00:00,0.357746667,-0.003474444,0.361221111,-0.003474444
2015-12-31 07:00:00,0.344373333,-0.003625833,0.347999167,-0.003625833
2015-12-31 06:00:00,0.355672778,-0.003669722,0.359342500,-0.003669722
2015-12-31 05:00:00,0.351065556,-0.003523056,0.354588611,-0.003523056
2015-12-31 04:00:00,0.348033611,-0.003511111,0.351544722,-0.003511111
2015-12-31 03:00:00,0.347046944,-0.003499444,0.350546389,-0.003499444
2015-12-31 02:00:00,0.320949167,-0.003577500,0.324526667,-0.003577500
2015-12-31 01:00:00,0.321816389,-0.003549444,0.325365833,-0.003549444
2015-12-31 00:00:00,0.406357222,-0.003630000,0.409987222,-0.003630000
2015-12-30 23:00:00,0.479426667,-0.003618333,0.483045000,-0.003618333
2015-12-30 22:00:00,0.487779444,-0.003695000,0.491474444,-0.003695000
2015-12-30 21:00:00,0.511813056,-0.003740556,0.515553611,-0.003740556
2015-12-30 20:00:00,0.551942778,-0.003684167,0.555626944,-0.003684167
2015-12-30 19:00:00,0.535285278,-0.003668889,0.538954167,-0.003668889
2015-12-30 18:00:00,0.383166667,-0.015244167,0.398410833,-0.015244167
2015-12-30 17:00:00,0.341226944,0.051520000,0.289706944,0.051520000
2015-12-30 16:00:00,0.313540000,0.244219167,0.069320833,0.244219167
2015-12-30 15:00:00,0.314801667,0.415618611,-0.100816944,0.415618611
2015-12-30 14:00:00,0.315901111,0.583247778,-0.267346667,0.583247778
2015-12-30 13:00:00,0.344466667,0.587381111,-0.242914444,0.587381111
2015-12-30 12:00:00,0.327791944,0.432193889,-0.104401944,0.432193889
2015-12-30 11:00:00,0.304953889,0.230744167,0.074209722,0.230744167
2015-12-30 10:00:00,0.417308889,0.049549444,0.367759444,0.049549444
2015-12-30 09:00:00,0.573515556,-0.013231111,0.586746667,-0.013231111
2015-12-30 08:00:00,0.371069722,-0.003606389,0.374676111,-0.003606389
2015-12-30 07:00:00,0.392353889,-0.003741944,0.396095833,-0.003741944
2015-12-30 06:00:00,0.451295000,-0.003783611,0.455078611,-0.003783611
2015-12-30 05:00:00,0.354450556,-0.003654444,0.358105000,-0.003654444
2015-12-30 04:00:00,0.347496111,-0.003644444,0.351140556,-0.003644444
2015-12-30 03:00:00,0.332281944,-0.003596389,0.335878333,-0.003596389
2015-12-30 02:00:00,0.296706111,-0.003562778,0.300268889,-0.003562778
2015-12-30 01:00:00,0.270238889,-0.003533611,0.273772500,-0.003533611
2015-12-30 00:00:00,0.342272778,-0.003447778,0.345720556,-0.003447778
2015-12-29 23:00:00,0.530629722,-0.003502222,0.534131944,-0.003502222
2015-12-29 22:00:00,0.451685000,-0.003510278,0.455195278,-0.003510278
2015-12-29 21:00:00,0.443788889,-0.003525000,0.447313889,-0.003525000
2015-12-29 20:00:00,0.543791944,-0.003674444,0.547466389,-0.003674444
2015-12-29 19:00:00,0.565694444,-0.003687500,0.569381944,-0.003687500
2015-12-29 18:00:00,0.365128611,-0.015898611,0.381027222,-0.015898611
2015-12-29 17:00:00,0.329920278,0.013684722,0.316235556,0.013684722
2015-12-29 16:00:00,0.336711111,0.224115833,0.112595278,0.224115833
2015-12-29 15:00:00,0.342571111,0.449836944,-0.107265833,0.449836944
2015-12-29 14:00:00,0.324013611,0.583330556,-0.259316944,0.583330556
2015-12-29 13:00:00,0.348850833,0.600844444,-0.251993611,0.600844444
2015-12-29 12:00:00,0.326234167,0.277352778,0.048881389,0.277352778
2015-12-29 11:00:00,0.309833056,0.328229722,-0.018396667,0.328229722
2015-12-29 10:00:00,0.414080278,0.204342778,0.209737500,0.204342778
2015-12-29 09:00:00,0.527970833,-0.012692778,0.540663611,-0.012692778
2015-12-29 08:00:00,0.360195278,-0.003637222,0.363832500,-0.003637222
2015-12-29 07:00:00,0.359371111,-0.003649722,0.363020833,-0.003649722
2015-12-29 06:00:00,0.368066389,-0.003638611,0.371705000,-0.003638611
2015-12-29 05:00:00,0.350860278,-0.003632222,0.354492500,-0.003632222
2015-12-29 04:00:00,0.344733889,-0.003555556,0.348289444,-0.003555556
2015-12-29 03:00:00,0.327188333,-0.003486389,0.330674722,-0.003486389
2015-12-29 02:00:00,0.345884167,-0.003513889,0.349398056,-0.003513889
2015-12-29 01:00:00,0.340825000,-0.003476944,0.344301944,-0.003476944
2015-12-29 00:00:00,0.427673056,-0.003494444,0.431167500,-0.003494444
2015-12-28 23:00:00,0.495031111,-0.003551944,0.498583056,-0.003551944
2015-12-28 22:00:00,0.501391667,-0.003544167,0.504935833,-0.003544167
2015-12-28 21:00:00,0.412043333,-0.003369722,0.415413056,-0.003369722
2015-12-28 20:00:00,0.473327778,-0.003448056,0.476775833,-0.003448056
2015-12-28 19:00:00,0.525520833,-0.003620000,0.529140833,-0.003620000
2015-12-28 18:00:00,0.347619722,-0.014657222,0.362276944,-0.014657222
2015-12-28 17:00:00,0.327343611,0.050732500,0.276611111,0.050732500
2015-12-28 16:00:00,0.317721111,0.189893056,0.127828056,0.189893056
2015-12-28 15:00:00,0.322709167,0.391010833,-0.068301667,0.391010833
2015-12-28 14:00:00,0.332082222,0.584932222,-0.252850000,0.584932222
2015-12-28 13:00:00,0.344285000,0.595101944,-0.250816944,0.595101944
2015-12-28 12:00:00,0.339969722,0.486887778,-0.146918056,0.486887778
2015-12-28 11:00:00,0.331928611,0.388336389,-0.056407778,0.388336389
2015-12-28 10:00:00,0.430446944,0.213767778,0.216679167,0.213767778
2015-12-28 09:00:00,0.485408611,-0.013111944,0.498520556,-0.013111944
2015-12-28 08:00:00,0.364111667,-0.003775278,0.367886944,-0.003775278
2015-12-28 07:00:00,0.354935833,-0.003719444,0.358655278,-0.003719444
2015-12-28 06:00:00,0.362010833,-0.003785000,0.365795833,-0.003785000
2015-12-28 05:00:00,0.363948333,-0.003785556,0.367733889,-0.003785556
2015-12-28 04:00:00,0.358103611,-0.003743333,0.361846944,-0.003743333
2015-12-28 03:00:00,0.339925278,-0.003764167,0.343689444,-0.003764167
2015-12-28 02:00:00,0.305526111,-0.003613889,0.309140000,-0.003613889
2015-12-28 01:00:00,0.280366389,-0.003542500,0.283908889,-0.003542500
2015-12-28 00:00:00,0.456703611,-0.003757778,0.460461389,-0.003757778
2015-12-27 23:00:00,0.536884167,-0.003736389,0.540620556,-0.003736389
2015-12-27 22:00:00,0.599871111,-0.003743056,0.603614167,-0.003743056
2015-12-27 21:00:00,0.605043056,-0.003685833,0.608728889,-0.003685833
2015-12-27 20:00:00,0.462109722,-0.003592222,0.465701944,-0.003592222
2015-12-27 19:00:00,0.610190833,-0.003853056,0.614043889,-0.003853056
2015-12-27 18:00:00,0.509983056,-0.016463611,0.526446667,-0.016463611
2015-12-27 17:00:00,0.255910556,0.044452500,0.211458056,0.044452500
2015-12-27 16:00:00,0.239945556,0.249309722,-0.009364167,0.249309722
2015-12-27 15:00:00,0.381269722,0.362806667,0.018463056,0.362806667
2015-12-27 14:00:00,0.240178889,0.093811944,0.146366944,0.093811944
2015-12-27 13:00:00,0.239897778,0.048197500,0.191700278,0.048197500
2015-12-27 12:00:00,0.231234722,0.001381944,0.229852778,0.001381944
2015-12-27 11:00:00,0.298438056,-0.005312500,0.303750556,-0.005312500
2015-12-27 10:00:00,0.417990000,-0.011843889,0.429833889,-0.011843889
2015-12-27 09:00:00,0.286087778,-0.008658889,0.294746667,-0.008658889
2015-12-27 08:00:00,0.273603611,-0.003548889,0.277152500,-0.003548889
2015-12-27 07:00:00,0.291105000,-0.003638889,0.294743889,-0.003638889
2015-12-27 06:00:00,0.282402222,-0.003590278,0.285992500,-0.003590278
2015-12-27 05:00:00,0.270644444,-0.003596944,0.274241389,-0.003596944
2015-12-27 04:00:00,0.267307500,-0.003560000,0.270867500,-0.003560000
2015-12-27 03:00:00,0.280113056,-0.003507222,0.283620278,-0.003507222
2015-12-27 02:00:00,0.312466944,-0.003588611,0.316055556,-0.003588611
2015-12-27 01:00:00,0.309338056,-0.003586389,0.312924444,-0.003586389
2015-12-27 00:00:00,0.333246111,-0.003574722,0.336820833,-0.003574722
2015-12-26 23:00:00,0.399078611,-0.003591111,0.402669722,-0.003591111
2015-12-26 22:00:00,0.329748889,-0.003564167,0.333313056,-0.003564167
2015-12-26 21:00:00,0.353626111,-0.003518611,0.357144722,-0.003518611
