"Date & Time","Usage [kW]","Generation [kW]","PF []","Grid [kW]","Grid| [kW]","Grid* [kVA]","Solar [kW]","Solar- [kW]","Frequency [Hz]","Grid Power Factor []","Grid Voltage L1 [V]","Grid Voltage L2 [V]"
2015-12-31 23:00:00,1.057961944,0.000839167,894.148888889,1.057961944,1.057961944,1.180486111,0.000839167,-0.000000000,60.000729517,894.148888889,122.785976943,122.766306942
2015-12-31 22:00:00,0.620940833,0.001225000,815.317500000,0.620940556,0.620940556,0.753150278,0.001225000,0.000000278,60.006179239,815.317500000,122.959120285,122.939673339
2015-12-31 21:00:00,0.618237500,0.001189444,821.381944444,0.618236389,0.618236389,0.750249722,0.001189444,0.000001111,60.001831461,821.381944444,122.653363881,122.634251380
2015-12-31 20:00:00,0.502353333,0.001731944,814.275000000,0.502353056,0.502353056,0.610555278,0.001731944,0.000000278,60.004165350,814.275000000,122.082979688,122.064650242
2015-12-31 19:00:00,0.423574167,0.002150833,821.419722222,0.423573889,0.423573889,0.506710278,0.002150833,0.000000278,59.978772571,821.419722222,122.188704415,122.170618025
2015-12-31 18:00:00,0.362310833,0.008208333,822.326388889,0.362067222,0.362067222,0.434914167,0.008208333,0.000243611,59.978622571,822.326388889,122.544005543,122.526426653
2015-12-31 17:00:00,0.325570000,0.388075278,831.034722222,0.325570000,0.325570000,0.389535278,0.388075278,-0.000000000,59.989712016,831.034722222,123.495858644,123.477716420
2015-12-31 16:00:00,0.290049167,0.943381667,822.431388889,0.290049167,0.290049167,0.351334444,0.943381667,-0.000000000,60.007596739,822.431388889,123.720259765,123.702587264
2015-12-31 15:00:00,0.316536111,1.377381944,834.516944444,0.316536111,0.316536111,0.376112222,1.377381944,-0.000000000,60.002404794,834.516944444,123.684814486,123.667690596
2015-12-31 14:00:00,0.370246667,1.548620278,841.711388889,0.370246667,0.370246667,0.434545000,1.548620278,-0.000000000,60.016248128,841.711388889,124.345300628,124.326607572
2015-12-31 13:00:00,0.409315556,1.373248056,844.194166667,0.409315556,0.409315556,0.487727500,1.373248056,-0.000000000,60.005878128,844.194166667,124.057627281,124.038960058
2015-12-31 12:00:00,0.314491389,1.136841667,836.859444444,0.314491389,0.314491389,0.372752778,1.136841667,-0.000000000,60.020418962,836.859444444,123.878858662,123.859150327
2015-12-31 11:00:00,0.300062222,0.732323611,812.294444444,0.300062222,0.300062222,0.367945000,0.732323611,-0.000000000,60.014453684,812.294444444,123.676860874,123.658464762
