"Date & Time","use [kW]","gen [kW]","Grid [kW]","AC [kW]","Solar 2 [kW]","Solar 2+ [kW]","Solar 1 [kW]","Solar 1+ [kW]"
2015-12-31 23:00:00,0.840403056,-0.011888333,0.841714722,-0.000320000,-0.004718889,-0.000000000,-0.007169444,-0.000991667
2015-12-31 22:00:00,0.892574444,-0.011916111,0.893781389,-0.000216389,-0.004700000,-0.000000000,-0.007216111,-0.000990556
2015-12-31 21:00:00,1.010916389,-0.011815278,1.012257222,-0.000351111,-0.004666111,-0.000000000,-0.007149167,-0.000989722
2015-12-31 20:00:00,1.146207778,-0.011700278,1.147700556,-0.000502500,-0.004567778,-0.000000000,-0.007132500,-0.000990278
2015-12-31 19:00:00,1.114106389,-0.011695278,1.115562222,-0.000465833,-0.004558333,-0.000000000,-0.007136944,-0.000990000
2015-12-31 18:00:00,1.014029444,0.095643056,0.909871944,-0.000368889,0.036260000,0.042266944,0.059383056,0.062259444
2015-12-31 17:00:00,1.048587500,1.467361111,-0.483162778,-0.000378056,0.589291389,0.654058611,0.878069722,0.878069722
2015-12-31 16:00:00,1.125969444,2.223115833,-1.209486944,-0.000353056,1.025024167,1.137717778,1.198091667,1.198091667
2015-12-31 15:00:00,0.985386111,2.624621667,-1.792428611,-0.000358889,1.397569167,1.551121111,1.227052500,1.227052500
2015-12-31 14:00:00,0.704884167,2.820157222,-2.308498611,-0.000125000,1.759217500,1.952568056,1.060939722,1.060939722
2015-12-31 13:00:00,0.910799167,2.688869722,-1.991788611,-0.000372222,1.948070833,2.162161111,0.740798889,0.740798889
2015-12-31 12:00:00,1.195270278,1.717749167,-0.662043611,-0.000504444,1.274963333,1.415032500,0.442785833,0.442785833
2015-12-31 11:00:00,1.051375278,1.349803889,-0.422974167,-0.000381111,1.134926667,1.259853333,0.214877222,0.214877222
2015-12-31 10:00:00,1.241895000,1.009483611,0.128927778,-0.000289444,0.942628333,1.046401389,0.066855278,0.066855278
2015-12-31 09:00:00,1.455568333,0.127449722,1.307986111,-0.000281944,0.119545833,0.135495833,0.007903889,0.012368333
2015-12-31 08:00:00,1.065735278,-0.011612500,1.067079167,-0.000353611,-0.004726111,-0.000000000,-0.006886389,-0.000990278
2015-12-31 07:00:00,1.035970556,-0.011487500,1.037269167,-0.000307500,-0.004631389,-0.000000000,-0.006856111,-0.000991111
2015-12-31 06:00:00,1.210429722,-0.011515556,1.211571111,-0.000150000,-0.004613611,-0.000000000,-0.006901944,-0.000991389
2015-12-31 05:00:00,1.037019444,-0.011541667,1.038232222,-0.000221111,-0.004660278,-0.000000000,-0.006881389,-0.000991667
2015-12-31 04:00:00,0.785462778,-0.011642778,0.786715000,-0.000261389,-0.004786944,-0.000000000,-0.006855833,-0.000990833
2015-12-31 03:00:00,0.780688611,-0.011704722,0.781948889,-0.000270556,-0.004779167,-0.000000000,-0.006925556,-0.000989722
2015-12-31 02:00:00,0.705826667,-0.011793611,0.707006944,-0.000188333,-0.004752500,-0.000000000,-0.007041111,-0.000991944
2015-12-31 01:00:00,0.967274722,-0.011731111,0.968494722,-0.000231111,-0.004503056,-0.000000000,-0.007228056,-0.000988889
2015-12-31 00:00:00,0.898346667,-0.011847500,0.899485556,-0.000150000,-0.004507222,-0.000000000,-0.007340278,-0.000988889
2015-12-30 23:00:00,0.950978889,-0.011898056,0.952209722,-0.000241667,-0.004495000,-0.000000000,-0.007403056,-0.000989167
2015-12-30 22:00:00,1.084109444,-0.011805833,1.085444722,-0.000344444,-0.004480556,-0.000000000,-0.007325278,-0.000990833
2015-12-30 21:00:00,0.903304722,-0.011834167,0.904586944,-0.000291111,-0.004708056,-0.000000000,-0.007126111,-0.000991111
2015-12-30 20:00:00,0.901768611,-0.011954167,0.903092500,-0.000331944,-0.004718889,-0.000000000,-0.007235278,-0.000991944
2015-12-30 19:00:00,0.893171111,-0.011862500,0.894456944,-0.000293611,-0.004693889,-0.000000000,-0.007168611,-0.000992222
2015-12-30 18:00:00,1.058243611,0.061204444,0.988707778,-0.000388056,0.029596667,0.035228611,0.031607778,0.034695278
2015-12-30 17:00:00,1.005660278,1.013652500,-0.055490833,-0.000323056,0.434300000,0.482121667,0.579352500,0.579352500
2015-12-30 16:00:00,0.855991667,2.467746667,-1.737038333,-0.000110000,1.137879444,1.263272778,1.329867222,1.329867222
