"Date & Time","use [kW]","gen [kW]","Grid [kW]","Solar [kW]","Solar+ [kW]","AC [kW]"
2015-12-31 23:00:00,0.206927778,-0.003350278,0.206927778,-0.003350278,-0.000000000,-0.000911944
2015-12-31 22:00:00,0.227926667,-0.003348889,0.227926667,-0.003348889,-0.000000000,-0.000905000
2015-12-31 21:00:00,0.306335278,-0.003351944,0.306335278,-0.003351944,-0.000000000,-0.000883333
2015-12-31 20:00:00,0.914021389,-0.003255556,0.914021389,-0.003255556,-0.000000000,-0.000868333
2015-12-31 19:00:00,1.900360278,-0.002921667,1.900360278,-0.002921667,-0.000000000,-0.000803889
2015-12-31 18:00:00,1.579755556,0.021929444,1.557131944,0.021929444,0.022623611,-0.000847500
2015-12-31 17:00:00,0.592788889,0.308779722,0.284009167,0.308779722,0.308779722,-0.000850556
2015-12-31 16:00:00,0.402820278,0.551342500,-0.148522222,0.551342500,0.551342500,-0.000890278
2015-12-31 15:00:00,0.358748889,0.633900000,-0.275151111,0.633900000,0.633900000,-0.000880833
2015-12-31 14:00:00,3.224215000,0.688342778,2.535872222,0.688342778,0.688342778,-0.000751667
2015-12-31 13:00:00,0.517787778,0.611566944,-0.093779167,0.611566944,0.611566944,-0.000912500
2015-12-31 12:00:00,0.925333333,0.404296389,0.521036944,0.404296389,0.404296389,-0.000776111
2015-12-31 11:00:00,0.442927500,0.219117778,0.223809722,0.219117778,0.219117778,-0.000865833
2015-12-31 10:00:00,0.210704167,0.118630278,0.092073889,0.118630278,0.118630278,-0.000921389
2015-12-31 09:00:00,0.123623056,0.015452778,0.107157500,0.015452778,0.016465556,-0.000941111
2015-12-31 08:00:00,0.189213889,-0.003300833,0.189213889,-0.003300833,-0.000000000,-0.000942778
2015-12-31 07:00:00,0.214111667,-0.003290278,0.214111667,-0.003290278,-0.000000000,-0.000942500
2015-12-31 06:00:00,0.328791389,-0.003326944,0.328791389,-0.003326944,-0.000000000,-0.000933333
2015-12-31 05:00:00,0.181108611,-0.003301667,0.181108611,-0.003301667,-0.000000000,-0.000935000
2015-12-31 04:00:00,0.242738056,-0.003317778,0.242738056,-0.003317778,-0.000000000,-0.000933056
2015-12-31 03:00:00,0.151037778,-0.003306111,0.151037778,-0.003306111,-0.000000000,-0.000928611
2015-12-31 02:00:00,0.162283333,-0.003333333,0.162283333,-0.003333333,-0.000000000,-0.000926944
2015-12-31 01:00:00,0.359921389,-0.003365278,0.359921389,-0.003365278,-0.000000000,-0.000918889
2015-12-31 00:00:00,0.337815278,-0.003375000,0.337815278,-0.003375000,-0.000000000,-0.000919167
2015-12-30 23:00:00,0.444013889,-0.003415278,0.444013889,-0.003415278,-0.000000000,-0.000922222
2015-12-30 22:00:00,0.350715000,-0.003409444,0.350715000,-0.003409444,-0.000000000,-0.000917500
2015-12-30 21:00:00,0.423029722,-0.003401389,0.423029722,-0.003401389,-0.000000000,-0.000914444
2015-12-30 20:00:00,0.355479722,-0.003362500,0.355479722,-0.003362500,-0.000000000,-0.000899444
2015-12-30 19:00:00,0.567359722,-0.003297500,0.567359722,-0.003297500,-0.000000000,-0.000884722
2015-12-30 18:00:00,0.553728611,0.020129167,0.532682222,0.020129167,0.021046389,-0.000891389
2015-12-30 17:00:00,0.334320278,0.234888333,0.099431944,0.234888333,0.234888333,-0.000878889
2015-12-30 16:00:00,0.177358889,0.588644167,-0.411285278,0.588644167,0.588644167,-0.000895000
2015-12-30 15:00:00,0.111838333,0.708015556,-0.596177222,0.708015556,0.708015556,-0.000886667
2015-12-30 14:00:00,0.105555278,0.700505556,-0.594950278,0.700505556,0.700505556,-0.000913889
2015-12-30 13:00:00,0.286914167,0.662941667,-0.376027500,0.662941667,0.662941667,-0.000935278
2015-12-30 12:00:00,0.364572778,0.483914722,-0.119341944,0.483914722,0.483914722,-0.000867500
2015-12-30 11:00:00,0.146089722,0.326903889,-0.180814167,0.326903889,0.326903889,-0.000904722
2015-12-30 10:00:00,0.178539167,0.110616111,0.067923056,0.110616111,0.110616111,-0.000919444
2015-12-30 09:00:00,0.203551111,0.008396389,0.194225833,0.008396389,0.009325278,-0.000940000
2015-12-30 08:00:00,0.146377222,-0.003283611,0.146377222,-0.003283611,-0.000000000,-0.000943611
2015-12-30 07:00:00,0.213981111,-0.003310000,0.213981111,-0.003310000,-0.000000000,-0.000941667
2015-12-30 06:00:00,0.321788056,-0.003338056,0.321788056,-0.003338056,-0.000000000,-0.000945000
2015-12-30 05:00:00,0.195793056,-0.003328056,0.195793056,-0.003328056,-0.000000000,-0.000946389
2015-12-30 04:00:00,0.218508611,-0.003338611,0.218508611,-0.003338611,-0.000000000,-0.000940000
2015-12-30 03:00:00,0.196150833,-0.003348611,0.196150833,-0.003348611,-0.000000000,-0.000939444
2015-12-30 02:00:00,0.526777500,-0.003254444,0.526777500,-0.003254444,-0.000000000,-0.000896389
2015-12-30 01:00:00,0.246422500,-0.003425278,0.246422500,-0.003425278,-0.000000000,-0.000930833
2015-12-30 00:00:00,0.220951944,-0.003395278,0.220951944,-0.003395278,-0.000000000,-0.000928333
2015-12-29 23:00:00,0.450843056,-0.003433333,0.450843056,-0.003433333,-0.000000000,-0.000927500
2015-12-29 22:00:00,0.418431667,-0.003398889,0.418431667,-0.003398889,-0.000000000,-0.000895278
2015-12-29 21:00:00,0.326925556,-0.003388889,0.326925556,-0.003388889,-0.000000000,-0.000908889
2015-12-29 20:00:00,0.178851667,-0.003362500,0.178851667,-0.003362500,-0.000000000,-0.000920000
2015-12-29 19:00:00,0.280592778,-0.003310278,0.280592778,-0.003310278,-0.000000000,-0.000903611
2015-12-29 18:00:00,0.400008056,0.030590833,0.368692500,0.030590833,0.031315556,-0.000905556
2015-12-29 17:00:00,0.139836389,0.342689722,-0.202853333,0.342689722,0.342689722,-0.000893889
2015-12-29 16:00:00,0.121805556,0.532095833,-0.410290278,0.532095833,0.532095833,-0.000897778
2015-12-29 15:00:00,0.091384167,0.621362500,-0.529978333,0.621362500,0.621362500,-0.000910278
2015-12-29 14:00:00,0.452819167,0.593670556,-0.140851389,0.593670556,0.593670556,-0.000905000
2015-12-29 13:00:00,0.226445556,0.654969722,-0.428524167,0.654969722,0.654969722,-0.000925278
2015-12-29 12:00:00,0.091639722,0.542451111,-0.450811389,0.542451111,0.542451111,-0.000948333
2015-12-29 11:00:00,0.169533056,0.311696111,-0.142163056,0.311696111,0.311696111,-0.000883889
2015-12-29 10:00:00,0.148444167,0.129239167,0.019205000,0.129239167,0.129239167,-0.000907222
2015-12-29 09:00:00,0.102722778,0.008727778,0.092956944,0.008727778,0.009765833,-0.000943333
2015-12-29 08:00:00,0.196551389,-0.003299167,0.196551389,-0.003299167,-0.000000000,-0.000928056
2015-12-29 07:00:00,0.190251667,-0.003314167,0.190251667,-0.003314167,-0.000000000,-0.000936667
2015-12-29 06:00:00,0.226770556,-0.003321111,0.226770556,-0.003321111,-0.000000000,-0.000941667
2015-12-29 05:00:00,0.238890000,-0.003367778,0.238890000,-0.003367778,-0.000000000,-0.000941944
2015-12-29 04:00:00,0.212323889,-0.003362222,0.212323889,-0.003362222,-0.000000000,-0.000947778
2015-12-29 03:00:00,0.193778889,-0.003362500,0.193778889,-0.003362500,-0.000000000,-0.000948333
2015-12-29 02:00:00,0.578274722,-0.003376667,0.578274722,-0.003376667,-0.000000000,-0.000912778
2015-12-29 01:00:00,0.429596944,-0.003390556,0.429596944,-0.003390556,-0.000000000,-0.000911944
2015-12-29 00:00:00,0.216494722,-0.003361389,0.216494722,-0.003361389,-0.000000000,-0.000919722
2015-12-28 23:00:00,0.261965556,-0.003353889,0.261965556,-0.003353889,-0.000000000,-0.000914444
2015-12-28 22:00:00,0.169438611,-0.003344167,0.169438611,-0.003344167,-0.000000000,-0.000921667
2015-12-28 21:00:00,0.206302500,-0.003322500,0.206302500,-0.003322500,-0.000000000,-0.000908056
2015-12-28 20:00:00,0.193942778,-0.003280556,0.193942778,-0.003280556,-0.000000000,-0.000909722
2015-12-28 19:00:00,0.125826389,-0.003273056,0.125826389,-0.003273056,-0.000000000,-0.000912500
2015-12-28 18:00:00,0.138712778,0.007441944,0.130233333,0.007441944,0.008479444,-0.000906667
2015-12-28 17:00:00,0.109818611,0.236864444,-0.127045833,0.236864444,0.236864444,-0.000890556
2015-12-28 16:00:00,1.231101111,0.386052222,0.845048889,0.386052222,0.386052222,-0.000792778
2015-12-28 15:00:00,0.140018611,0.600089167,-0.460070556,0.600089167,0.600089167,-0.000912222
2015-12-28 14:00:00,0.308668889,0.712541667,-0.403872778,0.712541667,0.712541667,-0.000911111
2015-12-28 13:00:00,0.212405278,0.528032222,-0.315626944,0.528032222,0.528032222,-0.000932222
2015-12-28 12:00:00,0.178978333,0.380800556,-0.201822222,0.380800556,0.380800556,-0.000919167
2015-12-28 11:00:00,0.374036667,0.220148611,0.153888056,0.220148611,0.220148611,-0.000891111
2015-12-28 10:00:00,0.289409722,0.082247500,0.207162222,0.082247500,0.082247500,-0.000903889
2015-12-28 09:00:00,0.393147500,0.004527500,0.387453889,0.004527500,0.005693611,-0.000930000
2015-12-28 08:00:00,0.186290278,-0.003344722,0.186290278,-0.003344722,-0.000000000,-0.000942500
2015-12-28 07:00:00,0.255790833,-0.003335000,0.255790833,-0.003335000,-0.000000000,-0.000943056
2015-12-28 06:00:00,0.238421944,-0.003344444,0.238421944,-0.003344444,-0.000000000,-0.000948611
2015-12-28 05:00:00,0.225670278,-0.003364722,0.225670278,-0.003364722,-0.000000000,-0.000941389
2015-12-28 04:00:00,0.251771667,-0.003383611,0.251771667,-0.003383611,-0.000000000,-0.000942222
2015-12-28 03:00:00,0.207022222,-0.003377500,0.207022222,-0.003377500,-0.000000000,-0.000941944
2015-12-28 02:00:00,0.274037500,-0.003396944,0.274037500,-0.003396944,-0.000000000,-0.000935278
2015-12-28 01:00:00,0.184209722,-0.003373611,0.184209722,-0.003373611,-0.000000000,-0.000932500
2015-12-28 00:00:00,0.286870833,-0.003398889,0.286870833,-0.003398889,-0.000000000,-0.000927500
2015-12-27 23:00:00,0.201703056,-0.003327778,0.201703056,-0.003327778,-0.000000000,-0.000928333
2015-12-27 22:00:00,0.461930556,-0.003360556,0.461930556,-0.003360556,-0.000000000,-0.000920833
2015-12-27 21:00:00,0.188028333,-0.003350556,0.188028333,-0.003350556,-0.000000000,-0.000935833
2015-12-27 20:00:00,0.160390556,-0.003305556,0.160390556,-0.003305556,-0.000000000,-0.000930000
2015-12-27 19:00:00,0.196513056,-0.003326111,0.196513056,-0.003326111,-0.000000000,-0.000928333
2015-12-27 18:00:00,0.160693611,0.046643611,0.113230833,0.046643611,0.047462778,-0.000912778
2015-12-27 17:00:00,0.166863333,0.252596944,-0.085733611,0.252596944,0.252596944,-0.000892222
2015-12-27 16:00:00,0.128156667,0.367041667,-0.238885000,0.367041667,0.367041667,-0.000894722
2015-12-27 15:00:00,0.088951667,0.312696944,-0.223745278,0.312696944,0.312696944,-0.000898333
2015-12-27 14:00:00,0.188136111,0.241688889,-0.053552778,0.241688889,0.241688889,-0.000888056
2015-12-27 13:00:00,0.381678611,0.139648333,0.242030278,0.139648333,0.139648333,-0.000884444
2015-12-27 12:00:00,0.372839444,0.068287500,0.304551944,0.068287500,0.068287500,-0.000900556
2015-12-27 11:00:00,0.263116111,0.039553333,0.223562778,0.039553333,0.039553333,-0.000922222
2015-12-27 10:00:00,0.110897500,0.013878333,0.097019167,0.013878333,0.013878333,-0.000946389
2015-12-27 09:00:00,0.186174722,-0.001784444,0.185569167,-0.001784444,0.000605556,-0.000944722
2015-12-27 08:00:00,0.135552778,-0.003337500,0.135552778,-0.003337500,-0.000000000,-0.000953056
2015-12-27 07:00:00,0.232326389,-0.003343056,0.232326389,-0.003343056,-0.000000000,-0.000942222
2015-12-27 06:00:00,0.214155278,-0.003318333,0.214155278,-0.003318333,-0.000000000,-0.000934444
2015-12-27 05:00:00,0.276867778,-0.003367500,0.276867778,-0.003367500,-0.000000000,-0.000935556
2015-12-27 04:00:00,0.262516111,-0.003387778,0.262516111,-0.003387778,-0.000000000,-0.000935556
2015-12-27 03:00:00,0.481844444,-0.003353889,0.481844444,-0.003353889,-0.000000000,-0.000919722
2015-12-27 02:00:00,0.573308611,-0.003366944,0.573308611,-0.003366944,-0.000000000,-0.000920556
2015-12-27 01:00:00,0.445775833,-0.003386111,0.445775833,-0.003386111,-0.000000000,-0.000908611
2015-12-27 00:00:00,0.190735000,-0.003370000,0.190735000,-0.003370000,-0.000000000,-0.000925833
2015-12-26 23:00:00,0.327156389,-0.003367778,0.327156389,-0.003367778,-0.000000000,-0.000920000
2015-12-26 22:00:00,0.198204722,-0.003349722,0.198204722,-0.003349722,-0.000000000,-0.000916389
2015-12-26 21:00:00,0.166808611,-0.003360833,0.166808611,-0.003360833,-0.000000000,-0.000919444
2015-12-26 20:00:00,0.188448611,-0.003385833,0.188448611,-0.003385833,-0.000000000,-0.000921667
2015-12-26 19:00:00,0.192903889,-0.003364167,0.192903889,-0.003364167,-0.000000000,-0.000927500
2015-12-26 18:00:00,0.155118333,0.002156111,0.150979722,0.002156111,0.004138611,-0.000928333
2015-12-26 17:00:00,0.210164444,0.016516111,0.193648333,0.016516111,0.016516111,-0.000910833
2015-12-26 16:00:00,0.160535833,0.049550278,0.110985556,0.049550278,0.049550278,-0.000918889
2015-12-26 15:00:00,0.107581111,0.067383889,0.040197222,0.067383889,0.067383889,-0.000917500
2015-12-26 14:00:00,0.177028056,0.059845833,0.117182222,0.059845833,0.059845833,-0.000899444
2015-12-26 13:00:00,0.092531667,0.044802778,0.047728889,0.044802778,0.044802778,-0.000914167
2015-12-26 12:00:00,0.173814444,0.031095278,0.142719167,0.031095278,0.031095278,-0.000919722
2015-12-26 11:00:00,0.115582222,0.018562778,0.097019444,0.018562778,0.018562778,-0.000930833
2015-12-26 10:00:00,0.092400833,0.006460833,0.085922500,0.006460833,0.006478333,-0.000946111
2015-12-26 09:00:00,0.234193333,-0.002325278,0.234042500,-0.002325278,0.000150833,-0.000940278
2015-12-26 08:00:00,0.206872222,-0.003306944,0.206872222,-0.003306944,-0.000000000,-0.000930000
2015-12-26 07:00:00,0.354923611,-0.003338056,0.354923611,-0.003338056,-0.000000000,-0.000930556
2015-12-26 06:00:00,0.214803056,-0.003331944,0.214803056,-0.003331944,-0.000000000,-0.000930833
2015-12-26 05:00:00,0.179252500,-0.003318333,0.179252500,-0.003318333,-0.000000000,-0.000936667
2015-12-26 04:00:00,0.197416111,-0.003333333,0.197416111,-0.003333333,-0.000000000,-0.000933611
2015-12-26 03:00:00,0.198981944,-0.003343611,0.198981944,-0.003343611,-0.000000000,-0.000936111
2015-12-26 02:00:00,0.227386389,-0.003338333,0.227386389,-0.003338333,-0.000000000,-0.000937500
2015-12-26 01:00:00,0.143971667,-0.003308056,0.143971667,-0.003308056,-0.000000000,-0.000925556
2015-12-26 00:00:00,0.117895556,-0.003345833,0.117895556,-0.003345833,-0.000000000,-0.000937778
2015-12-25 23:00:00,0.188172500,-0.003325278,0.188172500,-0.003325278,-0.000000000,-0.000922222
2015-12-25 22:00:00,0.208359167,-0.003333889,0.208359167,-0.003333889,-0.000000000,-0.000920556
2015-12-25 21:00:00,0.224300278,-0.003313611,0.224300278,-0.003313611,-0.000000000,-0.000925000
2015-12-25 20:00:00,0.198578889,-0.003344722,0.198578889,-0.003344722,-0.000000000,-0.000923889
2015-12-25 19:00:00,0.274176667,-0.003313333,0.274176667,-0.003313333,-0.000000000,-0.000910278
2015-12-25 18:00:00,0.512632222,-0.002981944,0.512630556,-0.002981944,0.000001667,-0.000903889
2015-12-25 17:00:00,0.224973333,0.006921944,0.217895833,0.006921944,0.007077500,-0.000890000
2015-12-25 16:00:00,0.098621111,0.022805000,0.075816111,0.022805000,0.022805000,-0.000895833
2015-12-25 15:00:00,0.106560833,0.046841389,0.059719444,0.046841389,0.046841389,-0.000897500
2015-12-25 14:00:00,0.124850278,0.056192500,0.068657778,0.056192500,0.056192500,-0.000899722
2015-12-25 13:00:00,0.095274444,0.078855833,0.016418611,0.078855833,0.078855833,-0.000910556
2015-12-25 12:00:00,0.117067778,0.120913333,-0.003845556,0.120913333,0.120913333,-0.000905278
2015-12-25 11:00:00,0.130232222,0.074781944,0.055450278,0.074781944,0.074781944,-0.000874444
2015-12-25 10:00:00,0.183068056,0.057105556,0.125962500,0.057105556,0.057105556,-0.000898611
2015-12-25 09:00:00,1.333999722,0.012999444,1.320447222,0.012999444,0.013552500,-0.000842778
2015-12-25 08:00:00,0.288220833,-0.003293333,0.288220833,-0.003293333,-0.000000000,-0.000912500
2015-12-25 07:00:00,0.232539444,-0.003323333,0.232539444,-0.003323333,-0.000000000,-0.000920000
2015-12-25 06:00:00,0.237974167,-0.003341389,0.237974167,-0.003341389,-0.000000000,-0.000925556
2015-12-25 05:00:00,0.244769444,-0.003345556,0.244769444,-0.003345556,-0.000000000,-0.000918056
2015-12-25 04:00:00,0.281826389,-0.003358889,0.281826389,-0.003358889,-0.000000000,-0.000912778
2015-12-25 03:00:00,0.483792500,-0.003391111,0.483792500,-0.003391111,-0.000000000,-0.000902222
2015-12-25 02:00:00,0.370387500,-0.003397222,0.370387500,-0.003397222,-0.000000000,-0.000926111
2015-12-25 01:00:00,0.641093333,-0.003375000,0.641093333,-0.003375000,-0.000000000,-0.000898056
2015-12-25 00:00:00,0.377010278,-0.003403889,0.377010278,-0.003403889,-0.000000000,-0.000908889
2015-12-24 23:00:00,0.523915000,-0.003406389,0.523915000,-0.003406389,-0.000000000,-0.000912500
2015-12-24 22:00:00,0.245086944,-0.003370833,0.245086944,-0.003370833,-0.000000000,-0.000913611
2015-12-24 21:00:00,0.262228056,-0.003405000,0.262228056,-0.003405000,-0.000000000,-0.000921111
2015-12-24 20:00:00,0.380532778,-0.003342500,0.380532778,-0.003342500,-0.000000000,-0.000879444
2015-12-24 19:00:00,0.446105000,-0.003311111,0.446105000,-0.003311111,-0.000000000,-0.000876389
2015-12-24 18:00:00,0.378117500,0.007788611,0.368977222,0.007788611,0.009140278,-0.000900278
2015-12-24 17:00:00,0.161366389,0.121038611,0.040327778,0.121038611,0.121038611,-0.000886111
2015-12-24 16:00:00,0.124292778,0.412172778,-0.287880000,0.412172778,0.412172778,-0.000893056
2015-12-24 15:00:00,0.162903333,0.662756667,-0.499853333,0.662756667,0.662756667,-0.000891944
2015-12-24 14:00:00,1.315634444,0.703895278,0.611739167,0.703895278,0.703895278,-0.000796944
2015-12-24 13:00:00,0.164211389,0.677821389,-0.513610000,0.677821389,0.677821389,-0.000899167
2015-12-24 12:00:00,0.129886667,0.575390000,-0.445503333,0.575390000,0.575390000,-0.000890000
2015-12-24 11:00:00,0.226563333,0.381952778,-0.155389444,0.381952778,0.381952778,-0.000888889
2015-12-24 10:00:00,0.140920833,0.145108611,-0.004187778,0.145108611,0.145108611,-0.000877500
2015-12-24 09:00:00,0.139339167,0.009715000,0.128832500,0.009715000,0.010506667,-0.000894167
2015-12-24 08:00:00,0.175449722,-0.003261389,0.175449722,-0.003261389,-0.000000000,-0.000904722
2015-12-24 07:00:00,0.213648889,-0.003336111,0.213648889,-0.003336111,-0.000000000,-0.000919167
2015-12-24 06:00:00,0.187288889,-0.003350833,0.187288889,-0.003350833,-0.000000000,-0.000925833
2015-12-24 05:00:00,0.188491667,-0.003350833,0.188491667,-0.003350833,-0.000000000,-0.000916944
2015-12-24 04:00:00,0.214882222,-0.003367778,0.214882222,-0.003367778,-0.000000000,-0.000913611
2015-12-24 03:00:00,0.182567222,-0.003380833,0.182567222,-0.003380833,-0.000000000,-0.000928056
2015-12-24 02:00:00,0.243453889,-0.003307222,0.243453889,-0.003307222,-0.000000000,-0.000893611
2015-12-24 01:00:00,0.938040278,-0.003111944,0.938040278,-0.003111944,-0.000000000,-0.000792778
2015-12-24 00:00:00,0.329841111,-0.003357778,0.329841111,-0.003357778,-0.000000000,-0.000900000
2015-12-23 23:00:00,0.397385833,-0.003343333,0.397385833,-0.003343333,-0.000000000,-0.000887778
2015-12-23 22:00:00,0.396210556,-0.003393333,0.396210556,-0.003393333,-0.000000000,-0.000888611
2015-12-23 21:00:00,0.404816111,-0.003407500,0.404816111,-0.003407500,-0.000000000,-0.000882222
2015-12-23 20:00:00,0.456744722,-0.003400278,0.456744722,-0.003400278,-0.000000000,-0.000880278
2015-12-23 19:00:00,0.433506944,-0.003377500,0.433506944,-0.003377500,-0.000000000,-0.000886944
2015-12-23 18:00:00,0.645629444,0.014121944,0.630121944,0.014121944,0.015507500,-0.000883333
2015-12-23 17:00:00,0.169127222,0.086710833,0.082416389,0.086710833,0.086710833,-0.000870278
2015-12-23 16:00:00,0.326573889,0.177303056,0.149270833,0.177303056,0.177303056,-0.000833056
2015-12-23 15:00:00,0.188321111,0.339889722,-0.151568611,0.339889722,0.339889722,-0.000869444
2015-12-23 14:00:00,0.151062222,0.626343333,-0.475281111,0.626343333,0.626343333,-0.000890833
2015-12-23 13:00:00,0.436673333,0.680004444,-0.243331111,0.680004444,0.680004444,-0.000864722
2015-12-23 12:00:00,0.132685278,0.570689444,-0.438004167,0.570689444,0.570689444,-0.000902222
2015-12-23 11:00:00,0.111820278,0.380078333,-0.268258056,0.380078333,0.380078333,-0.000891389
2015-12-23 10:00:00,0.160263611,0.139668056,0.020595556,0.139668056,0.139668056,-0.000872778
2015-12-23 09:00:00,0.148985278,0.007835833,0.140021667,0.007835833,0.008963611,-0.000895833
2015-12-23 08:00:00,0.128810278,-0.003296389,0.128810278,-0.003296389,-0.000000000,-0.000905000
2015-12-23 07:00:00,0.358480833,-0.003373611,0.358480833,-0.003373611,-0.000000000,-0.000913333
2015-12-23 06:00:00,0.156303889,-0.003388056,0.156303889,-0.003388056,-0.000000000,-0.000925833
2015-12-23 05:00:00,0.141008611,-0.003362500,0.141008611,-0.003362500,-0.000000000,-0.000927778
2015-12-23 04:00:00,0.131103056,-0.003397778,0.131103056,-0.003397778,-0.000000000,-0.000936667
2015-12-23 03:00:00,0.159925556,-0.003360278,0.159925556,-0.003360278,-0.000000000,-0.000916944
2015-12-23 02:00:00,0.157158889,-0.003347222,0.157158889,-0.003347222,-0.000000000,-0.000903056
2015-12-23 01:00:00,0.150717500,-0.003315556,0.150717500,-0.003315556,-0.000000000,-0.000895556
2015-12-23 00:00:00,0.174597500,-0.003313056,0.174597500,-0.003313056,-0.000000000,-0.000886389
2015-12-22 23:00:00,0.192000278,-0.003339444,0.192000278,-0.003339444,-0.000000000,-0.000888056
2015-12-22 22:00:00,0.263321667,-0.003298056,0.263321667,-0.003298056,-0.000000000,-0.000865833
2015-12-22 21:00:00,0.369998056,-0.003351944,0.369998056,-0.003351944,-0.000000000,-0.000870833
2015-12-22 20:00:00,0.552379722,-0.003390000,0.552379722,-0.003390000,-0.000000000,-0.000887778
2015-12-22 19:00:00,0.435588889,-0.003415278,0.435588889,-0.003415278,-0.000000000,-0.000905556
2015-12-22 18:00:00,0.325729722,0.008111389,0.316005278,0.008111389,0.009724444,-0.000893611
2015-12-22 17:00:00,0.194189722,0.094736944,0.099452778,0.094736944,0.094736944,-0.000880556
2015-12-22 16:00:00,0.143134167,0.527993889,-0.384859722,0.527993889,0.527993889,-0.000889444
2015-12-22 15:00:00,0.111864444,0.625881944,-0.514017500,0.625881944,0.625881944,-0.000885833
2015-12-22 14:00:00,0.186753056,0.656840556,-0.470087500,0.656840556,0.656840556,-0.000878611
2015-12-22 13:00:00,1.911353333,0.558980833,1.352372500,0.558980833,0.558980833,-0.000787500
2015-12-22 12:00:00,1.756650833,0.511360833,1.245290000,0.511360833,0.511360833,-0.000828889
2015-12-22 11:00:00,0.495211389,0.338431111,0.156780278,0.338431111,0.338431111,-0.000867500
