"Date & Time","Use [kW]","Gen [kW]","Subpanel [kW]","Solar [kW]"
2015-12-31 23:00,5.123335278,-0.013609444,5.123335278,-0.013609444
2015-12-31 22:00,5.065549167,-0.013581944,5.065549167,-0.013581944
2015-12-31 21:00,5.082327222,-0.013561944,5.082327222,-0.013561944
2015-12-31 20:00,5.078330000,-0.013580278,5.078330000,-0.013580278
2015-12-31 19:00,5.101219722,-0.013557778,5.101219722,-0.013557778
2015-12-31 18:00,5.120275278,0.027541944,5.120275278,0.027541944
2015-12-31 17:00,4.695261389,0.388388333,4.695261389,0.388388333
2015-12-31 16:00,4.565639722,2.664553889,4.565639722,2.664553889
2015-12-31 15:00,4.573366111,4.030568611,4.573366111,4.030568611
2015-12-31 14:00,4.581601944,4.248081111,4.581601944,4.248081111
2015-12-31 13:00,4.590422778,2.935688611,4.590422778,2.935688611
2015-12-31 12:00,4.677306111,4.293714722,4.677306111,4.293714722
2015-12-31 11:00,4.969245833,3.317343333,4.969245833,3.317343333
2015-12-31 10:00,4.948153056,0.701866389,4.948153056,0.701866389
2015-12-31 09:00,4.777850000,0.043831389,4.777850000,0.043831389
2015-12-31 08:00,5.070070278,-0.013633333,5.070070278,-0.013633333
2015-12-31 07:00,5.067773889,-0.013584167,5.067773889,-0.013584167
2015-12-31 06:00,5.154641111,-0.013616667,5.154641111,-0.013616667
2015-12-31 05:00,5.127368889,-0.013709444,5.127368889,-0.013709444
2015-12-31 04:00,5.144485556,-0.013664167,5.144485556,-0.013664167
2015-12-31 03:00,5.163691111,-0.013610000,5.163691111,-0.013610000
2015-12-31 02:00,5.149411111,-0.013660000,5.149411111,-0.013660000
2015-12-31 01:00,5.062671944,-0.013647222,5.062671944,-0.013647222
2015-12-31 00:00,5.123748889,-0.013616944,5.123748889,-0.013616944
2015-12-30 23:00,5.050761389,-0.013570000,5.050761389,-0.013570000
2015-12-30 22:00,5.076205000,-0.013579722,5.076205000,-0.013579722
2015-12-30 21:00,5.062619722,-0.013565000,5.062619722,-0.013565000
2015-12-30 20:00,5.058675278,-0.013563889,5.058675278,-0.013563889
2015-12-30 19:00,5.049566389,-0.013514167,5.049566389,-0.013514167
2015-12-30 18:00,5.180768333,0.012715000,5.180768333,0.012715000
2015-12-30 17:00,4.795984167,0.448736111,4.795984167,0.448736111
2015-12-30 16:00,4.663462778,2.315828333,4.663462778,2.315828333
2015-12-30 15:00,4.724252222,3.904906667,4.724252222,3.904906667
2015-12-30 14:00,5.530730000,3.452641667,5.530730000,3.452641667
2015-12-30 13:00,4.671387778,2.641975000,4.671387778,2.641975000
2015-12-30 12:00,4.625967222,1.616543611,4.625967222,1.616543611
2015-12-30 11:00,4.590575833,0.985348333,4.590575833,0.985348333
2015-12-30 10:00,4.616698889,0.376741944,4.616698889,0.376741944
2015-12-30 09:00,4.732756667,0.031239167,4.732756667,0.031239167
2015-12-30 08:00,5.085492778,-0.013407500,5.085492778,-0.013407500
2015-12-30 07:00,5.053840000,-0.013576944,5.053840000,-0.013576944
2015-12-30 06:00,5.040660833,-0.013526667,5.040660833,-0.013526667
2015-12-30 05:00,5.070166944,-0.013536389,5.070166944,-0.013536389
2015-12-30 04:00,5.081190000,-0.013580278,5.081190000,-0.013580278
2015-12-30 03:00,5.133597778,-0.013583333,5.133597778,-0.013583333
2015-12-30 02:00,5.150534444,-0.013625278,5.150534444,-0.013625278
2015-12-30 01:00,5.143313333,-0.013668611,5.143313333,-0.013668611
2015-12-30 00:00,5.145991389,-0.013650556,5.145991389,-0.013650556
2015-12-29 23:00,5.131700278,-0.013564167,5.131700278,-0.013564167
2015-12-29 22:00,5.151686111,-0.013563611,5.151686111,-0.013563611
2015-12-29 21:00,5.141696944,-0.013519722,5.141696944,-0.013519722
2015-12-29 20:00,5.248655278,-0.013550000,5.248655278,-0.013550000
2015-12-29 19:00,5.217718889,-0.013546111,5.217718889,-0.013546111
2015-12-29 18:00,5.266913611,-0.018870000,5.266913611,-0.018870000
2015-12-29 17:00,5.145293056,0.154437222,5.145293056,0.154437222
2015-12-29 16:00,5.258281944,0.923358056,5.258281944,0.923358056
2015-12-29 15:00,4.743685000,1.409808889,4.743685000,1.409808889
2015-12-29 14:00,4.867766944,1.589355833,4.867766944,1.589355833
2015-12-29 13:00,4.695974167,1.347269722,4.695974167,1.347269722
2015-12-29 12:00,4.783553611,0.921341111,4.783553611,0.921341111
2015-12-29 11:00,4.715315556,0.942689444,4.715315556,0.942689444
2015-12-29 10:00,4.657676389,0.463098056,4.657676389,0.463098056
2015-12-29 09:00,5.974199722,0.029213333,5.974199722,0.029213333
2015-12-29 08:00,5.346473611,-0.013415556,5.346473611,-0.013415556
2015-12-29 07:00,5.026431944,-0.013718611,5.026431944,-0.013718611
2015-12-29 06:00,5.071166944,-0.013581667,5.071166944,-0.013581667
2015-12-29 05:00,5.095670278,-0.013620556,5.095670278,-0.013620556
2015-12-29 04:00,5.043755278,-0.013596111,5.043755278,-0.013596111
2015-12-29 03:00,5.122671667,-0.013656944,5.122671667,-0.013656944
2015-12-29 02:00,5.140215556,-0.013693889,5.140215556,-0.013693889
2015-12-29 01:00,5.100800278,-0.013669722,5.100800278,-0.013669722
2015-12-29 00:00,5.106224167,-0.013623611,5.106224167,-0.013623611
2015-12-28 23:00,5.100349444,-0.013643056,5.100349444,-0.013643056
2015-12-28 22:00,5.110242778,-0.013565278,5.110242778,-0.013565278
2015-12-28 21:00,5.104428889,-0.013466944,5.104428889,-0.013466944
2015-12-28 20:00,5.183744167,-0.013573889,5.183744167,-0.013573889
2015-12-28 19:00,5.176380000,-0.013527778,5.176380000,-0.013527778
2015-12-28 18:00,5.455039444,-0.019022222,5.455039444,-0.019022222
