Date & Time,Usage [kW],Generation [kW],Panel A [kW],Household [kW],Solar Array 1 and 2 [kW],Panel B [kW],Panel B Net [kW],Grid [kW],Air Handler 1 [kW],Heat Pump [kW],Hot Tub [kW],Well [kW],Solar Array 3 [kW],Solar Array 3+ [kW],Solar Sub Panel [kW],Solar Sub Panel+ [kW],Car [kW],Ground Array [kW],Ground Array+ [kW],Panel A Net [kW],Grid [kW]
12/31/2015 23:00,12.93012278,-0.015937222,-2.192558889,-2.741712222,-0.009363889,-10.71327333,-10.72541861,12.93012278,-0.332050556,-9.623706389,-0.179281944,-0.039599167,-0.002781389,0,-0.012145278,0,0.002164722,-0.003791944,0,-2.204704167,12.94606
12/31/2015 22:00,15.19899472,-0.015837778,-2.238786111,-2.804026111,-0.0094,-12.93579639,-12.9480025,15.19899472,-0.356539722,-11.78294722,-0.179057778,-0.064066389,-0.002806111,0,-0.012206111,0,0.003480278,-0.003631667,0,-2.250992222,15.2148325
12/31/2015 21:00,13.05671528,-0.016048611,-2.785929444,-2.776370833,-0.009349722,-10.24648083,-10.25863333,13.05671528,-0.132936389,-9.386373056,-0.70721,-0.039666944,-0.002802778,0,-0.0121525,0,0.001890556,-0.003896111,0,-2.798081944,13.07276389
12/31/2015 20:00,10.90359222,-0.016328889,-2.870789444,-2.702450556,-0.009405833,-8.008411111,-8.020606944,10.90359222,-0.340393889,-7.050603611,-0.741862222,-0.052595833,-0.00279,0,-0.012195833,0,0.000642778,-0.004133056,0,-2.882985278,10.91992111
12/31/2015 19:00,6.901486111,-0.016698056,-1.979294444,-2.559953611,-0.009438333,-4.897771111,-4.909981389,6.901486111,-0.373441944,-3.920448333,-0.012926389,-0.0168175,-0.002771944,0,-0.012210278,0,-0.001200278,-0.004487778,0,-1.991504722,6.918184167
12/31/2015 18:00,8.700439722,-0.016888611,-2.679528889,-2.514306944,-0.009565,-5.996204722,-6.008557778,8.700439722,-0.570348889,-4.918059167,-0.668081389,-0.012237222,-0.002788056,0,-0.012353056,0,-0.0005175,-0.004535556,0,-2.691881944,8.717328333
12/31/2015 17:00,6.423220556,0.078942222,-2.519973333,-2.421495,0.004145278,-3.840748056,-3.828939167,6.337103611,-0.288467222,-3.011781944,-0.640536111,-0.051971667,0.007663611,0.008757778,0.011808889,0.017438611,-0.001793889,0.067133333,0.068678333,-2.508164444,6.344278334
12/31/2015 16:00,5.863033056,1.811347778,-1.777676944,-2.141758889,0.248045,-2.903688333,-2.588848333,4.051685278,-0.389026667,-3.165151111,-0.1295075,-0.035253333,0.066795,0.066795,0.31484,0.31484,-0.002335556,1.496507778,1.496507778,-1.462836944,4.051685278
12/31/2015 15:00,5.621312222,5.359859722,-2.019883056,-2.169440833,0.421539167,0.503388333,1.130909444,0.2614525,-0.343906111,-2.593381111,-0.466245833,-0.0443825,0.205981944,0.205981944,0.627521111,0.627521111,-0.003955833,4.732338611,4.732338611,-1.392361944,0.2614525
12/31/2015 14:00,4.352168333,7.066702778,-2.134942222,-2.246562222,0.433813611,2.869113889,3.859295278,-2.714534444,-0.219333056,-1.163064444,-0.640413333,-0.077513333,0.556367778,0.556367778,0.990181389,0.990181389,-0.005281944,6.076521389,6.076521389,-1.144760833,-2.714534445
12/31/2015 13:00,6.570621111,7.356420278,-2.264800556,-2.1692675,0.35062,0.671124722,1.860862222,-0.785799167,-0.350329167,-3.184608056,-0.8042825,-0.057826389,0.8391175,0.8391175,1.1897375,1.1897375,-0.0043075,6.166682778,6.166682778,-1.075063056,-0.785799167
12/31/2015 12:00,3.782347222,6.199206389,-2.701533889,-1.98853,0.235300278,2.898361389,4.008377222,-2.416859167,-0.146623333,-0.313564444,-1.288759444,-0.039946667,0.874715556,0.874715556,1.110015833,1.110015833,-0.004923333,5.089190556,5.089190556,-1.591518056,-2.416859167
12/31/2015 11:00,4.064381111,1.441526944,-1.465699167,-1.934988333,0.048421667,-1.717489444,-1.437322222,2.622854167,-0.215121944,-1.714548056,-0.161511111,-0.035331111,0.231745556,0.231745556,0.280167222,0.280167222,-0.002880556,1.161359722,1.161359722,-1.185531944,2.622854167
12/31/2015 10:00,2.196777778,0.793761944,-1.557011944,-1.905978611,0.019206944,-0.135948333,0.009023889,1.403015833,-0.060075833,-0.003246667,-0.184056389,-0.039888611,0.125765278,0.125765278,0.144972222,0.144972222,-0.003531667,0.648789722,0.648789722,-1.412039722,1.403015834
12/31/2015 9:00,6.592318611,0.327412222,-1.815343333,-1.9418875,-0.000263056,-4.552395278,-4.500979167,6.264906389,-0.413321944,-3.738800833,-0.452543889,-0.044441389,0.051679167,0.051679167,0.051416111,0.051416111,-0.001323056,0.275996111,0.275996111,-1.763927222,6.264906389
12/31/2015 8:00,10.13288417,0.016068611,-1.696293611,-1.819893611,-0.008678333,-8.396758056,-8.403720556,10.10697667,-0.643255,-5.964205278,-0.455079722,-0.021497778,0.001715833,0.0032525,-0.0069625,0.001166111,-1.219113889,0.023031111,0.024741389,-1.703256111,10.11681556
12/31/2015 7:00,10.30707194,-0.015801111,-2.970714444,-1.731345833,-0.009091111,-7.312621944,-7.324489722,10.30707194,-0.641961389,-5.872473889,-1.8086925,-0.007693889,-0.002776667,0,-0.011867778,0,-0.229103333,-0.003933333,0,-2.982582222,10.32287306
12/31/2015 6:00,6.533108611,-0.015964444,-1.374964444,-1.805965833,-0.008956944,-5.134671944,-5.146408056,6.533108611,-0.478863056,-3.720913611,-0.182218056,-0.026087778,-0.002779167,0,-0.011736111,0,-0.303095833,-0.004228333,0,-1.386700556,6.549073055
12/31/2015 5:00,4.415074722,-0.015930278,-1.271390833,-1.704072222,-0.008763611,-3.120608889,-3.132146389,4.415074722,-0.258873333,-1.8659725,-0.183924444,-0.026126667,-0.002773889,0,-0.0115375,0,-0.360175278,-0.004392778,0,-1.282928333,4.431005
12/31/2015 4:00,5.698973889,-0.015714444,-1.340687778,-1.703954722,-0.0087,-4.335347222,-4.346816667,5.698973889,-0.328371944,-3.429809722,-0.18422,-0.035380278,-0.002769444,0,-0.011469444,0,-0.001522778,-0.004245,0,-1.352157222,5.714688333
12/31/2015 3:00,10.74686333,-0.015556667,-1.471689167,-1.859934167,-0.008859444,-9.251850278,-9.263512222,10.74686333,-0.515045556,-7.146787778,-0.183326389,-0.007733611,-0.0028025,0,-0.011661944,0,-1.018479167,-0.003894722,0,-1.483351111,10.76242
12/31/2015 2:00,12.67791833,-0.015907778,-3.144789167,-1.952764167,-0.008991944,-9.509495833,-9.5213125,12.67791833,-0.233550833,-4.102100556,-1.813743611,-0.033688889,-0.002824722,0,-0.011816667,0,-4.5261625,-0.004091111,0,-3.156605833,12.69382611
12/31/2015 1:00,8.982882778,-0.016234167,-1.7913725,-1.979840833,-0.009015278,-7.167901944,-7.179706111,8.982882778,-0.0604225,-1.199682778,-0.183199444,-0.039862778,-0.002788889,0,-0.011804167,0,-5.503640278,-0.00443,0,-1.803176667,8.999116945
12/31/2015 0:00,5.155410556,-0.0161275,-1.870631944,-2.255269444,-0.008939722,-3.261409167,-3.273093889,5.155410556,-0.22337,-2.443141111,-0.184620833,-0.030789722,-0.002745,0,-0.011684722,0,-0.002091944,-0.004442778,0,-1.882316667,5.171538056
12/30/2015 23:00,7.249820278,-0.015930556,-2.578771389,-2.982391667,-0.008964444,-4.647659444,-4.659354167,7.249820278,-0.344212222,-3.682674722,-0.183225278,-0.040045278,-0.002730278,0,-0.011694722,0,-0.001340556,-0.004235833,0,-2.590466111,7.265750834
12/30/2015 22:00,7.491371111,-0.016114722,-2.5085725,-2.850394444,-0.009131667,-4.959054722,-4.970926667,7.491371111,-0.341996111,-3.992163611,-0.1823925,-0.107121389,-0.002740278,0,-0.011871944,0,-0.001188333,-0.004242778,0,-2.520444444,7.507485833
12/30/2015 21:00,4.448668611,-0.016458611,-2.061611111,-2.712702778,-0.009113056,-2.363293056,-2.375175278,4.448668611,-0.170702222,-1.482473333,-0.034929167,-0.028811667,-0.002769167,0,-0.011882222,0,-0.002590833,-0.004576389,0,-2.073493333,4.465127222
12/30/2015 20:00,6.085276389,-0.016344167,-2.662796944,-2.310610556,-0.00915,-3.398645,-3.410562222,6.085276389,-0.319698889,-2.454810833,-0.93747,-0.044380556,-0.002767222,0,-0.011917222,0,-0.001961389,-0.004426944,0,-2.674714167,6.101620556
12/30/2015 19:00,4.165103889,-0.016545,-1.702359444,-2.377058056,-0.009171389,-2.438848889,-2.450796667,4.165103889,-0.192551944,-1.523557222,-0.013053889,-0.039805278,-0.002776389,0,-0.011947778,0,-0.0025325,-0.004597222,0,-1.714307222,4.181648889
12/30/2015 18:00,6.479450833,-0.016366111,-2.468310556,-2.143297778,-0.009206389,-3.987165833,-3.999153056,6.479450833,-0.383875278,-2.9657875,-0.928685556,-0.039685278,-0.002780833,0,-0.011987222,0,-0.001753333,-0.004378889,0,-2.480297778,6.495816944
12/30/2015 17:00,4.1664875,-0.003216944,-1.372033611,-1.835609722,-0.009033333,-2.764343611,-2.774643056,4.156976111,-0.213477222,-2.044938333,-0.013050278,-0.0444175,-0.001266111,0.000623333,-0.010299444,0,-0.002266111,0.0070825,0.009511389,-1.382333056,4.169704444
12/30/2015 16:00,7.6192325,0.195932778,-2.384916389,-2.020364444,-0.005606111,-5.083126389,-5.060686389,7.423162778,-0.417764722,-4.248236389,-0.896349444,-0.035308056,0.028046111,0.028046111,0.02244,0.022576944,-0.0010725,0.173492778,0.173492778,-2.362476389,7.423299722
