Date & Time,use [kW],gen [kW],Central Inverter.Generation [kW],TenK.Generation [kW],Central Inverter.Usage [kW],TenK.Usage [kW],Micro Inverter.Generation [kW],Micro Inverter.Usage [kW],PVPowered  [kW],PVPowered + [kW],Enphase [kW],Enphase+ [kW],TenK [kW],TenK+ [kW],Grid [kW]
12/31/2015 23:00,0,-0.026535278,-0.00381,-0.010871667,0.00381,0.010871667,-0.011853611,19981.1364,-19981.14021,0,-0.011853611,0,-0.010871667,0,0.026535278
12/31/2015 22:00,0,-0.0265425,-0.003830556,-0.010865278,0.003830556,0.010865278,-0.011846667,19981.15206,-19981.15589,0,-0.011846667,0,-0.010865278,0,0.0265425
12/31/2015 21:00,0,-0.026411667,-0.0038175,-0.010813889,0.0038175,0.010813889,-0.011780278,19981.16767,-19981.17148,0,-0.011780278,0,-0.010813889,0,0.026411667
12/31/2015 20:00,0,-0.026612222,-0.003860278,-0.010869722,0.003860278,0.010869722,-0.011882222,19981.18337,-19981.18723,0,-0.011882222,0,-0.010869722,0,0.026612222
12/31/2015 19:00,0,-0.026528611,-0.003846111,-0.010841944,0.003846111,0.010841944,-0.011840556,19981.19907,-19981.20291,0,-0.011840556,0,-0.010841944,0,0.026528611
12/31/2015 18:00,0,-0.0264025,-0.003863056,-0.010786944,0.003863056,0.010786944,-0.0117525,19981.21467,-19981.21853,0,-0.0117525,0,-0.010786944,0,0.0264025
12/31/2015 17:00,0,-0.037364444,-0.01698,-0.010739722,0.01698,0.010772778,-0.009644722,19981.22817,-19981.24515,0,-0.009644722,0,-0.010739722,0.000033056,0.037364444
12/31/2015 16:00,0,0.175236389,-0.027174167,0.181204722,0.027174167,0.00163,0.021205833,19981.24643,-19981.2736,0,0.021205833,0.022478889,0.181204722,0.182834722,-0.175236389
12/31/2015 15:00,0,0.260415833,-0.023143611,0.251059722,0.023143611,0,0.032499722,19981.2736,-19981.29674,0,0.032499722,0.032499722,0.251059722,0.251059722,-0.260415833
12/31/2015 14:00,0,0.615756389,-0.013141667,0.548246944,0.013141667,0,0.080651111,19981.29674,-19981.30989,0,0.080651111,0.080651111,0.548246944,0.548246944,-0.615756389
