DateTime,Load(MW),Ambient Temperature (C),PV(MW)
1/1/2019 12:00:00 AM,25457.519999999997,2,-0.9570000000000001
1/1/2019 1:00:00 AM,24341.428999999996,2,-0.966
1/1/2019 2:00:00 AM,23409.071000000004,1,-0.983
1/1/2019 3:00:00 AM,22785.869,1,-0.956
1/1/2019 4:00:00 AM,22584.078999999998,1,-0.9540000000000001
1/1/2019 5:00:00 AM,22864.420000000002,1,-0.968
1/1/2019 6:00:00 AM,23395.255999999998,1,-0.963
1/1/2019 7:00:00 AM,23677.856999999996,2,0.812
1/1/2019 8:00:00 AM,24214.039999999994,4,27.384
1/1/2019 9:00:00 AM,25200.511,6,57.69
1/1/2019 10:00:00 AM,26137.756999999998,7,104.882
1/1/2019 11:00:00 AM,26651.298,8,132.895
1/1/2019 12:00:00 PM,26459.483999999997,8,206.99099999999999
1/1/2019 1:00:00 PM,26251.365000000005,8,249.361
1/1/2019 2:00:00 PM,26473.052,8,133.285
1/1/2019 3:00:00 PM,27038.928999999996,7,64.673
1/1/2019 4:00:00 PM,28685.602,5,10.157
1/1/2019 5:00:00 PM,31094.932999999994,5,1.632
1/1/2019 6:00:00 PM,31226.813999999995,6,1.515
1/1/2019 7:00:00 PM,30971.602,5,1.51
1/1/2019 8:00:00 PM,30354.774999999998,4,1.5130000000000001
1/1/2019 9:00:00 PM,29238.396000000008,3,1.4980000000000002
1/1/2019 10:00:00 PM,27565.611999999997,2,1.496
1/1/2019 11:00:00 PM,25972.327999999994,2,1.495
1/2/2019 12:00:00 AM,24899.414,2,1.5090000000000001
1/2/2019 1:00:00 AM,24356.369999999995,2,1.4809999999999999
1/2/2019 2:00:00 AM,24217.626999999997,3,1.5
1/2/2019 3:00:00 AM,24542.726000000002,3,1.482
1/2/2019 4:00:00 AM,25467.844,4,1.466
1/2/2019 5:00:00 AM,27755.814999999995,4,1.474
1/2/2019 6:00:00 AM,31082.910000000003,4,1.508
1/2/2019 7:00:00 AM,33036.05700000001,5,5.526
1/2/2019 8:00:00 AM,33111.221999999994,5,52.765
1/2/2019 9:00:00 AM,32950.247,6,122.171
1/2/2019 10:00:00 AM,32854.498999999996,6,180.96
1/2/2019 11:00:00 AM,32588.103000000003,7,205.982
1/2/2019 12:00:00 PM,32327.429999999993,7,197.982
1/2/2019 1:00:00 PM,32571.961999999996,7,136.826
1/2/2019 2:00:00 PM,32648.901,7,91.419
1/2/2019 3:00:00 PM,32992.16499999999,6,39.65
1/2/2019 4:00:00 PM,34462.496,5,3.3989999999999996
1/2/2019 5:00:00 PM,36262.684,5,-0.9570000000000001
1/2/2019 6:00:00 PM,36115.26000000001,5,-0.937
1/2/2019 7:00:00 PM,35496.75399999999,5,-0.935
1/2/2019 8:00:00 PM,34581.369999999995,4,-0.9229999999999999
1/2/2019 9:00:00 PM,32909.805,4,-0.9670000000000001
1/2/2019 10:00:00 PM,30520.251000000004,4,-0.9670000000000001
1/2/2019 11:00:00 PM,28340.727,4,-0.94
1/3/2019 12:00:00 AM,26813.369,5,-0.977
1/3/2019 1:00:00 AM,25893.925000000007,5,-0.9840000000000001
1/3/2019 2:00:00 AM,25470.290000000005,5,-0.9490000000000001
1/3/2019 3:00:00 AM,25417.264000000003,5,-0.9890000000000001
1/3/2019 4:00:00 AM,26083.216000000008,5,-0.9570000000000001
1/3/2019 5:00:00 AM,27939.903,5,-0.929
1/3/2019 6:00:00 AM,31130.200999999997,5,-0.956
1/3/2019 7:00:00 AM,32901.238000000005,5,1.514
1/3/2019 8:00:00 AM,32958.902,6,31.766
1/3/2019 9:00:00 AM,32750.487999999998,8,84.417
1/3/2019 10:00:00 AM,32652.112,10,115.73299999999999
1/3/2019 11:00:00 AM,32493.525000000005,11,157.097
1/3/2019 12:00:00 PM,32128.001999999997,12,170.75799999999998
1/3/2019 1:00:00 PM,32106.980000000003,13,140.49200000000002
1/3/2019 2:00:00 PM,31953.731000000007,14,110.73299999999999
1/3/2019 3:00:00 PM,32158.982000000004,12,63.57
1/3/2019 4:00:00 PM,33698.352999999996,11,8.411
1/3/2019 5:00:00 PM,36074.701,11,-0.986
1/3/2019 6:00:00 PM,36340.765999999996,11,-0.924
1/3/2019 7:00:00 PM,36082.939,11,-0.965
1/3/2019 8:00:00 PM,35406.732,11,-0.943
1/3/2019 9:00:00 PM,34072.004,11,-0.9570000000000001
1/3/2019 10:00:00 PM,32044.110999999994,11,-0.998
1/3/2019 11:00:00 PM,30240.206,11,-0.9890000000000001
1/4/2019 12:00:00 AM,28948.81000000001,11,-1.003
1/4/2019 1:00:00 AM,28288.272,10,-1.0170000000000001
1/4/2019 2:00:00 AM,28107.367,10,-0.9890000000000001
1/4/2019 3:00:00 AM,28274.692,10,-1.0170000000000001
1/4/2019 4:00:00 AM,29154.797,10,-1.016
1/4/2019 5:00:00 AM,31285.139,10,-1.002
1/4/2019 6:00:00 AM,34452.516,10,-1.013
1/4/2019 7:00:00 AM,36066.839,11,5.545
1/4/2019 8:00:00 AM,35694.238999999994,12,64.056
1/4/2019 9:00:00 AM,34894.428,13,148.81
1/4/2019 10:00:00 AM,34080.12999999999,14,205.74900000000002
1/4/2019 11:00:00 AM,33238.473,15,249.208
1/4/2019 12:00:00 PM,32686.117999999995,16,207.105
1/4/2019 1:00:00 PM,32638.705,16,135.756
1/4/2019 2:00:00 PM,32526.194000000007,15,69.133
1/4/2019 3:00:00 PM,32737.315,14,27.747
1/4/2019 4:00:00 PM,33851.53,12,1.74
1/4/2019 5:00:00 PM,35313.17399999999,11,-0.978
1/4/2019 6:00:00 PM,34894.331999999995,10,-0.912
1/4/2019 7:00:00 PM,34048.631,9,-0.9590000000000001
1/4/2019 8:00:00 PM,33030.366,8,-0.934
1/4/2019 9:00:00 PM,31771.026999999995,8,-0.915
1/4/2019 10:00:00 PM,29971.101,8,-0.948
1/4/2019 11:00:00 PM,28173.396999999997,8,-0.9670000000000001
1/5/2019 12:00:00 AM,26532.301000000003,8,-0.934
1/5/2019 1:00:00 AM,25563.932000000004,9,-0.971
1/5/2019 2:00:00 AM,24955.568999999996,9,-0.9470000000000001
1/5/2019 3:00:00 AM,24659.255,9,-0.9940000000000001
1/5/2019 4:00:00 AM,24765.029000000002,9,-0.955
1/5/2019 5:00:00 AM,25393.538,9,-0.941
1/5/2019 6:00:00 AM,26471.572,9,-0.961
1/5/2019 7:00:00 AM,27712.789000000004,9,1.4140000000000001
1/5/2019 8:00:00 AM,28903.681999999997,9,17.198
1/5/2019 9:00:00 AM,29969.103,10,32.135
1/5/2019 10:00:00 AM,30644.575999999997,10,51.934
1/5/2019 11:00:00 AM,30765.088,11,70.078
1/5/2019 12:00:00 PM,30597.163000000004,11,67.742
1/5/2019 1:00:00 PM,30338.316999999995,11,98.51700000000001
1/5/2019 2:00:00 PM,30053.743,10,87.39200000000001
1/5/2019 3:00:00 PM,29746.217000000004,9,26.98
1/5/2019 4:00:00 PM,30379.078999999998,8,8.83
1/5/2019 5:00:00 PM,32187.694000000003,7,-1.008
1/5/2019 6:00:00 PM,32311.736999999997,7,-0.934
1/5/2019 7:00:00 PM,31854.947000000004,6,-0.9690000000000001
1/5/2019 8:00:00 PM,31288.969,5,-0.95
1/5/2019 9:00:00 PM,30370.776,4,-0.9540000000000001
1/5/2019 10:00:00 PM,29116.732999999993,3,-0.963
1/5/2019 11:00:00 PM,27673.849000000002,2,-0.976
1/6/2019 12:00:00 AM,26316.103,2,-0.978
1/6/2019 1:00:00 AM,25398.396999999997,1,-0.9740000000000001
1/6/2019 2:00:00 AM,24945.984999999997,1,-0.9740000000000001
1/6/2019 3:00:00 AM,24790.965999999997,0,-1.006
1/6/2019 4:00:00 AM,24916.311999999998,0,-0.977
1/6/2019 5:00:00 AM,25463.396000000004,0,-0.956
1/6/2019 6:00:00 AM,26312.604999999996,0,-0.986
1/6/2019 7:00:00 AM,27265.661999999997,0,2.66
1/6/2019 8:00:00 AM,28017.342,1,70.206
1/6/2019 9:00:00 AM,28532.585000000003,2,146.111
1/6/2019 10:00:00 AM,28571.067999999992,3,224.472
1/6/2019 11:00:00 AM,27964.27,4,340.47
1/6/2019 12:00:00 PM,27452.455999999995,4,376.33
1/6/2019 1:00:00 PM,27237.863,4,384.135
1/6/2019 2:00:00 PM,27368.635,3,299.379
1/6/2019 3:00:00 PM,27986.963,2,139.994
1/6/2019 4:00:00 PM,29638.410999999996,0,19.977
1/6/2019 5:00:00 PM,32348.137,-1,-0.99
1/6/2019 6:00:00 PM,33049.13799999999,-2,-0.94
1/6/2019 7:00:00 PM,32798.274,-2,-0.9390000000000001
1/6/2019 8:00:00 PM,32625.448,-3,-0.945
1/6/2019 9:00:00 PM,31621.981999999996,-4,-0.95
1/6/2019 10:00:00 PM,30043.866000000005,-4,-0.968
