DateTime,Load(MW),Ambient Temperature (C),PV(MW)
1/1/2019 12:00:00 AM,9088.189,5,-0.773
1/1/2019 1:00:00 AM,8684.294,5,-0.807
1/1/2019 2:00:00 AM,8323.87,6,-0.7340000000000001
1/1/2019 3:00:00 AM,8164.973000000001,6,-0.8029999999999999
1/1/2019 4:00:00 AM,8126.982,6,-0.8009999999999999
1/1/2019 5:00:00 AM,8273.913,7,-0.799
1/1/2019 6:00:00 AM,8469.216,7,-0.731
1/1/2019 7:00:00 AM,8619.65,7,6.226
1/1/2019 8:00:00 AM,8758.063,7,55.456
1/1/2019 9:00:00 AM,9161.13,9,130.905
1/1/2019 10:00:00 AM,9452.693000000001,10,202.31599999999997
1/1/2019 11:00:00 AM,9583.261999999999,11,273.32099999999997
1/1/2019 12:00:00 PM,9517.417,11,231.079
1/1/2019 1:00:00 PM,9568.256,11,164.612
1/1/2019 2:00:00 PM,9573.961,10,113.631
1/1/2019 3:00:00 PM,9662.869,9,63.426
1/1/2019 4:00:00 PM,10009.888,7,16.875
1/1/2019 5:00:00 PM,10911.42,6,-0.818
1/1/2019 6:00:00 PM,11000.56,5,-0.8640000000000001
1/1/2019 7:00:00 PM,10891.08,4,-0.8320000000000001
1/1/2019 8:00:00 PM,10718.838,3,-0.885
1/1/2019 9:00:00 PM,10350.834,3,-0.773
1/1/2019 10:00:00 PM,9853.355,2,-0.77
1/1/2019 11:00:00 PM,9366.895,1,-0.8390000000000001
1/2/2019 12:00:00 AM,9080.596,1,-0.732
1/2/2019 1:00:00 AM,8919.886,0,-0.802
1/2/2019 2:00:00 AM,8997.021999999999,0,-0.7659999999999999
1/2/2019 3:00:00 AM,9186.951,0,-0.736
1/2/2019 4:00:00 AM,9565.748,0,-0.9229999999999999
1/2/2019 5:00:00 AM,10417.153,0,-0.784
1/2/2019 6:00:00 AM,11463.406,0,-0.785
1/2/2019 7:00:00 AM,12021.22,0,3.9560000000000004
1/2/2019 8:00:00 AM,12066.87,0,44.563
1/2/2019 9:00:00 AM,11989.572,0,65.07600000000001
1/2/2019 10:00:00 AM,11906.07,0,119.221
1/2/2019 11:00:00 AM,11838.321000000002,0,189.704
1/2/2019 12:00:00 PM,11728.028999999999,0,166.52900000000002
1/2/2019 1:00:00 PM,11677.556999999999,1,170.669
1/2/2019 2:00:00 PM,11578.303,1,123.12100000000001
1/2/2019 3:00:00 PM,11713.268999999998,1,79.987
1/2/2019 4:00:00 PM,12131.809,1,12.065999999999999
1/2/2019 5:00:00 PM,12839.896999999999,0,-0.7859999999999999
1/2/2019 6:00:00 PM,12823.815,0,-0.774
1/2/2019 7:00:00 PM,12653.409,0,-0.773
1/2/2019 8:00:00 PM,12338.827,0,-0.8079999999999999
1/2/2019 9:00:00 PM,11725.813999999998,0,-0.737
1/2/2019 10:00:00 PM,11022.148000000001,0,-0.943
1/2/2019 11:00:00 PM,10378.030999999999,-1,-0.772
1/3/2019 12:00:00 AM,9900.216,-1,-0.77
1/3/2019 1:00:00 AM,9678.226,-2,-0.7340000000000001
1/3/2019 2:00:00 AM,9570.796999999999,-2,-0.792
1/3/2019 3:00:00 AM,9581.105,-2,-0.8079999999999999
1/3/2019 4:00:00 AM,9898.245,-2,-0.648
1/3/2019 5:00:00 AM,10575.1,-3,-0.951
1/3/2019 6:00:00 AM,11509.538999999999,-3,-0.738
1/3/2019 7:00:00 AM,11973.431,-2,0.21899999999999997
1/3/2019 8:00:00 AM,11853.222,-1,14.366
