Net,Temperature
9844.200268,5.0
9653.456269,5.0
9502.299659,4.0
9474.478036,4.0
9554.370489,3.0
9741.106981,3.0
9867.968014,2.0
9723.841373899999,3.0
9083.8622375,5.0
8730.377668,8.0
8589.985782000002,10.0
8506.423162000001,11.0
8457.79001,11.0
8489.951887000001,12.0
8685.813098,11.0
9133.860049,10.0
9921.4953772,8.0
11216.552029999999,5.0
11355.27173,4.0
11193.94964,3.0
10976.15493,3.0
10684.95105,2.0
10240.35385,1.0
9740.2865,1.0
9309.724694,0.0
9044.786234000001,0.0
8910.154863,0.0
8914.614287,0.0
9093.417104,-1.0
9506.316925,-1.0
10003.93979,-1.0
10100.252702400001,0.0
9448.6800291,1.0
8960.471433,4.0
8598.681059999999,6.0
8229.439231,7.0
8114.202309,7.0
8171.860183000001,8.0
8379.226815,8.0
9249.524556,7.0
9695.0236834,4.0
10757.82606,2.0
10763.74192,1.0
10553.47933,0.0
10373.87487,0.0
10029.11946,0.0
9584.856238,0.0
9083.5905,0.0
8693.03911,0.0
8512.326715000001,-1.0
8431.733642000001,-1.0
8383.964019,-1.0
8435.10942,-1.0
8597.553785,-1.0
8870.820687000001,-1.0
9126.13823681,0.0
8630.6989667,1.0
8134.401551,3.0
8436.043533999999,5.0
8334.712032,6.0
7763.0807540000005,7.0
7670.8781690000005,8.0
7703.749367,8.0
8532.751348000002,7.0
8563.2026963,5.0
9608.249604999999,2.0
10323.78513,2.0
10438.36805,2.0
10466.61731,1.0
10381.05348,1.0
10137.06181,2.0
9809.0049,2.0
9480.989525,3.0
9293.837293,4.0
9185.799533,4.0
9155.722362,5.0
9220.453329,6.0
9363.688718000001,6.0
9605.961940000001,6.0
9750.678507777,8.0
9729.794089399998,11.0
9763.0719211,13.0
9708.5211996,14.0
8677.205918,15.0
8710.8442034,16.0
8051.452168,16.0
8010.950830000001,16.0
9085.045992899999,15.0
9394.214066637,14.0
10171.33515,13.0
10933.5407,13.0
11182.26434,12.0
11216.252359999999,12.0
11088.97667,12.0
10744.59257,11.0
10357.2606,11.0
10185.977990000001,12.0
10118.96673,12.0
10183.88453,13.0
10382.15995,13.0
10806.55017,14.0
11624.20212,14.0
12564.97468,14.0
12877.74177928,15.0
12437.698700399998,16.0
11547.808991,18.0
10778.266771,19.0
10101.425214,20.0
10462.060153,21.0
9896.767960000001,21.0
10237.328663799999,21.0
10379.7571242,20.0
9929.711981999999,19.0
11170.89852,17.0
11998.56912,16.0
12179.529690000001,15.0
12167.80983,15.0
11834.578459999999,15.0
11248.78305,15.0
10663.8541,14.0
10311.61425,14.0
10153.9553,14.0
10107.5041,14.0
10198.666940000001,15.0
10535.15158,16.0
11337.832359999999,16.0
12340.06432,16.0
12323.99656635,16.0
11168.6207787,18.0
10119.394253,20.0
9241.680425,21.0
8537.142233999999,22.0
9597.2925954,23.0
8489.098701,23.0
7994.175948000001,22.0
8361.304422,21.0
8984.2952723,20.0
10094.84125,18.0
10670.468,17.0
10724.365759999999,17.0
10665.86485,17.0
10378.51896,16.0
9852.748872,16.0
9321.8114,17.0
8991.474419,17.0
8864.337043000001,17.0
8803.160481,17.0
8848.088676000001,17.0
9153.717875,17.0
9899.888593000001,17.0
10824.22635,17.0
10955.91619807,17.0
10732.141438499999,19.0
10511.346939300001,20.0
9092.198927,21.0
9762.763147,22.0
9670.043594499999,22.0
9420.995894,22.0
9715.0241534,21.0
10160.488351799999,20.0
