Net,Temperature
2078.0600210000002,8.0
2057.993265,8.0
2039.0195420000002,8.0
2027.4313120000002,7.0
2026.809889,7.0
2037.216005,6.0
2039.167452,5.0
2062.566557,6.0
2057.9990073400004,8.0
1961.5703093999996,11.0
1848.5636926000002,15.0
1801.5191559999998,19.0
1808.4795267999998,21.0
1784.8505211000002,22.0
1758.461965,22.0
1813.2200303999998,22.0
1901.7088949,20.0
2025.3099643600003,18.0
2120.138957,16.0
2115.143903,15.0
2102.261157,13.0
2076.241373,12.0
2030.614119,12.0
1984.1708,11.0
1950.034507,9.0
1920.293688,9.0
1914.835239,8.0
1914.72421,8.0
1917.103241,7.0
1943.4660829999998,6.0
1968.817201,5.0
2007.6072170000002,5.0
1923.8520584500002,7.0
1837.9900066999999,11.0
1775.0825234999998,15.0
1709.8113933000002,17.0
1626.3154995999998,18.0
1574.0043815,19.0
1555.0887403,19.0
1584.6944335,18.0
1642.5319306000001,16.0
1728.4171024400002,13.0
1813.423491,12.0
1814.2136309999999,11.0
1770.966396,10.0
1717.1557030000001,9.0
1680.104674,8.0
1660.5895,7.0
1610.548544,6.0
1589.927048,5.0
1587.228482,4.0
1583.524233,4.0
1584.532817,3.0
1615.336789,3.0
1628.815751,2.0
1656.002639,2.0
1617.77019328,4.0
1425.3598339999999,6.0
1227.1753363,7.0
1081.5342592000002,8.0
1049.9634737,9.0
1048.1003007,10.0
1086.82173,11.0
1158.6563746000002,10.0
1306.2994278,9.0
1431.96151483,7.0
1575.8517880000002,5.0
1615.2738669999999,4.0
1623.278963,3.0
1614.284759,1.0
1595.038018,0.0
1575.41871,0.0
1554.482152,0.0
1544.4452039999999,-1.0
1537.937331,-1.0
1539.577528,-2.0
1545.144409,-3.0
1572.679055,-3.0
1601.1068890000001,-4.0
1633.576359,-4.0
1593.2587283300002,-1.0
1451.9686628,1.0
1359.5427739000002,4.0
1296.0971187,7.0
1244.9630623,8.0
1231.1933142999999,9.0
1241.2707974,9.0
1285.9841912999998,9.0
1380.3851154000001,7.0
1525.87665466,3.0
1691.84424,1.0
1750.9665320000001,1.0
1774.38838,0.0
1770.3647489999998,0.0
1733.1925899999999,0.0
1693.5518,0.0
1659.5408810000001,0.0
1655.4583289999998,0.0
1653.716283,-1.0
1667.155947,-1.0
1688.298354,-2.0
1747.4429420000001,-2.0
1832.721122,-3.0
1890.3818850000002,-2.0
1810.8169247699998,0.0
1624.9650691,2.0
1496.204373,6.0
1409.2152341,9.0
1340.1284183,12.0
1312.4808749,14.0
1329.7315116,15.0
1377.5441566000002,14.0
1470.5484417999999,11.0
1597.78851429,7.0
1772.862314,5.0
1819.6324730000001,4.0
1838.31563,3.0
1822.0370079999998,2.0
1773.5849899999998,1.0
1716.52612,0.0
1685.9242149999998,0.0
1682.2418120000002,0.0
1688.457529,0.0
1690.957125,0.0
1705.822945,-1.0
1760.4516600000002,-1.0
1855.468302,-2.0
1911.3396870000001,-1.0
1849.0689122799997,0.0
1677.3771316999998,3.0
1550.9725811,6.0
