Net,Temperature
6731.301662999999,4.0
6602.935629,4.0
6530.663273,4.0
6503.367925,3.0
6603.2278719999995,3.0
6831.094555,3.0
7005.6675700000005,3.0
7106.925301,4.0
6746.0779008,6.0
6570.5141583,8.0
6492.611392999999,11.0
6475.8752509999995,12.0
6436.389692999999,13.0
6433.152134999999,14.0
6464.584123,14.0
6607.8525815,13.0
7009.208024099999,10.0
7711.0614315,7.0
7988.466745999999,5.0
7875.490281,4.0
7730.627720999999,3.0
7484.4776409999995,2.0
7102.441009,1.0
6704.87154,0.0
6372.138698,0.0
6161.6038229999995,0.0
6084.061094,0.0
6085.058531000001,-1.0
6212.516206,-1.0
6532.240788,-1.0
6926.068975,-2.0
7218.827040000001,-1.0
6866.6973823,1.0
6586.0699045,4.0
6352.402764,7.0
6215.569097,9.0
6143.204231000001,11.0
6157.653102,12.0
6275.420504999999,13.0
6541.482438499999,12.0
6958.656025,10.0
7735.91341395,7.0
7940.887304000001,7.0
7816.059192000001,6.0
7684.576895,6.0
7461.587284,5.0
7169.5011620000005,5.0
6727.41053,4.0
6331.827124,4.0
6140.7932009999995,3.0
5993.71188,3.0
5923.126343,3.0
5990.526127,2.0
6144.82301,2.0
6426.035724,2.0
6681.655689,3.0
6777.427135700001,5.0
6752.8641323,9.0
6290.3702051,12.0
5783.1687597,14.0
5208.2452261,15.0
5047.459177899999,16.0
5072.3308467,17.0
4948.6327622,16.0
5058.098437299999,14.0
5374.296685,11.0
5977.604214,11.0
6129.879862,10.0
6172.139566,9.0
6164.102075,8.0
6053.863791,8.0
5865.19771,8.0
5699.6305520000005,7.0
5627.490148,7.0
5626.1066,7.0
5685.195022,7.0
5801.254241,7.0
6016.107504,8.0
6304.3815700000005,8.0
6557.888802,9.0
6307.1918621,11.0
6598.53303777,13.0
6362.343535529999,15.0
6075.099395599999,17.0
5870.3187909,18.0
5679.2485589,18.0
5576.9639222,18.0
5616.11566417,17.0
5473.9249059,16.0
6405.43885266,14.0
7116.435323000001,13.0
7465.721728,12.0
7553.262884999999,12.0
7453.193018000001,11.0
7186.424193000001,11.0
6887.3302,10.0
6770.484778,10.0
6761.617793,10.0
6857.1255439999995,10.0
7054.905827,9.0
7401.677876999999,9.0
8074.30263,8.0
8932.820929000001,8.0
9207.169709,8.0
8786.8020892,10.0
7743.7288215,13.0
6908.7603579999995,16.0
6461.336074,19.0
5792.097557000001,20.0
5420.953034,21.0
5109.343974,20.0
5356.984306799999,19.0
5692.6094932000005,15.0
6566.32729087,11.0
7458.195409,9.0
7685.2203230000005,8.0
7663.062675,7.0
7463.421990000001,6.0
7058.030818000001,5.0
6688.2053,4.0
6439.604153,3.0
6328.307514,3.0
6354.726927000001,2.0
6453.118125999999,2.0
6652.515673,2.0
7227.794492,2.0
7975.633562999999,2.0
8092.623878,4.0
7161.715773000001,7.0
6168.9005447,10.0
