Net,Temperature
1470.8147210000002,6.0
1440.832944,6.0
1430.495044,6.0
1423.806348,6.0
1428.1808230000001,7.0
1447.377052,7.0
1475.987477,7.0
1499.9117019999999,8.0
1478.0418772399998,9.0
1526.56658382,11.0
1510.4799761699999,15.0
1473.74969441,18.0
1393.691407,20.0
1362.3950530999998,21.0
1350.8950042000001,22.0
1416.5838518900002,21.0
1453.29171729,18.0
1513.811405529,15.0
1549.783214,13.0
1528.6110609999998,12.0
1497.14421,9.0
1459.279991,6.0
1407.451888,4.0
1359.0981199999999,2.0
1321.676035,1.0
1305.004365,0.0
1294.49102,0.0
1289.8506869999999,0.0
1302.558121,0.0
1340.307148,0.0
1394.438191,0.0
1440.450535,0.0
1427.7717069300002,0.0
1405.33197945,1.0
1330.1398491,3.0
1292.447213,5.0
1310.0064759,6.0
1320.3585575,7.0
1314.5538520000002,7.0
1386.88149385,6.0
1362.3464124900001,4.0
1455.02214032,2.0
1493.207404,0.0
1473.855922,0.0
1432.307429,0.0
1381.234285,0.0
1312.000559,-1.0
1254.7543699999999,-2.0
1210.75029,-2.0
1186.019212,-3.0
1180.201714,-3.0
1181.308861,-3.0
1188.474535,-3.0
1215.14778,-4.0
1249.39354,-4.0
1294.197807,-4.0
1300.8386349099999,-3.0
1244.8717376,-2.0
1051.2768841000002,0.0
942.8987598,0.0
794.6066572,0.0
823.8910806,1.0
817.9669331,1.0
845.7404106000001,0.0
924.2686498099999,0.0
1035.5665345,-2.0
1138.2255289999998,-3.0
1173.9391380000002,-4.0
1181.684561,-5.0
1181.6122050000001,-5.0
1167.756886,-5.0
1132.34759,-5.0
1085.6327820000001,-5.0
1082.8306949999999,-5.0
1093.207635,-5.0
1104.5364029999998,-5.0
1128.564654,-5.0
1170.764822,-5.0
1225.063721,-5.0
1281.9299460000002,-4.0
1255.7041107399998,-2.0
1162.5472608999999,1.0
1058.612541,3.0
974.3983522000001,4.0
922.8613466000002,5.0
897.3159675999999,6.0
903.5494828999999,7.0
941.5831489000001,6.0
1013.9729402400001,3.0
1158.9585313500002,0.0
1287.76469,0.0
1357.010446,-1.0
1365.2146480000001,-1.0
1349.736269,-1.0
1311.6117789999998,-1.0
1275.9827699999998,-1.0
1259.259217,-1.0
1268.922514,-2.0
1286.515886,-2.0
1311.8475460000002,-2.0
1357.8733029999999,-2.0
1446.855353,-2.0
1583.3060560000001,-2.0
1636.258486,-1.0
1519.90366685,0.0
1367.1034911,3.0
1231.4941315,7.0
1111.9833936,10.0
1020.3882856,13.0
964.5108202,15.0
939.6861900999999,16.0
952.7506026000001,15.0
1016.02649347,12.0
1133.7715049,9.0
1269.05638,8.0
1304.705812,7.0
1309.917607,5.0
1283.4231519999998,4.0
1226.896688,3.0
1168.15189,2.0
1145.8344880000002,1.0
1143.2461349999999,0.0
1151.2308,0.0
1163.817932,0.0
1195.716628,0.0
1271.422826,0.0
1397.898289,0.0
1445.6030119999998,0.0
1335.1207645,3.0
1190.0230482,6.0
1059.3559999,10.0
958.1023183000001,14.0
883.3449395000001,17.0
851.7449735999999,18.0
841.0032485999999,19.0
864.3840424000001,17.0
927.58101162,14.0
1027.0047143000002,10.0
