Demand,Normalized_net,Temperature,DNI,DHI
0.0,0.013267297690632791,-8.272,0.0,0.0
2724.2,0.1669355475580726,-8.113999999999999,0.0,0.0
2622.2,0.16118187253917574,-7.898,0.0,0.0
2614.2,0.16073060391024266,-7.67,0.0,0.0
2622.2,0.16118187253917574,-7.399,0.0,0.0
2637.2,0.16202800121842528,-7.099,0.0,0.0
2618.2,0.1609562382247092,-6.696000000000001,0.1222,2.5722
2687.1,0.16484278929139543,-5.66,2.9968,39.854
2786.0,0.17042159771658075,-4.242,9.5566,87.6452
2893.4,0.17647987906000745,-2.946,16.227,122.1325
2930.3,0.17856135561096131,-1.8019999999999998,19.4843,137.3367
2882.8,0.1758819481266711,-0.9620000000000001,17.5382,131.09
2943.0,0.17927774455939258,-0.5429999999999999,10.7993,103.0013
2949.7,0.17965568203612403,-0.6679999999999999,2.8152,52.0471
2947.8,0.17954850573675246,-1.2570000000000001,0.2277,9.0248
3066.3,0.18623292230282382,-1.868,0.0,0.0001
3155.3,0.19125328579970444,-2.369,0.0,0.0
3141.4,0.19046920655693317,-2.78,0.0,0.0
3130.4,0.1898487121921502,-3.009,0.0,0.0
3107.4,0.18855131488396756,-3.347,0.0,0.0
3020.4,0.1836437685443202,-3.7439999999999998,0.0,0.0
2918.4,0.17789009352542334,-3.9160000000000004,0.0,0.0
2790.4,0.17066979546249395,-4.056,0.0,0.0
2714.4,0.1663827434876296,-4.102,0.0,0.0
2617.4,0.1609111113618159,-4.002,0.0,0.0
2575.4,0.1585419510599172,-3.719,0.0,0.0
2574.4,0.15848554248130056,-3.407,0.0,0.0
2628.4,0.16153160572659891,-3.236,0.0,0.0
2731.4,0.16734168932411242,-3.22,0.0,0.0
2915.4,0.17772086778957344,-3.3360000000000003,0.0,0.0
3020.4,0.1836437685443202,-3.458,0.06,1.9269
3180.3,0.19266350026512033,-3.0639999999999996,2.2642,36.4391
3304.7,0.19968072744502982,-2.204,8.6884,84.4463
3364.7,0.20306524216202798,-1.266,18.2281,121.9412
3389.7,0.2044754566274439,-0.29600000000000004,38.8239,147.9757
3276.1,0.19806744209659405,0.544,51.8059,143.7747
3315.0,0.20026173580478118,0.972,52.8825,119.9257
3340.6,0.20170579541736708,0.623,18.2556,76.6527
3345.6,0.20198783831045025,-0.29600000000000004,0.6922,13.7023
3479.0,0.2095127426979095,-0.415,0.0,0.0
3530.3,0.21240650278094295,-0.35200000000000004,0.0,0.0
3479.4,0.20953530612935617,-0.29,0.0,0.0
3400.4,0.20507902841864192,-0.214,0.0,0.0
3334.4,0.20135606222994393,-0.187,0.0,0.0
3206.4,0.19413576416701453,-0.507,0.0,0.0
3087.4,0.18742314331163484,-0.857,0.0,0.0
2966.4,0.1805977052990219,-1.25,0.0,0.0
2841.4,0.17354663297194237,-1.615,0.0,0.0
2706.4,0.16593147485869653,-1.8159999999999998,0.0,0.0
2632.4,0.16175724004106545,-1.9180000000000001,0.0,0.0
2644.4,0.16243414298446507,-1.874,0.0,0.0
2648.4,0.16265977729893163,-1.8969999999999998,0.0,0.0
2687.4,0.16485971186498044,-1.932,0.0,0.0
2788.4,0.17055697830526068,-2.029,0.0,0.0
2844.4,0.17371585870779227,-2.028,0.1973,3.0857
2984.1,0.18159613714053632,-1.349,7.0107,48.526
3181.7,0.1927424722751836,-0.182,26.2662,101.9712
3205.4,0.1940793555883979,0.792,46.3019,136.4079
3235.6,0.19578289466262028,1.511,53.6182,152.1953
3190.7,0.1932501494827333,1.739,27.9608,140.6111
3180.8,0.19269170455442863,1.375,7.4471,92.6078
3131.4,0.18990512077076682,0.696,1.7898,44.4973
3195.0,0.19349270637078486,-0.094,0.1644,7.9866
3396.6,0.20486467581989867,-0.511,0.0,0.0
3430.3,0.20676564491927935,-0.6709999999999999,0.0,0.0
3384.4,0.20417649116077574,-0.8640000000000001,0.0,0.0
3354.4,0.20248423380227665,-1.1520000000000001,0.0,0.0
3314.4,0.2002278906576112,-1.28,0.0,0.0
3197.4,0.1936280869594648,-1.436,0.0,0.0
3048.4,0.18522320874558604,-1.6019999999999999,0.0,0.0
2906.4,0.17721319058202373,-1.767,0.0,0.0
2832.4,0.17303895576439265,-1.992,0.0,0.0
2671.4,0.16395717460711426,-2.188,0.0,0.0
2613.4,0.16068547704734937,-2.18,0.0,0.0
2625.4,0.16136237999074898,-2.019,0.0,0.0
2638.4,0.16209569151276526,-1.9240000000000002,0.0,0.0
2653.4,0.1629418201920148,-1.935,0.0,0.0
2732.4,0.16739809790272905,-1.925,0.0,0.0
2787.4,0.17050056972664404,-1.954,0.1821,2.9165
2935.2,0.17883775764618282,-1.439,9.3929,49.7156
3125.0,0.18954410586762035,-0.348,37.2656,100.7127
3197.1,0.1936111643858798,0.617,57.0626,131.3302
3207.7,0.19420909531921612,1.217,72.2049,144.1045
3099.4,0.18810004625503446,1.393,75.0355,138.8085
3025.9,0.18395401572671172,1.203,47.3117,117.9287
3002.9,0.1826566184185291,0.637,13.2147,71.9235
3059.5,0.1858493439682307,-0.162,1.0419,15.2803
3271.6,0.19781360349281918,-0.618,0.0,0.001
3344.2,0.20190886630038696,-0.67,0.0,0.0
3350.4,0.2022585994878101,-0.787,0.0,0.0
3290.4,0.19887408477081195,-1.038,0.0,0.0
3252.4,0.19673055878337978,-1.263,0.0,0.0
3106.4,0.18849490630535093,-1.4980000000000002,0.0,0.0
2987.4,0.18178228544997124,-1.679,0.0,0.0
2854.4,0.17427994449395864,-1.7719999999999998,0.0,0.0
2813.4,0.17196719277067657,-1.9169999999999998,0.0,0.0
2708.4,0.1660442920159298,-2.082,0.0,0.0
2657.4,0.16316745450648135,-2.323,0.0,0.0
2650.4,0.1627725944561649,-2.6910000000000003,0.0,0.0
2697.4,0.1654237976511468,-3.1889999999999996,0.0,0.0
2840.4,0.17349022439332573,-3.645,0.0,0.0
3077.4,0.18685905752546847,-3.992,0.0,0.0
3220.4,0.19492548426764741,-4.138999999999999,0.4586,4.1753
3353.1,0.20241090265007503,-3.339,12.4468,53.942
3427.1,0.20658513746770607,-2.004,27.8546,103.6249
3425.0,0.20646667945261116,-1.051,29.5381,133.6988
3414.1,0.20585182594568982,-0.48700000000000004,23.6886,141.8908
3416.2,0.20597028396078473,-0.203,15.4794,127.7721
3488.7,0.21005990591049087,-0.149,8.6794,97.7208
3509.5,0.2112332043457169,-0.49,3.051,53.9064
3535.3,0.21268854567402612,-1.3559999999999999,0.2978,10.6519
3633.2,0.21821094552059475,-1.9069999999999998,0.0,0.0004
3676.7,0.22066471869041843,-2.164,0.0,0.0
3626.1,0.21781044461241664,-2.548,0.0,0.0
3588.1,0.2156669186249845,-2.878,0.0,0.0
3502.1,0.21081578086395378,-3.1630000000000003,0.0,0.0
3364.1,0.203031397014858,-3.425,0.0,0.0
3251.1,0.19665722763117816,-3.737,0.0,0.0
3111.1,0.1887600266248491,-4.062,0.0,0.0
2976.1,0.18114486851160325,-4.459,0.0,0.0
2851.1,0.17409379618452372,-4.734,0.0,0.0
2773.1,0.1696939270524261,-4.763999999999999,0.0,0.0
2755.1,0.16867857263732666,-4.827,0.0,0.0
2799.1,0.17116055009645867,-4.981,0.0,0.0
