Demand,Normalized_net,Temperature
643.8,0.467025718,-4
612.9,0.444610225,-4
587.9,0.426474712,-4
570,0.413489685,-4
563.5,0.408774452,-5
572.5,0.415303236,-5
585.1,0.424443535,-6
582.8,0.422775068,-5
542.6813925,0.393672207,-3
528.0400528,0.383051079,-1
527.7534453,0.382843168,0
531.7319784,0.385729278,0
571.3413026,0.414462694,0
551.3188284,0.39993798,1
576.9167708,0.418507253,1
615.4974529,0.44649447,0
693.8,0.503296743,0
758.8,0.550449076,0
763.7,0.554003636,0
752.8,0.546096553,0
739.9,0.536738628,0
719.1,0.521649882,0
679,0.49256052,-1
627.9,0.455491532,-1
583,0.422920152,-1
557.6,0.404494471,-1
541.9,0.393105369,-2
532.1,0.385996248,-2
527.3,0.38251423,-2
549.9,0.398908733,-3
592.9,0.430101815,-2
631.4,0.458030504,-1
645.6535809,0.468370344,0
689.855911,0.50043562,1
687.9838557,0.499077593,2
643.2416514,0.466620681,3
646.1474698,0.468728621,3
639.1575702,0.463658004,3
649.346983,0.471049613,2
676.0403024,0.490413494,1
749.6,0.543775207,0
808.4,0.586429932,0
808.7,0.586647559,0
788.6,0.572066607,-1
768.3,0.55734057,-1
739.5,0.53644846,-1
695.2,0.504312332,-1
643.9,0.46709826,-2
595.8,0.432205534,-2
565.5,0.410225293,-2
549,0.398255855,-3
535.7,0.388607762,-4
536.7,0.389333183,-4
549.2,0.398400939,-4
573.5,0.416028657,-3
594,0.430899777,-2
599.2801265,0.434730089,0
640.2498042,0.464450333,0
681.170579,0.494135102,1
694.1348365,0.50353964,2
709.4063067,0.514617878,3
710.9436576,0.515733104,2
716.0394084,0.519429666,1
724.8836333,0.525845448,1
767.4,0.556687692,1
802.5,0.582149951,1
801.6,0.581497073,2
788,0.571631354,2
763.6,0.553931094,3
730.8,0.530137302,3
685.6,0.497348295,3
636.6,0.46180269,3
586.7,0.425604208,3
554.4,0.402173125,3
530.3,0.384690491,3
512.5,0.371778006,2
510.7,0.37047225,2
520.5,0.37758137,2
536,0.388825388,2
553.7,0.401665331,2
564.6902623,0.409637893,3
593.5152271,0.430548113,3
633.4710853,0.459532912,4
646.1245598,0.468712001,5
661.3292979,0.47974183,6
660.5007992,0.47914082,7
647.641648,0.469812528,7
674.5198646,0.489310538,7
721.9,0.523681059,6
768.7,0.557630739,6
771.2,0.55944429,6
755.4,0.547982646,6
733.9,0.532386105,6
691.5,0.501628276,5
634.7,0.460424392,4
582.4,0.422484899,3
540.7,0.392234865,3
515.2,0.373736642,2
502.4,0.364451259,2
497.7,0.361041783,1
508.7,0.369021408,1
549.2,0.398400939,0
634.4,0.460206765,0
703.6,0.510405864,0
701.6535871,0.508993896,0
679.0916827,0.492627028,0
707.7175915,0.513392849,0
630.7081911,0.457528652,0
615.1746688,0.446260316,0
627.1683238,0.454960759,0
653.0353922,0.473725261,-1
701.4908923,0.508875874,-2
782.2406837,0.567453428,-3
857.1,0.621757911,-4
866.7,0.628721948,-4
859.9,0.623789088,-5
835,0.605726118,-6
790.4,0.573372363,-6
722,0.523753601,-7
654.2,0.474570091,-7
604.8,0.438734319,-8
584.8,0.424225909,-8
569.3,0.412981891,-8
544,0.394628752,-8
559.3,0.405727686,-7
604.3,0.438371608,-7
683.3,0.495679828,-7
758.3,0.550086365,-7
760.7584946,0.551869808,-7
774.9831368,0.562188655,-6
776.8253415,0.563525028,-6
744.7685674,0.540270387,-6
747.8834605,0.542529994,-6
767.3686039,0.556664917,-6
754.1370458,0.547066473,-6
784.1186202,0.568815722,-6
844.0366223,0.612281469,-6
898,0.651427609,-6
906.7,0.657738768,-7
895.2,0.649396432,-8
863.6,0.626473144,-8
813.8,0.590347203,-8
739.7,0.536593544,-8
678.1,0.491907641,-8
629.7,0.456797289,-8
605.7,0.439387197,-8
593.1,0.430246899,-8
591.8,0.429303852,-8
589,0.427272675,-8
631.2,0.45788542,-8
713.5,0.517587527,-8
780.8,0.566408327,-7
742.6903885,0.538762833,-6
718.761926,0.521404636,-5
721.2764839,0.523228748,-5
703.7871906,0.510541656,-5
703.5643724,0.510380019,-5
716.8605224,0.520025319,-5
804.8773627,0.583874539,-6
818.2947117,0.593607759,-7
862.5013727,0.625676177,-8
942.2,0.683491195,-9
954.1,0.692123699,-10
945.4,0.685812541,-11
918.7,0.666443814,-12
871.2,0.63198634,-12
804.5,0.583600792,-12
