Demand,Normalized_net,Temperature
2338,0.44338928,3
2164.1,0.410410069,3
2060,0.390668057,2
1989.3,0.377260177,2
1968.8,0.373372461,2
1986.3,0.376691243,1
2022,0.383461559,1
2015.348132,0.382200067,1
1884.719796,0.357427097,2
1828.24188,0.34671636,3
1813.658101,0.343950624,4
1827.480618,0.346571991,5
1845.360884,0.349962889,5
1890.191813,0.358464836,5
2009.670065,0.381123252,5
2283.956571,0.433140231,4
2518,0.477525324,4
2845.7,0.539671888,3
2859.5,0.542288985,3
2805.8,0.532105065,3
2743.7,0.52032813,3
2669.7,0.506294423,3
2438,0.462353749,3
2220,0.421011207,3
2039.1,0.386704483,3
1909.6,0.362145496,2
1838.7,0.348699687,2
1816.8,0.344546469,3
1836.7,0.348320398,3
1931.1,0.366222856,3
2080.2,0.394498879,3
2195.5,0.416364912,3
2268.546288,0.430217752,4
2323.280401,0.440597786,5
2312.93637,0.438636096,6
2334.584834,0.442741612,7
2174.626409,0.412406346,7
2211.120798,0.419327313,8
2211.678365,0.419433053,7
2381.892301,0.451713222,6
2621.2,0.497096655,6
2914.2,0.552662549,6
2940.1,0.557574346,6
2877.5,0.545702589,6
2825.1,0.535765207,6
2701.1,0.512249266,6
2523.2,0.478511476,5
2279.1,0.432219208,5
2082.3,0.394897133,5
1954.5,0.370660542,5
1885.8,0.357631952,5
1844.8,0.34985652,5
1845.5,0.349989271,5
1887.3,0.357916419,5
1987.5,0.376918817,6
2072.240811,0.392989461,6
2149.761286,0.407690808,6
2216.96002,0.420434691,7
2384.821093,0.452268651,8
2403.780532,0.455864208,8
2415.988825,0.458179446,8
2466.732156,0.467802649,9
2440.433619,0.462815272,9
2527.997759,0.479421346,8
2731.1,0.517938607,8
2888.6,0.547807645,8
2860.3,0.5424407,8
2779.7,0.527155338,7
2680.2,0.508285692,7
2546.7,0.482968126,7
2362.1,0.447959717,7
2152.1,0.408134332,7
1955.3,0.370812258,8
1820.8,0.345305047,8
1735.9,0.329204213,7
1682.4,0.319058223,7
1672.4,0.317161776,7
1688.6,0.32023402,7
1740.1,0.330000721,7
1799.7,0.341303544,7
1903.548296,0.360997822,7
2004.00474,0.380048853,8
2164.882599,0.410558484,8
2254.951932,0.427639655,8
2299.223587,0.436035539,8
2309.045235,0.437898162,7
2314.340168,0.438902318,7
2348.7,0.445418478,6
2525,0.478852836,6
2737,0.51905751,5
2732.7,0.518242038,4
2661.4,0.504720372,4
2554.7,0.484485284,4
2392.3,0.453686986,3
2182.7,0.41393746,3
1970.5,0.373694857,4
1810.8,0.343408601,3
1720,0.326188863,3
1675.7,0.317787603,3
1665.4,0.315834263,2
1709.3,0.324159665,2
1857.2,0.352208114,2
2143.8,0.406560282,2
2334.5,0.442725523,2
2385.491557,0.452395801,3
2424.188923,0.459734551,3
2436.688388,0.462105008,3
2419.110542,0.458771463,4
2413.430307,0.457694237,4
2417.650074,0.458494493,4
2445.808479,0.463834585,4
2524.027117,0.478668334,4
2746.8,0.520916028,4
3081.8,0.584446999,3
3142.9,0.596034289,3
3093,0.586571019,3
3003.1,0.569521962,3
2842.9,0.539140883,2
2596.1,0.492336574,2
2345.1,0.444735757,2
2173.5,0.412192729,1
2080.4,0.394536808,0
2034.1,0.385756259,0
2017.9,0.382684015,0
2045.2,0.387861315,0
2174.3,0.412344444,0
2439.3,0.462600287,0
2620.192328,0.496905556,0
2615.420635,0.49600063,0
2573.13442,0.487981274,1
2390.692067,0.45338205,1
2346.869277,0.445071291,2
2407.739241,0.456614956,2
2382.015074,0.451736505,2
2485.854244,0.471429052,2
2649.078612,0.502383686,2
2986.8,0.566430753,1
3237.6,0.613993641,0
3273.4,0.620782921,0
3210.2,0.608797376,-1
3104.3,0.588714004,-2
2930.7,0.555791686,-3
2664.4,0.505289306,-4
2403.2,0.455754113,-4
2236.8,0.424197237,-4
2137.7,0.405403449,-4
2081.8,0.394802311,-4
2064.5,0.391521458,-4
2091.8,0.396698758,-5
2215.3,0.420119877,-6
2478.4,0.470015394,-6
2664.14725,0.505241373,-6
2645.880007,0.501777088,-5
2511.291058,0.476253008,-4
2426.535897,0.460179642,-4
2496.267808,0.473403929,-3
2550.492494,0.483687353,-3
2589.275049,0.491042258,-3
2574.280637,0.488198647,-3
2827.425539,0.536206233,-3
3036.8,0.575912988,-3
3337.6,0.63295811,-3
3406.4,0.646005664,-3
3362.9,0.63775612,-3
3290.2,0.623968951,-3
3114.6,0.590667344,-4
2863.2,0.54299067,-4
2617.7,0.496432899,-4
2462.3,0.466962115,-4
2366.1,0.448718296,-4
2310.6,0.438193015,-4
2288.1,0.43392601,-4
2320.7,0.440108427,-5
2453.7,0.46533117,-5
2720.5,0.515928373,-5
2895.381555,0.549093731,-4
2827.057423,0.536136422,-3
2701.331466,0.512293162,-3
2590.817436,0.491334764,-2
2603.185841,0.493680366,-2
2767.62273,0.524864948,-1
2686.524104,0.509485025,-1
2533.629873,0.480489446,-1
2717.44737,0.515349458,-1
3039.280478,0.576383397,-1
3334.7,0.63240814,-1
3373.2,0.639709461,-1
3306.6,0.627079124,-1
3215.2,0.6097456,-1
3044,0.577278429,-1
2778.4,0.5269088,-1
2528.4,0.479497628,-1
2353.5,0.446328773,-1
2250.4,0.426776405,-2
2174.9,0.412458231,-2
2133.8,0.404663835,-3
2151.4,0.408001581,-4
2260.1,0.428615959,-5
2509.7,0.475951273,-6
2713.721095,0.51464279,-7
2709.504267,0.513843091,-7
2567.789784,0.486967692,-7
2581.899361,0.489643498,-7
2522.016587,0.478287048,-8
2491.292313,0.472460353,-8
2429.237645,0.460692015,-8
2457.120628,0.465979874,-8
2617.268699,0.496351105,-8
2877.037321,0.545614844,-9
3137.1,0.59493435,-9
3157.9,0.598878959,-10
3077.8,0.58368842,-10
2985.4,0.566165251,-10
2853.3,0.541113187,-10
2662.3,0.504891052,-11
2449.9,0.46461052,-11
2290.9,0.434457015,-11
2186.7,0.414696039,-12
2118.2,0.401705378,-12
2092.2,0.396774616,-12
2103.2,0.398860707,-13
2157.4,0.409139449,-13
2273.9,0.431233055,-13
2377.719194,0.450921814,-12
2428.772135,0.460603733,-12
2343.883229,0.444505003,-11
2392.464717,0.453718224,-10
2338.087184,0.443405814,-9
2267.660381,0.430049745,-8
2249.00024,0.426510948,-8
2309.589068,0.438001298,-8
2514.492865,0.476860214,-8
2765.585595,0.524478616,-8
3053.2,0.579023161,-9
3087.4,0.585509009,-9
3025.6,0.573788967,-9
2959.2,0.56119656,-9
2853,0.541056294,-10
2692.1,0.510542464,-10
2505.7,0.475192694,-10
2342.3,0.444204752,-10
2223.9,0.421750821,-10
2155.2,0.408722231,-10
2100.5,0.398348667,-11
2090.3,0.396414291,-11
2108,0.399771002,-11
2170.7,0.411661724,-11
2216.030864,0.420258481,-10
2219.227316,0.420864671,-9
2144.622028,0.406716175,-8
2126.957349,0.403366162,-6
2126.981117,0.40337067,-5
2150.08994,0.407753135,-4
2104.637395,0.399133302,-3
2247.880107,0.426298521,-3
2397.803453,0.454730687,-3
2675.623291,0.507417743,-2
2963.5,0.562012032,-2
2974.3,0.564060195,-2
2900.9,0.550140275,-2
2799.6,0.530929268,-1
2636.4,0.499979255,-1
2420.6,0.459053931,-1
2197.2,0.416687308,-1
2036.5,0.386211407,-1
1943.8,0.368631344,0
1891.3,0.358674998,0
1868.2,0.354294206,0
1904.4,0.361159343,0
2043.8,0.387595813,0
2303.2,0.436789645,0
2498.3,0.473789323,0
2578.688606,0.489034595,0
