DateTime,Location,Year,Month,Day,Weekday,Hour,Load,Temperature
2019-01-01 00:00:00,Capital,2019,1,1,1,0,1131.1,-1
2019-01-01 01:00:00,Capital,2019,1,1,1,1,1131.1,-1
2019-01-01 02:00:00,Capital,2019,1,1,1,2,1082,0
2019-01-01 03:00:00,Capital,2019,1,1,1,3,1042,0
2019-01-01 04:00:00,Capital,2019,1,1,1,4,1023.4,0
2019-01-01 05:00:00,Capital,2019,1,1,1,5,1021.4,0
2019-01-01 06:00:00,Capital,2019,1,1,1,6,1038.6,0
2019-01-01 07:00:00,Capital,2019,1,1,1,7,1062,0
2019-01-01 08:00:00,Capital,2019,1,1,1,8,1097.6,0
2019-01-01 09:00:00,Capital,2019,1,1,1,9,1118.445276,0
2019-01-01 10:00:00,Capital,2019,1,1,1,10,1140.187895,0
2019-01-01 11:00:00,Capital,2019,1,1,1,11,1156.300637,0
2019-01-01 12:00:00,Capital,2019,1,1,1,12,1197.1348,1
2019-01-01 13:00:00,Capital,2019,1,1,1,13,1277.395713,1
2019-01-01 14:00:00,Capital,2019,1,1,1,14,1253.345025,1
2019-01-01 15:00:00,Capital,2019,1,1,1,15,1281.813791,1
2019-01-01 16:00:00,Capital,2019,1,1,1,16,1280.261426,1
2019-01-01 17:00:00,Capital,2019,1,1,1,17,1416.5,1
2019-01-01 18:00:00,Capital,2019,1,1,1,18,1490.8,0
2019-01-01 19:00:00,Capital,2019,1,1,1,19,1474,0
2019-01-01 20:00:00,Capital,2019,1,1,1,20,1441.9,0
2019-01-01 21:00:00,Capital,2019,1,1,1,21,1394.2,0
2019-01-01 22:00:00,Capital,2019,1,1,1,22,1318.2,0
2019-01-01 23:00:00,Capital,2019,1,1,1,23,1234.4,0
2019-01-02 00:00:00,Capital,2019,1,2,1,0,1163.8,0
2019-01-02 01:00:00,Capital,2019,1,2,1,1,1125.5,0
2019-01-02 02:00:00,Capital,2019,1,2,1,2,1103.8,0
2019-01-02 03:00:00,Capital,2019,1,2,1,3,1104,0
2019-01-02 04:00:00,Capital,2019,1,2,1,4,1115.4,0
2019-01-02 05:00:00,Capital,2019,1,2,1,5,1152.3,0
2019-01-02 06:00:00,Capital,2019,1,2,1,6,1243.5,-1
2019-01-02 07:00:00,Capital,2019,1,2,1,7,1386.8,-2
2019-01-02 08:00:00,Capital,2019,1,2,1,8,1473.7,-2
2019-01-02 09:00:00,Capital,2019,1,2,1,9,1387.715757,-1
2019-01-02 10:00:00,Capital,2019,1,2,1,10,1281.203442,0
2019-01-02 11:00:00,Capital,2019,1,2,1,11,1211.5837,0
2019-01-02 12:00:00,Capital,2019,1,2,1,12,1167.699397,0
2019-01-02 13:00:00,Capital,2019,1,2,1,13,1165.709925,0
2019-01-02 14:00:00,Capital,2019,1,2,1,14,1202.131137,0
2019-01-02 15:00:00,Capital,2019,1,2,1,15,1275.985495,-2
2019-01-02 16:00:00,Capital,2019,1,2,1,16,1370.092892,-3
2019-01-02 17:00:00,Capital,2019,1,2,1,17,1540.1,-4
2019-01-02 18:00:00,Capital,2019,1,2,1,18,1647,-5
2019-01-02 19:00:00,Capital,2019,1,2,1,19,1648.6,-6
2019-01-02 20:00:00,Capital,2019,1,2,1,20,1615.4,-7
2019-01-02 21:00:00,Capital,2019,1,2,1,21,1551.2,-7
2019-01-02 22:00:00,Capital,2019,1,2,1,22,1454.4,-7
2019-01-02 23:00:00,Capital,2019,1,2,1,23,1350,-7
2019-01-03 00:00:00,Capital,2019,1,3,1,0,1256.3,-6
2019-01-03 01:00:00,Capital,2019,1,3,1,1,1199.6,-5
2019-01-03 02:00:00,Capital,2019,1,3,1,2,1171.8,-5
2019-01-03 03:00:00,Capital,2019,1,3,1,3,1179.2,-5
2019-01-03 04:00:00,Capital,2019,1,3,1,4,1174.1,-5
2019-01-03 05:00:00,Capital,2019,1,3,1,5,1180.7,-5
2019-01-03 06:00:00,Capital,2019,1,3,1,6,1251.3,-5
2019-01-03 07:00:00,Capital,2019,1,3,1,7,1381.2,-4
2019-01-03 08:00:00,Capital,2019,1,3,1,8,1460.1,-2
2019-01-03 09:00:00,Capital,2019,1,3,1,9,1389.865381,0
2019-01-03 10:00:00,Capital,2019,1,3,1,10,1309.901422,1
2019-01-03 11:00:00,Capital,2019,1,3,1,11,1257.964767,2
2019-01-03 12:00:00,Capital,2019,1,3,1,12,1289.734046,2
2019-01-03 13:00:00,Capital,2019,1,3,1,13,1242.081665,3
2019-01-03 14:00:00,Capital,2019,1,3,1,14,1309.304094,2
2019-01-03 15:00:00,Capital,2019,1,3,1,15,1364.304361,1
2019-01-03 16:00:00,Capital,2019,1,3,1,16,1419.017082,1
2019-01-03 17:00:00,Capital,2019,1,3,1,17,1527.7,1
2019-01-03 18:00:00,Capital,2019,1,3,1,18,1602.9,0
2019-01-03 19:00:00,Capital,2019,1,3,1,19,1594.1,0
2019-01-03 20:00:00,Capital,2019,1,3,1,20,1558.8,0
2019-01-03 21:00:00,Capital,2019,1,3,1,21,1504.8,0
2019-01-03 22:00:00,Capital,2019,1,3,1,22,1415.3,0
2019-01-03 23:00:00,Capital,2019,1,3,1,23,1306.2,0
2019-01-04 00:00:00,Capital,2019,1,4,1,0,1211.9,0
2019-01-04 01:00:00,Capital,2019,1,4,1,1,1146.2,-1
2019-01-04 02:00:00,Capital,2019,1,4,1,2,1104.6,-1
2019-01-04 03:00:00,Capital,2019,1,4,1,3,1097.3,-2
2019-01-04 04:00:00,Capital,2019,1,4,1,4,1099.5,-2
2019-01-04 05:00:00,Capital,2019,1,4,1,5,1129.7,-2
2019-01-04 06:00:00,Capital,2019,1,4,1,6,1209,-2
2019-01-04 07:00:00,Capital,2019,1,4,1,7,1366,-1
2019-01-04 08:00:00,Capital,2019,1,4,1,8,1447.1,0
2019-01-04 09:00:00,Capital,2019,1,4,1,9,1380.222921,0
2019-01-04 10:00:00,Capital,2019,1,4,1,10,1310.458709,1
2019-01-04 11:00:00,Capital,2019,1,4,1,11,1201.46074,2
2019-01-04 12:00:00,Capital,2019,1,4,1,12,1267.042527,3
2019-01-04 13:00:00,Capital,2019,1,4,1,13,1127.898663,4
2019-01-04 14:00:00,Capital,2019,1,4,1,14,1152.168489,3
2019-01-04 15:00:00,Capital,2019,1,4,1,15,1203.89481,1
2019-01-04 16:00:00,Capital,2019,1,4,1,16,1287.614683,0
2019-01-04 17:00:00,Capital,2019,1,4,1,17,1426.8,1
2019-01-04 18:00:00,Capital,2019,1,4,1,18,1512.1,0
2019-01-04 19:00:00,Capital,2019,1,4,1,19,1498.8,0
2019-01-04 20:00:00,Capital,2019,1,4,1,20,1459.9,1
2019-01-04 21:00:00,Capital,2019,1,4,1,21,1420,1
2019-01-04 22:00:00,Capital,2019,1,4,1,22,1359.8,1
2019-01-04 23:00:00,Capital,2019,1,4,1,23,1276.2,1
2019-01-05 00:00:00,Capital,2019,1,5,1,0,1192.4,1
2019-01-05 01:00:00,Capital,2019,1,5,1,1,1129,1
2019-01-05 02:00:00,Capital,2019,1,5,1,2,1098.2,1
2019-01-05 03:00:00,Capital,2019,1,5,1,3,1082.6,1
2019-01-05 04:00:00,Capital,2019,1,5,1,4,1073.3,1
2019-01-05 05:00:00,Capital,2019,1,5,1,5,1084.6,1
2019-01-05 06:00:00,Capital,2019,1,5,1,6,1113.5,1
2019-01-05 07:00:00,Capital,2019,1,5,1,7,1166.8,2
2019-01-05 08:00:00,Capital,2019,1,5,1,8,1227.4,3
2019-01-05 09:00:00,Capital,2019,1,5,1,9,1288.374421,4
2019-01-05 10:00:00,Capital,2019,1,5,1,10,1337.738459,5
2019-01-05 11:00:00,Capital,2019,1,5,1,11,1339.316316,6
2019-01-05 12:00:00,Capital,2019,1,5,1,12,1311.942826,6
2019-01-05 13:00:00,Capital,2019,1,5,1,13,1336.800992,5
2019-01-05 14:00:00,Capital,2019,1,5,1,14,1337.13903,5
2019-01-05 15:00:00,Capital,2019,1,5,1,15,1308.216854,4
2019-01-05 16:00:00,Capital,2019,1,5,1,16,1323.414603,4
2019-01-05 17:00:00,Capital,2019,1,5,1,17,1387.8,4
2019-01-05 18:00:00,Capital,2019,1,5,1,18,1472.4,4
2019-01-05 19:00:00,Capital,2019,1,5,1,19,1462.9,4
2019-01-05 20:00:00,Capital,2019,1,5,1,20,1422.9,4
2019-01-05 21:00:00,Capital,2019,1,5,1,21,1388.6,5
2019-01-05 22:00:00,Capital,2019,1,5,1,22,1333.2,5
2019-01-05 23:00:00,Capital,2019,1,5,1,23,1257.8,5
2019-01-06 00:00:00,Capital,2019,1,6,0,0,1189.3,5
2019-01-06 01:00:00,Capital,2019,1,6,0,1,1128.9,5
2019-01-06 02:00:00,Capital,2019,1,6,0,2,1091.8,5
2019-01-06 03:00:00,Capital,2019,1,6,0,3,1072.8,6
2019-01-06 04:00:00,Capital,2019,1,6,0,4,1070.6,7
2019-01-06 05:00:00,Capital,2019,1,6,0,5,1077.2,7
2019-01-06 06:00:00,Capital,2019,1,6,0,6,1093,8
2019-01-06 07:00:00,Capital,2019,1,6,0,7,1131.4,10
2019-01-06 08:00:00,Capital,2019,1,6,0,8,1179.4,11
2019-01-06 09:00:00,Capital,2019,1,6,0,9,1228.004408,12
2019-01-06 10:00:00,Capital,2019,1,6,0,10,1254.407515,13
2019-01-06 11:00:00,Capital,2019,1,6,0,11,1222.056114,14
2019-01-06 12:00:00,Capital,2019,1,6,0,12,1163.670173,14
2019-01-06 13:00:00,Capital,2019,1,6,0,13,1179.127892,13
2019-01-06 14:00:00,Capital,2019,1,6,0,14,1133.967812,12
2019-01-06 15:00:00,Capital,2019,1,6,0,15,1208.796395,10
2019-01-06 16:00:00,Capital,2019,1,6,0,16,1379.895648,9
2019-01-06 17:00:00,Capital,2019,1,6,0,17,1490.4,7
2019-01-06 18:00:00,Capital,2019,1,6,0,18,1571.4,6
2019-01-06 19:00:00,Capital,2019,1,6,0,19,1569.4,4
2019-01-06 20:00:00,Capital,2019,1,6,0,20,1536.9,3
2019-01-06 21:00:00,Capital,2019,1,6,0,21,1494,3
2019-01-06 22:00:00,Capital,2019,1,6,0,22,1413.4,2
2019-01-06 23:00:00,Capital,2019,1,6,0,23,1324.9,2
2019-01-07 00:00:00,Capital,2019,1,7,0,0,1248.6,1
2019-01-07 01:00:00,Capital,2019,1,7,0,1,1200.8,1
2019-01-07 02:00:00,Capital,2019,1,7,0,2,1177.7,0
2019-01-07 03:00:00,Capital,2019,1,7,0,3,1171.9,0
2019-01-07 04:00:00,Capital,2019,1,7,0,4,1179.9,0
2019-01-07 05:00:00,Capital,2019,1,7,0,5,1215.9,0
2019-01-07 06:00:00,Capital,2019,1,7,0,6,1309.3,-1
2019-01-07 07:00:00,Capital,2019,1,7,0,7,1464.1,0
2019-01-07 08:00:00,Capital,2019,1,7,0,8,1548.3,1
2019-01-07 09:00:00,Capital,2019,1,7,0,9,1494.660697,2
2019-01-07 10:00:00,Capital,2019,1,7,0,10,1396.077925,3
2019-01-07 11:00:00,Capital,2019,1,7,0,11,1334.633151,4
2019-01-07 12:00:00,Capital,2019,1,7,0,12,1301.358358,5
2019-01-07 13:00:00,Capital,2019,1,7,0,13,1324.066448,5
2019-01-07 14:00:00,Capital,2019,1,7,0,14,1346.587635,4
2019-01-07 15:00:00,Capital,2019,1,7,0,15,1432.865975,2
2019-01-07 16:00:00,Capital,2019,1,7,0,16,1532.443777,0
2019-01-07 17:00:00,Capital,2019,1,7,0,17,1654.8,0
2019-01-07 18:00:00,Capital,2019,1,7,0,18,1740.6,0
2019-01-07 19:00:00,Capital,2019,1,7,0,19,1732.6,0
2019-01-07 20:00:00,Capital,2019,1,7,0,20,1699.2,0
2019-01-07 21:00:00,Capital,2019,1,7,0,21,1632,0
2019-01-07 22:00:00,Capital,2019,1,7,0,22,1529.1,0
2019-01-07 23:00:00,Capital,2019,1,7,0,23,1419.9,0
2019-01-08 00:00:00,Capital,2019,1,8,1,0,1325.4,0
2019-01-08 01:00:00,Capital,2019,1,8,1,1,1260.8,0
2019-01-08 02:00:00,Capital,2019,1,8,1,2,1228.5,0
2019-01-08 03:00:00,Capital,2019,1,8,1,3,1214.3,0
2019-01-08 04:00:00,Capital,2019,1,8,1,4,1213.6,0
2019-01-08 05:00:00,Capital,2019,1,8,1,5,1223.1,0
2019-01-08 06:00:00,Capital,2019,1,8,1,6,1300.8,0
2019-01-08 07:00:00,Capital,2019,1,8,1,7,1432.9,0
2019-01-08 08:00:00,Capital,2019,1,8,1,8,1507,0
2019-01-08 09:00:00,Capital,2019,1,8,1,9,1504.827664,0
2019-01-08 10:00:00,Capital,2019,1,8,1,10,1494.865982,1
2019-01-08 11:00:00,Capital,2019,1,8,1,11,1459.129248,1
2019-01-08 12:00:00,Capital,2019,1,8,1,12,1454.965682,1
2019-01-08 13:00:00,Capital,2019,1,8,1,13,1425.107597,1
2019-01-08 14:00:00,Capital,2019,1,8,1,14,1426.765614,1
2019-01-08 15:00:00,Capital,2019,1,8,1,15,1315.927333,0
2019-01-08 16:00:00,Capital,2019,1,8,1,16,1391.757769,0
2019-01-08 17:00:00,Capital,2019,1,8,1,17,1524.1,0
2019-01-08 18:00:00,Capital,2019,1,8,1,18,1603.5,0
2019-01-08 19:00:00,Capital,2019,1,8,1,19,1593.4,0
2019-01-08 20:00:00,Capital,2019,1,8,1,20,1547.7,0
2019-01-08 21:00:00,Capital,2019,1,8,1,21,1488.5,-1
2019-01-08 22:00:00,Capital,2019,1,8,1,22,1400.4,-1
2019-01-08 23:00:00,Capital,2019,1,8,1,23,1296,-1
2019-01-09 00:00:00,Capital,2019,1,9,1,0,1220,-2
2019-01-09 01:00:00,Capital,2019,1,9,1,1,1154,-2
2019-01-09 02:00:00,Capital,2019,1,9,1,2,1126.9,-2
2019-01-09 03:00:00,Capital,2019,1,9,1,3,1115.3,-3
2019-01-09 04:00:00,Capital,2019,1,9,1,4,1118.7,-3
2019-01-09 05:00:00,Capital,2019,1,9,1,5,1148.7,-4
2019-01-09 06:00:00,Capital,2019,1,9,1,6,1216.7,-4
2019-01-09 07:00:00,Capital,2019,1,9,1,7,1348.1,-3
2019-01-09 08:00:00,Capital,2019,1,9,1,8,1422.9,-2
2019-01-09 09:00:00,Capital,2019,1,9,1,9,1405.025887,0
2019-01-09 10:00:00,Capital,2019,1,9,1,10,1369.755025,0
2019-01-09 11:00:00,Capital,2019,1,9,1,11,1366.267861,0
2019-01-09 12:00:00,Capital,2019,1,9,1,12,1333.763733,0
2019-01-09 13:00:00,Capital,2019,1,9,1,13,1380.276783,0
2019-01-09 14:00:00,Capital,2019,1,9,1,14,1332.951059,0
2019-01-09 15:00:00,Capital,2019,1,9,1,15,1311.120114,0
2019-01-09 16:00:00,Capital,2019,1,9,1,16,1396.641292,0
2019-01-09 17:00:00,Capital,2019,1,9,1,17,1535.6,-1
2019-01-09 18:00:00,Capital,2019,1,9,1,18,1626.4,-2
2019-01-09 19:00:00,Capital,2019,1,9,1,19,1620,-3
2019-01-09 20:00:00,Capital,2019,1,9,1,20,1591.7,-4
2019-01-09 21:00:00,Capital,2019,1,9,1,21,1537.9,-5
2019-01-09 22:00:00,Capital,2019,1,9,1,22,1443.5,-5
2019-01-09 23:00:00,Capital,2019,1,9,1,23,1342.4,-5
2019-01-10 00:00:00,Capital,2019,1,10,1,0,1259.2,-5
2019-01-10 01:00:00,Capital,2019,1,10,1,1,1208.6,-6
2019-01-10 02:00:00,Capital,2019,1,10,1,2,1181,-6
2019-01-10 03:00:00,Capital,2019,1,10,1,3,1158.7,-6
2019-01-10 04:00:00,Capital,2019,1,10,1,4,1158.3,-6
2019-01-10 05:00:00,Capital,2019,1,10,1,5,1192,-6
2019-01-10 06:00:00,Capital,2019,1,10,1,6,1270.1,-7
2019-01-10 07:00:00,Capital,2019,1,10,1,7,1417.5,-6
2019-01-10 08:00:00,Capital,2019,1,10,1,8,1504.5,-5
2019-01-10 09:00:00,Capital,2019,1,10,1,9,1489.335418,-5
2019-01-10 10:00:00,Capital,2019,1,10,1,10,1368.053818,-5
2019-01-10 11:00:00,Capital,2019,1,10,1,11,1280.84598,-5
2019-01-10 12:00:00,Capital,2019,1,10,1,12,1251.634945,-5
2019-01-10 13:00:00,Capital,2019,1,10,1,13,1328.960582,-5
2019-01-10 14:00:00,Capital,2019,1,10,1,14,1301.29918,-6
2019-01-10 15:00:00,Capital,2019,1,10,1,15,1378.852532,-6
2019-01-10 16:00:00,Capital,2019,1,10,1,16,1426.885401,-7
2019-01-10 17:00:00,Capital,2019,1,10,1,17,1597.1,-8
2019-01-10 18:00:00,Capital,2019,1,10,1,18,1709.8,-9
2019-01-10 19:00:00,Capital,2019,1,10,1,19,1716.6,-9
2019-01-10 20:00:00,Capital,2019,1,10,1,20,1684.1,-9
2019-01-10 21:00:00,Capital,2019,1,10,1,21,1634.1,-10
2019-01-10 22:00:00,Capital,2019,1,10,1,22,1548.2,-11
2019-01-10 23:00:00,Capital,2019,1,10,1,23,1435.8,-12
2019-01-11 00:00:00,Capital,2019,1,11,1,0,1342.8,-12
2019-01-11 01:00:00,Capital,2019,1,11,1,1,1294.8,-12
2019-01-11 02:00:00,Capital,2019,1,11,1,2,1271.3,-12
2019-01-11 03:00:00,Capital,2019,1,11,1,3,1267.8,-12
2019-01-11 04:00:00,Capital,2019,1,11,1,4,1276.8,-11
2019-01-11 05:00:00,Capital,2019,1,11,1,5,1304.4,-11
2019-01-11 06:00:00,Capital,2019,1,11,1,6,1391.3,-11
2019-01-11 07:00:00,Capital,2019,1,11,1,7,1549.4,-10
2019-01-11 08:00:00,Capital,2019,1,11,1,8,1644.5,-8
