DateTime,Month,Day,Weekday,Hour,Temperature,Load,Year
2015-11-01 00:00:00,11,1,0,0,28,25.6371204,2015
2015-11-01 01:00:00,11,1,0,1,28,27.13767445,2015
2015-11-01 01:00:00,11,1,0,1,26,22.67826092,2015
2015-11-01 02:00:00,11,1,0,2,26,22.19245365,2015
2015-11-01 03:00:00,11,1,0,3,26,21.92978848,2015
2015-11-01 04:00:00,11,1,0,4,27,19.36846231,2015
2015-11-01 05:00:00,11,1,0,5,27,19.90921991,2015
2015-11-01 06:00:00,11,1,0,6,26,21.01771543,2015
2015-11-01 07:00:00,11,1,0,7,27,22.27293342,2015
2015-11-01 08:00:00,11,1,0,8,27,25.62891427,2015
2015-11-01 09:00:00,11,1,0,9,25,12.18880406,2015
2015-11-01 10:00:00,11,1,0,10,24,7.05480826,2015
2015-11-01 11:00:00,11,1,0,11,23,-5.328011168,2015
2015-11-01 12:00:00,11,1,0,12,21,-1.39465619,2015
2015-11-01 13:00:00,11,1,0,13,17,3.930297534,2015
2015-11-01 14:00:00,11,1,0,14,18,2.364855179,2015
2015-11-01 15:00:00,11,1,0,15,19,4.364334729,2015
2015-11-01 16:00:00,11,1,0,16,20,6.027675015,2015
2015-11-01 17:00:00,11,1,0,17,21,19.08349004,2015
2015-11-01 18:00:00,11,1,0,18,24,21.87641002,2015
2015-11-01 19:00:00,11,1,0,19,26,27.69447045,2015
2015-11-01 20:00:00,11,1,0,20,26,31.62617311,2015
2015-11-01 21:00:00,11,1,0,21,25,21.6004865,2015
2015-11-01 22:00:00,11,1,0,22,23,21.61152332,2015
2015-11-01 23:00:00,11,1,0,23,25,24.74714701,2015
2015-11-02 00:00:00,11,2,1,0,21,26.03749409,2015
2015-11-02 01:00:00,11,2,1,1,22,23.72697859,2015
2015-11-02 02:00:00,11,2,1,2,22,22.49502791,2015
2015-11-02 03:00:00,11,2,1,3,22,20.51466008,2015
2015-11-02 04:00:00,11,2,1,4,23,22.79100426,2015
2015-11-02 05:00:00,11,2,1,5,23,21.87654389,2015
2015-11-02 06:00:00,11,2,1,6,23,23.59672293,2015
2015-11-02 07:00:00,11,2,1,7,26,22.94809759,2015
2015-11-02 08:00:00,11,2,1,8,26,12.99547176,2015
2015-11-02 09:00:00,11,2,1,9,25,1.074773356,2015
2015-11-02 10:00:00,11,2,1,10,26,-15.73480395,2015
2015-11-02 11:00:00,11,2,1,11,24,-21.84698406,2015
2015-11-02 12:00:00,11,2,1,12,23,-22.69401772,2015
2015-11-02 13:00:00,11,2,1,13,23,-15.30592461,2015
2015-11-02 14:00:00,11,2,1,14,24,-15.90136688,2015
2015-11-02 15:00:00,11,2,1,15,23,-4.767579937,2015
2015-11-02 16:00:00,11,2,1,16,23,10.62059002,2015
2015-11-02 17:00:00,11,2,1,17,25,24.71634312,2015
2015-11-02 18:00:00,11,2,1,18,25,37.18415201,2015
2015-11-02 19:00:00,11,2,1,19,30,35.57468495,2015
2015-11-02 20:00:00,11,2,1,20,29,33.49668463,2015
2015-11-02 21:00:00,11,2,1,21,28,31.88325501,2015
2015-11-02 22:00:00,11,2,1,22,27,33.16824157,2015
2015-11-02 23:00:00,11,2,1,23,21,32.72308891,2015
2015-11-03 00:00:00,11,3,1,0,22,30.88737219,2015
2015-11-03 01:00:00,11,3,1,1,17,28.13794163,2015
2015-11-03 02:00:00,11,3,1,2,17,20.84902731,2015
2015-11-03 03:00:00,11,3,1,3,19,20.16872746,2015
2015-11-03 04:00:00,11,3,1,4,19,20.65084232,2015
2015-11-03 05:00:00,11,3,1,5,19,21.1969554,2015
2015-11-03 06:00:00,11,3,1,6,17,24.78003393,2015
2015-11-03 07:00:00,11,3,1,7,18,27.55178544,2015
2015-11-03 08:00:00,11,3,1,8,18,20.27389441,2015
2015-11-03 09:00:00,11,3,1,9,16,4.790180599,2015
2015-11-03 10:00:00,11,3,1,10,15,-8.218863443,2015
2015-11-03 11:00:00,11,3,1,11,12,-22.4725924,2015
2015-11-03 12:00:00,11,3,1,12,9,-28.2525383,2015
2015-11-03 13:00:00,11,3,1,13,8,-26.75425207,2015
2015-11-03 14:00:00,11,3,1,14,9,-16.77946578,2015
2015-11-03 15:00:00,11,3,1,15,10,-4.074238498,2015
2015-11-03 16:00:00,11,3,1,16,13,11.74337986,2015
2015-11-03 17:00:00,11,3,1,17,15,28.23289424,2015
2015-11-03 18:00:00,11,3,1,18,17,31.15981464,2015
2015-11-03 19:00:00,11,3,1,19,17,34.27313091,2015
2015-11-03 20:00:00,11,3,1,20,21,37.63771544,2015
2015-11-03 21:00:00,11,3,1,21,21,33.64563595,2015
2015-11-03 22:00:00,11,3,1,22,18,30.86940846,2015
2015-11-03 23:00:00,11,3,1,23,19,30.19091614,2015
2015-11-04 00:00:00,11,4,1,0,22,29.60821123,2015
2015-11-04 01:00:00,11,4,1,1,23,27.49854774,2015
2015-11-04 02:00:00,11,4,1,2,24,24.51744245,2015
2015-11-04 03:00:00,11,4,1,3,25,25.92358883,2015
2015-11-04 04:00:00,11,4,1,4,25,22.87559281,2015
2015-11-04 05:00:00,11,4,1,5,26,20.99744612,2015
2015-11-04 06:00:00,11,4,1,6,26,24.36113404,2015
2015-11-04 07:00:00,11,4,1,7,25,26.59054815,2015
2015-11-04 08:00:00,11,4,1,8,29,22.43964823,2015
2015-11-04 09:00:00,11,4,1,9,32,13.78456334,2015
