Net,Temperature
9092.054,5.0
8688.329,5.0
8327.54,6.0
8168.988000000001,6.0
8130.987,6.0
8277.908000000001,7.0
8472.871000000001,7.0
8588.52,7.0
8480.783,7.0
8506.605,9.0
8441.113000000001,10.0
8216.657,11.0
8362.021999999999,11.0
8745.196,11.0
9005.805999999999,10.0
9345.739000000001,9.0
9925.513,7.0
10915.51,6.0
11004.88,5.0
10895.24,4.0
10723.262999999999,3.0
10354.699,3.0
9857.205,2.0
9371.09,1.0
9084.256,1.0
8923.896,0.0
9000.851999999999,0.0
9190.631,0.0
9570.363,0.0
10421.073,0.0
11467.331,0.0
12001.439999999999,0.0
11844.055,0.0
11664.192000000001,0.0
11309.965,0.0
10889.801000000001,0.0
10895.383999999998,0.0
10824.212,1.0
10962.698,1.0
11313.333999999999,1.0
12071.479,1.0
12843.827,0.0
12827.685000000001,0.0
12657.274,0.0
12342.867,0.0
11729.498999999998,0.0
11026.863000000001,0.0
10381.891,-1.0
9904.066,-1.0
9681.896,-2.0
9574.756999999998,-2.0
9585.145,-2.0
9901.485,-2.0
10579.855,-3.0
11513.229,-3.0
11972.336000000001,-2.0
11781.392,-1.0
11614.640000000001,-1.0
11371.798999999999,0.0
11076.009,0.0
10835.69,0.0
10821.803999999998,0.0
10853.574999999999,0.0
11066.873000000001,0.0
11562.535,0.0
12540.98,-1.0
12681.194,-1.0
12641.57,-1.0
12492.13,-1.0
12128.99,-1.0
11534.59,-1.0
11003.024,-2.0
10606.407,-2.0
10441.205,-2.0
10393.946999999998,-2.0
10442.402,-2.0
10874.949,-2.0
11642.083999999999,-2.0
12699.727,-2.0
13160.018999999998,-1.0
12925.811000000002,0.0
12592.555,1.0
12110.585,2.0
11833.711,3.0
11723.868,4.0
11695.921,5.0
11590.896999999999,4.0
11667.413,3.0
12014.28,1.0
12574.893,0.0
12442.728000000001,0.0
12128.643,0.0
11778.23,0.0
11317.003999999999,0.0
10779.966,0.0
10157.358,0.0
9674.094,0.0
9335.308,0.0
9130.237,0.0
9078.555999999999,0.0
9141.123,-1.0
9374.783000000001,-1.0
9781.78,0.0
10187.059000000001,0.0
9781.005,1.0
9209.258999999998,3.0
9037.187,5.0
9055.414999999999,6.0
8916.691,7.0
8472.921999999999,7.0
7954.746999999999,6.0
8305.578000000001,5.0
9885.134,4.0
11080.796999999999,4.0
11323.948,3.0
11354.753,3.0
11229.246000000001,3.0
11028.862,3.0
10657.154999999999,3.0
10314.134,3.0
9978.956999999999,3.0
9837.534,3.0
9800.319000000001,3.0
9820.810000000001,3.0
9977.865,3.0
10293.635999999999,3.0
10676.447,3.0
10950.825,3.0
9982.258,5.0
8510.261,6.0
8031.802,8.0
7878.876999999999,10.0
7903.184000000001,12.0
8164.401999999998,13.0
8248.676000000001,13.0
8508.589,12.0
9675.087,10.0
11172.35,9.0
11687.917,8.0
11672.908999999998,8.0
11636.305,7.0
11364.707,7.0
10847.188,7.0
10381.152,7.0
10166.442,7.0
10106.671999999999,7.0
10163.562,7.0
10410.94,7.0
10940.015,7.0
11877.872,6.0
13128.163,6.0
13588.104,7.0
12678.712,9.0
11856.973,11.0
11379.219,12.0
11178.667,14.0
11031.295,15.0
10912.917,15.0
10605.499,15.0
11273.173999999999,14.0
12586.293000000001,12.0
13642.886999999999,11.0
13926.719,11.0
13658.321000000002,10.0
13340.968,10.0
12710.271,9.0
12019.365,9.0
11179.77,9.0
10748.316,9.0
10510.771,9.0
10358.385,9.0
10343.499,8.0
10658.093,8.0
11357.79,8.0
12464.371000000001,8.0
12930.614,9.0
12418.993,11.0
11690.297,12.0
10760.526000000002,14.0
9489.296000000002,15.0
8836.347,16.0
8647.928,16.0
8566.327000000001,16.0
8920.748,15.0
10269.687,14.0
11533.364,13.0
11794.514,13.0
11679.537,12.0
11385.685000000001,12.0
10877.816,12.0
10145.583,12.0
9482.153,12.0
9089.018,12.0
8968.819000000001,12.0
9026.123000000001,12.0
9170.57,12.0
9657.699,12.0
10591.292,12.0
11851.675000000001,12.0
12376.498,12.0
11053.023,12.0
9398.587,13.0
8997.213,14.0
9129.659,15.0
9208.316,16.0
9229.43,17.0
9533.788999999999,17.0
10283.031,15.0
11981.051000000001,13.0
13451.441,11.0
13778.333,10.0
13813.463999999998,9.0
13724.266000000001,8.0
13376.149,8.0
12834.434,7.0
12247.253,7.0
11959.609999999999,6.0
11963.663,6.0
12150.498999999998,6.0
12461.056000000002,5.0
12994.469,5.0
14047.306,5.0
15370.538999999999,5.0
15875.705,6.0
14094.283,8.0
12120.061,9.0
11599.446999999998,10.0
11292.731000000002,11.0
10935.555,11.0
10593.14,11.0
10431.380000000001,10.0
11046.354,8.0
13152.925,8.0
15010.718,8.0
15488.766000000001,7.0
15503.733,7.0
15464.492,7.0
15019.675,8.0
14295.774,8.0
13692.052,9.0
13424.061999999998,9.0
13334.416000000001,10.0
13431.713999999998,11.0
13711.235,12.0
14196.987,13.0
15100.945,13.0
16292.778000000002,13.0
16740.331,14.0
14847.821000000002,15.0
12739.18,15.0
11946.589,15.0
11426.073999999999,15.0
10864.06,15.0
10437.372,15.0
10093.466,15.0
10529.941000000003,15.0
12556.813999999998,14.0
14316.123,13.0
14719.703,13.0
14726.57,12.0
14509.357,12.0
14323.698999999999,11.0
13911.093,11.0
13506.29,10.0
13144.886999999999,9.0
12970.864,8.0
12852.17,7.0
12850.683999999997,7.0
12975.415,7.0
13172.627,6.0
13539.215,6.0
13900.188,6.0
14106.893000000002,7.0
13995.835,8.0
13690.683,9.0
13189.253999999999,10.0
12672.953,10.0
12751.196000000002,10.0
13035.219,10.0
13393.234999999999,9.0
13940.255000000001,7.0
14659.743,6.0
14808.574999999999,6.0
14695.315,6.0
14446.954,5.0
14126.62,5.0
13637.684,5.0
13155.604,5.0
12801.675000000001,5.0
12583.974999999999,5.0
12479.794,5.0
12384.220000000001,5.0
12479.399,5.0
12670.966,5.0
12995.277,5.0
13464.571999999998,6.0
