Demand,Normalized_net,Temperature,DNI,DHI,Month,Day,Weekday,Hour
0,0.128929488398192,1.248,0,0,1,1,1,0
5226.83,0.611314970033354,1.192,0,0,1,1,1,1
4987.34,0.589212376492564,1.129,0,0,1,1,1,2
4879.48,0.579257949421248,1.04,0,0,1,1,1,3
4909.53,0.582031271630529,0.85,0,0,1,1,1,4
4950.78,0.585838244713153,0.622,0.0459,1.2128,1,1,1,5
5084.31,0.598161762670068,0.553,5.0754,46.387,1,1,1,6
5531.7,0.639451500547281,0.96,31.7403,121.2436,1,1,1,7
6071,0.689223635903863,1.533,80.738,172.9387,1,1,1,8
6500,0.72881615596315,2.21,133.8015,195.7602,1,1,1,9
6652.59,0.742898726209879,2.857,155.1265,201.0983,1,1,1,10
6328.52,0.712990222770221,3.266,121.2969,198.0821,1,1,1,11
5771.75,0.661605776631738,3.347,57.6942,169.3455,1,1,1,12
6010.41,0.683631769259592,3.259,28.6404,115.7269,1,1,1,13
6364.48,0.716308980395704,2.667,5.9485,43.2175,1,1,1,14
6606.23,0.738620149916293,1.948,0.0337,0.5665,1,1,1,15
7120.62,0.786093334982253,1.807,0,0,1,1,1,16
7204.24,0.793810646234834,1.669,0,0,1,1,1,17
7167.5,0.790419902209244,1.562,0,0,1,1,1,18
6928.06,0.768321923181282,1.4,0,0,1,1,1,19
6494.62,0.72831963438292,1.221,0,0,1,1,1,20
6215.31,0.702542042826371,1.068,0,0,1,1,1,21
5696.3,0.654642476775157,0.927,0,0,1,1,1,22
5213.72,0.610105044770003,0.745,0,0,1,1,1,23
5132.99,0.602654452358847,0.538,0,0,1,2,1,0
4942.68,0.58509069363511,0.373,0,0,1,2,1,1
4787.06,0.57072848391104,0.241,0,0,1,2,1,2
4757.97,0.568043760348045,0.03,0,0,1,2,1,3
4934.66,0.584350525777592,-0.255,0,0,1,2,1,4
5284.6,0.616646578154158,-0.442,0.4158,2.1414,1,2,1,5
5615.2,0.647157736969077,0.39,46.1716,45.6237,1,2,1,6
5947.61,0.677835941148349,1.816,177.9351,66.5922,1,2,1,7
6115.15,0.693298250730477,3.013,298.4339,73.587,1,2,1,8
6009.88,0.683582855423621,4.088,371.9712,78.7996,1,2,1,9
5923.54,0.675614514673228,4.904,396.753,80.2563,1,2,1,10
5921.97,0.675469618970447,5.39,364.7847,79.6968,1,2,1,11
5837.15,0.667641559410007,5.54,282.9601,75.758,1,2,1,12
6342.34,0.714265674115721,5.271,161.34,67.4123,1,2,1,13
6801.88,0.756676738609998,4.11,35.8842,41.1906,1,2,1,14
7291.86,0.80189711851361,2.54,0.1155,0.7117,1,2,1,15
7897.36,0.8577788688537,2.033,0,0,1,2,1,16
7895.72,0.85762751283296,1.662,0,0,1,2,1,17
7790.29,0.847897351085057,1.353,0,0,1,2,1,18
7495.98,0.820735405680281,1.094,0,0,1,2,1,19
7027.67,0.777514955636074,0.911,0,0,1,2,1,20
6636.47,0.741411007274318,0.893,0,0,1,2,1,21
6090.96,0.69106574942457,0.973,0,0,1,2,1,22
5442.14,0.631185985170802,1.05,0,0,1,2,1,23
5406.84,0.627928139114641,1.181,0,0,1,3,0,0
5229.44,0.611555847602945,1.329,0,0,1,3,0,1
5044.1,0.594450771454255,1.494,0,0,1,3,0,2
4996.77,0.590082673611816,1.597,0,0,1,3,0,3
5191.65,0.608068198807979,1.783,0,0,1,3,0,4
5473.09,0.634042368610976,2.117,0.4882,2.46,1,3,0,5
5782.55,0.662602511402461,3.338,21.5672,53.2771,1,3,0,6
6246.61,0.705430727856337,5.185,71.6849,112.3961,1,3,0,7
6360.75,0.715964737738778,6.617,123.7271,152.0232,1,3,0,8
6405.57,0.72010118703728,7.846,166.8465,171.9718,1,3,0,9
6247.98,0.705557165507809,8.789,213.6026,162.3897,1,3,0,10
6154.09,0.696892033320474,9.579,343.9172,95.8998,1,3,0,11
5949.61,0.678020521661446,9.861,296.3337,74.798,1,3,0,12
6382.39,0.717961898890487,9.459,172.7019,65.6537,1,3,0,13
6856.37,0.761705634689323,7.789,40.4464,41.4038,1,3,0,14
7383.71,0.810373978577586,6.225,0.1457,0.8127,1,3,0,15
8092.54,0.875792081126827,5.987,0,0,1,3,0,16
8098.46,0.876338439445594,5.824,0,0,1,3,0,17
7905.61,0.858540263470225,5.663,0,0,1,3,0,18
7498.59,0.820976283249872,5.538,0,0,1,3,0,19
6986.86,0.773748590266331,5.583,0,0,1,3,0,20
6538.12,0.732334260542778,5.506,0,0,1,3,0,21
5968.61,0.679774036535867,5.399,0,0,1,3,0,22
5449.99,0.631910463684707,5.366,0,0,1,3,0,23
5384.37,0.625854377049997,5.421,0,0,1,4,0,0
5178.39,0.606844430006147,5.477,0,0,1,4,0,1
4935.51,0.584428972495658,5.584,0,0,1,4,0,2
4870.59,0.578437489040532,5.821,0,0,1,4,0,3
4952.56,0.586002521369809,6.053,0,0,1,4,0,4
5038.67,0.593949635361196,6.343,0.2049,2.3755,1,4,0,5
5187.72,0.607705498099744,7.127,4.341,46.0736,1,4,0,6
5535.75,0.639825276086302,8.47,12.6956,108.2033,1,4,0,7
5917.29,0.6750377005698,9.679,20.7862,156.8263,1,4,0,8
6213.88,0.702410067759506,10.672,34.5172,198.5265,1,4,0,9
6238.63,0.704694251609081,11.356,40.1254,210.4225,1,4,0,10
6080.41,0.690092087217984,11.766,46.8912,203.0112,1,4,0,11
5815.93,0.665683160166049,11.955,67.0392,177.2351,1,4,0,12
6186.62,0.699894235365995,11.582,43.0379,121.8596,1,4,0,13
6503.45,0.729134557348243,10.081,10.7764,50.1639,1,4,0,14
6833,0.759548811393786,8.501,0.0363,0.6572,1,4,0,15
7401.63,0.812027819974934,7.89,0,0,1,4,0,16
7414.87,0.813249742971635,7.349,0,0,1,4,0,17
7406.55,0.812481888037152,6.909,0,0,1,4,0,18
7167.66,0.790434668650292,6.492,0,0,1,4,0,19
6688.01,0.746167647096825,6.126,0,0,1,4,0,20
6306.89,0.710993984521078,5.744,0,0,1,4,0,21
5647.76,0.650162707722295,5.445,0,0,1,4,0,22
5083.62,0.59809808239305,5.057,0,0,1,4,0,23
