Demand,Normalized_net,Temperature,DNI,DHI,Month,Day,Weekday,Hour
9401,0.228164829150051,1.869,0,0,1,1,1,0
8957,0.193447493940105,1.625,0,0,1,1,1,1
8462,0.1547423567128,1.448,0,0,1,1,1,2
8156,0.130815544608648,1.25,0,0,1,1,1,3
8126,0.128469778716084,1.102,0,0,1,1,1,4
8292,0.141449683321605,0.93,0,0,1,1,1,5
8638,0.168504183282508,0.784,0,0,1,1,1,6
8927,0.191101728047541,0.556,0.0104,0.3146,1,1,1,7
9272,0.218078035812026,0.718,1.3873,22.9796,1,1,1,8
9808,0.259989053092501,1.359,14.1813,75.83,1,1,1,9
10185,0.289467511142388,2.04,33.3686,109.3271,1,1,1,10
11606,0.400578622253499,2.75,26.065,116.4142,1,1,1,11
11668,0.405426538431465,3.172,18.769,106.7854,1,1,1,12
11888,0.4226288216436,3.298,12.5004,81.8714,1,1,1,13
11743,0.411290953162874,3.116,7.3186,46.7563,1,1,1,14
12073,0.437094377981077,2.617,0.3205,4.1349,1,1,1,15
12683,0.484791617796544,2.359,0,0,1,1,1,16
12299,0.454765814371726,2.252,0,0,1,1,1,17
11716,0.409179763859567,2.213,0,0,1,1,1,18
11365,0.381734302916569,2.179,0,0,1,1,1,19
10878,0.343654703260615,2.196,0,0,1,1,1,20
10563,0.319024161388693,2.252,0,0,1,1,1,21
9824,0.261240128235202,2.388,0,0,1,1,1,22
8995,0.196418797404019,2.64,0,0,1,1,1,23
8303,0.142309797482211,2.977,0,0,1,2,1,0
7876,0.108921729611385,3.374,0,0,1,2,1,1
7700,0.095159903041677,3.841,0,0,1,2,1,2
7771,0.100711548987411,4.457,0,0,1,2,1,3
8255,0.138556572054109,5.25,0,0,1,2,1,4
9355,0.224567988114786,6.165,0,0,1,2,1,5
10990,0.35241222925952,7.026,0,0,1,2,1,6
12458,0.467198373602314,7.307,0.0046,0.2004,1,2,1,7
13444,0.544295879271249,7.184,1.8736,25.4316,1,2,1,8
14014,0.588865431229963,7.247,7.9902,66.1984,1,2,1,9
13965,0.585034013605442,7.375,18.2564,98.9232,1,2,1,10
13703,0.564547658143717,7.548,44.5535,116.558,1,2,1,11
13381,0.539369770896864,7.643,105.9439,94.8092,1,2,1,12
13349,0.536867620611463,7.4,87.8804,72.7515,1,2,1,13
13783,0.570803033857221,6.694,26.9907,48.3691,1,2,1,14
14162,0.600437876299945,5.832,0.7856,4.9949,1,2,1,15
15086,0.672687465790914,5.584,0,0,1,2,1,16
14341,0.61443427945891,5.462,0,0,1,2,1,17
13904,0.580264289623896,5.309,0,0,1,2,1,18
13403,0.541089999218078,4.985,0,0,1,2,1,19
12632,0.480803815779185,4.642,0,0,1,2,1,20
11720,0.409492532645242,4.391,0,0,1,2,1,21
11180,0.367268746579091,4.092,0,0,1,2,1,22
10869,0.342950973492845,3.676,0,0,1,2,1,23
10501,0.314176245210728,3.897,0,0,1,3,0,0
10213,0.291656892642114,4.034,0,0,1,3,0,1
10047,0.278676988036594,3.947,0,0,1,3,0,2
9840,0.262491203377903,3.821,0,0,1,3,0,3
10137,0.285714285714286,3.691,0,0,1,3,0,4
10463,0.311204941746814,3.616,0,0,1,3,0,5
11022,0.354914379544921,3.59,0,0,1,3,0,6
11918,0.424974587536164,3.563,0.0007,0.0823,1,3,0,7
12978,0.507858315740089,3.446,0.0768,7.3092,1,3,0,8
13664,0.561498162483384,3.252,0.248,20.3987,1,3,0,9
14448,0.622800844475721,3.011,0.49,33.2347,1,3,0,10
14803,0.650559074204394,3.053,2.9364,78.8578,1,3,0,11
14830,0.652670263507702,3.265,5.3455,91.4857,1,3,0,12
15077,0.671983736023145,3.254,2.8883,64.2998,1,3,0,13
15447,0.7009148486981,2.905,0.7225,27.1545,1,3,0,14
15727,0.722808663695363,2.344,0.037,2.2206,1,3,0,15
16127,0.754085542262882,2.292,0,0,1,3,0,16
15663,0.71780436312456,2.379,0,0,1,3,0,17
14800,0.650324497615138,2.585,0,0,1,3,0,18
13959,0.584564860426929,2.901,0,0,1,3,0,19
13258,0.529752130737352,3.337,0,0,1,3,0,20
12430,0.465008992102588,3.584,0,0,1,3,0,21
11604,0.400422237860662,3.309,0,0,1,3,0,22
11033,0.355774493705528,3.243,0,0,1,3,0,23
10512,0.315036359371335,3.271,0,0,1,4,0,0
9963,0.272108843537415,3.333,0,0,1,4,0,1
9759,0.25615763546798,3.322,0,0,1,4,0,2
9715,0.252717178825553,3.278,0,0,1,4,0,3
9865,0.264446008288373,2.998,0,0,1,4,0,4
10119,0.284306826178747,2.849,0,0,1,4,0,5
10770,0.335209946047384,2.614,0,0,1,4,0,6
11637,0.403002580342482,2.427,0.0539,0.5973,1,4,0,7
12400,0.462663226210024,3.068,14.6852,33.9898,1,4,0,8
13097,0.517163187113926,4.575,73.7316,62.6794,1,4,0,9
13280,0.531472359058566,5.636,130.7886,71.5328,1,4,0,10
13120,0.518961607631558,6.312,156.972,73.7157,1,4,0,11
13313,0.534052701540386,6.614,145.435,71.6449,1,4,0,12
13566,0.553835327234342,6.399,98.6998,64.5757,1,4,0,13
13819,0.573617952928298,5.16,33.658,45.262,1,4,0,14
13923,0.581749941355853,2.972,1.2615,5.5357,1,4,0,15
15051,0.669950738916256,2.142,0,0,1,4,0,16
15182,0.680193916647119,1.677,0,0,1,4,0,17
15015,0.667135819845179,1.353,0,0,1,4,0,18
14561,0.631636562671045,1.166,0,0,1,4,0,19
14015,0.588943623426382,1.084,0,0,1,4,0,20
13172,0.523027601845336,1.019,0,0,1,4,0,21
12148,0.442958792712487,0.95,0,0,1,4,0,22
11476,0.390413636719055,0.909,0,0,1,4,0,23
10890,0.34459300961764,0.897,0,0,1,5,1,0
10460,0.310970365157557,0.883,0,0,1,5,1,1
10373,0.304167644069122,0.859,0,0,1,5,1,2
10550,0.318007662835249,0.968,0,0,1,5,1,3
11098,0.36085698647275,1.246,0,0,1,5,1,4
13000,0.509578544061303,1.352,0,0,1,5,1,5
15444,0.700680272108844,1.329,0,0,1,5,1,6
17613,0.870279146141215,1.232,0.0084,0.4095,1,5,1,7
18229,0.918445539135194,1.344,0.9109,23.4306,1,5,1,8
18406,0.932285557901321,1.767,3.4693,61.1148,1,5,1,9
18532,0.94213777465009,2.272,4.8281,83.4075,1,5,1,10
17343,0.84916725310814,2.681,4.0881,85.2781,1,5,1,11
18489,0.938775510204082,2.947,2.5399,70.4721,1,5,1,12
18783,0.961764015951208,3.076,1.2334,46.6375,1,5,1,13
18740,0.9584017515052,2.995,0.4183,21.2961,1,5,1,14
18980,0.977167878645711,2.724,0.0304,2.0564,1,5,1,15
19272,1,2.609,0,0,1,5,1,16
18341,0.9272030651341,2.518,0,0,1,5,1,17
17568,0.866760497302369,2.456,0,0,1,5,1,18
16884,0.813277034951912,2.388,0,0,1,5,1,19
15951,0.740323715693174,2.281,0,0,1,5,1,20
14697,0.642270701384002,2.187,0,0,1,5,1,21
13708,0.564938619125811,2.035,0,0,1,5,1,22
12772,0.491750723277817,1.776,0,0,1,5,1,23
12082,0.437798107748847,1.503,0,0,1,6,1,0
11748,0.411681914144968,1.223,0,0,1,6,1,1
11644,0.403549925717413,0.965,0,0,1,6,1,2
11709,0.408632418484635,0.67,0,0,1,6,1,3
12060,0.436077879427633,0.39,0,0,1,6,1,4
13425,0.542810227539292,0.031,0,0,1,6,1,5
15997,0.743920556728438,-0.255,0,0,1,6,1,6
18095,0.907967784815075,-0.477,0.0293,0.7002,1,6,1,7
