Net,Temprature
2078.0600210888274,-5.9
2057.993264716497,-5.8
2039.019542228758,-5.8
2027.431311623848,-5.7
2026.8098894435811,-5.7
2037.2160050554812,-5.8
2039.1674518693185,-5.7
2062.5665573016636,-5.5
2070.9137758089496,-5.4
2091.003082956637,-5.4
2097.196107360617,-5.3
2095.7056041942524,-5.2
2073.179554310992,-5.2
2043.7000074512537,-5.1
2037.887428954348,-5.0
2032.3431127858971,-4.9
2037.2594643321788,-4.6
2064.682429918745,-4.3
2120.1389566279204,-4.0
2115.143902612158,-3.9
2102.2611568243806,-3.7
2076.241373035987,-3.4
2030.61411900556,-3.1
1984.1708000000003,-3.0
1950.0345074417423,-2.9
1920.2936883504588,-2.9
1914.8352386749807,-2.8
1914.72421026147,-2.7
1917.1032406052016,-2.7
1943.4660832414472,-2.7
1968.817201220614,-2.7
2007.607217028648,-2.6
1999.390057203522,-2.7
2016.9486629057037,-2.4
2032.4789400631344,-1.8
2018.3105284672413,-1.6
1956.8160466720913,-1.7
1901.7565684653073,-1.3
1847.1984468364344,-0.9
1815.5602869652143,-0.6
1787.569965752127,-0.5
1773.9855441507548,-0.3
1813.4234906637544,-0.3
1814.2136306614484,-0.3
1770.9663959763027,-0.2
1717.1557033754589,-0.2
1680.10467425743,-0.4
1660.5895,-0.6
1610.548543768237,-0.7
1589.927047555392,-0.6
1587.2284817461727,-0.6
1583.5242333678777,-0.6
1584.5328167235764,-0.5
1615.336789209778,-0.6
1628.8157505476977,-0.6
1656.0026389537754,-1.4
1644.2348575678823,-1.6
1611.391457097674,-2.3
1503.9380604659782,-2.8
1420.3744847727176,-4.2
1415.376068778074,-4.9
1404.5099827766624,-5.2
1402.66533658292,-3.2
1407.56797089551,-0.4
1407.071517431195,1.5
1459.459412988098,3.0
1575.8517882727149,5.2
1615.2738672696485,7.4
1623.2789633961056,9.5
1614.2847590622289,10.9
1595.0380178881996,10.8
1575.41871,9.5
1554.482151701615,6.7
1544.4452044716124,5.4
1537.937331339889,5.0
1539.577527549478,4.9
1545.1444087685402,3.5
1572.6790551020038,1.0
1601.1068887118588,0.0
1633.576358865114,-1.0
1642.7796508232948,-1.0
1642.3581952584443,1.4
1630.8477483477798,0.7
1616.5511265950463,-0.1
1587.9410636149287,-1.1
1568.6705788982565,-1.6
1547.1644689450277,-0.2
1532.467942677181,-0.5
1538.5848608051847,-0.5
1581.1903694583068,0.1
1691.844240410272,0.6
1750.9665317067572,0.8
1774.3883797965696,1.6
1770.364748963482,1.7
1733.192589928834,1.6
1693.5518,1.2
1659.540881420591,-0.6
1655.4583294264587,-1.3
1653.716283079561,-1.9
1667.1559471389196,-2.6
1688.29835406317,-3.1
1747.4429422768128,-3.0
1832.7211217985005,-1.8
1890.3818854981275,-1.9
1851.5431403295445,-1.8
1816.6017089561567,-2.0
1772.736924861638,-2.0
1738.0235648029443,-2.2
1689.9444905339258,-2.1
1655.6487771283687,-2.9
1635.871297579447,-2.5
1623.0446299874511,1.1
1627.1010839265589,3.5
1652.0323854166736,5.4
1772.8623136320596,7.6
1819.632473315689,9.6
1838.3156295743076,11.1
1822.0370080746432,12.1
1773.584989850656,12.5
1716.5261200000004,11.2
1685.924214966538,8.6
1682.241812463417,7.5
1688.4575285332323,6.1
1690.957125339736,4.6
1705.8229448545212,3.5
1760.4516604799503,1.5
1855.468302424408,0.4
1911.33968720361,0.4
1881.483320039859,0.1
1861.205413118402,-0.6
1816.5642426571203,-1.2
1778.6239243392065,0.1
1734.674392238102,-0.2
1714.9395436712284,-1.7
1695.4926670962373,-0.3
1687.1127717433153,2.8
1718.6157568239853,7.4
1739.933020759218,11.3
1845.199626900282,14.6
1889.1623922173,16.0
1905.3350011037276,17.0
1889.2369122148073,17.1
1850.3031202662912,16.9
1803.16549,15.3
1789.0694505476122,10.7
1781.5956004864995,7.9
1787.737802799748,6.3
1803.5847000961555,5.2
1824.0381353671232,4.0
1890.4692258245689,4.2
1988.1468770122335,3.9
2050.075172771831,3.4
2030.2078271068187,3.2
2031.478259667778,2.3
2040.6048113726313,1.5
2043.9487238622835,1.4
2037.1832703718935,1.4
2054.9825319241786,1.2
2088.1752627765172,1.8
2126.76890086495,4.2
2161.9628421080356,4.3
