Net,Temprature
1470.814721023954,-7.1
1440.832944004364,-6.9
1430.4950438853127,-6.5
1423.8063477930784,-6.1
1428.1808234750183,-5.7
1447.3770521976865,-5.6
1475.9874771756004,-5.4
1499.9117019613097,-5.7
1523.473948884144,-5.9
1545.13794122497,-5.7
1552.4154289703047,-5.5
1553.3708060146405,-5.4
1538.9750845910637,-5.2
1514.060661926666,-4.9
1489.650293594117,-4.0
1474.2323309506037,-4.0
1480.7567764550913,-3.6
1514.5904543153126,-3.3
1549.7832135681813,-2.9
1528.6110606530513,-2.6
1497.1442101510695,-2.2
1459.2799905077318,-2.0
1407.451888083551,-1.9
1359.09812,-1.8
1321.6760353895188,-1.8
1305.004365312485,-1.7
1294.491020351143,-1.6
1289.8506869179782,-1.7
1302.5581205239102,-1.5
1340.3071484155748,-1.2
1394.438190990548,-0.9
1440.4505352842857,-0.8
1466.130467939004,-0.7
1496.6855800670983,-0.4
1514.020844542233,-0.4
1509.5263081213318,-0.8
1491.5712153530255,-1.0
1472.9264890803468,-1.2
1459.549521420539,-1.1
1448.900983630154,-0.8
1449.293080392334,-0.6
1471.5237892194823,-0.4
1493.207403551001,-0.4
1473.8559221077471,-0.2
1432.3074288562527,0.1
1381.2342849003262,0.1
1312.0005593452952,0.1
1254.7543699999999,0.2
1210.750289683982,0.2
1186.019211771475,0.2
1180.2017143921078,0.3
1181.308861461921,0.3
1188.474534707125,0.2
1215.1477800917812,0.5
1249.3935395044812,0.6
1294.197806708933,0.8
1312.062518593643,1.0
1281.4737228855415,1.1
1190.057888737048,1.2
1085.4383606908873,1.3
1023.195587644917,1.1
1043.9866739443662,0.6
1013.20133840152,1.1
997.4719291820351,2.2
1010.907843783634,5.0
1051.592098128401,8.6
1138.225529470169,9.4
1173.9391382517629,9.5
1181.684561227367,10.5
1181.612205471357,11.3
1167.7568861311377,11.3
1132.3475899999999,9.9
1085.632781794016,7.4
1082.830695161454,5.7
1093.207634623829,4.1
1104.536403467789,3.2
1128.5646537762223,3.2
1170.7648219315263,3.0
