Demand,Normalized_net,Temprature
1280.8,0.531006478,-5.8
1230.8,0.510276993,-6.1
1198.5,0.496885746,-7.5
1188.9,0.492905685,-8.4
1190.9,0.493734864,-7.4
1211.6,0.502316871,-6.9
1240.7,0.514381431,-6.5
1269.8,0.526445991,-6.3
1314.356085,0.544918484,-6.4
1351.82866,0.560454228,-6.4
1359.882224,0.563793152,-7.0
1371.149418,0.568464415,-6.9
1409.824545,0.584498724,-6.6
1369.474107,0.567769848,-5.8
1378.181503,0.571379845,-4.4
1367.693635,0.567031683,-3.1
1487.2,0.61657779,-2.0
1594.9,0.6612291,-1.4
1582.9,0.656254024,-0.4
1549.3,0.64232381,0.2
1496.8,0.620557851,0.3
1425.8,0.591121983,-0.2
1330.2,0.551487208,-0.3
1239.9,0.514049759,-0.4
1179.4,0.488967083,0.2
1147.4,0.475700213,0.3
1134.3,0.470269088,0.5
1118.3,0.463635653,0.9
1126.8,0.467159665,0.9
1172.0,0.485899119,0.2
1272.4,0.527523924,-0.3
1349.3,0.559405871,-0.8
1362.410027,0.564841154,-0.8
1363.574918,0.565324105,-1.0
1367.925991,0.567128015,-0.5
1362.772344,0.564991366,0.1
1351.097225,0.560150982,0.3
1351.283451,0.56022819,0.7
1360.736224,0.564147212,1.1
1409.768204,0.584475366,1.9
1538.1,0.637680405,2.5
1631.3,0.676320165,2.9
1608.6,0.666908979,2.8
1567.4,0.649827883,3.6
1517.3,0.62905694,2.4
1443.6,0.598501679,1.0
1357.9,0.562971343,0.1
1267.0,0.52528514,-0.5
1197.1,0.49630532,-0.8
1156.3,0.479390061,-2.0
1134.3,0.470269088,-3.2
1128.3,0.46778155,-4.1
1142.4,0.473627264,-4.6
1180.6,0.48946459,-5.1
1242.1,0.514961856,-6.0
1308.8,0.542614989,-6.3
1342.196151,0.556460689,-6.3
1369.419087,0.567747038,-6.5
1361.932125,0.56464302,-6.6
1402.203484,0.581339111,-6.2
1369.106514,0.567617448,-6.4
1390.566242,0.57651443,-5.8
1432.139139,0.593750125,-4.1
1468.710871,0.608912388,-1.8
1578.2,0.654305452,-0.9
1654.4,0.685897186,-0.2
1631.6,0.676444542,-0.8
1584.8,0.657041744,-1.8
1527.1,0.633119919,-1.4
1435.6,0.595184962,-1.0
1347.2,0.558535233,-0.7
1259.3,0.522092799,-0.3
1185.7,0.491578998,0.3
1134.3,0.470269088,0.6
1107.4,0.459116625,0.8
1099.1,0.455675531,1.0
1094.6,0.453809877,0.6
1118.0,0.463511276,0.2
1152.8,0.477938997,0.3
1195.4,0.495600518,0.2
1232.205495,0.510859697,0.1
1280.010087,0.530678988,0.1
1271.002289,0.526944448,0.3
1370.636153,0.568251621,0.9
1316.062785,0.545626065,1.2
1325.798129,0.549662238,1.6
1343.742152,0.557101645,3.3
1387.645708,0.575303607,4.4
1514.9,0.628061924,4.1
1578.9,0.654595665,3.4
1552.5,0.643650497,4.1
1503.7,0.62341852,4.7
1440.1,0.597050615,6.1
1334.2,0.553145567,6.0
1237.8,0.513179121,6.5
1150.8,0.477109818,7.6
1093.0,0.453146533,7.3
1070.5,0.443818265,7.9
1053.8,0.436894617,8.8
1060.3,0.43958945,8.4
1104.9,0.458080151,8.0
1203.7,0.499041612,6.0
1385.4,0.574372559,4.8
1484.3,0.61537548,4.1
1485.901904,0.616039613,3.6
1491.260837,0.618261371,3.3
1491.537656,0.618376137,2.2
