Demand,Normalized_net,Temprature
1069.8,0.491245578,-5.8
1020.4,0.468561402,-6.1
982.8,0.451295713,-7.5
962.1,0.4417904,-8.4
957.5,0.439678109,-7.4
972.0,0.446336419,-6.9
998.9,0.458688734,-6.5
1006.3,0.462086768,-6.3
1023.250446,0.469870309,-6.4
989.8608303,0.454538003,-6.4
984.371008,0.45201711,-7.0
987.7096401,0.453550189,-6.9
1034.57813,0.475071912,-6.6
978.401078,0.449275755,-5.8
1049.932699,0.482122635,-4.4
1088.015176,0.499609874,-3.1
1194.4,0.548461131,-2.0
1315.5,0.604069506,-1.4
1315.7,0.604161345,-0.4
1290.8,0.592727418,0.2
1258.5,0.577895457,0.3
1206.6,0.554063296,-0.2
1126.0,0.517052272,-0.3
1034.8,0.475173793,-0.4
964.4,0.442846546,0.2
917.7,0.421402194,0.3
898.9,0.412769349,0.5
891.6,0.409417234,0.9
904.0,0.415111238,0.9
943.9,0.433433072,0.2
1009.4,0.463510269,-0.3
1073.3,0.492852756,-0.8
1039.012398,0.4771081,-0.8
1029.637413,0.472803165,-1.0
1007.980428,0.462858411,-0.5
995.1019206,0.456944679,0.1
993.8952289,0.456390574,0.3
1052.131857,0.483132475,0.7
1061.835781,0.487588457,1.1
1079.820188,0.495846786,1.9
1210.7,0.555945991,2.5
1312.8,0.602829683,2.9
1315.5,0.604069506,2.8
1291.8,0.593186612,3.6
1262.2,0.579594474,2.4
1215.5,0.558150121,1.0
1135.3,0.521322775,0.1
1058.4,0.486010768,-0.5
985.1,0.452351859,-0.8
941.5,0.432331007,-2.0
919.0,0.421999146,-3.2
910.8,0.418233756,-4.1
913.6,0.419519499,-4.6
932.5,0.428198262,-5.1
977.2,0.448724227,-6.0
1015.9,0.466495029,-6.3
981.3127515,0.450612778,-6.3
977.3475469,0.44879198,-6.5
977.376148,0.448805114,-6.6
984.6457212,0.452143257,-6.2
1004.891969,0.461440209,-6.4
1038.392732,0.476823553,-5.8
1080.676777,0.496240127,-4.1
