Demand,Normalized_net,Temprature
336.5,0.525130006,-5.8
317.7,0.495791391,-6.1
307.0,0.479093349,-7.5
300.6,0.469105735,-8.4
298.4,0.465672493,-7.4
304.1,0.474567711,-6.9
311.4,0.485959833,-6.5
313.9,0.489861245,-6.3
303.9180115,0.474283706,-6.4
328.7855451,0.5130911,-6.4
332.5021834,0.518891155,-7.0
319.306558,0.498298528,-6.9
317.0225787,0.494734231,-6.6
328.8419865,0.513179181,-5.8
335.8092605,0.524052062,-4.4
338.0240241,0.527508344,-3.1
370.2,0.577721035,-2.0
408.2,0.637022492,-1.4
412.5,0.64373292,-0.4
404.8,0.631716572,0.2
394.3,0.615330643,0.3
377.0,0.588332874,-0.2
345.9,0.539799314,-0.3
320.3,0.499848859,-0.4
290.4,0.453187975,0.2
273.2,0.426346263,0.3
264.4,0.412613294,0.5
266.4,0.415734424,0.9
274.0,0.427594715,0.9
288.8,0.450691072,0.2
311.5,0.48611589,-0.3
330.3,0.515454505,-0.8
341.7832289,0.533374826,-0.8
343.9866742,0.536813445,-1.0
326.4615131,0.509464298,-0.5
331.5415382,0.517392006,0.1
326.187504,0.509036689,0.3
311.646941,0.486345201,0.7
321.6604519,0.501971932,1.1
345.1426174,0.538617369,1.9
370.9,0.57881343,2.5
410.3,0.640299677,2.9
414.3,0.646541936,2.8
404.5,0.631248402,3.6
394.9,0.616266982,2.4
377.9,0.589737383,1.0
348.2,0.543388612,0.1
318.9,0.497664068,-0.5
296.1,0.462083194,-0.8
285.1,0.444916983,-2.0
278.9,0.435241482,-3.2
275.4,0.429779506,-4.1
277.4,0.432900635,-4.6
286.9,0.447725999,-5.1
303.0,0.47285109,-6.0
319.0,0.497820125,-6.3
328.7376631,0.513016377,-6.3
352.6081009,0.550267739,-6.5
345.8155682,0.539667552,-6.6
321.0612153,0.501036784,-6.2
358.3646654,0.55925123,-6.4
348.9386824,0.544541374,-5.8
379.8475182,0.592776611,-4.1
388.4579653,0.60621377,-1.8
410.6,0.640767847,-0.9
435.6,0.679781963,-0.2
438.4,0.684151544,-0.8
