"Eastern Date Hour","Zone Name","Zone PTID","TWI Actual Load"
"2015/01/01 00:00:00","HUD VL","61758","1069.8"
"2015/01/01 01:00:00","HUD VL","61758","1020.4"
"2015/01/01 02:00:00","HUD VL","61758","982.8"
"2015/01/01 03:00:00","HUD VL","61758","962.1"
"2015/01/01 04:00:00","HUD VL","61758","957.5"
"2015/01/01 05:00:00","HUD VL","61758","972"
"2015/01/01 06:00:00","HUD VL","61758","998.9"
"2015/01/01 07:00:00","HUD VL","61758","1006.3"
"2015/01/01 08:00:00","HUD VL","61758","1032.1"
"2015/01/01 09:00:00","HUD VL","61758","1065.2"
"2015/01/01 10:00:00","HUD VL","61758","1096"
"2015/01/01 11:00:00","HUD VL","61758","1110.9"
"2015/01/01 12:00:00","HUD VL","61758","1116.1"
"2015/01/01 13:00:00","HUD VL","61758","1114.3"
"2015/01/01 14:00:00","HUD VL","61758","1103.6"
"2015/01/01 15:00:00","HUD VL","61758","1117.5"
"2015/01/01 16:00:00","HUD VL","61758","1194.4"
"2015/01/01 17:00:00","HUD VL","61758","1315.5"
"2015/01/01 18:00:00","HUD VL","61758","1315.7"
"2015/01/01 19:00:00","HUD VL","61758","1290.8"
"2015/01/01 20:00:00","HUD VL","61758","1258.5"
"2015/01/01 21:00:00","HUD VL","61758","1206.6"
"2015/01/01 22:00:00","HUD VL","61758","1126"
"2015/01/01 23:00:00","HUD VL","61758","1034.8"
"2015/01/02 00:00:00","HUD VL","61758","964.4"
"2015/01/02 01:00:00","HUD VL","61758","917.7"
"2015/01/02 02:00:00","HUD VL","61758","898.9"
"2015/01/02 03:00:00","HUD VL","61758","891.6"
"2015/01/02 04:00:00","HUD VL","61758","904"
"2015/01/02 05:00:00","HUD VL","61758","943.9"
"2015/01/02 06:00:00","HUD VL","61758","1009.4"
"2015/01/02 07:00:00","HUD VL","61758","1073.3"
"2015/01/02 08:00:00","HUD VL","61758","1115"
"2015/01/02 09:00:00","HUD VL","61758","1161.5"
"2015/01/02 10:00:00","HUD VL","61758","1174.1"
"2015/01/02 11:00:00","HUD VL","61758","1177.1"
"2015/01/02 12:00:00","HUD VL","61758","1174.5"
"2015/01/02 13:00:00","HUD VL","61758","1161.4"
"2015/01/02 14:00:00","HUD VL","61758","1149.7"
"2015/01/02 15:00:00","HUD VL","61758","1147"
"2015/01/02 16:00:00","HUD VL","61758","1210.7"
"2015/01/02 17:00:00","HUD VL","61758","1312.8"
"2015/01/02 18:00:00","HUD VL","61758","1315.5"
"2015/01/02 19:00:00","HUD VL","61758","1291.8"
"2015/01/02 20:00:00","HUD VL","61758","1262.2"
"2015/01/02 21:00:00","HUD VL","61758","1215.5"
"2015/01/02 22:00:00","HUD VL","61758","1135.3"
"2015/01/02 23:00:00","HUD VL","61758","1058.4"
"2015/01/03 00:00:00","HUD VL","61758","985.1"
"2015/01/03 01:00:00","HUD VL","61758","941.5"
"2015/01/03 02:00:00","HUD VL","61758","919"
"2015/01/03 03:00:00","HUD VL","61758","910.8"
"2015/01/03 04:00:00","HUD VL","61758","913.6"
"2015/01/03 05:00:00","HUD VL","61758","932.5"
"2015/01/03 06:00:00","HUD VL","61758","977.2"
"2015/01/03 07:00:00","HUD VL","61758","1015.9"
"2015/01/03 08:00:00","HUD VL","61758","1057.4"
"2015/01/03 09:00:00","HUD VL","61758","1108.8"
"2015/01/03 10:00:00","HUD VL","61758","1145"
"2015/01/03 11:00:00","HUD VL","61758","1167.3"
"2015/01/03 12:00:00","HUD VL","61758","1182.6"
"2015/01/03 13:00:00","HUD VL","61758","1198.1"
"2015/01/03 14:00:00","HUD VL","61758","1199.1"
"2015/01/03 15:00:00","HUD VL","61758","1206.6"
"2015/01/03 16:00:00","HUD VL","61758","1276.4"
"2015/01/03 17:00:00","HUD VL","61758","1351.7"
"2015/01/03 18:00:00","HUD VL","61758","1340.2"
"2015/01/03 19:00:00","HUD VL","61758","1305.5"
"2015/01/03 20:00:00","HUD VL","61758","1260.1"
"2015/01/03 21:00:00","HUD VL","61758","1190.7"
"2015/01/03 22:00:00","HUD VL","61758","1109.6"
"2015/01/03 23:00:00","HUD VL","61758","1025.4"
"2015/01/04 00:00:00","HUD VL","61758","945.6"
"2015/01/04 01:00:00","HUD VL","61758","900.5"
"2015/01/04 02:00:00","HUD VL","61758","873.2"
"2015/01/04 03:00:00","HUD VL","61758","856.8"
"2015/01/04 04:00:00","HUD VL","61758","857"
"2015/01/04 05:00:00","HUD VL","61758","868.9"
"2015/01/04 06:00:00","HUD VL","61758","901.4"
"2015/01/04 07:00:00","HUD VL","61758","942.2"
"2015/01/04 08:00:00","HUD VL","61758","999.3"
"2015/01/04 09:00:00","HUD VL","61758","1055.9"
"2015/01/04 10:00:00","HUD VL","61758","1103.7"
"2015/01/04 11:00:00","HUD VL","61758","1140.9"
"2015/01/04 12:00:00","HUD VL","61758","1147.1"
"2015/01/04 13:00:00","HUD VL","61758","1145.4"
"2015/01/04 14:00:00","HUD VL","61758","1141.8"
"2015/01/04 15:00:00","HUD VL","61758","1151.4"
"2015/01/04 16:00:00","HUD VL","61758","1224"
"2015/01/04 17:00:00","HUD VL","61758","1297.4"
"2015/01/04 18:00:00","HUD VL","61758","1286.9"
"2015/01/04 19:00:00","HUD VL","61758","1247.5"
"2015/01/04 20:00:00","HUD VL","61758","1196.7"
"2015/01/04 21:00:00","HUD VL","61758","1112.8"
"2015/01/04 22:00:00","HUD VL","61758","1022.6"
"2015/01/04 23:00:00","HUD VL","61758","935.5"
"2015/01/05 00:00:00","HUD VL","61758","868"
"2015/01/05 01:00:00","HUD VL","61758","843.5"
"2015/01/05 02:00:00","HUD VL","61758","830.2"
"2015/01/05 03:00:00","HUD VL","61758","826.8"
"2015/01/05 04:00:00","HUD VL","61758","848.3"
"2015/01/05 05:00:00","HUD VL","61758","924.7"
"2015/01/05 06:00:00","HUD VL","61758","1050.3"
"2015/01/05 07:00:00","HUD VL","61758","1117.3"
"2015/01/05 08:00:00","HUD VL","61758","1137.4"
"2015/01/05 09:00:00","HUD VL","61758","1151.2"
"2015/01/05 10:00:00","HUD VL","61758","1163.2"
"2015/01/05 11:00:00","HUD VL","61758","1176.1"
"2015/01/05 12:00:00","HUD VL","61758","1168.7"
"2015/01/05 13:00:00","HUD VL","61758","1167.7"
"2015/01/05 14:00:00","HUD VL","61758","1173.7"
"2015/01/05 15:00:00","HUD VL","61758","1200.7"
"2015/01/05 16:00:00","HUD VL","61758","1280.6"
"2015/01/05 17:00:00","HUD VL","61758","1416.7"
"2015/01/05 18:00:00","HUD VL","61758","1441.3"
"2015/01/05 19:00:00","HUD VL","61758","1424.8"
"2015/01/05 20:00:00","HUD VL","61758","1396.1"
"2015/01/05 21:00:00","HUD VL","61758","1324.3"
"2015/01/05 22:00:00","HUD VL","61758","1218.6"
"2015/01/05 23:00:00","HUD VL","61758","1117.8"
"2015/01/06 00:00:00","HUD VL","61758","1057.1"
"2015/01/06 01:00:00","HUD VL","61758","1026.3"
"2015/01/06 02:00:00","HUD VL","61758","1009.9"
"2015/01/06 03:00:00","HUD VL","61758","1004.1"
"2015/01/06 04:00:00","HUD VL","61758","1023.2"
"2015/01/06 05:00:00","HUD VL","61758","1085.7"
"2015/01/06 06:00:00","HUD VL","61758","1195.1"
"2015/01/06 07:00:00","HUD VL","61758","1272.9"
"2015/01/06 08:00:00","HUD VL","61758","1297.3"
"2015/01/06 09:00:00","HUD VL","61758","1317.5"
"2015/01/06 10:00:00","HUD VL","61758","1338.6"
"2015/01/06 11:00:00","HUD VL","61758","1344.7"
"2015/01/06 12:00:00","HUD VL","61758","1334.4"
"2015/01/06 13:00:00","HUD VL","61758","1318.4"
"2015/01/06 14:00:00","HUD VL","61758","1295"
"2015/01/06 15:00:00","HUD VL","61758","1301.4"
"2015/01/06 16:00:00","HUD VL","61758","1362.8"
"2015/01/06 17:00:00","HUD VL","61758","1484.2"
"2015/01/06 18:00:00","HUD VL","61758","1509"
"2015/01/06 19:00:00","HUD VL","61758","1490.6"
"2015/01/06 20:00:00","HUD VL","61758","1456.7"
"2015/01/06 21:00:00","HUD VL","61758","1382.5"
"2015/01/06 22:00:00","HUD VL","61758","1269.9"
"2015/01/06 23:00:00","HUD VL","61758","1166.4"
"2015/01/07 00:00:00","HUD VL","61758","1097.3"
"2015/01/07 01:00:00","HUD VL","61758","1061.5"
"2015/01/07 02:00:00","HUD VL","61758","1044.3"
"2015/01/07 03:00:00","HUD VL","61758","1030.2"
"2015/01/07 04:00:00","HUD VL","61758","1035.4"
"2015/01/07 05:00:00","HUD VL","61758","1073.7"
"2015/01/07 06:00:00","HUD VL","61758","1198.2"
"2015/01/07 07:00:00","HUD VL","61758","1267.1"
"2015/01/07 08:00:00","HUD VL","61758","1289.6"
"2015/01/07 09:00:00","HUD VL","61758","1305.7"
"2015/01/07 10:00:00","HUD VL","61758","1309"
"2015/01/07 11:00:00","HUD VL","61758","1313.8"
"2015/01/07 12:00:00","HUD VL","61758","1309.4"
"2015/01/07 13:00:00","HUD VL","61758","1305"
"2015/01/07 14:00:00","HUD VL","61758","1312.5"
"2015/01/07 15:00:00","HUD VL","61758","1329.2"
"2015/01/07 16:00:00","HUD VL","61758","1398.8"
"2015/01/07 17:00:00","HUD VL","61758","1533.5"
"2015/01/07 18:00:00","HUD VL","61758","1556.3"
"2015/01/07 19:00:00","HUD VL","61758","1539.3"
"2015/01/07 20:00:00","HUD VL","61758","1503.5"
"2015/01/07 21:00:00","HUD VL","61758","1438.2"
"2015/01/07 22:00:00","HUD VL","61758","1331.4"
"2015/01/07 23:00:00","HUD VL","61758","1240.2"
"2015/01/08 00:00:00","HUD VL","61758","1177.7"
"2015/01/08 01:00:00","HUD VL","61758","1140.2"
"2015/01/08 02:00:00","HUD VL","61758","1122.8"
"2015/01/08 03:00:00","HUD VL","61758","1119.9"
"2015/01/08 04:00:00","HUD VL","61758","1138"
"2015/01/08 05:00:00","HUD VL","61758","1202.5"
"2015/01/08 06:00:00","HUD VL","61758","1301.6"
"2015/01/08 07:00:00","HUD VL","61758","1357.4"
"2015/01/08 08:00:00","HUD VL","61758","1390.5"
"2015/01/08 09:00:00","HUD VL","61758","1372"
"2015/01/08 10:00:00","HUD VL","61758","1379"
"2015/01/08 11:00:00","HUD VL","61758","1351.2"
"2015/01/08 12:00:00","HUD VL","61758","1329.8"
"2015/01/08 13:00:00","HUD VL","61758","1317.8"
"2015/01/08 14:00:00","HUD VL","61758","1303.4"
"2015/01/08 15:00:00","HUD VL","61758","1317.5"
"2015/01/08 16:00:00","HUD VL","61758","1384.2"
"2015/01/08 17:00:00","HUD VL","61758","1499.8"
"2015/01/08 18:00:00","HUD VL","61758","1515.3"
"2015/01/08 19:00:00","HUD VL","61758","1499.4"
"2015/01/08 20:00:00","HUD VL","61758","1464.6"
"2015/01/08 21:00:00","HUD VL","61758","1397.3"
