Year,Month,Day,Hour,AC System Output (W),AC System Output (MW)
2015,1,1,0,0,0
2015,1,1,1,0,0
2015,1,1,2,0,0
2015,1,1,3,0,0
2015,1,1,4,0,0
2015,1,1,5,0,0
2015,1,1,6,0,0
2015,1,1,7,0,0
2015,1,1,8,29573083.3,29.5730833
2015,1,1,9,51851729.31,51.85172931
2015,1,1,10,99292121.47,99.29212147
2015,1,1,11,90233789.74,90.23378974
2015,1,1,12,112004656,112.004656
2015,1,1,13,35181727.94,35.18172794
2015,1,1,14,134712888.6,134.7128886
2015,1,1,15,99059716.59,99.05971659
2015,1,1,16,18553721.12,18.55372112
2015,1,1,17,0,0
2015,1,1,18,0,0
2015,1,1,19,0,0
2015,1,1,20,0,0
2015,1,1,21,0,0
2015,1,1,22,0,0
2015,1,1,23,0,0
2015,1,2,0,0,0
2015,1,2,1,0,0
2015,1,2,2,0,0
2015,1,2,3,0,0
2015,1,2,4,0,0
2015,1,2,5,0,0
2015,1,2,6,0,0
2015,1,2,7,0,0
2015,1,2,8,78911763.84,78.91176384
2015,1,2,9,74609941.26,74.60994126
2015,1,2,10,85101726.39,85.10172639
2015,1,2,11,99367251.22,99.36725122
2015,1,2,12,149423065,149.423065
2015,1,2,13,167352241.4,167.3522414
2015,1,2,14,168133429.4,168.1334294
2015,1,2,15,101758260.6,101.7582606
2015,1,2,16,20162313.38,20.16231338
2015,1,2,17,0,0
2015,1,2,18,0,0
2015,1,2,19,0,0
2015,1,2,20,0,0
2015,1,2,21,0,0
2015,1,2,22,0,0
2015,1,2,23,0,0
2015,1,3,0,0,0
2015,1,3,1,0,0
2015,1,3,2,0,0
2015,1,3,3,0,0
2015,1,3,4,0,0
2015,1,3,5,0,0
2015,1,3,6,0,0
2015,1,3,7,0,0
2015,1,3,8,28732889.54,28.73288954
2015,1,3,9,83527808.92,83.52780892
2015,1,3,10,206119493.8,206.1194938
2015,1,3,11,111562689.6,111.5626896
2015,1,3,12,138083421.2,138.0834212
2015,1,3,13,149253403.8,149.2534038
2015,1,3,14,67633035.72,67.63303572
2015,1,3,15,18293259.98,18.29325998
2015,1,3,16,5035780.305,5.035780305
2015,1,3,17,0,0
2015,1,3,18,0,0
2015,1,3,19,0,0
2015,1,3,20,0,0
2015,1,3,21,0,0
2015,1,3,22,0,0
2015,1,3,23,0,0
2015,1,4,0,0,0
2015,1,4,1,0,0
2015,1,4,2,0,0
2015,1,4,3,0,0
2015,1,4,4,0,0
2015,1,4,5,0,0
2015,1,4,6,0,0
2015,1,4,7,0,0
2015,1,4,8,45099683.54,45.09968354
2015,1,4,9,67695167.94,67.69516794
2015,1,4,10,134118897.7,134.1188977
2015,1,4,11,180527940.4,180.5279404
2015,1,4,12,199659243.2,199.6592432
2015,1,4,13,90434526.54,90.43452654
2015,1,4,14,95648350.76,95.64835076
2015,1,4,15,81567344.19,81.56734419
2015,1,4,16,4027889.194,4.027889194
2015,1,4,17,0,0
2015,1,4,18,0,0
2015,1,4,19,0,0
2015,1,4,20,0,0
2015,1,4,21,0,0
2015,1,4,22,0,0
2015,1,4,23,0,0
2015,1,5,0,0,0
2015,1,5,1,0,0
