Year,Month,Day,Hour,AC System Output (W),AC System Output (MW)
2015,1,1,0,0,0
2015,1,1,1,0,0
2015,1,1,2,0,0
2015,1,1,3,0,0
2015,1,1,4,0,0
2015,1,1,5,0,0
2015,1,1,6,0,0
2015,1,1,7,0,0
2015,1,1,8,13395885.89,13.39588589
2015,1,1,9,106334140.4,106.3341404
2015,1,1,10,46590925.49,46.59092549
2015,1,1,11,43867531.05,43.86753105
2015,1,1,12,93966920.73,93.96692073
2015,1,1,13,151059676.6,151.0596766
2015,1,1,14,114012517.7,114.0125177
2015,1,1,15,66125345.21,66.12534521
2015,1,1,16,0,0
2015,1,1,17,0,0
2015,1,1,18,0,0
2015,1,1,19,0,0
2015,1,1,20,0,0
2015,1,1,21,0,0
2015,1,1,22,0,0
2015,1,1,23,0,0
2015,1,2,0,0,0
2015,1,2,1,0,0
2015,1,2,2,0,0
2015,1,2,3,0,0
2015,1,2,4,0,0
2015,1,2,5,0,0
2015,1,2,6,0,0
2015,1,2,7,0,0
2015,1,2,8,9887951.037,9.887951037
2015,1,2,9,41956364.62,41.95636462
2015,1,2,10,63245523.9,63.2455239
2015,1,2,11,57520935.92,57.52093592
2015,1,2,12,173079042.2,173.0790422
2015,1,2,13,155387359.6,155.3873596
2015,1,2,14,60356533.18,60.35653318
2015,1,2,15,70414001.34,70.41400134
2015,1,2,16,9671582.854,9.671582854
2015,1,2,17,0,0
2015,1,2,18,0,0
2015,1,2,19,0,0
2015,1,2,20,0,0
2015,1,2,21,0,0
2015,1,2,22,0,0
2015,1,2,23,0,0
2015,1,3,0,0,0
2015,1,3,1,0,0
2015,1,3,2,0,0
2015,1,3,3,0,0
2015,1,3,4,0,0
2015,1,3,5,0,0
2015,1,3,6,0,0
2015,1,3,7,0,0
2015,1,3,8,48373203.92,48.37320392
2015,1,3,9,33504145.28,33.50414528
2015,1,3,10,103162800.9,103.1628009
2015,1,3,11,79811035.52,79.81103552
2015,1,3,12,159977280.8,159.9772808
2015,1,3,13,145670800.2,145.6708002
2015,1,3,14,116953703.2,116.9537032
2015,1,3,15,70976415.34,70.97641534
2015,1,3,16,2913850.338,2.913850338
2015,1,3,17,0,0
2015,1,3,18,0,0
2015,1,3,19,0,0
2015,1,3,20,0,0
2015,1,3,21,0,0
2015,1,3,22,0,0
2015,1,3,23,0,0
2015,1,4,0,0,0
2015,1,4,1,0,0
2015,1,4,2,0,0
2015,1,4,3,0,0
2015,1,4,4,0,0
2015,1,4,5,0,0
2015,1,4,6,0,0
2015,1,4,7,0,0
2015,1,4,8,12946468.72,12.94646872
2015,1,4,9,21190830.89,21.19083089
2015,1,4,10,41131524.29,41.13152429
2015,1,4,11,42577749.85,42.57774985
2015,1,4,12,52905405.09,52.90540509
2015,1,4,13,42941542.82,42.94154282
2015,1,4,14,12898449.6,12.8984496
2015,1,4,15,5825491.442,5.825491442
2015,1,4,16,0,0
2015,1,4,17,0,0
2015,1,4,18,0,0
2015,1,4,19,0,0
2015,1,4,20,0,0
2015,1,4,21,0,0
2015,1,4,22,0,0
2015,1,4,23,0,0
2015,1,5,0,0,0
2015,1,5,1,0,0
