Year,Month,Day,Hour,AC System Output (W),MW
2015,1,1,0,0,0
2015,1,1,1,0,0
2015,1,1,2,0,0
2015,1,1,3,0,0
2015,1,1,4,0,0
2015,1,1,5,0,0
2015,1,1,6,0,0
2015,1,1,7,0,0
2015,1,1,8,8849554.277,8.849554277
2015,1,1,9,75339169.66,75.33916966
2015,1,1,10,111628992,111.628992
2015,1,1,11,123190359.9,123.1903599
2015,1,1,12,81521870.48,81.52187048
2015,1,1,13,135898922,135.898922
2015,1,1,14,53667300.62,53.66730062
2015,1,1,15,29484823.7,29.4848237
2015,1,1,16,0,0
2015,1,1,17,0,0
2015,1,1,18,0,0
2015,1,1,19,0,0
2015,1,1,20,0,0
2015,1,1,21,0,0
2015,1,1,22,0,0
2015,1,1,23,0,0
2015,1,2,0,0,0
2015,1,2,1,0,0
2015,1,2,2,0,0
2015,1,2,3,0,0
2015,1,2,4,0,0
2015,1,2,5,0,0
2015,1,2,6,0,0
2015,1,2,7,0,0
2015,1,2,8,75987601.74,75.98760174
2015,1,2,9,131862587.5,131.8625875
2015,1,2,10,166119571.7,166.1195717
2015,1,2,11,181998079.4,181.9980794
2015,1,2,12,180604771.1,180.6047711
2015,1,2,13,109268143,109.268143
2015,1,2,14,87864219.36,87.86421936
2015,1,2,15,67179812.47,67.17981247
2015,1,2,16,0,0
2015,1,2,17,0,0
2015,1,2,18,0,0
2015,1,2,19,0,0
2015,1,2,20,0,0
2015,1,2,21,0,0
2015,1,2,22,0,0
2015,1,2,23,0,0
2015,1,3,0,0,0
2015,1,3,1,0,0
2015,1,3,2,0,0
2015,1,3,3,0,0
2015,1,3,4,0,0
2015,1,3,5,0,0
2015,1,3,6,0,0
2015,1,3,7,0,0
2015,1,3,8,76087248.54,76.08724854
2015,1,3,9,131452453.1,131.4524531
2015,1,3,10,167623852,167.623852
2015,1,3,11,182654278.8,182.6542788
2015,1,3,12,177708031.3,177.7080313
2015,1,3,13,159707268.2,159.7072682
2015,1,3,14,118423223,118.423223
2015,1,3,15,62206029.22,62.20602922
2015,1,3,16,0,0
2015,1,3,17,0,0
2015,1,3,18,0,0
2015,1,3,19,0,0
2015,1,3,20,0,0
2015,1,3,21,0,0
2015,1,3,22,0,0
2015,1,3,23,0,0
2015,1,4,0,0,0
2015,1,4,1,0,0
2015,1,4,2,0,0
2015,1,4,3,0,0
2015,1,4,4,0,0
2015,1,4,5,0,0
2015,1,4,6,0,0
2015,1,4,7,0,0
2015,1,4,8,9024582.627,9.024582627
2015,1,4,9,121668778.5,121.6687785
2015,1,4,10,154160277.8,154.1602778
2015,1,4,11,171092683.8,171.0926838
2015,1,4,12,131515054.9,131.5150549
2015,1,4,13,109351500.3,109.3515003
2015,1,4,14,115640376.5,115.6403765
2015,1,4,15,27066949.07,27.06694907
2015,1,4,16,0,0
2015,1,4,17,0,0
2015,1,4,18,0,0
2015,1,4,19,0,0
2015,1,4,20,0,0
2015,1,4,21,0,0
2015,1,4,22,0,0
2015,1,4,23,0,0
2015,1,5,0,0,0
2015,1,5,1,0,0
2015,1,5,2,0,0
2015,1,5,3,0,0
2015,1,5,4,0,0
