Year,Month,Day,Hour,AC System Output (W)
2015,1,1,0,0
2015,1,1,1,0
2015,1,1,2,0
2015,1,1,3,0
2015,1,1,4,0
2015,1,1,5,0
2015,1,1,6,0
2015,1,1,7,5451867.937
2015,1,1,8,175880204.5
2015,1,1,9,304158120.2
2015,1,1,10,394341899.1
2015,1,1,11,433619382.1
2015,1,1,12,429739116.3
2015,1,1,13,382808187.3
2015,1,1,14,264929935
2015,1,1,15,25943428.73
2015,1,1,16,0
2015,1,1,17,0
2015,1,1,18,0
2015,1,1,19,0
2015,1,1,20,0
2015,1,1,21,0
2015,1,1,22,0
2015,1,1,23,0
2015,1,2,0,0
2015,1,2,1,0
2015,1,2,2,0
2015,1,2,3,0
2015,1,2,4,0
2015,1,2,5,0
2015,1,2,6,0
2015,1,2,7,0
2015,1,2,8,12453712.37
2015,1,2,9,29719599.24
2015,1,2,10,99063630.46
2015,1,2,11,84715166.37
2015,1,2,12,219973591
2015,1,2,13,169679202.1
2015,1,2,14,164421635.5
2015,1,2,15,28707698.86
2015,1,2,16,0
2015,1,2,17,0
2015,1,2,18,0
2015,1,2,19,0
2015,1,2,20,0
2015,1,2,21,0
2015,1,2,22,0
2015,1,2,23,0
2015,1,3,0,0
2015,1,3,1,0
2015,1,3,2,0
2015,1,3,3,0
2015,1,3,4,0
2015,1,3,5,0
2015,1,3,6,0
2015,1,3,7,759188.8489
2015,1,3,8,37038713.88
2015,1,3,9,89239979.57
2015,1,3,10,18478906.72
2015,1,3,11,58319467.99
2015,1,3,12,83711175.46
2015,1,3,13,37867843.65
2015,1,3,14,91166380.84
2015,1,3,15,46702240.77
2015,1,3,16,0
2015,1,3,17,0
2015,1,3,18,0
2015,1,3,19,0
2015,1,3,20,0
2015,1,3,21,0
2015,1,3,22,0
2015,1,3,23,0
2015,1,4,0,0
2015,1,4,1,0
2015,1,4,2,0
2015,1,4,3,0
2015,1,4,4,0
2015,1,4,5,0
2015,1,4,6,0
2015,1,4,7,0
2015,1,4,8,3951703.722
2015,1,4,9,50195259.76
2015,1,4,10,20417400.84
2015,1,4,11,18548067.56
2015,1,4,12,15376413.5
2015,1,4,13,3954765.411
2015,1,4,14,15459832.18
2015,1,4,15,0
2015,1,4,16,0
2015,1,4,17,0
2015,1,4,18,0
2015,1,4,19,0
2015,1,4,20,0
2015,1,4,21,0
2015,1,4,22,0
2015,1,4,23,0
2015,1,5,0,0
2015,1,5,1,0
2015,1,5,2,0
2015,1,5,3,0
2015,1,5,4,0
2015,1,5,5,0
2015,1,5,6,0
2015,1,5,7,0
2015,1,5,8,11208443.45
2015,1,5,9,7311076.931
2015,1,5,10,27411612.12
2015,1,5,11,34989458.05
2015,1,5,12,47169693.19
2015,1,5,13,40749925.99
2015,1,5,14,24691521.2
2015,1,5,15,5972882.516
2015,1,5,16,0
2015,1,5,17,0
2015,1,5,18,0
2015,1,5,19,0
2015,1,5,20,0
2015,1,5,21,0
2015,1,5,22,0
2015,1,5,23,0
2015,1,6,0,0
2015,1,6,1,0
2015,1,6,2,0
2015,1,6,3,0
2015,1,6,4,0
2015,1,6,5,0
2015,1,6,6,0
2015,1,6,7,25907672
2015,1,6,8,90879365.47
2015,1,6,9,189065579.8
2015,1,6,10,412907933
2015,1,6,11,455530723.3
2015,1,6,12,389360758.9
2015,1,6,13,403484926.3
2015,1,6,14,306545756
2015,1,6,15,168221387.8
2015,1,6,16,0
2015,1,6,17,0
2015,1,6,18,0
2015,1,6,19,0
2015,1,6,20,0
2015,1,6,21,0
2015,1,6,22,0
2015,1,6,23,0
2015,1,7,0,0
2015,1,7,1,0
2015,1,7,2,0
2015,1,7,3,0
2015,1,7,4,0
2015,1,7,5,0
2015,1,7,6,0
2015,1,7,7,1652750.331
2015,1,7,8,99319993.01
2015,1,7,9,251108942
2015,1,7,10,342764102.6
2015,1,7,11,278832192
2015,1,7,12,227807506.3
2015,1,7,13,196424951.2
2015,1,7,14,222319363.5
2015,1,7,15,35974461
2015,1,7,16,0
2015,1,7,17,0
2015,1,7,18,0
2015,1,7,19,0
2015,1,7,20,0
2015,1,7,21,0
2015,1,7,22,0
2015,1,7,23,0
2015,1,8,0,0
2015,1,8,1,0
2015,1,8,2,0
2015,1,8,3,0
2015,1,8,4,0
2015,1,8,5,0
2015,1,8,6,0
2015,1,8,7,1618444.931
2015,1,8,8,95242577.15
2015,1,8,9,226268533.6
2015,1,8,10,336082564.1
2015,1,8,11,300314159.4
2015,1,8,12,86077269.82
2015,1,8,13,138875895.9
2015,1,8,14,281870127
2015,1,8,15,139252630
2015,1,8,16,3519522.486
2015,1,8,17,0
2015,1,8,18,0
2015,1,8,19,0
2015,1,8,20,0
2015,1,8,21,0
2015,1,8,22,0
2015,1,8,23,0
2015,1,9,0,0
2015,1,9,1,0
2015,1,9,2,0
2015,1,9,3,0
2015,1,9,4,0
2015,1,9,5,0
2015,1,9,6,0
2015,1,9,7,1678904.6
2015,1,9,8,81595732.9
2015,1,9,9,274510216.2
2015,1,9,10,323000639.1
2015,1,9,11,380783413.2
2015,1,9,12,353407686.8
2015,1,9,13,355162355
2015,1,9,14,285479372.2
2015,1,9,15,118731301
2015,1,9,16,3762679.284
2015,1,9,17,0
2015,1,9,18,0
2015,1,9,19,0
2015,1,9,20,0
2015,1,9,21,0
2015,1,9,22,0
2015,1,9,23,0
2015,1,10,0,0
2015,1,10,1,0
2015,1,10,2,0
2015,1,10,3,0
2015,1,10,4,0
2015,1,10,5,0
2015,1,10,6,0
2015,1,10,7,2480806.036
2015,1,10,8,96027864.84
2015,1,10,9,292916771
2015,1,10,10,293235283.5
2015,1,10,11,344612816.5
2015,1,10,12,386439618.8
2015,1,10,13,365399760.2
2015,1,10,14,280110932.4
2015,1,10,15,103807135.2
2015,1,10,16,4414405.479
2015,1,10,17,0
2015,1,10,18,0
2015,1,10,19,0
2015,1,10,20,0
2015,1,10,21,0
2015,1,10,22,0
2015,1,10,23,0
2015,1,11,0,0
2015,1,11,1,0
2015,1,11,2,0
2015,1,11,3,0
2015,1,11,4,0
2015,1,11,5,0
2015,1,11,6,0
2015,1,11,7,1769136.5
2015,1,11,8,93972684.25
2015,1,11,9,257477972
2015,1,11,10,325042651
2015,1,11,11,360618883.4
2015,1,11,12,357010060.4
2015,1,11,13,427662605.4
2015,1,11,14,271619893.1
2015,1,11,15,124796546.9
2015,1,11,16,4876709.271
2015,1,11,17,0
2015,1,11,18,0
2015,1,11,19,0
2015,1,11,20,0
2015,1,11,21,0
2015,1,11,22,0
2015,1,11,23,0
2015,1,12,0,0
2015,1,12,1,0
2015,1,12,2,0
2015,1,12,3,0
2015,1,12,4,0
