Net,Temperature
49769.768,-9.0
48714.914,-9.0
47880.328,-9.0
47380.142,-9.0
47241.559,-9.1
47893.67,-9.2
48746.046,-9.2
49499.125,-9.1
49501.103,-9.1
49377.271941005,-9.1
49262.0756284,-9.2
48700.9660739,-9.3
45708.934344,-9.4
45499.11209,-8.9
46081.8823402,-7.6
46080.8153877,-6.2
47499.07388004,-4.4
51102.686,-2.8
52626.108,-2.6
52271.665,-2.5
51473.197,-2.1
50148.721,-1.9
48345.471,-2.0
46438.412,-2.4
44666.40900000001,-2.7
43571.356,-2.7
42845.568,-2.8
42552.627,-3.2
43132.541,-3.6
44757.32,-4.1
47324.062000000005,-4.4
50003.067,-4.8
50973.33734301999,-5.0
49887.277898,-5.2
49550.215585,-5.2
46744.705698,-5.2
45476.526933,-5.3
42439.620498,-5.1
43145.083423,-4.6
44749.060925,-3.7
47905.187128,-2.8
52452.137,-2.4
53739.273,-1.3
53176.067,-0.7
52556.384000000005,-1.0
51501.033,-1.7
49508.015,-2.5
47128.765,-3.2
44930.264,-3.1
43445.207,-3.4
42570.631,-3.9
42259.511,-4.5
42307.049000000006,-5.0
43088.871,-3.6
44126.002,-2.3
45725.297,-1.5
45496.049968,-1.2
43905.266897,-0.7
43067.52299699999,0.2
42110.808491,1.1
41413.12560099999,1.4
41503.56509599999,1.6
42302.756642,2.0
43903.12603,2.1
46740.161396,3.3
50069.42,4.2
50155.77099999999,4.4
49298.576,5.2
48128.383,6.6
46688.711,7.6
44849.112,8.0
42413.184,8.7
40279.088,9.3
38748.347,9.4
37735.865,8.9
37232.821,8.6
37111.273,8.9
37685.663,8.7
38425.715,9.1
39934.695,9.8
41021.742,9.7
41918.62579219999,9.4
42260.571579,9.3
43191.1045888,9.3
40083.189622000005,10.6
41470.323626,10.5
41160.606276000006,10.5
43436.752697,10.7
46559.9615626,11.4
50375.249,11.9
52472.099,11.6
52479.557,8.5
52496.916,6.8
51351.617,5.8
49797.316,4.8
48091.586,3.4
46749.785,1.8
46261.122,0.6
46385.755,-0.5
46916.082,-1.4
48267.73,-2.7
51221.022,-3.3
56136.245,-3.8
59752.813,-4.1
60479.675,-4.2
59955.58838819999,-4.9
59257.254564,-5.7
59129.2606067,-6.8
58959.4031118,-8.2
57965.71313,-9.3
57337.554034,-10.0
57483.755155,-10.3
59587.8250809,-9.9
63333.069,-9.7
65189.519,-9.5
64844.507000000005,-9.8
64049.183,-9.9
62242.037,-10.3
59522.548,-11.0
56523.167,-11.3
54253.358,-11.5
52894.746,-11.6
52217.36,-11.8
52040.692,-12.0
52576.307,-11.9
54699.956,-11.6
58143.52,-11.1
60913.779,-11.4
60031.88832400001,-11.2
57231.60081,-10.6
58695.600902000006,-9.9
54532.54822599999,-9.5
56995.638715,-9.3
54383.065062,-8.6
55722.19643,-8.0
55582.51097,-7.9
58929.7783375,-8.4
62876.007000000005,-8.8
64773.38,-9.4
64662.077000000005,-9.9
64018.551,-10.2
62321.955,-10.3
59798.451,-10.4
57171.776,-10.5
54921.369000000006,-10.5
53773.069,-10.6
53383.381,-10.8
53530.69,-10.9
54399.943,-10.9
56784.949,-10.9
60509.309,-11.4
63727.827000000005,-12.1
63541.1684623,-12.7
63722.970661900006,-13.2
61332.195691,-13.9
60929.23908400001,-14.9
61472.386026,-15.7
61717.221209,-16.2
60298.684847,-16.4
61985.237303,-16.6
64943.89275439999,-16.7
68664.215,-16.6
71053.87700000001,-16.4
71090.7,-16.9
70590.6,-17.3
69240.186,-17.5
66891.216,-18.0
64477.44,-18.5
62703.51,-18.9
61831.47900000001,-19.3
61662.224,-19.7
61596.448,-20.2
62540.295,-20.6
64472.776,-21.0
67440.787,-21.4
70091.593,-21.7
70287.3544171,-21.9
69045.6502581,-22.1
66274.34346199999,-22.2
65087.808169,-22.3
66852.336903,-22.2
65335.362199,-21.9
66236.5109292,-21.0
66006.27143739999,-19.7
66674.92155048999,-18.2
69130.40299999999,-16.9
70478.216,-15.5
69731.00200000001,-14.5
68448.942,-13.1
66352.04,-12.3
63263.257000000005,-11.9
60213.901,-11.3
57483.432,-11.3
56151.16099999999,-10.9
55354.613,-10.3
55031.488,-9.5
55522.391,-8.4
57291.926,-5.4
60688.14599999999,-3.6
63432.451,-4.6
62501.220972,-5.8
62832.93075769999,-7.4
56943.271809,-8.6
