Net,Temprature
9844.20026759714,6.8
9653.456268690119,7.1
9502.299658821694,7.1
9474.47803556729,7.0
9554.37048868239,6.5
9741.106981382147,6.7
9867.968014191529,6.9
9903.340771174422,6.9
10027.948683020284,6.9
10365.792157723532,6.9
10703.621443230793,6.7
10897.493837499756,6.7
10929.630982861916,6.6
10838.469989359226,6.4
10731.549948650723,6.0
10669.174415211864,6.0
10751.430866875524,6.2
11216.552025352603,6.4
11355.271730008491,6.8
11193.949638249085,7.4
10976.154934050342,7.4
10684.951054754796,7.1
10240.35384935634,7.0
9740.2865,6.8
9309.724694239347,6.6
9044.78623372105,6.9
8910.154863375701,7.1
8914.614286578259,7.3
9093.417104426431,7.5
9506.316924879613,7.0
10003.939793971613,6.8
10295.597471449735,6.9
10428.875766152578,6.8
10640.762026738752,6.9
10766.879498170398,7.1
10699.700773475099,7.3
10638.388830025764,7.5
10567.23140308468,7.8
10456.46105612301,7.9
10371.232987655438,8.2
10392.534700362332,8.3
10757.826058223243,8.5
10763.741920718587,9.1
10553.479334427077,9.4
10373.874870026855,9.7
10029.119461468925,9.9
9584.856237646978,10.0
9083.590499999998,10.0
8693.039110003236,9.8
8512.326715190675,9.3
8431.733641628358,9.1
8383.964019123814,8.9
8435.10941966916,8.8
8597.553784866077,8.7
8870.820687055111,8.0
9139.249107139576,7.6
9420.797133961736,7.2
9772.681116341018,7.0
10066.764931076312,7.4
10208.246510879777,7.8
10212.137571478223,7.8
9983.852789873266,7.7
9711.159690217548,8.0
9417.504908572912,8.6
9214.279939313335,9.4
9608.249605027922,10.0
10323.785133427718,10.5
10438.368050925857,11.2
10466.617310810498,12.9
10381.053481151032,14.8
10137.06181019455,13.1
9809.0049,10.2
9480.98952537187,6.7
9293.837293125096,4.6
9185.799533304298,3.9
9155.722362413759,3.5
9220.453328556849,4.1
9363.688717559648,3.3
9605.961939862404,2.8
9751.091989474573,1.3
9872.156344098254,1.1
9997.200222641462,0.9
9953.752392776414,3.9
9812.031917965984,5.5
9665.853580690968,5.6
9475.540089783239,7.1
9297.685981061904,8.1
9243.638641248643,9.1
9402.600035254143,10.1
10171.335146648498,11.0
10933.540698920126,12.3
11182.264338129968,12.9
11216.252364437983,13.4
11088.976674418069,13.1
10744.592565012092,12.1
10357.260600000001,10.3
10185.977989717469,9.0
10118.966733394938,8.0
10183.884528653272,6.9
10382.159945278008,5.7
10806.550165950788,4.9
11624.202117307825,4.3
12564.974680791338,3.7
12888.867274388043,3.2
12956.359003300979,2.7
12900.434965013748,2.3
12595.7837525675,1.8
12182.5540522868,1.3
11676.992703834476,1.3
11257.681141240799,1.3
10889.884062666937,2.3
10646.593126334861,4.2
10587.763995797097,5.9
11170.898523840264,7.2
11998.56911960627,8.1
12179.52968980421,9.0
12167.80983356975,10.1
11834.578456068575,10.5
11248.783045376436,9.0
10663.8541,7.1
10311.614248568025,5.4
10153.95529745421,3.0
10107.504102300156,1.4
10198.666935609968,0.2
10535.15157698741,-0.4
11337.83235880477,-0.8
12340.064320763044,-0.6
12402.470954651122,-1.0
11916.13037591043,-1.1
11500.641668620608,-1.0
11077.182995550802,-1.2
10651.477631574395,-0.7
10291.851492976413,-0.7
10045.261231982911,1.0
9802.177836792536,5.0
9654.937343876,7.8
9645.770646837738,11.2
10094.841253310622,14.6
10670.468000027658,14.5
10724.365762551623,16.5
10665.864847774365,16.3
10378.518962125869,15.3
9852.748872429715,14.4
9321.8114,12.3
8991.474419248778,11.0
8864.33704288824,10.5
8803.160481392288,9.2
8848.088675631332,8.0
9153.717875316877,8.3
9899.888592861536,7.2
10824.226347556658,6.3
11028.138981555268,6.1
10880.907625522515,5.8
10902.107617049767,6.0
10894.694149778077,7.3
10777.730648640638,8.4
10557.418661148999,8.7
10438.845211068812,9.2
10346.843550283753,11.2
10332.183500173023,14.4
10456.16559176554,15.7
11135.424832844406,16.9
11831.487518173995,16.7
12012.619046368944,16.3
12065.60189530076,14.5
11857.425165079048,13.2
11363.476615904952,11.7
10882.679600000001,11.0
10671.66450942941,11.1
10685.756321022125,11.2
10816.410605902656,9.2
11045.887947494612,7.9
11485.110028528215,7.0
12372.704384533348,6.1
13430.679117198571,4.9
13641.884595523044,3.8
13344.348301764603,2.8
13076.185306734298,1.9
12749.660718536135,1.1
12380.267314277897,0.7
11973.460986809649,0.2
11768.339907565518,-0.1
11557.94116363143,0.2
11606.450381277498,1.1
11851.206099247149,2.7
12454.135518696383,4.2
12993.357038472011,5.1
