DateTime,Load(MW),Ambient Temperature(C),PV(MW)
01/01/2019 01:00,3164.720629,8,0.0
01/01/2019 02:00,3178.950849,8,0.0
01/01/2019 03:00,3200.88116,8,0.0
01/01/2019 04:00,3221.963116,7,0.0
01/01/2019 05:00,3240.63487,7,0.0
01/01/2019 06:00,3259.303161,6,0.0
01/01/2019 07:00,3282.576181,5,0.0
01/01/2019 08:00,3291.417183,6,0.0
01/01/2019 09:00,3303.175825,8,31.09003341347219
01/01/2019 10:00,3346.017515,11,311.5866307655742
01/01/2019 11:00,3371.662553,15,598.5387946449192
01/01/2019 12:00,3371.561463,19,708.2021162309071
01/01/2019 13:00,3386.182171,21,637.2187456863392
01/01/2019 14:00,3391.138346,22,623.1345969322274
01/01/2019 15:00,3370.743462,22,672.6676440311404
01/01/2019 16:00,3359.427052,22,527.5002701871842
01/01/2019 17:00,3365.120092,20,326.314147073795
01/01/2019 18:00,3405.088033,18,94.7822840761679
01/01/2019 19:00,3454.409525,16,0.0
01/01/2019 20:00,3475.772464,15,0.0
01/01/2019 21:00,3464.31652,13,0.0
01/01/2019 22:00,3441.431939,12,0.0
01/01/2019 23:00,3398.602335,12,0.0
01/01/2019 24:00,3361.038342,11,0.0
01/02/2019 01:00,3324.884585,9,0.0
01/02/2019 02:00,3318.668691,9,0.0
01/02/2019 03:00,3306.434394,8,0.0
01/02/2019 04:00,3325.499763,8,0.0
01/02/2019 05:00,3357.092793,7,0.0
01/02/2019 06:00,3392.219684,6,0.0
01/02/2019 07:00,3422.647466,5,0.0
01/02/2019 08:00,3482.545772,5,0.0
01/02/2019 09:00,3512.516073,7,181.84444180155043
01/02/2019 10:00,3535.339731,11,430.81148022597245
01/02/2019 11:00,3550.359547,15,619.6365879239391
01/02/2019 12:00,3544.54484,17,742.6573912431363
01/02/2019 13:00,3554.852761,18,795.6219214963114
01/02/2019 14:00,3539.892767,19,789.0057263044322
01/02/2019 15:00,3508.766955,19,703.2027267306839
01/02/2019 16:00,3488.679381,18,555.7689250734903
01/02/2019 17:00,3475.903684,16,349.15355309540047
01/02/2019 18:00,3489.321876,13,109.69800600560835
01/02/2019 19:00,3530.744589,12,0.0
01/02/2019 20:00,3535.023514,11,0.0
01/02/2019 21:00,3522.811152,10,0.0
01/02/2019 22:00,3471.550683,9,0.0
01/02/2019 23:00,3433.473125,8,0.0
01/02/2019 24:00,3398.570525,7,0.0
01/03/2019 01:00,3274.513135,6,0.0
01/03/2019 02:00,3254.203266,5,0.0
01/03/2019 03:00,3235.826463,4,0.0
01/03/2019 04:00,3239.965883,4,0.0
01/03/2019 05:00,3276.333559,3,0.0
01/03/2019 06:00,3311.922568,3,0.0
01/03/2019 07:00,3350.989927,2,0.0
01/03/2019 08:00,3403.310286,2,0.0
01/03/2019 09:00,3392.046071,4,63.70902427546303
