DateTime,Load(MW),Ambient Temperature(C),PV(MW)
01/01/2017 01:00,9239.1532852,0,0.0
01/01/2017 02:00,9104.997245,0,0.0
01/01/2017 03:00,8988.0352014,-1,0.0
01/01/2017 04:00,8979.148462,-1,0.0
01/01/2017 05:00,9033.5476357,-1,0.0
01/01/2017 06:00,9195.1579667,-2,0.0
01/01/2017 07:00,9507.3470215,-2,0.0
01/01/2017 08:00,9881.5956575,-1,0.0
01/01/2017 09:00,10215.3124077,0,615.0474471137508
01/01/2017 10:00,10566.1375188,1,1542.918849488254
01/01/2017 11:00,10712.3713422,2,1285.2713959830464
01/01/2017 12:00,10650.5570845,3,2315.374119104165
01/01/2017 13:00,10447.3722332,3,3631.8692233808956
01/01/2017 14:00,10139.1681657,3,2467.7403538572817
01/01/2017 15:00,9846.5486757,3,1719.7617301802804
01/01/2017 16:00,9711.2881224,3,1856.5975114220864
01/01/2017 17:00,9691.929646,2,370.6932425562158
01/01/2017 18:00,10172.8706025,0,0.0
01/01/2017 19:00,10841.2834895,0,0.0
01/01/2017 20:00,10772.9864037,0,0.0
01/01/2017 21:00,10547.1994722,0,0.0
01/01/2017 22:00,10255.3656652,0,0.0
01/01/2017 23:00,9736.2174678,0,0.0
01/01/2017 24:00,9152.374076,-1,0.0
01/02/2017 01:00,8568.2189299,-2,0.0
01/02/2017 02:00,8163.5988299,-3,0.0
01/02/2017 03:00,7917.0378324,-4,0.0
01/02/2017 04:00,7850.3688081,-4,0.0
01/02/2017 05:00,7966.7568237,-4,0.0
01/02/2017 06:00,8324.0976273,-3,0.0
01/02/2017 07:00,8843.1814021,-3,0.0
01/02/2017 08:00,9260.5774195,-2,0.0
01/02/2017 09:00,9647.0664772,-1,292.92937735417627
01/02/2017 10:00,10050.6712133,0,1080.1680527133753
01/02/2017 11:00,10354.1977911,0,1925.386300100048
01/02/2017 12:00,10522.6590712,1,1458.712517857945
01/02/2017 13:00,10553.4730246,1,2417.7629894679376
01/02/2017 14:00,10552.6673426,1,565.7173490682294
01/02/2017 15:00,10527.7251558,0,692.3045277139335
01/02/2017 16:00,10538.8692188,0,496.47429232746344
01/02/2017 17:00,10558.3791808,0,230.20756185025866
01/02/2017 18:00,10963.2902037,-1,0.0
01/02/2017 19:00,11631.0384403,-2,0.0
01/02/2017 20:00,11517.7603025,-3,0.0
