DateTime,Load(MW),Ambient Temperature(C),PV(MW)
01/01/2017 01:00,683.6219856,-1,0.0
01/01/2017 02:00,677.9693746,-1,0.0
01/01/2017 03:00,671.9989488,-1,0.0
01/01/2017 04:00,675.2679712,-2,0.0
01/01/2017 05:00,663.6198753,-2,0.0
01/01/2017 06:00,669.7479599,-2,0.0
01/01/2017 07:00,684.4893333,-2,0.0
01/01/2017 08:00,710.2305418,-2,0.0
01/01/2017 09:00,728.1655965,-1,7.484539960904843
01/01/2017 10:00,727.7709639,0,30.353537024924925
01/01/2017 11:00,716.5707582,0,53.15029457915275
01/01/2017 12:00,702.5266487,1,69.79262214652591
01/01/2017 13:00,687.07475,2,78.36888169916645
01/01/2017 14:00,671.2696139,3,78.133576545916
01/01/2017 15:00,655.47908,3,90.80017259207578
01/01/2017 16:00,651.8824857,3,50.587221721825095
01/01/2017 17:00,656.841392,2,84.05548561062677
01/01/2017 18:00,689.5193309,0,7.961170226555098
01/01/2017 19:00,722.7240241,0,0.0
01/01/2017 20:00,717.7682429,0,0.0
01/01/2017 21:00,707.3761737,-1,0.0
01/01/2017 22:00,689.7762693,-2,0.0
01/01/2017 23:00,658.1911028,-2,0.0
01/01/2017 24:00,629.6071842,-3,0.0
01/02/2017 01:00,609.4365447,-3,0.0
01/02/2017 02:00,595.9826382,-3,0.0
01/02/2017 03:00,592.7754566,-4,0.0
01/02/2017 04:00,593.5331554,-4,0.0
01/02/2017 05:00,605.846932,-3,0.0
01/02/2017 06:00,624.7569705,-3,0.0
01/02/2017 07:00,653.3571986,-3,0.0
01/02/2017 08:00,681.8993637,-2,0.0
01/02/2017 09:00,697.3852708,-1,4.7199489710525055
01/02/2017 10:00,704.1361747,1,19.344611980029665
01/02/2017 11:00,702.9037421,4,34.73268105863452
01/02/2017 12:00,698.5363151,5,53.983682673891714
01/02/2017 13:00,687.0537362,6,80.75052803763039
01/02/2017 14:00,679.7808038,7,83.31691187249017
01/02/2017 15:00,674.6042102,8,98.49104665282479
01/02/2017 16:00,673.0926098,7,148.9340903530228
01/02/2017 17:00,675.0464374,5,89.42160194687328
01/02/2017 18:00,709.4033957,2,23.741590142719225
01/02/2017 19:00,750.9372918,0,0.0
01/02/2017 20:00,746.5969293,0,0.0
01/02/2017 21:00,734.9400598,0,0.0
01/02/2017 22:00,706.9669937,-1,0.0
01/02/2017 23:00,667.7680685,-1,0.0
01/02/2017 24:00,631.2402706,-2,0.0
01/03/2017 01:00,618.6031106,-2,0.0
01/03/2017 02:00,610.3662595,-2,0.0
