DateTime,Load(MW),Ambient Temperature(C),PV(MW)
1/1/2016 0:00,1088.091916,6,0
1/1/2016 1:00,1080.369336,6,0
1/1/2016 2:00,1069.644619,6,0
1/1/2016 3:00,1073.658885,6,0
1/1/2016 4:00,1096.410845,7,0
1/1/2016 5:00,1131.919292,7,0
1/1/2016 6:00,1173.048883,7,0
1/1/2016 7:00,1207.806298,8,0
1/1/2016 8:00,1230.409823,9,52.34122217
1/1/2016 9:00,1252.474908,11,21.39562416
1/1/2016 10:00,1259.083382,15,48.31284967
1/1/2016 11:00,1236.068171,18,91.72961147
1/1/2016 12:00,1218.102828,20,167.3779111
1/1/2016 13:00,1208.696941,21,174.7303837
1/1/2016 14:00,1184.922003,22,159.8567084
1/1/2016 15:00,1177.44355,21,66.41545798
1/1/2016 16:00,1183.25719,18,31.64184868
1/1/2016 17:00,1231.413467,15,0.897523435
1/1/2016 18:00,1281.962764,13,0
1/1/2016 19:00,1284.417757,12,0
1/1/2016 20:00,1272.56978,9,0
1/1/2016 21:00,1263.115736,6,0
1/1/2016 22:00,1220.331651,4,0
1/1/2016 23:00,1180.69342,2,0
1/2/2016 0:00,1149.687712,1,0
1/2/2016 1:00,1133.637699,0,0
1/2/2016 2:00,1126.798214,0,0
1/2/2016 3:00,1128.642135,0,0
1/2/2016 4:00,1140.571318,0,0
1/2/2016 5:00,1168.713982,0,0
1/2/2016 6:00,1199.256919,0,0
1/2/2016 7:00,1246.952811,0,0
1/2/2016 8:00,1292.592691,0,44.19222715
1/2/2016 9:00,1325.639881,1,105.2463363
1/2/2016 10:00,1329.034247,3,211.844974
1/2/2016 11:00,1312.023982,5,250.0917237
1/2/2016 12:00,1280.614964,6,209.1764689
1/2/2016 13:00,1243.306194,7,175.7699284
1/2/2016 14:00,1216.817541,7,167.0461027
1/2/2016 15:00,1214.51825,6,71.45119707
1/2/2016 16:00,1228.044464,4,100.1692123
1/2/2016 17:00,1263.528132,2,19.01116163
1/2/2016 18:00,1307.624276,0,0
1/2/2016 19:00,1299.947966,0,0
