Demand,Normalized_net,Temprature
2338.0,0.44338928,-5.8
2164.1,0.410410069,-6.1
2060.0,0.390668057,-7.5
1989.3,0.377260177,-8.4
1968.8,0.373372461,-7.4
1986.3,0.376691243,-6.9
2022.0,0.383461559,-6.5
2015.348132,0.382200067,-6.3
1884.719796,0.357427097,-6.4
1828.24188,0.34671636,-6.4
1813.658101,0.343950624,-7.0
1827.480618,0.346571991,-6.9
1845.360884,0.349962889,-6.6
1890.191813,0.358464836,-5.8
2009.670065,0.381123252,-4.4
2283.956571,0.433140231,-3.1
2518.0,0.477525324,-2.0
2845.7,0.539671888,-1.4
2859.5,0.542288985,-0.4
2805.8,0.532105065,0.2
2743.7,0.52032813,0.3
2669.7,0.506294423,-0.2
2438.0,0.462353749,-0.3
2220.0,0.421011207,-0.4
2039.1,0.386704483,0.2
1909.6,0.362145496,0.3
1838.7,0.348699687,0.5
1816.8,0.344546469,0.9
1836.7,0.348320398,0.9
1931.1,0.366222856,0.2
2080.2,0.394498879,-0.3
2195.5,0.416364912,-0.8
2268.546288,0.430217752,-0.8
2323.280401,0.440597786,-1.0
2312.93637,0.438636096,-0.5
2334.584834,0.442741612,0.1
2174.626409,0.412406346,0.3
2211.120798,0.419327313,0.7
2211.678365,0.419433053,1.1
2381.892301,0.451713222,1.9
2621.2,0.497096655,2.5
2914.2,0.552662549,2.9
2940.1,0.557574346,2.8
2877.5,0.545702589,3.6
2825.1,0.535765207,2.4
2701.1,0.512249266,1.0
2523.2,0.478511476,0.1
2279.1,0.432219208,-0.5
2082.3,0.394897133,-0.8
1954.5,0.370660542,-2.0
1885.8,0.357631952,-3.2
1844.8,0.34985652,-4.1
1845.5,0.349989271,-4.6
1887.3,0.357916419,-5.1
1987.5,0.376918817,-6.0
2072.240811,0.392989461,-6.3
2149.761286,0.407690808,-6.3
2216.96002,0.420434691,-6.5
2384.821093,0.452268651,-6.6
2403.780532,0.455864208,-6.2
2415.988825,0.458179446,-6.4
2466.732156,0.467802649,-5.8
2440.433619,0.462815272,-4.1
2527.997759,0.479421346,-1.8
2731.1,0.517938607,-0.9
2888.6,0.547807645,-0.2
2860.3,0.5424407,-0.8
2779.7,0.527155338,-1.8
2680.2,0.508285692,-1.4
2546.7,0.482968126,-1.0
2362.1,0.447959717,-0.7
2152.1,0.408134332,-0.3
1955.3,0.370812258,0.3
1820.8,0.345305047,0.6
1735.9,0.329204213,0.8
1682.4,0.319058223,1.0
1672.4,0.317161776,0.6
1688.6,0.32023402,0.2
1740.1,0.330000721,0.3
1799.7,0.341303544,0.2
1903.548296,0.360997822,0.1
2004.00474,0.380048853,0.1
2164.882599,0.410558484,0.3
