"Eastern Date Hour","Zone Name","Zone PTID","TWI Actual Load"
"2015/01/01 00:00:00","GENESE","61753","1042.4"
"2015/01/01 01:00:00","GENESE","61753","991.2"
"2015/01/01 02:00:00","GENESE","61753","961.5"
"2015/01/01 03:00:00","GENESE","61753","947.1"
"2015/01/01 04:00:00","GENESE","61753","951.2"
"2015/01/01 05:00:00","GENESE","61753","970.6"
"2015/01/01 06:00:00","GENESE","61753","994.6"
"2015/01/01 07:00:00","GENESE","61753","1013.7"
"2015/01/01 08:00:00","GENESE","61753","1030.1"
"2015/01/01 09:00:00","GENESE","61753","1074"
"2015/01/01 10:00:00","GENESE","61753","1111.9"
"2015/01/01 11:00:00","GENESE","61753","1130.2"
"2015/01/01 12:00:00","GENESE","61753","1136.9"
"2015/01/01 13:00:00","GENESE","61753","1129.6"
"2015/01/01 14:00:00","GENESE","61753","1110"
"2015/01/01 15:00:00","GENESE","61753","1116.1"
"2015/01/01 16:00:00","GENESE","61753","1182.5"
"2015/01/01 17:00:00","GENESE","61753","1291.7"
"2015/01/01 18:00:00","GENESE","61753","1271.1"
"2015/01/01 19:00:00","GENESE","61753","1244.8"
"2015/01/01 20:00:00","GENESE","61753","1207.6"
"2015/01/01 21:00:00","GENESE","61753","1156"
"2015/01/01 22:00:00","GENESE","61753","1080.4"
"2015/01/01 23:00:00","GENESE","61753","1015.3"
"2015/01/02 00:00:00","GENESE","61753","972.2"
"2015/01/02 01:00:00","GENESE","61753","939.7"
"2015/01/02 02:00:00","GENESE","61753","922.1"
"2015/01/02 03:00:00","GENESE","61753","914"
"2015/01/02 04:00:00","GENESE","61753","930.4"
"2015/01/02 05:00:00","GENESE","61753","982.5"
"2015/01/02 06:00:00","GENESE","61753","1058.9"
"2015/01/02 07:00:00","GENESE","61753","1123.3"
"2015/01/02 08:00:00","GENESE","61753","1155.9"
"2015/01/02 09:00:00","GENESE","61753","1194.6"
"2015/01/02 10:00:00","GENESE","61753","1213.3"
"2015/01/02 11:00:00","GENESE","61753","1216.6"
"2015/01/02 12:00:00","GENESE","61753","1219.3"
"2015/01/02 13:00:00","GENESE","61753","1211.5"
"2015/01/02 14:00:00","GENESE","61753","1190.4"
"2015/01/02 15:00:00","GENESE","61753","1193"
"2015/01/02 16:00:00","GENESE","61753","1245.1"
"2015/01/02 17:00:00","GENESE","61753","1343.1"
"2015/01/02 18:00:00","GENESE","61753","1323.6"
"2015/01/02 19:00:00","GENESE","61753","1284.1"
"2015/01/02 20:00:00","GENESE","61753","1247.1"
"2015/01/02 21:00:00","GENESE","61753","1196.7"
"2015/01/02 22:00:00","GENESE","61753","1125"
"2015/01/02 23:00:00","GENESE","61753","1052.2"
"2015/01/03 00:00:00","GENESE","61753","996.3"
"2015/01/03 01:00:00","GENESE","61753","963.1"
"2015/01/03 02:00:00","GENESE","61753","944.9"
"2015/01/03 03:00:00","GENESE","61753","934.6"
"2015/01/03 04:00:00","GENESE","61753","940"
"2015/01/03 05:00:00","GENESE","61753","970.3"
"2015/01/03 06:00:00","GENESE","61753","1014.3"
"2015/01/03 07:00:00","GENESE","61753","1065.1"
"2015/01/03 08:00:00","GENESE","61753","1094"
"2015/01/03 09:00:00","GENESE","61753","1140.3"
"2015/01/03 10:00:00","GENESE","61753","1181.4"
"2015/01/03 11:00:00","GENESE","61753","1193.8"
"2015/01/03 12:00:00","GENESE","61753","1192.8"
"2015/01/03 13:00:00","GENESE","61753","1188.2"
"2015/01/03 14:00:00","GENESE","61753","1183.7"
"2015/01/03 15:00:00","GENESE","61753","1193.4"
"2015/01/03 16:00:00","GENESE","61753","1257.8"
"2015/01/03 17:00:00","GENESE","61753","1309.8"
"2015/01/03 18:00:00","GENESE","61753","1280.3"
"2015/01/03 19:00:00","GENESE","61753","1244.6"
"2015/01/03 20:00:00","GENESE","61753","1207.1"
"2015/01/03 21:00:00","GENESE","61753","1147.7"
"2015/01/03 22:00:00","GENESE","61753","1070.7"
"2015/01/03 23:00:00","GENESE","61753","992.8"
"2015/01/04 00:00:00","GENESE","61753","931.8"
"2015/01/04 01:00:00","GENESE","61753","884.6"
"2015/01/04 02:00:00","GENESE","61753","852.2"
"2015/01/04 03:00:00","GENESE","61753","837.6"
"2015/01/04 04:00:00","GENESE","61753","834"
"2015/01/04 05:00:00","GENESE","61753","847"
"2015/01/04 06:00:00","GENESE","61753","878"
"2015/01/04 07:00:00","GENESE","61753","919"
"2015/01/04 08:00:00","GENESE","61753","955.7"
"2015/01/04 09:00:00","GENESE","61753","1001.3"
"2015/01/04 10:00:00","GENESE","61753","1032.6"
"2015/01/04 11:00:00","GENESE","61753","1061.7"
"2015/01/04 12:00:00","GENESE","61753","1070.3"
"2015/01/04 13:00:00","GENESE","61753","1074.7"
"2015/01/04 14:00:00","GENESE","61753","1079"
"2015/01/04 15:00:00","GENESE","61753","1102.5"
"2015/01/04 16:00:00","GENESE","61753","1173.3"
"2015/01/04 17:00:00","GENESE","61753","1269.3"
"2015/01/04 18:00:00","GENESE","61753","1259.8"
"2015/01/04 19:00:00","GENESE","61753","1227.4"
"2015/01/04 20:00:00","GENESE","61753","1186.9"
"2015/01/04 21:00:00","GENESE","61753","1120.1"
"2015/01/04 22:00:00","GENESE","61753","1044.1"
"2015/01/04 23:00:00","GENESE","61753","980.5"
"2015/01/05 00:00:00","GENESE","61753","940.8"
"2015/01/05 01:00:00","GENESE","61753","923.7"
"2015/01/05 02:00:00","GENESE","61753","925"
"2015/01/05 03:00:00","GENESE","61753","939.1"
"2015/01/05 04:00:00","GENESE","61753","976.5"
"2015/01/05 05:00:00","GENESE","61753","1077.5"
"2015/01/05 06:00:00","GENESE","61753","1221"
"2015/01/05 07:00:00","GENESE","61753","1312.4"
"2015/01/05 08:00:00","GENESE","61753","1319.1"
"2015/01/05 09:00:00","GENESE","61753","1330.6"
"2015/01/05 10:00:00","GENESE","61753","1349.4"
"2015/01/05 11:00:00","GENESE","61753","1358.8"
"2015/01/05 12:00:00","GENESE","61753","1359.1"
"2015/01/05 13:00:00","GENESE","61753","1357.2"
"2015/01/05 14:00:00","GENESE","61753","1349.6"
"2015/01/05 15:00:00","GENESE","61753","1359.8"
"2015/01/05 16:00:00","GENESE","61753","1410"
"2015/01/05 17:00:00","GENESE","61753","1533.9"
"2015/01/05 18:00:00","GENESE","61753","1535.9"
"2015/01/05 19:00:00","GENESE","61753","1512.5"
"2015/01/05 20:00:00","GENESE","61753","1458.8"
"2015/01/05 21:00:00","GENESE","61753","1370.4"
"2015/01/05 22:00:00","GENESE","61753","1253.4"
"2015/01/05 23:00:00","GENESE","61753","1160.5"
"2015/01/06 00:00:00","GENESE","61753","1108"
"2015/01/06 01:00:00","GENESE","61753","1078.2"
"2015/01/06 02:00:00","GENESE","61753","1065.9"
"2015/01/06 03:00:00","GENESE","61753","1064.9"
"2015/01/06 04:00:00","GENESE","61753","1091.1"
"2015/01/06 05:00:00","GENESE","61753","1163.8"
"2015/01/06 06:00:00","GENESE","61753","1297.1"
"2015/01/06 07:00:00","GENESE","61753","1393.1"
"2015/01/06 08:00:00","GENESE","61753","1407.2"
"2015/01/06 09:00:00","GENESE","61753","1408.8"
"2015/01/06 10:00:00","GENESE","61753","1416.7"
"2015/01/06 11:00:00","GENESE","61753","1401.4"
"2015/01/06 12:00:00","GENESE","61753","1373.5"
"2015/01/06 13:00:00","GENESE","61753","1369.4"
"2015/01/06 14:00:00","GENESE","61753","1370.8"
"2015/01/06 15:00:00","GENESE","61753","1388.5"
"2015/01/06 16:00:00","GENESE","61753","1443.2"
"2015/01/06 17:00:00","GENESE","61753","1542.6"
"2015/01/06 18:00:00","GENESE","61753","1545.5"
"2015/01/06 19:00:00","GENESE","61753","1502.8"
"2015/01/06 20:00:00","GENESE","61753","1452.2"
"2015/01/06 21:00:00","GENESE","61753","1366.6"
"2015/01/06 22:00:00","GENESE","61753","1243.6"
"2015/01/06 23:00:00","GENESE","61753","1159.4"
"2015/01/07 00:00:00","GENESE","61753","1101.9"
"2015/01/07 01:00:00","GENESE","61753","1072.1"
"2015/01/07 02:00:00","GENESE","61753","1058.1"
"2015/01/07 03:00:00","GENESE","61753","1062.2"
"2015/01/07 04:00:00","GENESE","61753","1095.5"
"2015/01/07 05:00:00","GENESE","61753","1172.6"
"2015/01/07 06:00:00","GENESE","61753","1310.9"
"2015/01/07 07:00:00","GENESE","61753","1401.4"
"2015/01/07 08:00:00","GENESE","61753","1410.3"
"2015/01/07 09:00:00","GENESE","61753","1431.9"
"2015/01/07 10:00:00","GENESE","61753","1441.3"
"2015/01/07 11:00:00","GENESE","61753","1465.9"
"2015/01/07 12:00:00","GENESE","61753","1464.8"
"2015/01/07 13:00:00","GENESE","61753","1467.2"
"2015/01/07 14:00:00","GENESE","61753","1461.2"
"2015/01/07 15:00:00","GENESE","61753","1472.1"
"2015/01/07 16:00:00","GENESE","61753","1525.2"
"2015/01/07 17:00:00","GENESE","61753","1629.2"
"2015/01/07 18:00:00","GENESE","61753","1616.8"
"2015/01/07 19:00:00","GENESE","61753","1587.6"
"2015/01/07 20:00:00","GENESE","61753","1538.8"
"2015/01/07 21:00:00","GENESE","61753","1447.2"
"2015/01/07 22:00:00","GENESE","61753","1329.4"
"2015/01/07 23:00:00","GENESE","61753","1244.4"
"2015/01/08 00:00:00","GENESE","61753","1181.6"
"2015/01/08 01:00:00","GENESE","61753","1144.1"
"2015/01/08 02:00:00","GENESE","61753","1125.8"
"2015/01/08 03:00:00","GENESE","61753","1130.8"
"2015/01/08 04:00:00","GENESE","61753","1177.2"
"2015/01/08 05:00:00","GENESE","61753","1247"
"2015/01/08 06:00:00","GENESE","61753","1375.9"
"2015/01/08 07:00:00","GENESE","61753","1457.1"
"2015/01/08 08:00:00","GENESE","61753","1440.5"
