Demand,Normalized_net,Temperature,DNI,DHI,Month,Day,Weekday,Hour
0,0.071031650157043,-13.35,0,0,1,1,1,0
4585,0.624909398405412,-13.594,0,0,1,1,1,1
4440,0.607393090118386,-13.781,0,0,1,1,1,2
4418,0.604735443343803,-14.042,0,0,1,1,1,3
4393,0.601715390190867,-14.34,0,0,1,1,1,4
4441,0.607513892244503,-14.714,0.0841,0.6745,1,1,1,5
4637,0.631191108963518,-14.423,27.4865,39.5806,1,1,1,6
4600,0.626721430297173,-12.526,135.979,65.9193,1,1,1,7
4538,0.619231698477893,-10.051,250.0961,70.0359,1,1,1,8
4444,0.607876298622856,-8.365,322.6398,70.7155,1,1,1,9
4401,0.602681807199807,-7.148,359.7813,64.1636,1,1,1,10
4303,0.5908431988403,-6.443,337.1259,58.0123,1,1,1,11
4314,0.592172022227591,-6.28,250.2941,54.8409,1,1,1,12
4616,0.628654264315052,-6.836,124.6292,48.592,1,1,1,13
5035,0.679270355158251,-8.942,14.5657,21.3432,1,1,1,14
5572,0.744141096883305,-11.131,0,0,1,1,1,15
5816,0.773616815655956,-12.019,0,0,1,1,1,16
5764,0.76733510509785,-12.474,0,0,1,1,1,17
5667,0.75561729886446,-12.674,0,0,1,1,1,18
5486,0.733752114037207,-12.641,0,0,1,1,1,19
5442,0.728436820488041,-12.518,0,0,1,1,1,20
5196,0.698719497463155,-12.359,0,0,1,1,1,21
4811,0.652210678907949,-12.253,0,0,1,1,1,22
4544,0.619956511234598,-12.185,0,0,1,1,1,23
4356,0.597245711524523,-12.062,0,0,1,2,1,0
4317,0.592534428605944,-11.924,0,0,1,2,1,1
4315,0.592292824353709,-11.779,0,0,1,2,1,2
4350,0.596520898767818,-11.69,0,0,1,2,1,3
4444,0.607876298622856,-11.566,0,0,1,2,1,4
4681,0.636506402512684,-11.235,0.1091,0.8088,1,2,1,5
5057,0.681928001932834,-10.147,18.3485,42.9497,1,2,1,6
5301,0.711403720705484,-8.03,87.1888,90.1058,1,2,1,7
5311,0.712611741966659,-6.101,174.3852,108.5098,1,2,1,8
5285,0.709470886687606,-4.299,237.2168,113.8529,1,2,1,9
5206,0.69992751872433,-2.914,260.5797,111.9417,1,2,1,10
5108,0.688088910364822,-1.927,241.9948,103.7984,1,2,1,11
5065,0.682894418941773,-1.445,169.5638,95.0489,1,2,1,12
5187,0.697632278328099,-1.633,70.5016,75.1832,1,2,1,13
5499,0.735322541676733,-2.908,6.1186,22.9542,1,2,1,14
5995,0.795240396230974,-4.134,0,0,1,2,1,15
6217,0.822058468229041,-4.606,0,0,1,2,1,16
6099,0.807803817347185,-4.863,0,0,1,2,1,17
5905,0.784368204880406,-4.978,0,0,1,2,1,18
5662,0.755013288233873,-4.951,0,0,1,2,1,19
5575,0.744503503261657,-4.901,0,0,1,2,1,20
5356,0.718047837641942,-4.692,0,0,1,2,1,21
4910,0.664170089393573,-4.506,0,0,1,2,1,22
4573,0.623459772892003,-4.239,0,0,1,2,1,23
4388,0.60111137956028,-3.832,0,0,1,3,0,0
4307,0.591326407344769,-3.362,0,0,1,3,0,1
4251,0.584561488282194,-3.04,0,0,1,3,0,2
4257,0.585286301038898,-2.538,0,0,1,3,0,3
4332,0.594346460497705,-1.945,0,0,1,3,0,4
4540,0.619473302730128,-1.498,0.0243,0.5358,1,3,0,5
4972,0.671659821212853,-1.052,3.0823,32.6824,1,3,0,6
5203,0.699565112345977,0.056,38.2778,102.7542,1,3,0,7
5129,0.690625755013288,1.141,147.2116,122.3102,1,3,0,8
4946,0.6685189659338,1.744,252.0413,109.3789,1,3,0,9
4771,0.647378593863252,2.082,281.2289,103.8644,1,3,0,10
4648,0.632519932350809,2.251,265.0542,94.3527,1,3,0,11
4667,0.63481517274704,2.165,198.8903,82.9948,1,3,0,12
4847,0.656559555448176,1.492,87.7256,69.7783,1,3,0,13
5218,0.701377144237739,-0.315,6.2254,22.3849,1,3,0,14
5789,0.770355158250785,-1.595,0,0.0001,1,3,0,15
5972,0.792461947330273,-2.069,0,0,1,3,0,16
5916,0.785697028267698,-2.423,0,0,1,3,0,17
5650,0.753563662720464,-2.331,0,0,1,3,0,18
5433,0.727349601352984,-2.05,0,0,1,3,0,19
5374,0.720222275912056,-1.805,0,0,1,3,0,20
5112,0.688572118869292,-1.528,0,0,1,3,0,21
4772,0.647499395989369,-1.328,0,0,1,3,0,22
4452,0.608842715631795,-1.178,0,0,1,3,0,23
4286,0.588789562696303,-1.066,0,0,1,4,0,0
4220,0.580816622372554,-0.958,0,0,1,4,0,1
4176,0.575501328823387,-0.828,0,0,1,4,0,2
4190,0.577192558589031,-0.687,0,0,1,4,0,3
4281,0.588185552065716,-0.463,0,0,1,4,0,4
4419,0.60485624546992,-0.157,0.0144,0.5018,1,4,0,5
4847,0.656559555448176,0.477,1.7052,30.8015,1,4,0,6
5142,0.692196182652815,1.493,10.0664,93.1489,1,4,0,7
5397,0.723000724812757,2.296,26.2593,150.002,1,4,0,8
5550,0.741483450108722,2.919,33.3827,178.2587,1,4,0,9
5608,0.748489973423532,3.172,31.1428,180.0307,1,4,0,10
5506,0.736168156559555,3.02,48.06,179.43,1,4,0,11
