Demand,Normalized_net,Temperature,DNI,DHI,Month,Day,Weekday,Hour
0,0,-9.152,0,0,1,1,1,0
7640.09,0.412317683794919,-8.946,0,0,1,1,1,1
7391.37,0.398894850515013,-8.676,0,0,1,1,1,2
7332.5,0.395717775108178,-8.373,0,0,1,1,1,3
7002.01,0.377882007294267,-8.14,0,0,1,1,1,4
7043.19,0.380104395017275,-7.899,0,0,1,1,1,5
6836.66,0.368958456784327,-7.76,0,0,1,1,1,6
6616.33,0.357067765016228,-7.532,7.3585,14.2987,1,1,1,7
6557.81,0.353909578286009,-6.257,73.9317,52.5807,1,1,1,8
6804.86,0.367242285594632,-4.145,176.9511,60.1224,1,1,1,9
6829.01,0.368545604281145,-2.261,249.7925,60.9982,1,1,1,10
6601.25,0.35625393289231,-1.028,280.3112,59.2805,1,1,1,11
7125.72,0.384558344963361,-0.453,248.1279,60.8334,1,1,1,12
7062.86,0.381165938643102,-0.331,175.5682,58.9353,1,1,1,13
7075.39,0.38184215326596,-0.927,73.426,50.2221,1,1,1,14
7074.77,0.381808693324526,-2.861,6.0993,12.477,1,1,1,15
7322.76,0.395192130221775,-4.925,0,0,1,1,1,16
7617.1,0.411076967579475,-4.873,0,0,1,1,1,17
7801.13,0.421008633744243,-4.795,0,0,1,1,1,18
7706.02,0.415875770792925,-4.832,0,0,1,1,1,19
7444.81,0.401778881596061,-4.755,0,0,1,1,1,20
7357.85,0.397085854971662,-4.524,0,0,1,1,1,21
7448.86,0.401997450568333,-4.608,0,0,1,1,1,22
7233.74,0.390387930243578,-4.82,0,0,1,1,1,23
7064.04,0.381229620467122,-4.864,0,0,1,2,1,0
7043.9,0.380142712046982,-4.674,0,0,1,2,1,1
7184.24,0.38771653169358,-4.287,0,0,1,2,1,2
7103.59,0.383364040924746,-4.072,0,0,1,2,1,3
6971.94,0.376259200134703,-4.043,0,0,1,2,1,4
6785.86,0.366216900292613,-4.096,0,0,1,2,1,5
6779.76,0.365887697643017,-4.352,0,0,1,2,1,6
6691.56,0.361127751135749,-4.343,7.2462,16.2089,1,2,1,7
6813.55,0.367711264451187,-2.527,62.356,63.9412,1,2,1,8
7090.7,0.382668397948798,0.421,131.3079,90.2093,1,2,1,9
7195.51,0.38832474708062,1.735,154.0252,115.7815,1,2,1,10
7112.44,0.383841654604897,2.208,105.3881,146.124,1,2,1,11
7512.37,0.405424935859451,2.342,38.8374,143.0489,1,2,1,12
7443.65,0.40171627912499,2.057,8.8754,91.6171,1,2,1,13
7305.79,0.394276299244129,1.501,1.9462,41.1201,1,2,1,14
7275.93,0.392664825290535,1.172,0.1306,5.0978,1,2,1,15
7504.39,0.404994274032603,1.153,0,0,1,2,1,16
8060.25,0.434992730557885,1.213,0,0,1,2,1,17
8156.91,0.440209243362789,1.253,0,0,1,2,1,18
7919.26,0.427383831940428,1.312,0,0,1,2,1,19
7544.98,0.407184820843601,1.08,0,0,1,2,1,20
7371.72,0.397834386242135,0.814,0,0,1,2,1,21
7378.41,0.398195429803741,0.689,0,0,1,2,1,22
7100.29,0.38318594768808,0.581,0,0,1,2,1,23
6933.89,0.374205731148291,0.299,0,0,1,3,0,0
6926.62,0.37381338635115,-0.144,0,0,1,3,0,1
6984.31,0.376926779933965,-0.429,0,0,1,3,0,2
6915.93,0.373236472199646,-0.714,0,0,1,3,0,3
6749.94,0.364278382395322,-1.047,0,0,1,3,0,4
6854.58,0.369925557027073,-1.423,0,0,1,3,0,5
6890.47,0.37186245589494,-1.745,0,0,1,3,0,6
6873.9,0.370968211976284,-1.988,3.2363,16.3412,1,3,0,7
6964.73,0.375870093396411,-0.824,38.7114,75.2211,1,3,0,8
7206.99,0.388944295673629,0.926,101.4543,109.4829,1,3,0,9
7316.75,0.394867784660452,1.881,92.026,147.4541,1,3,0,10
7383.47,0.398468506099963,2.19,26.5538,151.0658,1,3,0,11
7511.87,0.405397952035714,2.291,5.9002,100.3936,1,3,0,12
7696.6,0.415367395553713,2.557,1.9186,59.0403,1,3,0,13
7784.49,0.420110612090264,2.585,0.5771,26.3458,1,3,0,14
7984.99,0.43093112540894,2.582,0.0767,4.361,1,3,0,15
8028.9,0.433300844809554,2.844,0,0,1,3,0,16
8169.18,0.440871426397303,3.139,0,0,1,3,0,17
8134.51,0.439000368059356,3.363,0,0,1,3,0,18
7827.04,0.422406935490312,3.521,0,0,1,3,0,19
7370,0.397741561888479,3.517,0,0,1,3,0,20
7137.06,0.385170338085724,3.432,0,0,1,3,0,21
7093.2,0.382803317067484,3.403,0,0,1,3,0,22
6950.68,0.375111847949391,3.2,0,0,1,3,0,23
7047.08,0.380314329165952,2.771,0,0,1,4,0,0
6995.77,0.377545249174025,2.212,0,0,1,4,0,1
6842.21,0.369257977227811,1.503,0,0,1,4,0,2
6671.3,0.360034366597912,0.859,0,0,1,4,0,3
6533.04,0.352572799658061,0.114,0,0,1,4,0,4
6593.98,0.355861588095169,-0.238,0,0,1,4,0,5
6527.93,0.352297024979465,-0.351,0,0,1,4,0,6
6392.81,0.345004916452685,-0.571,1.584,13.6104,1,4,0,7
6674.64,0.360214618540477,0.148,17.4184,70.5998,1,4,0,8
6803,0.367141905770329,1.049,46.5907,115.0404,1,4,0,9
6971,0.376208470546077,1.57,102.0505,133.2185,1,4,0,10
7077.33,0.381946850502061,1.878,171.032,118.8434,1,4,0,11
7116.16,0.384042414253503,1.887,154.1824,112.2037,1,4,0,12
7066.57,0.381366158615233,1.599,108.1278,97.6401,1,4,0,13
7031.82,0.379490782865488,0.719,36.8014,68.8105,1,4,0,14
7079.78,0.382079071238374,-0.907,3.4302,14.2125,1,4,0,15
7474.13,0.403361213020019,-1.714,0,0,1,4,0,16
8016.69,0.432641899833888,-2.07,0,0,1,4,0,17
8060.88,0.435026730175794,-2.395,0,0,1,4,0,18
7943.55,0.428694706097589,-2.697,0,0,1,4,0,19
7633.04,0.411937211880222,-2.991,0,0,1,4,0,20
7438.13,0.40141837771093,-3.368,0,0,1,4,0,21
7293.08,0.393590370444726,-3.615,0,0,1,4,0,22
7031.4,0.379468116453548,-3.664,0,0,1,4,0,23
6982.33,0.376819923991965,-3.782,0,0,1,5,1,0
7181.59,0.387573517427772,-3.979,0,0,1,5,1,1
7216.88,0.389478035707154,-4.076,0,0,1,5,1,2
7346.43,0.396469544437501,-4.239,0,0,1,5,1,3
7255.53,0.391563885282051,-4.472,0,0,1,5,1,4
7483.76,0.4038809214652,-4.648,0,0,1,5,1,5
7917.41,0.4272839917926,-4.714,0,0,1,5,1,6
8723.27,0.470774360186555,-4.356,14.9238,13.4993,1,5,1,7
9165.38,0.494633996811591,-2.427,112.5095,37.1832,1,5,1,8
9207.91,0.49692924085869,-0.282,222.9185,41.4463,1,5,1,9
9077.98,0.489917224422303,1.171,295.7615,43.3135,1,5,1,10
