Demand,Normalized_net,Temperature,DNI,DHI,Month,Day,Weekday,Hour
0,0,-1.123,0,0,1,1,1,0
21534,0.390412821582029,-1.111,0,0,1,1,1,1
20219,0.366571785992712,-1.036,0,0,1,1,1,2
19470,0.352992367242598,-0.955,0,0,1,1,1,3
19485,0.353264318218902,-0.905,0,0,1,1,1,4
20349,0.368928694454013,-0.849,0,0,1,1,1,5
20715,0.375564298275831,-0.722,1.7411,4.5531,1,1,1,6
21092,0.382399332813605,0.256,46.561,40.1997,1,1,1,7
22776,0.412930362420001,1.944,160.8943,59.9463,1,1,1,8
24243,0.439527167902533,3.426,266.3038,65.0268,1,1,1,9
25601,0.464147796290589,4.434,326.3118,68.2469,1,1,1,10
25790,0.467574378592019,5.042,331.4105,71.1038,1,1,1,11
24249,0.439635948293054,5.268,278.7276,74.0929,1,1,1,12
23416,0.424533604075639,5.082,189.1816,70.9217,1,1,1,13
23716,0.429972623601719,4.118,79.758,56.2552,1,1,1,14
25405,0.46059430353355,2.301,5.7744,14.0784,1,1,1,15
29787,0.540040248744493,1.546,0.0001,0.0009,1,1,1,16
30946,0.561052994180249,1.456,0,0,1,1,1,17
31359,0.568540711061153,1.429,0,0,1,1,1,18
30611,0.554979422376126,1.462,0,0,1,1,1,19
29168,0.528817738455681,1.527,0,0,1,1,1,20
26859,0.486955418169951,1.508,0,0,1,1,1,21
24116,0.437224649636492,1.495,0,0,1,1,1,22
21568,0.391029243794985,1.503,0,0,1,1,1,23
19764,0.358322606378157,1.457,0,0,1,2,1,0
18755,0.340029370705441,1.413,0,0,1,2,1,1
18412,0.333810758380623,1.361,0,0,1,2,1,2
18558,0.336457747883315,1.304,0,0,1,2,1,3
19810,0.359156589372156,1.247,0,0,1,2,1,4
22878,0.414779629058868,1.21,0,0,1,2,1,5
26190,0.474826404626793,1.288,2.3526,4.7528,1,2,1,6
29053,0.526732780970684,2.515,44.9701,41.5922,1,2,1,7
31535,0.571731602516453,4.4,142.6634,69.2286,1,2,1,8
31804,0.576608590024838,5.995,236.0235,79.4071,1,2,1,9
31496,0.571024529978063,7.237,299.6601,80.9717,1,2,1,10
30827,0.558895516434904,8.014,316.3658,79.1162,1,2,1,11
29624,0.537085048135323,8.301,272.4903,78.7567,1,2,1,12
30125,0.546168210743877,7.962,177.7237,77.7831,1,2,1,13
31251,0.566582664031764,6.703,64.7843,63.4592,1,2,1,14
33396,0.605471653643237,5.149,3.9806,14.1688,1,2,1,15
38291,0.694218322243777,4.655,0.0001,0.0011,1,2,1,16
38662,0.700944576391029,4.631,0,0,1,2,1,17
38219,0.692912957557518,4.6,0,0,1,2,1,18
35572,0.644922675272404,4.528,0,0,1,2,1,19
32695,0.592762478017296,4.5,0,0,1,2,1,20
29068,0.527004731946988,4.464,0,0,1,2,1,21
25909,0.469731856337364,4.572,0,0,1,2,1,22
22906,0.415287270881302,4.62,0,0,1,2,1,23
20851,0.378029987127654,4.553,0,0,1,3,0,0
19712,0.357379842993636,4.432,0,0,1,3,0,1
19264,0.34925757383469,4.385,0,0,1,3,0,2
19298,0.349873996047646,4.322,0,0,1,3,0,3
20192,0.366082274235364,4.185,0,0,1,3,0,4
22529,0.408452236343528,3.961,0,0,1,3,0,5
25195,0.456786989865294,3.866,1.0872,4.7195,1,3,0,6
27383,0.496455572275504,4.654,29.6477,48.3587,1,3,0,7
29452,0.53396667694037,6.413,108.6052,86.8242,1,3,0,8
29664,0.5378102507388,8.056,187.3847,104.1887,1,3,0,9
28845,0.522961727432601,9.285,249.9168,106.5617,1,3,0,10
27936,0.506481498268579,9.998,265.7598,104.7289,1,3,0,11
27154,0.492303787370597,10.239,229.1884,101.0786,1,3,0,12
27167,0.492539478216727,9.865,154.8355,90.88,1,3,0,13
28009,0.507804993019925,8.602,60.0575,67.365,1,3,0,14
30099,0.545696829051616,6.753,3.9205,14.7885,1,3,0,15
34795,0.630835614699857,6.041,0.0001,0.0013,1,3,0,16
35872,0.650361694798484,5.807,0,0,1,3,0,17
35893,0.65074242616531,5.577,0,0,1,3,0,18
33609,0.609333357506753,5.538,0,0,1,3,0,19
30837,0.559076817085773,5.574,0,0,1,3,0,20
27974,0.507170440741882,5.54,0,0,1,3,0,21
25217,0.457185851297206,5.521,0,0,1,3,0,22
22558,0.40897800823105,5.682,0,0,1,3,0,23
20602,0.373515600921007,5.872,0,0,1,4,0,0
19449,0.352611635875773,5.995,0,0,1,4,0,1
18871,0.342132458255525,6.114,0,0,1,4,0,2
18726,0.33950359881792,6.16,0,0,1,4,0,3
19122,0.346683104592345,6.082,0,0,1,4,0,4
20289,0.367840890548797,5.966,0,0,1,4,0,5
21600,0.391609405877767,5.806,0.5765,4.1796,1,4,0,6
23049,0.417879870188734,6.496,25.194,49.6958,1,4,0,7
25376,0.460068531646029,8.289,116.9398,83.6745,1,4,0,8
26859,0.486955418169951,9.907,221.5178,89.3992,1,4,0,9
27740,0.50292800551154,11.122,292.7123,87.6136,1,4,0,10
27326,0.495422158565549,11.823,308.2095,85.9708,1,4,0,11
26018,0.47170803343184,11.983,266.4967,84.546,1,4,0,12
25049,0.454140000362601,11.481,180.1,79.6001,1,4,0,13
24868,0.450858458581866,9.946,73.216,62.5139,1,4,0,14
25826,0.468227060935149,7.353,5.2502,15.5183,1,4,0,15
30053,0.544862846057617,6.079,0.0001,0.0012,1,4,0,16
31608,0.573055097267799,5.578,0,0,1,4,0,17
32356,0.586616385952826,5.09,0,0,1,4,0,18
31312,0.567688598002067,4.619,0,0,1,4,0,19
29367,0.532425621407981,4.18,0,0,1,4,0,20
27050,0.490418260601556,3.712,0,0,1,4,0,21
