Net,Temperature,Month,Day,Weekday,Hour
37595.594,12.9,1,1,1,0
36246.802,12.8,1,1,1,1
35430.087,12.6,1,1,1,2
35011.771,12,1,1,1,3
35129.013,13.2,1,1,1,4
35794.763,12.6,1,1,1,5
36643.269,11.7,1,1,1,6
37902.875,11.1,1,1,1,7
38647.159,10.4,1,1,1,8
39767.839,9.8,1,1,1,9
41086.316,9.4,1,1,1,10
42174.082,8.4,1,1,1,11
42779.015,7.6,1,1,1,12
42855.754,6.6,1,1,1,13
43109.211,5.2,1,1,1,14
43401.373,4.6,1,1,1,15
44266.121,4.1,1,1,1,16
46270.433,3.2,1,1,1,17
46891.243,2.7,1,1,1,18
46571.62,2,1,1,1,19
46004.116,1.6,1,1,1,20
45068.103,1.4,1,1,1,21
43484.212,1.1,1,1,1,22
41529.296,1.1,1,1,1,23
40295.895,1,1,2,1,0
39585.19,0.9,1,2,1,1
39220.325,0.8,1,2,1,2
39242.603,0.7,1,2,1,3
40122.513,0.7,1,2,1,4
42198.404,0.7,1,2,1,5
45634.749,0.7,1,2,1,6
48793.671,0.5,1,2,1,7
50167.872,0.3,1,2,1,8
50674.378,0.2,1,2,1,9
51338.119,0,1,2,1,10
51576.816,-0.1,1,2,1,11
51470.405,-0.1,1,2,1,12
51542.435,0.1,1,2,1,13
51409.99,0.8,1,2,1,14
51066.795,2,1,2,1,15
51621.137,3.1,1,2,1,16
53532.177,3.9,1,2,1,17
53899.269,4.6,1,2,1,18
53226.335,4.8,1,2,1,19
52359.416,5,1,2,1,20
50725.508,4.8,1,2,1,21
48534.919,4.1,1,2,1,22
45940.821,3.8,1,2,1,23
43966.437,3.4,1,3,1,0
42912.235,3.2,1,3,1,1
42445.839,3,1,3,1,2
42352.207,2.9,1,3,1,3
42968.305,3.9,1,3,1,4
44903.326,4,1,3,1,5
48346.265,3.7,1,3,1,6
51192.946,3.1,1,3,1,7
51743.723,2.5,1,3,1,8
51627.308,1.9,1,3,1,9
51810.032,1.3,1,3,1,10
51353.785,0.6,1,3,1,11
50936.82,0.1,1,3,1,12
