,pinball,pinball,pinball,pinball,pinball,pinball
model,DNN,GB,GRU,LSTM,QR,RF
dataset,,,,,,
S1,14.051142267103664,10.209679884408,14.761460403990965,15.375402287005066,15.404731398643854,11.75677321822294
S2,0.2145919457757206,0.1611840861175896,0.2433809422525751,0.2425045485355106,0.3646667183291188,0.1693493540590847
S3-AT,436.01467989646255,97.40622361826593,434.5070662911782,437.3648618543093,195.6629275698121,82.14731938102486
S3-BE,441.75630681255154,117.8982938828714,426.7438027292964,425.1401672202255,230.3569671638733,112.82092732115676
S3-BG,244.34109470500977,50.87793025859097,223.27488526087373,229.2170824346828,113.25796796077871,47.4770728056824
S3-CH,278.32130742742424,112.50526315667176,277.90094522096274,278.5378916616377,162.62656206895045,116.48535987062404
S3-CZ,393.3928489310927,90.85718592940265,393.88860991531504,394.2232927545949,182.3535206115085,75.85509826152968
S3-DK,229.80151654668967,50.71366628850927,211.8403727786424,205.1777785743624,104.06277493399016,45.6163729888762
S3-ES,1434.6723332560407,302.95961384792986,1434.7050777732195,1434.607307501744,723.5362821768665,233.12308521494165
S3-FR,3507.24781608717,655.9299260004025,3507.614960080344,3512.878559239599,1239.4872125695292,570.7616796877472
S3-GR,361.5041228797793,80.32835590287715,363.92294568013534,363.08126610238105,168.84970133908632,73.71990290049467
S3-IT,2439.626118513366,519.3480643817943,2427.5443453538214,2435.2025470766544,1009.312976004448,367.9878081770801
S3-NL,610.3434402845161,165.4405127498926,613.8496594170153,610.4001382076237,336.5615543760417,155.5219137493658
S3-PT,320.61041726432194,68.56603756710655,298.2666683967702,299.9804989879498,143.02369654109387,56.9291482783105
S3-SI,84.74471193547589,24.21450773873022,52.47512608637004,51.81035789453918,40.29423235857324,22.31503717226028
S3-SK,145.4875694165745,34.2709222989689,145.62515617476106,138.26449881899603,80.88801906495435,30.464495912823438
S4-MIDATL,2175.885407222238,734.391046893837,2175.2229555750555,2173.024058593947,1141.7082581682178,762.2431708313204
S4-SOUTH,774.1756041635216,275.0807990741005,769.8495495792704,770.5482850602743,439.529148937921,301.9505764070048
S4-WEST,2906.9187918023,784.2408538551648,2684.106597483268,2666.6082460306507,1380.6889148996054,845.3041175588768
S5,1510.6352527479671,750.5264381691723,1528.1494354331278,1533.3493974910032,844.422022111548,812.0749217947255
