time,month,day,hour,day_of_week,temperature,net_load
2015-01-01 00:00:00,1,1,0,3,3.0,0.484713056
2015-01-01 01:00:00,1,1,1,3,3.0,0.477985833
2015-01-01 02:00:00,1,1,2,3,4.0,0.490428333
2015-01-01 03:00:00,1,1,3,3,4.0,0.490055833
2015-01-01 04:00:00,1,1,4,3,5.0,0.472373889
2015-01-01 05:00:00,1,1,5,3,5.0,0.487836944
2015-01-01 06:00:00,1,1,6,3,5.0,0.4989075
2015-01-01 07:00:00,1,1,7,3,5.0,0.466638611
2015-01-01 08:00:00,1,1,8,3,6.0,0.449143333
2015-01-01 09:00:00,1,1,9,3,6.0,0.429813889
2015-01-01 10:00:00,1,1,10,3,7.0,0.348718333
2015-01-01 11:00:00,1,1,11,3,9.0,0.442039722
2015-01-01 12:00:00,1,1,12,3,10.0,0.289916667
2015-01-01 13:00:00,1,1,13,3,12.0,0.378047222
2015-01-01 14:00:00,1,1,14,3,13.0,0.396775556
2015-01-01 15:00:00,1,1,15,3,14.0,0.5291475
2015-01-01 16:00:00,1,1,16,3,14.0,0.696766667
2015-01-01 17:00:00,1,1,17,3,14.0,0.561011667
2015-01-01 18:00:00,1,1,18,3,15.0,0.60727
2015-01-01 19:00:00,1,1,19,3,15.0,0.898929444
2015-01-01 20:00:00,1,1,20,3,15.0,0.902855
2015-01-01 21:00:00,1,1,21,3,15.0,0.788523611
2015-01-01 22:00:00,1,1,22,3,15.0,0.806644444
2015-01-01 23:00:00,1,1,23,3,16.0,0.712713056
2015-01-02 00:00:00,1,2,0,4,16.0,0.46012
2015-01-02 01:00:00,1,2,1,4,17.0,0.470731667
2015-01-02 02:00:00,1,2,2,4,16.0,0.49388
2015-01-02 03:00:00,1,2,3,4,15.0,0.483766667
2015-01-02 04:00:00,1,2,4,4,13.0,0.483615556
2015-01-02 05:00:00,1,2,5,4,12.0,0.474862778
2015-01-02 06:00:00,1,2,6,4,12.0,0.461783333
2015-01-02 07:00:00,1,2,7,4,14.0,0.453278611
2015-01-02 08:00:00,1,2,8,4,13.0,0.482633056
2015-01-02 09:00:00,1,2,9,4,17.0,0.388796389
2015-01-02 10:00:00,1,2,10,4,19.0,0.127531944
2015-01-02 11:00:00,1,2,11,4,19.0,-0.062307778
2015-01-02 12:00:00,1,2,12,4,19.0,-0.0800325
2015-01-02 13:00:00,1,2,13,4,17.0,-0.103756667
2015-01-02 14:00:00,1,2,14,4,18.0,0.104617222
2015-01-02 15:00:00,1,2,15,4,17.0,0.3486225
2015-01-02 16:00:00,1,2,16,4,19.0,0.583881944
2015-01-02 17:00:00,1,2,17,4,20.0,0.679595833
2015-01-02 18:00:00,1,2,18,4,19.0,0.491993056
2015-01-02 19:00:00,1,2,19,4,20.0,0.570595278
2015-01-02 20:00:00,1,2,20,4,20.0,0.511455278
2015-01-02 21:00:00,1,2,21,4,21.0,0.519693333
2015-01-02 22:00:00,1,2,22,4,21.0,0.528317222
2015-01-02 23:00:00,1,2,23,4,21.0,0.465785278
2015-01-03 00:00:00,1,3,0,5,21.0,0.469053611
2015-01-03 01:00:00,1,3,1,5,22.0,0.480872222
2015-01-03 02:00:00,1,3,2,5,22.0,0.511955
2015-01-03 03:00:00,1,3,3,5,26.0,0.485033889
2015-01-03 04:00:00,1,3,4,5,28.0,0.466258611
2015-01-03 05:00:00,1,3,5,5,29.0,0.451970556
2015-01-03 06:00:00,1,3,6,5,29.0,0.4474775
2015-01-03 07:00:00,1,3,7,5,30.0,0.467505278
