time,month,day,hour,day_of_week,demand,temperature
2017-01-01 00:00:00+00:00,1,1,0,6,6315,-4.64
2017-01-01 01:00:00+00:00,1,1,1,6,6102,-4.691
2017-01-01 02:00:00+00:00,1,1,2,6,5830,-4.762
2017-01-01 03:00:00+00:00,1,1,3,6,5715,-4.806
2017-01-01 04:00:00+00:00,1,1,4,6,5818,-4.848
2017-01-01 05:00:00+00:00,1,1,5,6,5774,-4.976
2017-01-01 06:00:00+00:00,1,1,6,6,6168,-5.166
2017-01-01 07:00:00+00:00,1,1,7,6,6406,-4.771
2017-01-01 08:00:00+00:00,1,1,8,6,6677,-3.013
2017-01-01 09:00:00+00:00,1,1,9,6,6893,-0.914
2017-01-01 10:00:00+00:00,1,1,10,6,6990,0.554
2017-01-01 11:00:00+00:00,1,1,11,6,6891,1.653
2017-01-01 12:00:00+00:00,1,1,12,6,6741,2.039
2017-01-01 13:00:00+00:00,1,1,13,6,6673,1.456
2017-01-01 14:00:00+00:00,1,1,14,6,6716,-0.516
2017-01-01 15:00:00+00:00,1,1,15,6,7149,-2.462
2017-01-01 16:00:00+00:00,1,1,16,6,7706,-3.35
2017-01-01 17:00:00+00:00,1,1,17,6,7828,-3.887
2017-01-01 18:00:00+00:00,1,1,18,6,7513,-4.251
2017-01-01 19:00:00+00:00,1,1,19,6,7184,-4.507
2017-01-01 20:00:00+00:00,1,1,20,6,6789,-4.846
2017-01-01 21:00:00+00:00,1,1,21,6,6906,-5.195
2017-01-01 22:00:00+00:00,1,1,22,6,6633,-5.427
2017-01-01 23:00:00+00:00,1,1,23,6,6353,-5.674
2017-01-02 00:00:00+00:00,1,2,0,0,6138,-5.936
2017-01-02 01:00:00+00:00,1,2,1,0,6042,-6.094
2017-01-02 02:00:00+00:00,1,2,2,0,5914,-6.032
2017-01-02 03:00:00+00:00,1,2,3,0,6076,-5.895
2017-01-02 04:00:00+00:00,1,2,4,0,6663,-5.824
2017-01-02 05:00:00+00:00,1,2,5,0,7383,-5.877
2017-01-02 06:00:00+00:00,1,2,6,0,8251,-5.956
2017-01-02 07:00:00+00:00,1,2,7,0,8724,-5.251
2017-01-02 08:00:00+00:00,1,2,8,0,8992,-3.108
2017-01-02 09:00:00+00:00,1,2,9,0,9024,-0.996
2017-01-02 10:00:00+00:00,1,2,10,0,9069,0.501
2017-01-02 11:00:00+00:00,1,2,11,0,8942,1.351
2017-01-02 12:00:00+00:00,1,2,12,0,8842,1.474
2017-01-02 13:00:00+00:00,1,2,13,0,8784,0.831
2017-01-02 14:00:00+00:00,1,2,14,0,8842,-0.67
2017-01-02 15:00:00+00:00,1,2,15,0,9192,-1.862
2017-01-02 16:00:00+00:00,1,2,16,0,9516,-2.106
2017-01-02 17:00:00+00:00,1,2,17,0,9374,-2.251
2017-01-02 18:00:00+00:00,1,2,18,0,8790,-2.364
2017-01-02 19:00:00+00:00,1,2,19,0,8268,-2.566
2017-01-02 20:00:00+00:00,1,2,20,0,7761,-2.814
2017-01-02 21:00:00+00:00,1,2,21,0,7707,-3.046
2017-01-02 22:00:00+00:00,1,2,22,0,7199,-3.32
2017-01-02 23:00:00+00:00,1,2,23,0,6876,-3.527
2017-01-03 00:00:00+00:00,1,3,0,1,6606,-3.681
2017-01-03 01:00:00+00:00,1,3,1,1,6412,-3.968
2017-01-03 02:00:00+00:00,1,3,2,1,6316,-4.33
2017-01-03 03:00:00+00:00,1,3,3,1,6455,-4.7
2017-01-03 04:00:00+00:00,1,3,4,1,6996,-4.95
2017-01-03 05:00:00+00:00,1,3,5,1,7645,-5.183
2017-01-03 06:00:00+00:00,1,3,6,1,8470,-5.452
2017-01-03 07:00:00+00:00,1,3,7,1,8913,-4.909
2017-01-03 08:00:00+00:00,1,3,8,1,9132,-3.459
2017-01-03 09:00:00+00:00,1,3,9,1,9292,-2.239
2017-01-03 10:00:00+00:00,1,3,10,1,9342,-1.251
2017-01-03 11:00:00+00:00,1,3,11,1,9156,-0.614
2017-01-03 12:00:00+00:00,1,3,12,1,9022,-0.422
2017-01-03 13:00:00+00:00,1,3,13,1,8917,-0.717
2017-01-03 14:00:00+00:00,1,3,14,1,8910,-1.764
2017-01-03 15:00:00+00:00,1,3,15,1,9289,-3.116
2017-01-03 16:00:00+00:00,1,3,16,1,9758,-3.793
2017-01-03 17:00:00+00:00,1,3,17,1,9659,-4.247
2017-01-03 18:00:00+00:00,1,3,18,1,9094,-4.634
2017-01-03 19:00:00+00:00,1,3,19,1,8583,-5.035
2017-01-03 20:00:00+00:00,1,3,20,1,7985,-5.302
2017-01-03 21:00:00+00:00,1,3,21,1,7867,-5.257
2017-01-03 22:00:00+00:00,1,3,22,1,7374,-5.004
2017-01-03 23:00:00+00:00,1,3,23,1,7062,-4.595
2017-01-04 00:00:00+00:00,1,4,0,2,6808,-4.167
2017-01-04 01:00:00+00:00,1,4,1,2,6594,-3.805
