time,month,day,hour,day_of_week,demand,temperature
2017-01-01 00:00:00+00:00,1,1,0,6,6180.82,-8.336
2017-01-01 01:00:00+00:00,1,1,1,6,6134.29,-8.62
2017-01-01 02:00:00+00:00,1,1,2,6,6041.86,-8.783
2017-01-01 03:00:00+00:00,1,1,3,6,5973.1,-9.008
2017-01-01 04:00:00+00:00,1,1,4,6,5952.18,-9.203
2017-01-01 05:00:00+00:00,1,1,5,6,5965.92,-9.422
2017-01-01 06:00:00+00:00,1,1,6,6,5978.12,-9.507
2017-01-01 07:00:00+00:00,1,1,7,6,5993.71,-9.003
2017-01-01 08:00:00+00:00,1,1,8,6,6475.71,-7.339
2017-01-01 09:00:00+00:00,1,1,9,6,6770.17,-5.479
2017-01-01 10:00:00+00:00,1,1,10,6,6834.83,-3.563
2017-01-01 11:00:00+00:00,1,1,11,6,6801.54,-1.954
2017-01-01 12:00:00+00:00,1,1,12,6,6853.51,-1.098
2017-01-01 13:00:00+00:00,1,1,13,6,6967.47,-1.303
2017-01-01 14:00:00+00:00,1,1,14,6,7161.32,-3.258
2017-01-01 15:00:00+00:00,1,1,15,6,7380.24,-5.14
2017-01-01 16:00:00+00:00,1,1,16,6,7513.15,-5.858
2017-01-01 17:00:00+00:00,1,1,17,6,7479.88,-6.411
2017-01-01 18:00:00+00:00,1,1,18,6,7421.55,-6.804
2017-01-01 19:00:00+00:00,1,1,19,6,7355.47,-7.062
2017-01-01 20:00:00+00:00,1,1,20,6,7070.87,-7.298
2017-01-01 21:00:00+00:00,1,1,21,6,6854.91,-7.429
2017-01-01 22:00:00+00:00,1,1,22,6,6572.25,-7.511
2017-01-01 23:00:00+00:00,1,1,23,6,6431.34,-7.56
2017-01-02 00:00:00+00:00,1,2,0,0,6513.09,-7.541
2017-01-02 01:00:00+00:00,1,2,1,0,6510.84,-7.52
2017-01-02 02:00:00+00:00,1,2,2,0,6413.68,-7.447
2017-01-02 03:00:00+00:00,1,2,3,0,6579.82,-7.333
2017-01-02 04:00:00+00:00,1,2,4,0,7153.27,-7.277
2017-01-02 05:00:00+00:00,1,2,5,0,8192.51,-7.27
2017-01-02 06:00:00+00:00,1,2,6,0,8751.33,-7.165
2017-01-02 07:00:00+00:00,1,2,7,0,9077.82,-6.556
2017-01-02 08:00:00+00:00,1,2,8,0,9452.08,-5.351
2017-01-02 09:00:00+00:00,1,2,9,0,9593.07,-4.078
2017-01-02 10:00:00+00:00,1,2,10,0,9653.85,-2.972
2017-01-02 11:00:00+00:00,1,2,11,0,9901.81,-2.202
2017-01-02 12:00:00+00:00,1,2,12,0,9807.43,-1.822
2017-01-02 13:00:00+00:00,1,2,13,0,9720.87,-1.877
2017-01-02 14:00:00+00:00,1,2,14,0,9720.53,-2.332
2017-01-02 15:00:00+00:00,1,2,15,0,9728.33,-2.626
2017-01-02 16:00:00+00:00,1,2,16,0,9763.17,-2.705
2017-01-02 17:00:00+00:00,1,2,17,0,9548.15,-2.707
2017-01-02 18:00:00+00:00,1,2,18,0,9427.38,-2.71
2017-01-02 19:00:00+00:00,1,2,19,0,9087.16,-2.83
2017-01-02 20:00:00+00:00,1,2,20,0,8635.19,-3.058
2017-01-02 21:00:00+00:00,1,2,21,0,8108.84,-3.345
2017-01-02 22:00:00+00:00,1,2,22,0,7724.86,-3.744
2017-01-02 23:00:00+00:00,1,2,23,0,7419.92,-4.302
2017-01-03 00:00:00+00:00,1,3,0,1,7482.06,-4.702
2017-01-03 01:00:00+00:00,1,3,1,1,7426.77,-4.913
2017-01-03 02:00:00+00:00,1,3,2,1,7371.87,-4.893
2017-01-03 03:00:00+00:00,1,3,3,1,7495.82,-4.887
2017-01-03 04:00:00+00:00,1,3,4,1,7951.44,-4.89
2017-01-03 05:00:00+00:00,1,3,5,1,9023.93,-4.877
