time,month,day,hour,day_of_week,demand,temperature
2017-01-01 00:00:00+00:00,1,1,0,6,73330.0,-0.762
2017-01-01 01:00:00+00:00,1,1,1,6,71806.0,-0.843
2017-01-01 02:00:00+00:00,1,1,2,6,68195.0,-0.934
2017-01-01 03:00:00+00:00,1,1,3,6,65672.0,-1.03
2017-01-01 04:00:00+00:00,1,1,4,6,64842.0,-1.127
2017-01-01 05:00:00+00:00,1,1,5,6,64454.0,-1.202
2017-01-01 06:00:00+00:00,1,1,6,6,64524.0,-1.225
2017-01-01 07:00:00+00:00,1,1,7,6,64855.0,-1.194
2017-01-01 08:00:00+00:00,1,1,8,6,66246.0,-0.618
2017-01-01 09:00:00+00:00,1,1,9,6,68222.0,0.403
2017-01-01 10:00:00+00:00,1,1,10,6,69688.0,1.568
2017-01-01 11:00:00+00:00,1,1,11,6,72008.0,2.651
2017-01-01 12:00:00+00:00,1,1,12,6,71056.0,3.421
2017-01-01 13:00:00+00:00,1,1,13,6,68243.0,3.718
2017-01-01 14:00:00+00:00,1,1,14,6,66403.0,3.341
2017-01-01 15:00:00+00:00,1,1,15,6,66053.0,2.093
2017-01-01 16:00:00+00:00,1,1,16,6,69303.0,1.195
2017-01-01 17:00:00+00:00,1,1,17,6,73364.0,0.996
2017-01-01 18:00:00+00:00,1,1,18,6,74695.0,0.825
2017-01-01 19:00:00+00:00,1,1,19,6,73274.0,0.674
2017-01-01 20:00:00+00:00,1,1,20,6,70978.0,0.529
2017-01-01 21:00:00+00:00,1,1,21,6,71702.0,0.489
2017-01-01 22:00:00+00:00,1,1,22,6,72428.0,0.48
2017-01-01 23:00:00+00:00,1,1,23,6,69366.0,0.396
2017-01-02 00:00:00+00:00,1,2,0,0,66988.0,0.307
2017-01-02 01:00:00+00:00,1,2,1,0,65675.0,0.232
2017-01-02 02:00:00+00:00,1,2,2,0,63066.0,0.201
2017-01-02 03:00:00+00:00,1,2,3,0,62297.0,0.182
2017-01-02 04:00:00+00:00,1,2,4,0,64296.0,0.185
2017-01-02 05:00:00+00:00,1,2,5,0,67976.0,0.214
2017-01-02 06:00:00+00:00,1,2,6,0,71995.0,0.252
2017-01-02 07:00:00+00:00,1,2,7,0,74893.0,0.308
2017-01-02 08:00:00+00:00,1,2,8,0,76875.0,0.975
2017-01-02 09:00:00+00:00,1,2,9,0,78624.0,1.93
2017-01-02 10:00:00+00:00,1,2,10,0,79837.0,2.699
2017-01-02 11:00:00+00:00,1,2,11,0,80947.0,3.347
2017-01-02 12:00:00+00:00,1,2,12,0,79519.0,3.715
2017-01-02 13:00:00+00:00,1,2,13,0,77813.0,3.717
2017-01-02 14:00:00+00:00,1,2,14,0,75739.0,3.198
2017-01-02 15:00:00+00:00,1,2,15,0,75511.0,2.112
2017-01-02 16:00:00+00:00,1,2,16,0,78799.0,1.292
2017-01-02 17:00:00+00:00,1,2,17,0,82562.0,0.992
2017-01-02 18:00:00+00:00,1,2,18,0,82535.0,0.663
2017-01-02 19:00:00+00:00,1,2,19,0,78425.0,0.382
2017-01-02 20:00:00+00:00,1,2,20,0,74836.0,0.147
2017-01-02 21:00:00+00:00,1,2,21,0,75000.0,-0.082
2017-01-02 22:00:00+00:00,1,2,22,0,75682.0,-0.326
2017-01-02 23:00:00+00:00,1,2,23,0,73185.0,-0.508
2017-01-03 00:00:00+00:00,1,3,0,1,70940.0,-0.702
2017-01-03 01:00:00+00:00,1,3,1,1,69855.0,-0.878
2017-01-03 02:00:00+00:00,1,3,2,1,67557.0,-1.049
2017-01-03 03:00:00+00:00,1,3,3,1,66819.0,-1.244
