time,month,day,hour,day_of_week,demand,temperature
2017-01-01 00:00:00+00:00,1,1,0,6,22515.0,2.585
2017-01-01 01:00:00+00:00,1,1,1,6,21158.0,2.524
2017-01-01 02:00:00+00:00,1,1,2,6,19807.0,2.464
2017-01-01 03:00:00+00:00,1,1,3,6,19096.0,2.386
2017-01-01 04:00:00+00:00,1,1,4,6,19091.0,2.326
2017-01-01 05:00:00+00:00,1,1,5,6,19766.0,2.278
2017-01-01 06:00:00+00:00,1,1,6,6,20008.0,2.226
2017-01-01 07:00:00+00:00,1,1,7,6,20273.0,3.003
2017-01-01 08:00:00+00:00,1,1,8,6,21531.0,4.866
2017-01-01 09:00:00+00:00,1,1,9,6,22681.0,6.514
2017-01-01 10:00:00+00:00,1,1,10,6,23576.0,7.83
2017-01-01 11:00:00+00:00,1,1,11,6,23886.0,8.638
2017-01-01 12:00:00+00:00,1,1,12,6,22581.0,8.923
2017-01-01 13:00:00+00:00,1,1,13,6,21647.0,8.642
2017-01-01 14:00:00+00:00,1,1,14,6,22111.0,7.364
2017-01-01 15:00:00+00:00,1,1,15,6,23864.0,5.76
2017-01-01 16:00:00+00:00,1,1,16,6,27750.0,5.032
2017-01-01 17:00:00+00:00,1,1,17,6,29075.0,4.602
2017-01-01 18:00:00+00:00,1,1,18,6,29650.0,4.266
2017-01-01 19:00:00+00:00,1,1,19,6,29290.0,3.953
2017-01-01 20:00:00+00:00,1,1,20,6,28143.0,3.703
2017-01-01 21:00:00+00:00,1,1,21,6,26074.0,3.541
2017-01-01 22:00:00+00:00,1,1,22,6,23658.0,3.466
2017-01-01 23:00:00+00:00,1,1,23,6,21252.0,3.424
2017-01-02 00:00:00+00:00,1,2,0,0,19425.0,3.433
2017-01-02 01:00:00+00:00,1,2,1,0,18677.0,3.446
2017-01-02 02:00:00+00:00,1,2,2,0,18466.0,3.414
2017-01-02 03:00:00+00:00,1,2,3,0,18837.0,3.373
2017-01-02 04:00:00+00:00,1,2,4,0,20349.0,3.33
2017-01-02 05:00:00+00:00,1,2,5,0,23999.0,3.297
2017-01-02 06:00:00+00:00,1,2,6,0,28050.0,3.335
2017-01-02 07:00:00+00:00,1,2,7,0,31901.0,4.089
2017-01-02 08:00:00+00:00,1,2,8,0,34179.0,5.724
2017-01-02 09:00:00+00:00,1,2,9,0,34250.0,7.242
2017-01-02 10:00:00+00:00,1,2,10,0,34217.0,8.413
2017-01-02 11:00:00+00:00,1,2,11,0,33340.0,9.119
2017-01-02 12:00:00+00:00,1,2,12,0,32496.0,9.369
2017-01-02 13:00:00+00:00,1,2,13,0,33105.0,9.092
2017-01-02 14:00:00+00:00,1,2,14,0,34180.0,7.86
2017-01-02 15:00:00+00:00,1,2,15,0,35626.0,6.151
2017-01-02 16:00:00+00:00,1,2,16,0,39067.0,5.599
2017-01-02 17:00:00+00:00,1,2,17,0,39233.0,5.364
2017-01-02 18:00:00+00:00,1,2,18,0,38519.0,5.141
2017-01-02 19:00:00+00:00,1,2,19,0,36141.0,5.021
2017-01-02 20:00:00+00:00,1,2,20,0,33400.0,4.973
2017-01-02 21:00:00+00:00,1,2,21,0,30331.0,4.833
2017-01-02 22:00:00+00:00,1,2,22,0,27134.0,4.624
2017-01-02 23:00:00+00:00,1,2,23,0,24458.0,4.425
2017-01-03 00:00:00+00:00,1,3,0,1,22566.0,4.267
2017-01-03 01:00:00+00:00,1,3,1,1,21643.0,4.156
2017-01-03 02:00:00+00:00,1,3,2,1,21230.0,4.003
2017-01-03 03:00:00+00:00,1,3,3,1,21427.0,3.892
2017-01-03 04:00:00+00:00,1,3,4,1,22884.0,3.79
2017-01-03 05:00:00+00:00,1,3,5,1,26758.0,3.762
2017-01-03 06:00:00+00:00,1,3,6,1,30915.0,3.798
2017-01-03 07:00:00+00:00,1,3,7,1,35124.0,4.472
2017-01-03 08:00:00+00:00,1,3,8,1,37913.0,5.966
2017-01-03 09:00:00+00:00,1,3,9,1,38087.0,7.163
2017-01-03 10:00:00+00:00,1,3,10,1,37981.0,7.925
2017-01-03 11:00:00+00:00,1,3,11,1,36725.0,8.414
2017-01-03 12:00:00+00:00,1,3,12,1,35619.0,8.579
2017-01-03 13:00:00+00:00,1,3,13,1,35826.0,8.326
2017-01-03 14:00:00+00:00,1,3,14,1,36406.0,7.253
2017-01-03 15:00:00+00:00,1,3,15,1,37551.0,5.534
2017-01-03 16:00:00+00:00,1,3,16,1,40975.0,4.743
2017-01-03 17:00:00+00:00,1,3,17,1,40853.0,4.39
2017-01-03 18:00:00+00:00,1,3,18,1,40162.0,4.049
2017-01-03 19:00:00+00:00,1,3,19,1,37640.0,3.625
2017-01-03 20:00:00+00:00,1,3,20,1,34714.0,3.237
2017-01-03 21:00:00+00:00,1,3,21,1,31185.0,2.881
2017-01-03 22:00:00+00:00,1,3,22,1,27914.0,2.649
2017-01-03 23:00:00+00:00,1,3,23,1,24837.0,2.425
2017-01-04 00:00:00+00:00,1,4,0,2,22891.0,2.197
2017-01-04 01:00:00+00:00,1,4,1,2,21966.0,1.999
2017-01-04 02:00:00+00:00,1,4,2,2,21598.0,1.826
2017-01-04 03:00:00+00:00,1,4,3,2,21909.0,1.665
2017-01-04 04:00:00+00:00,1,4,4,2,23188.0,1.514
2017-01-04 05:00:00+00:00,1,4,5,2,27122.0,1.401
2017-01-04 06:00:00+00:00,1,4,6,2,31635.0,1.447
2017-01-04 07:00:00+00:00,1,4,7,2,35759.0,2.543
2017-01-04 08:00:00+00:00,1,4,8,2,38091.0,4.491
2017-01-04 09:00:00+00:00,1,4,9,2,38016.0,6.248
2017-01-04 10:00:00+00:00,1,4,10,2,37450.0,7.614
2017-01-04 11:00:00+00:00,1,4,11,2,35816.0,8.57
2017-01-04 12:00:00+00:00,1,4,12,2,35010.0,9.038
2017-01-04 13:00:00+00:00,1,4,13,2,35291.0,8.757
2017-01-04 14:00:00+00:00,1,4,14,2,35960.0,7.426
2017-01-04 15:00:00+00:00,1,4,15,2,37486.0,5.367
2017-01-04 16:00:00+00:00,1,4,16,2,40771.0,4.481
2017-01-04 17:00:00+00:00,1,4,17,2,41050.0,4.095
2017-01-04 18:00:00+00:00,1,4,18,2,40339.0,3.695
2017-01-04 19:00:00+00:00,1,4,19,2,38038.0,3.323
2017-01-04 20:00:00+00:00,1,4,20,2,35268.0,3.043
2017-01-04 21:00:00+00:00,1,4,21,2,31545.0,2.867
2017-01-04 22:00:00+00:00,1,4,22,2,28148.0,2.875
2017-01-04 23:00:00+00:00,1,4,23,2,24797.0,2.843
2017-01-05 00:00:00+00:00,1,5,0,3,22991.0,2.765
2017-01-05 01:00:00+00:00,1,5,1,3,22042.0,2.682
2017-01-05 02:00:00+00:00,1,5,2,3,21751.0,2.539
2017-01-05 03:00:00+00:00,1,5,3,3,21963.0,2.494
2017-01-05 04:00:00+00:00,1,5,4,3,23090.0,2.561
2017-01-05 05:00:00+00:00,1,5,5,3,26928.0,2.63
2017-01-05 06:00:00+00:00,1,5,6,3,31275.0,2.66
2017-01-05 07:00:00+00:00,1,5,7,3,35297.0,3.266
2017-01-05 08:00:00+00:00,1,5,8,3,37742.0,4.654
2017-01-05 09:00:00+00:00,1,5,9,3,38117.0,5.665
2017-01-05 10:00:00+00:00,1,5,10,3,38075.0,6.217
2017-01-05 11:00:00+00:00,1,5,11,3,36842.0,6.427
2017-01-05 12:00:00+00:00,1,5,12,3,35479.0,6.35
2017-01-05 13:00:00+00:00,1,5,13,3,35230.0,5.884
2017-01-05 14:00:00+00:00,1,5,14,3,35910.0,4.762
2017-01-05 15:00:00+00:00,1,5,15,3,37419.0,2.965
2017-01-05 16:00:00+00:00,1,5,16,3,40758.0,1.944
2017-01-05 17:00:00+00:00,1,5,17,3,40814.0,1.452
2017-01-05 18:00:00+00:00,1,5,18,3,39940.0,1.026
2017-01-05 19:00:00+00:00,1,5,19,3,37286.0,0.637
2017-01-05 20:00:00+00:00,1,5,20,3,34107.0,0.251
2017-01-05 21:00:00+00:00,1,5,21,3,30826.0,-0.124
2017-01-05 22:00:00+00:00,1,5,22,3,27932.0,-0.448
2017-01-05 23:00:00+00:00,1,5,23,3,25195.0,-0.729
2017-01-06 00:00:00+00:00,1,6,0,4,23186.0,-0.978
2017-01-06 01:00:00+00:00,1,6,1,4,22099.0,-1.19
2017-01-06 02:00:00+00:00,1,6,2,4,21515.0,-1.369
2017-01-06 03:00:00+00:00,1,6,3,4,21512.0,-1.501
2017-01-06 04:00:00+00:00,1,6,4,4,21883.0,-1.611
2017-01-06 05:00:00+00:00,1,6,5,4,23364.0,-1.745
2017-01-06 06:00:00+00:00,1,6,6,4,25128.0,-1.91
2017-01-06 07:00:00+00:00,1,6,7,4,26717.0,-1.434
2017-01-06 08:00:00+00:00,1,6,8,4,29247.0,-0.111
2017-01-06 09:00:00+00:00,1,6,9,4,31188.0,0.814
2017-01-06 10:00:00+00:00,1,6,10,4,32037.0,1.409
2017-01-06 11:00:00+00:00,1,6,11,4,31580.0,1.77
2017-01-06 12:00:00+00:00,1,6,12,4,29274.0,1.866
