Net,Temperature
12571.309,5
12449.181999999999,5
12295.476,6
12354.318000000001,6
12542.606000000002,6
12868.438999999998,7
13225.308,7
13208.9802379,7
12274.224494199998,7
11161.276055999999,9
10220.841164000001,10
9536.161369,11
9108.231806,11
8793.395245,11
8932.905902999999,10
9534.419621,9
10735.9100222,7
12378.294,6
12594.156,5
12509.208999999999,4
12318.473,3
11959.303999999998,3
11414.268999999998,2
10810.596000000001,1
10351.569,1
10056.496,0
9992.108,0
10023.023000000001,0
10307.645,0
10921.037,0
11626.327,0
12109.368823301,0
11872.150663800001,0
11351.104275499998,0
10938.6141169,0
11193.153102299999,0
10861.648986900002,0
10675.1454887,1
9430.386688999999,1
9831.852363,1
10961.8876404,1
12217.371000000001,0
12179.31,0
12017.73,0
11823.208,0
11455.228000000001,0
11007.118,0
10489.56,-1
10142.036,-1
9863.416,-2
9686.832,-2
9579.663,-2
9628.54,-2
9900.403,-3
10329.559000000001,-3
10608.4070048,-2
10205.7798282,-1
9896.848316,-1
9605.064408,0
9361.849304,0
9191.067884,0
9119.792582999999,0
9398.766027,0
10024.909060000002,0
11103.2994424,0
12082.733,-1
12031.288999999999,-1
11764.357,-1
11512.68,-1
11078.282,-1
10514.971000000001,-1
9936.552,-2
9407.518,-2
9043.995,-2
8822.51,-2
8708.677,-2
8713.866,-2
8838.601,-2
9064.148000000001,-2
9174.322401000001,-1
8714.556829,0
8160.958745,1
7708.048057,2
7349.987284,3
7288.639961000001,4
7416.2172949999995,5
7643.448244,4
8350.123905,3
9409.6755338,1
10606.3,0
10727.617,0
10456.765,0
10246.679,0
9684.628,0
9053.148000000001,0
8430.112,0
8048.795999999999,0
7915.285,0
7947.348000000001,0
8160.526,0
8669.39,-1
9785.294,-1
11239.148000000001,0
11979.71535801,0
10865.923605299999,1
9906.491085,3
9249.387635,5
9120.37514,6
9138.307388000001,7
9560.935198,7
9908.469782999999,6
10542.5927826,5
11611.055474829998,4
13075.572,4
13623.298999999999,3
13688.931999999999,3
13597.128999999999,3
13219.417,3
12525.268999999998,3
11947.337,3
11653.532,3
11515.498,3
11580.872,3
11693.593,3
12210.393999999998,3
13126.631000000001,3
14432.311000000002,3
14992.78516974,3
14048.316836400001,5
13219.718513999998,6
12259.532336,8
11710.63605,10
10820.200042999999,12
10464.817156,13
10750.174878,13
11266.620379,12
12402.3611847,10
14034.045,9
14417.815,8
14455.218,8
14321.197,7
13942.108999999999,7
13223.861,7
12691.138,7
12369.371000000001,7
12298.817,7
12223.193000000001,7
12360.368999999999,7
12850.378,7
13609.763,6
14752.338,6
15134.081376799999,7
14275.3311162,9
13358.780228,11
12716.158318999998,12
12270.208005999999,14
12139.291194,15
12388.616198999998,15
12887.662542,15
13773.923542999999,14
15210.2878051,12
17000.701,11
17599.247,11
17861.26,10
17994.681,10
17862.646,9
17308.8,9
16866.808,9
16801.433,9
16847.443,9
16997.13,9
17259.598,8
17653.417,8
18389.831000000002,8
19419.599,8
19747.3511985,9
18809.7773235,11
16928.224670999996,12
16216.403862,14
15049.390361,15
14289.025642,16
14085.653123,16
14454.6331497,16
14656.5519861,15
15679.349007499999,14
17100.578999999998,13
17596.09,13
17610.471,12
17404.515,12
17005.74,12
16259.395,12
15485.786,12
15113.688999999998,12
14891.707,12
14753.638,12
14692.335,12
14897.097,12
15416.67,12
16067.521,12
16310.841,12
15760.5150118,12
15246.28294903,13
13871.0688444,14
12539.726457,15
11669.441729,16
10669.292645,17
10747.861084,17
11282.46825,15
12470.7905508,13
14067.153,11
14459.943000000001,10
14539.178,9
14518.311000000002,8
14305.39,8
13916.286,7
13468.589,7
13290.468,6
13293.381000000001,6
13399.374,6
13575.415,5
13925.184,5
14425.135,5
15152.034,5
15802.176899301,6
15516.0792663,8
14058.600616,9
13361.91863,10
12899.413817999999,11
12523.661543999999,11
12431.372420799999,11
12452.535251899999,10
12578.44698717,8
13213.878256830001,8
14641.103000000001,8
15307.292,7
15478.989,7
15596.421,7
15506.114,8
15183.93,8
14877.228000000001,9
14709.405,9
14714.733,10
14872.902,11
15074.351,12
15388.92,13
15845.296999999999,13
16372.121000000001,13
16861.904,14
16529.472320529996,15
15007.231733499999,15
13811.0725669,15
12736.6876856,15
11481.492269,15
10302.730934,15
10212.176078999999,15
10763.677626,15
11967.5351164,14
13451.323999999999,13
13768.993999999999,13
13724.98,12
13491.613000000001,12
12825.419,11
12109.613000000001,11
11322.108,10
10874.657,9
10691.176000000001,8
10669.559,7
10767.733,7
11175.081,7
11972.774,6
13114.386999999999,6
13659.643047340001,6
13601.9704007,7
13473.332629800001,8
12985.023149,9
12784.608595400001,10
12095.168559000002,10
11486.441273999999,10
12052.7536525,10
11980.1856694,9
12565.902853200001,7
13322.368999999999,6
13288.055,6
13057.907,6
12681.056999999999,5
12023.327,5
11259.395,5
10548.618999999999,5
10094.431999999999,5
9897.997,5
9994.239,5
10221.644,5
10706.388,5
11674.956,5
13144.267,5
13731.18110215,6
12931.841213099999,7
13408.4062926,8
12928.981181699999,9
13364.80150843,9
13085.9581259,9
13039.789380600001,9
12995.7940191,8
13121.4532054,8
13750.37666199,8
14913.483,7
15215.575,7
15177.456,6
14996.556,5
14415.585,5
13624.713,5
12991.121000000001,4
12619.225,4
12489.666000000001,4
12581.833999999999,4
12807.043,4
13281.142,4
14154.157,4
15208.168,4
15708.84242006,4
15026.1356923,4
14241.204905,6
13269.800153,8
13792.616788,9
14126.444837000001,9
13549.370407,9
13535.309054,9
13440.171322000002,8
14505.930481300002,6
15678.973,5
15707.667,4
15358.1,4
15048.573999999999,3
14364.973,3
13503.659,2
12815.116000000002,1
12418.918,0
12192.336000000001,0
12160.831,0
12302.48,0
12687.678999999998,0
13475.973,-1
14683.302,-1
15144.2851221,0
14092.3136635,1
12884.336319,3
11908.210036,4
11169.557824,4
12710.4810848,4
12251.1742609,4
10933.006408,3
11789.071194099999,2
12713.152006100001,1
14039.938999999998,1
14296.771,0
14285.157,0
14140.195,0
13665.195,0
12868.631000000001,0
12192.18,0
11808.417,0
11736.521999999999,-1
11792.231000000002,-1
11992.777,-1
12565.883,-1
13560.409,-1
14840.861,-1
15417.8859116,0
14464.7154046,1
12137.09421,2
11190.635356,3
10658.628094,4
9335.537943,5
9886.187261000001,5
9525.00058,4
10271.4082477,3
11209.6452639,3
12522.992,3
12976.575,3
12928.173,3
12794.96,3
12464.021999999999,3
12119.688,2
11673.5,2
11424.518,2
11295.961000000001,2
11331.382,2
11572.329,2
11957.34,2
12491.847,2
13145.378999999999,2
13800.168,3
14054.957343740998,4
13219.5020971,5
12956.53546365,5
12383.288625719999,6
11853.969957539999,6
11220.276288000001,7
11070.78567242,7
10811.5972177,7
11395.42235679,7
12613.867,8
13117.229,8
13142.933,9
13047.487,8
12783.431,7
12297.493,5
11767.556,4
11257.735,3
10937.303999999998,2
10730.516000000001,2
10615.36,2
10578.475,2
10723.015,1
10930.353000000001,1
11335.904240689999,2
10933.00763,3
10500.967177,5
10037.395813000001,7
10861.357727999999,8
10563.818421000002,9
9804.719521,9
8981.143299,9
9377.347003,8
10294.1007374,7
11550.447,6
11866.133,6
11910.325,6
11756.218,5
11560.427,5
11022.69,4
10570.973999999998,4
10326.23,4
10247.472,4
10294.249,4
10426.713,4
10734.396999999999,4
11236.298999999999,3
12027.61,3
12508.055,3
12578.64411217,4
12315.508837,4
11730.912838600001,4
11497.415506599998,4
11146.3247389,3
10869.279719,3
10567.4470079,2
10585.77405552,1
10806.64096486,1
12008.996000000001,1
12662.427,1
12807.442,1
12709.719,1
12365.935,1
11684.323999999999,0
11067.149,0
10795.452,0
10795.964,0
10996.511999999999,0
11240.696000000002,0
11741.536,0
12769.598,0
14177.186000000002,0
14528.23508559,0
13032.231548,-1
11358.157408000001,-1
10115.000799999998,0
9016.695589,0
8318.027759,0
8196.907024999999,0
8394.493985,0
9045.994338999999,0
10243.9520427,-1
11870.215,-2
12432.107,-3
12413.219,-3
12355.331,-4
11953.581,-4
11278.92,-4
10702.437,-4
10349.425,-4
10245.559000000001,-4
10294.528,-4
10418.131,-4
10875.481000000002,-4
11806.992,-4
13141.581,-4
13500.5326039,-3
12282.143128,-2
11142.847286,-1
10453.64588,0
10109.277465,0
10048.995706,0
10259.00328,0
10539.517958999999,0
11126.900701999999,0
12203.924042399998,-1
13645.045,-2
13975.405,-2
13863.776000000002,-2
13733.184,-2
13240.142,-2
12550.198,-2
11984.388,-1
11644.413,-1
11498.56,0
11536.453000000001,0
11745.066,0
12154.893,0
13082.128999999999,0
14314.406,1
14870.861,2
14371.398168000002,4
13708.4738139,5
12925.9816898,6
11905.999788,7
10906.8582126,8
9145.493310000002,8
9876.807203,7
10669.306203999999,6
11117.3103446,5
12485.396999999999,5
13231.266000000001,5
13333.473999999998,4
13256.356000000002,4
12916.693000000001,4
12248.068000000001,4
11640.431,4
11343.436000000002,4
11408.606000000002,3
11564.513,3
11700.239,3
12118.1,2
12975.181,2
14257.668,2
14721.46974685,2
13394.673778600001,4
12187.36675,5
11264.048797,6
10513.349439,7
10087.762128,7
10188.330808,8
10471.890046999999,7
11172.772464,6
12299.8078481,5
13632.383999999998,4
13702.521,4
13509.898000000001,3
13244.308,3
12771.136999999999,3
12187.11,3
11478.933,3
10960.402,3
10627.136999999999,3
10513.98,3
10446.731,3
10605.508,3
10944.052,3
11432.444,3
11957.47432478,4
11732.729389299999,5
12516.167490199998,6
13117.77185295,7
12646.119634000002,6
12828.73711181,5
12526.3651904,4
12314.13385871,3
11784.186162799999,2
11477.2804435,1
12653.881000000001,0
13068.833,0
13034.906,0
12871.921,0
12592.78,0
12039.176000000001,0
11529.735,0
11139.972,0
10975.116000000002,0
10925.193000000001,-1
11039.891000000001,-1
11231.698,-2
11546.184,-2
11976.386,-2
12139.8164195,-2
11559.238546,-1
10566.385196,0
9406.771458,0
8628.753502000001,0
8154.952119999999,0
8054.913458999999,1
8072.711749000001,1
8610.822092999999,0
9736.6807055,0
11412.479,-1
12008.336000000001,-1
12075.031,-1
12029.018999999998,-1
11582.237,-1
10996.377,-1
10383.338,0
9987.869,0
9859.445,0
9843.373,0
9944.222,-1
