Net,Temperature
13640.024980000002,0.0
13425.12194,0.0
13286.070909999999,-1.0
13310.892590000001,-1.0
13423.3455,-1.0
13736.274290000001,-2.0
14103.954130000002,-2.0
14389.456069999998,-1.0
14161.1293284,0.0
13942.173848999999,1.0
14536.403991000001,2.0
13918.977698,3.0
12865.435836,3.0
13557.608495,3.0
13890.840771,3.0
13658.941787000002,3.0
15005.63441,2.0
15841.854309999999,0.0
16008.43852,0.0
15736.49314,0.0
15436.932680000002,0.0
14903.8978,0.0
14201.568809999999,0.0
13461.5105,-1.0
12879.83518,-2.0
12491.89535,-3.0
12339.45555,-4.0
12377.97911,-4.0
12622.07747,-4.0
13240.43365,-3.0
14047.2959,-3.0
14578.729969999999,-2.0
14650.407235700002,-1.0
14401.901514100002,0.0
14070.748640000002,0.0
14529.527888999999,1.0
13693.354137000002,1.0
14981.5404238,1.0
14717.6946443,0.0
14777.328786299999,0.0
15056.783080800002,0.0
15708.482269999999,-1.0
15780.147980000002,-2.0
15425.89626,-3.0
15007.03422,-4.0
14517.306230000002,-4.0
13801.933659999999,-5.0
13134.5866,-5.0
12484.44328,-5.0
12121.499459999999,-6.0
11870.544759999999,-6.0
11756.96407,-6.0
11888.33051,-6.0
12298.657940000001,-6.0
12816.49466,-5.0
13353.76999,-4.0
12769.3065777,-3.0
12309.140719,-1.0
11680.938954000001,0.0
11088.784427,2.0
10373.172829,3.0
9540.314686,3.0
9146.824737,4.0
9288.960931,3.0
10073.997377799999,0.0
11766.301590000001,-1.0
12761.7241,-2.0
12919.46347,-3.0
13006.95581,-3.0
12905.19828,-3.0
12600.905509999999,-3.0
12183.8376,-3.0
11806.56281,-3.0
11695.69786,-3.0
11680.128270000001,-3.0
11855.99674,-3.0
12203.97565,-3.0
12872.253929999999,-3.0
13951.01147,-3.0
14957.768030000001,-2.0
14936.8223305,-1.0
14471.731537,1.0
13797.549194999998,3.0
13304.43196,4.0
12448.927004,5.0
12064.273976,6.0
12172.001515,6.0
