utc,month,hour,dayofweek,mw,tmpc,mw2day,mw7day
2017-01-01 00:00:00,1,0,6,73330.0,-0.762,68006.0,57480.0
2017-01-01 01:00:00,1,1,6,71806.0,-0.843,66539.0,55524.0
2017-01-01 02:00:00,1,2,6,68195.0,-0.934,63814.0,51629.0
2017-01-01 03:00:00,1,3,6,65672.0,-1.03,62930.0,48773.0
2017-01-01 04:00:00,1,4,6,64842.0,-1.127,64676.0,47963.0
2017-01-01 05:00:00,1,5,6,64454.0,-1.202,67986.0,48071.0
2017-01-01 06:00:00,1,6,6,64524.0,-1.225,71677.0,48554.0
2017-01-01 07:00:00,1,7,6,64855.0,-1.194,74319.0,49520.0
2017-01-01 08:00:00,1,8,6,66246.0,-0.618,76356.0,51516.0
2017-01-01 09:00:00,1,9,6,68222.0,0.403,77589.0,53806.0
2017-01-01 10:00:00,1,10,6,69688.0,1.568,78079.0,54867.0
2017-01-01 11:00:00,1,11,6,72008.0,2.651,78789.0,55864.0
2017-01-01 12:00:00,1,12,6,71056.0,3.421,76568.0,54311.0
2017-01-01 13:00:00,1,13,6,68243.0,3.718,74209.0,51676.0
2017-01-01 14:00:00,1,14,6,66403.0,3.341,72028.0,50099.0
2017-01-01 15:00:00,1,15,6,66053.0,2.093,71873.0,49950.0
2017-01-01 16:00:00,1,16,6,69303.0,1.195,75472.0,53128.0
2017-01-01 17:00:00,1,17,6,73364.0,0.996,79059.0,56090.0
2017-01-01 18:00:00,1,18,6,74695.0,0.825,79105.0,57189.0
2017-01-01 19:00:00,1,19,6,73274.0,0.674,75971.0,56575.0
2017-01-01 20:00:00,1,20,6,70978.0,0.529,73049.0,55390.0
2017-01-01 21:00:00,1,21,6,71702.0,0.489,73788.0,56629.0
2017-01-01 22:00:00,1,22,6,72428.0,0.48,74951.0,57906.0
2017-01-01 23:00:00,1,23,6,69366.0,0.396,72529.0,55268.0
2017-01-02 00:00:00,1,0,0,66988.0,0.307,70296.0,52886.0
2017-01-02 01:00:00,1,1,0,65675.0,0.232,68649.0,51509.0
2017-01-02 02:00:00,1,2,0,63066.0,0.201,65653.0,48756.0
2017-01-02 03:00:00,1,3,0,62297.0,0.182,64277.0,47902.0
2017-01-02 04:00:00,1,4,0,64296.0,0.185,64950.0,49602.0
2017-01-02 05:00:00,1,5,0,67976.0,0.214,66402.0,52608.0
2017-01-02 06:00:00,1,6,0,71995.0,0.252,68401.0,55632.0
2017-01-02 07:00:00,1,7,0,74893.0,0.308,70747.0,57919.0
2017-01-02 08:00:00,1,8,0,76875.0,0.975,73442.0,59572.0
2017-01-02 09:00:00,1,9,0,78624.0,1.93,75446.0,61004.0
2017-01-02 10:00:00,1,10,0,79837.0,2.699,76201.0,61835.0
2017-01-02 11:00:00,1,11,0,80947.0,3.347,77844.0,63068.0
2017-01-02 12:00:00,1,12,0,79519.0,3.715,76790.0,61551.0
2017-01-02 13:00:00,1,13,0,77813.0,3.717,74254.0,59976.0
2017-01-02 14:00:00,1,14,0,75739.0,3.198,72288.0,58423.0
2017-01-02 15:00:00,1,15,0,75511.0,2.112,72089.0,58249.0
2017-01-02 16:00:00,1,16,0,78799.0,1.292,75653.0,61814.0
2017-01-02 17:00:00,1,17,0,82562.0,0.992,78119.0,64958.0
2017-01-02 18:00:00,1,18,0,82535.0,0.663,77241.0,65419.0
2017-01-02 19:00:00,1,19,0,78425.0,0.382,74076.0,62656.0
2017-01-02 20:00:00,1,20,0,74836.0,0.147,71802.0,60073.0
2017-01-02 21:00:00,1,21,0,75000.0,-0.082,73868.0,61119.0
2017-01-02 22:00:00,1,22,0,75682.0,-0.326,76523.0,62475.0
2017-01-02 23:00:00,1,23,0,73185.0,-0.508,75140.0,59971.0
2017-01-03 00:00:00,1,0,1,70940.0,-0.702,73330.0,57826.0
2017-01-03 01:00:00,1,1,1,69855.0,-0.878,71806.0,56645.0
2017-01-03 02:00:00,1,2,1,67557.0,-1.049,68195.0,54305.0
2017-01-03 03:00:00,1,3,1,66819.0,-1.244,65672.0,53708.0
2017-01-03 04:00:00,1,4,1,69280.0,-1.428,64842.0,55741.0
2017-01-03 05:00:00,1,5,1,75148.0,-1.612,64454.0,59395.0
2017-01-03 06:00:00,1,6,1,81281.0,-1.807,64524.0,63141.0
2017-01-03 07:00:00,1,7,1,83749.0,-1.896,64855.0,65824.0
2017-01-03 08:00:00,1,8,1,84391.0,-1.249,66246.0,67617.0
2017-01-03 09:00:00,1,9,1,84577.0,-0.118,68222.0,68006.0
2017-01-03 10:00:00,1,10,1,84639.0,1.16,69688.0,67877.0
2017-01-03 11:00:00,1,11,1,84268.0,2.354,72008.0,67897.0
2017-01-03 12:00:00,1,12,1,82572.0,3.254,71056.0,65532.0
2017-01-03 13:00:00,1,13,1,80548.0,3.588,68243.0,63259.0
2017-01-03 14:00:00,1,14,1,78619.0,3.1,66403.0,61360.0
2017-01-03 15:00:00,1,15,1,78594.0,1.23,66053.0,61608.0
2017-01-03 16:00:00,1,16,1,82342.0,-0.305,69303.0,66156.0
2017-01-03 17:00:00,1,17,1,86820.0,-0.621,73364.0,70243.0
2017-01-03 18:00:00,1,18,1,86659.0,-0.848,74695.0,70772.0
2017-01-03 19:00:00,1,19,1,82357.0,-0.961,73274.0,67984.0
2017-01-03 20:00:00,1,20,1,78299.0,-1.052,70978.0,65403.0
2017-01-03 21:00:00,1,21,1,78174.0,-1.108,71702.0,66329.0
2017-01-03 22:00:00,1,22,1,78793.0,-1.14,72428.0,67555.0
