utc,month,hour,dayofweek,mw,tmpc,mw2day,mw7day
2017-01-01 00:00:00,1,0,6,5076.7,6.2,5372.6,4802.2
2017-01-01 01:00:00,1,1,6,4874.7,5.834,4958.4,4591.1
2017-01-01 02:00:00,1,2,6,4561.2,5.552,4676.6,4280.5
2017-01-01 03:00:00,1,3,6,4270.9,5.303,4552.0,3996.7
2017-01-01 04:00:00,1,4,6,4092.2,5.145,4477.3,3842.1
2017-01-01 05:00:00,1,5,6,3998.5,5.019,4515.5,3775.5
2017-01-01 06:00:00,1,6,6,3979.7,4.956,4759.6,3759.6
2017-01-01 07:00:00,1,7,6,3849.3,4.923,5124.4,3655.2
2017-01-01 08:00:00,1,8,6,3816.2,5.563,5688.2,3722.5
2017-01-01 09:00:00,1,9,6,4169.2,6.976,6216.0,4180.4
2017-01-01 10:00:00,1,10,6,4630.6,8.343,6406.7,4677.2
2017-01-01 11:00:00,1,11,6,5047.0,9.875,6464.7,5072.9
2017-01-01 12:00:00,1,12,6,5218.0,11.153,6396.2,5139.0
2017-01-01 13:00:00,1,13,6,4989.2,11.95,6217.4,4661.9
2017-01-01 14:00:00,1,14,6,4776.8,12.133,6183.0,4258.9
2017-01-01 15:00:00,1,15,6,4766.9,11.689,6060.7,4205.7
2017-01-01 16:00:00,1,16,6,4884.3,10.428,5974.4,4270.3
2017-01-01 17:00:00,1,17,6,5433.9,9.542,6418.0,4784.7
2017-01-01 18:00:00,1,18,6,5977.2,9.476,6982.5,5318.7
2017-01-01 19:00:00,1,19,6,6144.3,9.504,7118.1,5471.5
2017-01-01 20:00:00,1,20,6,6206.5,9.369,7015.9,5526.9
2017-01-01 21:00:00,1,21,6,6061.9,9.288,6755.9,5447.3
2017-01-01 22:00:00,1,22,6,5845.9,9.111,6496.3,5327.9
2017-01-01 23:00:00,1,23,6,5281.8,8.983,5975.4,5033.1
2017-01-02 00:00:00,1,0,0,4772.1,8.898,5371.3,4721.5
2017-01-02 01:00:00,1,1,0,4404.5,8.86,4941.2,4333.8
2017-01-02 02:00:00,1,2,0,4174.6,8.902,4625.6,4101.5
2017-01-02 03:00:00,1,3,0,4056.5,8.965,4453.4,3984.7
2017-01-02 04:00:00,1,4,0,4092.9,8.989,4345.2,3946.1
2017-01-02 05:00:00,1,5,0,4208.3,8.961,4279.8,4009.4
2017-01-02 06:00:00,1,6,0,4543.1,8.922,4351.6,4202.1
2017-01-02 07:00:00,1,7,0,4988.8,8.978,4416.9,4436.2
2017-01-02 08:00:00,1,8,0,5756.8,9.185,4673.6,4846.3
2017-01-02 09:00:00,1,9,0,6441.8,9.73,5198.5,5416.2
2017-01-02 10:00:00,1,10,0,6812.0,10.547,5481.4,5707.1
2017-01-02 11:00:00,1,11,0,7099.0,11.497,5590.0,5875.7
2017-01-02 12:00:00,1,12,0,7159.1,12.358,5653.8,5946.0
2017-01-02 13:00:00,1,13,0,7142.0,12.96,5552.7,5794.7
2017-01-02 14:00:00,1,14,0,7263.7,13.122,5484.7,5737.6
2017-01-02 15:00:00,1,15,0,7171.5,12.788,5446.4,5607.7
2017-01-02 16:00:00,1,16,0,7133.8,12.171,5472.9,5644.0
2017-01-02 17:00:00,1,17,0,7406.7,11.62,6135.9,6275.8
2017-01-02 18:00:00,1,18,0,7703.7,11.39,6831.8,6855.4
2017-01-02 19:00:00,1,19,0,7803.9,11.302,6755.3,7003.7
2017-01-02 20:00:00,1,20,0,7663.6,11.265,6215.5,6902.5
2017-01-02 21:00:00,1,21,0,7334.9,11.262,5750.7,6595.9
2017-01-02 22:00:00,1,22,0,6907.5,11.333,5507.4,6201.6
2017-01-02 23:00:00,1,23,0,6201.4,11.337,5302.1,5624.7
2017-01-03 00:00:00,1,0,1,5563.0,11.343,5076.7,5059.0
2017-01-03 01:00:00,1,1,1,5144.1,11.369,4874.7,4675.7
2017-01-03 02:00:00,1,2,1,4899.2,11.364,4561.2,4424.6
2017-01-03 03:00:00,1,3,1,4786.8,11.348,4270.9,4305.1
2017-01-03 04:00:00,1,4,1,4722.3,11.315,4092.2,4269.8
2017-01-03 05:00:00,1,5,1,4814.3,11.267,3998.5,4337.2
2017-01-03 06:00:00,1,6,1,5136.1,11.193,3979.7,4583.1
2017-01-03 07:00:00,1,7,1,5814.6,11.123,3849.3,4994.3
2017-01-03 08:00:00,1,8,1,6552.9,11.327,3816.2,5627.8
2017-01-03 09:00:00,1,9,1,7075.7,12.049,4169.2,6206.8
2017-01-03 10:00:00,1,10,1,7264.2,13.06,4630.6,6411.4
2017-01-03 11:00:00,1,11,1,7398.7,14.147,5047.0,6524.7
2017-01-03 12:00:00,1,12,1,7246.1,14.952,5218.0,6480.6
2017-01-03 13:00:00,1,13,1,7143.4,15.398,4989.2,6331.1
2017-01-03 14:00:00,1,14,1,7276.7,15.486,4776.8,6329.2
2017-01-03 15:00:00,1,15,1,7143.5,15.155,4766.9,6167.4
2017-01-03 16:00:00,1,16,1,7091.9,14.162,4884.3,6190.2
2017-01-03 17:00:00,1,17,1,7322.2,13.03,5433.9,6729.9
2017-01-03 18:00:00,1,18,1,7697.5,12.645,5977.2,7243.3
2017-01-03 19:00:00,1,19,1,7816.4,12.396,6144.3,7377.6
2017-01-03 20:00:00,1,20,1,7661.6,12.2,6206.5,7238.4
2017-01-03 21:00:00,1,21,1,7352.2,12.031,6061.9,6934.5
2017-01-03 22:00:00,1,22,1,6966.6,11.834,5845.9,6505.1
2017-01-03 23:00:00,1,23,1,6227.9,11.652,5281.8,5846.2
2017-01-04 00:00:00,1,0,2,5553.8,11.518,4772.1,5230.2
2017-01-04 01:00:00,1,1,2,5128.1,11.419,4404.5,4823.4
2017-01-04 02:00:00,1,2,2,4932.5,11.319,4174.6,4557.4
2017-01-04 03:00:00,1,3,2,4785.1,11.224,4056.5,4422.0
2017-01-04 04:00:00,1,4,2,4753.9,11.1,4092.9,4373.8
2017-01-04 05:00:00,1,5,2,4819.6,10.99,4208.3,4430.7
