utc,ept,mw,tmpf
2015-01-01 05:00:00,2015-01-01 00:00:00,31660.636,28.94
2015-01-01 06:00:00,2015-01-01 01:00:00,30766.066,28.94
2015-01-01 07:00:00,2015-01-01 02:00:00,30201.595999999998,28.94
2015-01-01 08:00:00,2015-01-01 03:00:00,29901.406,28.94
2015-01-01 09:00:00,2015-01-01 04:00:00,30084.427,30.02
2015-01-01 10:00:00,2015-01-01 05:00:00,30734.303,30.02
2015-01-01 11:00:00,2015-01-01 06:00:00,31637.994000000002,30.02
2015-01-01 12:00:00,2015-01-01 07:00:00,31823.283,30.02
2015-01-01 13:00:00,2015-01-01 08:00:00,31752.16,30.92
2015-01-01 14:00:00,2015-01-01 09:00:00,31530.841,33.08
2015-01-01 15:00:00,2015-01-01 10:00:00,31407.718,35.96
2015-01-01 16:00:00,2015-01-01 11:00:00,31202.451,37.94
2015-01-01 17:00:00,2015-01-01 12:00:00,30758.76,39.92
2015-01-01 18:00:00,2015-01-01 13:00:00,30209.441,41.0
2015-01-01 19:00:00,2015-01-01 14:00:00,29939.899999999998,42.08
2015-01-01 20:00:00,2015-01-01 15:00:00,30281.304,42.08
2015-01-01 21:00:00,2015-01-01 16:00:00,31859.587,39.92
2015-01-01 22:00:00,2015-01-01 17:00:00,34991.034,39.92
2015-01-01 23:00:00,2015-01-01 18:00:00,35197.896,39.02
2015-01-02 00:00:00,2015-01-01 19:00:00,34840.912,37.04
2015-01-02 01:00:00,2015-01-01 20:00:00,34313.86,37.94
2015-01-02 02:00:00,2015-01-01 21:00:00,33238.146,37.04
2015-01-02 03:00:00,2015-01-01 22:00:00,31471.802,35.96
2015-01-02 04:00:00,2015-01-01 23:00:00,29616.103,33.08
2015-01-02 05:00:00,2015-01-02 00:00:00,28225.159,33.98
2015-01-02 06:00:00,2015-01-02 01:00:00,27422.008,33.08
2015-01-02 07:00:00,2015-01-02 02:00:00,27128.334,30.92
2015-01-02 08:00:00,2015-01-02 03:00:00,27240.126,32.0
2015-01-02 09:00:00,2015-01-02 04:00:00,27861.498,30.02
2015-01-02 10:00:00,2015-01-02 05:00:00,29463.261,33.98
2015-01-02 11:00:00,2015-01-02 06:00:00,31760.864,33.08
2015-01-02 12:00:00,2015-01-02 07:00:00,33373.787,35.96
2015-01-02 13:00:00,2015-01-02 08:00:00,33984.359,35.96
2015-01-02 14:00:00,2015-01-02 09:00:00,34152.694,37.04
2015-01-02 15:00:00,2015-01-02 10:00:00,33920.908,39.92
2015-01-02 16:00:00,2015-01-02 11:00:00,33447.848,42.08
2015-01-02 17:00:00,2015-01-02 12:00:00,32840.3,42.98
2015-01-02 18:00:00,2015-01-02 13:00:00,32366.736,42.98
2015-01-02 19:00:00,2015-01-02 14:00:00,32028.204999999998,42.98
2015-01-02 20:00:00,2015-01-02 15:00:00,32160.177,42.98
2015-01-02 21:00:00,2015-01-02 16:00:00,33628.637,42.08
2015-01-02 22:00:00,2015-01-02 17:00:00,36451.781,42.08
2015-01-02 23:00:00,2015-01-02 18:00:00,36444.819,37.94
2015-01-03 00:00:00,2015-01-02 19:00:00,35933.064,37.04
2015-01-03 01:00:00,2015-01-02 20:00:00,35289.072,37.94
2015-01-03 02:00:00,2015-01-02 21:00:00,34255.907,35.06
2015-01-03 03:00:00,2015-01-02 22:00:00,32589.987,37.04
2015-01-03 04:00:00,2015-01-02 23:00:00,30845.714,33.98
2015-01-03 05:00:00,2015-01-03 00:00:00,29342.443,32.0
2015-01-03 06:00:00,2015-01-03 01:00:00,28488.835,32.0
2015-01-03 07:00:00,2015-01-03 02:00:00,28028.074,33.08
2015-01-03 08:00:00,2015-01-03 03:00:00,27859.686999999998,30.92
