utc,ept,mw,tmpf
2015-01-01 05:00:00,2015-01-01 00:00:00,12571.309,32.0
2015-01-01 06:00:00,2015-01-01 01:00:00,12449.182,32.0
2015-01-01 07:00:00,2015-01-01 02:00:00,12295.476,32.0
2015-01-01 08:00:00,2015-01-01 03:00:00,12354.318,32.0
2015-01-01 09:00:00,2015-01-01 04:00:00,12542.606,32.0
2015-01-01 10:00:00,2015-01-01 05:00:00,12868.439,32.0
2015-01-01 11:00:00,2015-01-01 06:00:00,13225.308,30.02
2015-01-01 12:00:00,2015-01-01 07:00:00,13338.407,30.02
2015-01-01 13:00:00,2015-01-01 08:00:00,13139.429,30.02
2015-01-01 14:00:00,2015-01-01 09:00:00,12683.347,35.06
2015-01-01 15:00:00,2015-01-01 10:00:00,12217.613,39.92
2015-01-01 16:00:00,2015-01-01 11:00:00,11780.33,42.98
2015-01-01 17:00:00,2015-01-01 12:00:00,11396.576,44.96
2015-01-01 18:00:00,2015-01-01 13:00:00,10922.531,46.94
2015-01-01 19:00:00,2015-01-01 14:00:00,10710.434,48.02
2015-01-01 20:00:00,2015-01-01 15:00:00,10703.879,48.92
2015-01-01 21:00:00,2015-01-01 16:00:00,11138.536,48.02
2015-01-01 22:00:00,2015-01-01 17:00:00,12378.294,46.04
2015-01-01 23:00:00,2015-01-01 18:00:00,12594.156,42.08
2015-01-02 00:00:00,2015-01-01 19:00:00,12509.209,42.08
2015-01-02 01:00:00,2015-01-01 20:00:00,12318.473,42.08
2015-01-02 02:00:00,2015-01-01 21:00:00,11959.304,42.08
2015-01-02 03:00:00,2015-01-01 22:00:00,11414.269,41.0
2015-01-02 04:00:00,2015-01-01 23:00:00,10810.596,42.98
2015-01-02 05:00:00,2015-01-02 00:00:00,10351.569,44.06
2015-01-02 06:00:00,2015-01-02 01:00:00,10056.496,42.08
2015-01-02 07:00:00,2015-01-02 02:00:00,9992.108,42.08
2015-01-02 08:00:00,2015-01-02 03:00:00,10023.023,41.0
2015-01-02 09:00:00,2015-01-02 04:00:00,10307.645,41.0
2015-01-02 10:00:00,2015-01-02 05:00:00,10921.037,41.0
2015-01-02 11:00:00,2015-01-02 06:00:00,11626.327,41.0
2015-01-02 12:00:00,2015-01-02 07:00:00,12110.36,41.0
