ept,mw,tmp
2015-01-01 00:00:00,9484,-0.046
2015-01-01 01:00:00,9152,-0.302
2015-01-01 02:00:00,8799,-0.541
2015-01-01 03:00:00,8567,-0.794
2015-01-01 04:00:00,8487,-1.053
2015-01-01 05:00:00,8428,-1.281
2015-01-01 06:00:00,8122,-1.45
2015-01-01 07:00:00,8179,-1.571
2015-01-01 08:00:00,8340,-1.013
2015-01-01 09:00:00,8677,0.187
2015-01-01 10:00:00,8899,1.325
2015-01-01 11:00:00,9092,2.303
2015-01-01 12:00:00,9088,2.879
2015-01-01 13:00:00,8940,2.971
2015-01-01 14:00:00,8919,2.504
2015-01-01 15:00:00,9017,1.631
2015-01-01 16:00:00,9664,1.136
2015-01-01 17:00:00,9914,0.933
2015-01-01 18:00:00,9852,0.85
2015-01-01 19:00:00,9573,0.73
2015-01-01 20:00:00,9422,0.544
2015-01-01 21:00:00,9896,0.443
2015-01-01 22:00:00,10062,0.488
2015-01-01 23:00:00,9489,0.62
2015-01-02 00:00:00,9001,0.851
2015-01-02 01:00:00,8571,1.203
2015-01-02 02:00:00,8321,1.617
2015-01-02 03:00:00,8277,2.086
2015-01-02 04:00:00,8517,2.667
2015-01-02 05:00:00,9000,3.246
2015-01-02 06:00:00,9226,3.908
2015-01-02 07:00:00,9769,4.779
2015-01-02 08:00:00,10243,5.422
2015-01-02 09:00:00,10557,6.199
2015-01-02 10:00:00,10781,6.81
2015-01-02 11:00:00,10770,7.079
2015-01-02 12:00:00,10606,7.168
2015-01-02 13:00:00,10320,6.996
2015-01-02 14:00:00,10225,6.078
2015-01-02 15:00:00,10394,4.194
2015-01-02 16:00:00,11212,3.352
2015-01-02 17:00:00,11429,2.637
2015-01-02 18:00:00,11057,2.076
2015-01-02 19:00:00,10516,1.888
2015-01-02 20:00:00,9993,2.207
2015-01-02 21:00:00,10362,2.238
2015-01-02 22:00:00,10440,1.113
2015-01-02 23:00:00,9880,0.408
2015-01-03 00:00:00,9295,0.884
2015-01-03 01:00:00,8901,1.527
2015-01-03 02:00:00,8551,1.505
2015-01-03 03:00:00,8536,1.291
2015-01-03 04:00:00,8619,1.094
2015-01-03 05:00:00,8921,0.908
2015-01-03 06:00:00,9010,0.867
2015-01-03 07:00:00,9605,0.826
2015-01-03 08:00:00,10117,0.753
2015-01-03 09:00:00,10705,0.76
2015-01-03 10:00:00,11068,0.901
2015-01-03 11:00:00,11128,1.319
2015-01-03 12:00:00,11004,1.622
2015-01-03 13:00:00,10816,1.693
2015-01-03 14:00:00,10834,1.857
2015-01-03 15:00:00,11072,2.011
2015-01-03 16:00:00,11515,2.025
2015-01-03 17:00:00,11503,1.656
2015-01-03 18:00:00,11098,1.105
2015-01-03 19:00:00,10692,-0.041
2015-01-03 20:00:00,10232,-0.345
2015-01-03 21:00:00,10425,0.143
2015-01-03 22:00:00,10421,0.775
2015-01-03 23:00:00,9941,1.339
2015-01-04 00:00:00,9447,1.651
2015-01-04 01:00:00,9010,1.767
2015-01-04 02:00:00,8725,1.377
2015-01-04 03:00:00,8591,0.852
2015-01-04 04:00:00,8495,0.33
2015-01-04 05:00:00,8625,0.048
2015-01-04 06:00:00,8763,-0.205
2015-01-04 07:00:00,9054,-0.38
2015-01-04 08:00:00,9587,0.56
2015-01-04 09:00:00,9981,2.553
2015-01-04 10:00:00,10434,3.6
2015-01-04 11:00:00,10619,4.313
2015-01-04 12:00:00,10391,4.717
2015-01-04 13:00:00,10139,4.595
2015-01-04 14:00:00,10001,3.471
2015-01-04 15:00:00,9950,0.809
2015-01-04 16:00:00,10873,-0.451
2015-01-04 17:00:00,11355,-1.001
2015-01-04 18:00:00,11331,-1.482
2015-01-04 19:00:00,10944,-1.862
2015-01-04 20:00:00,10534,-2.099
2015-01-04 21:00:00,10646,-2.043
2015-01-04 22:00:00,10669,-1.633
2015-01-04 23:00:00,10040,-1.409
2015-01-05 00:00:00,9666,-1.315
2015-01-05 01:00:00,9262,-1.137
2015-01-05 02:00:00,9052,-0.995
2015-01-05 03:00:00,9118,-0.972
2015-01-05 04:00:00,9527,-0.998
2015-01-05 05:00:00,10777,-1.072
2015-01-05 06:00:00,11968,-1.209
2015-01-05 07:00:00,12433,-1.372
2015-01-05 08:00:00,12602,-1.151
2015-01-05 09:00:00,12627,-0.304
2015-01-05 10:00:00,12703,0.777
2015-01-05 11:00:00,12468,1.687
2015-01-05 12:00:00,12433,2.247
2015-01-05 13:00:00,12359,2.479
2015-01-05 14:00:00,12319,2.269
2015-01-05 15:00:00,12357,1.528
2015-01-05 16:00:00,13126,0.997
2015-01-05 17:00:00,13226,0.618
2015-01-05 18:00:00,12773,0.21
2015-01-05 19:00:00,12155,-0.216
2015-01-05 20:00:00,11486,-0.528
2015-01-05 21:00:00,11697,-0.767
2015-01-05 22:00:00,11651,-0.996
2015-01-05 23:00:00,11068,-1.358
2015-01-06 00:00:00,10657,-1.9
2015-01-06 01:00:00,10281,-2.355
2015-01-06 02:00:00,10054,-2.535
2015-01-06 03:00:00,10078,-2.713
2015-01-06 04:00:00,10415,-2.799
2015-01-06 05:00:00,11568,-2.866
2015-01-06 06:00:00,12541,-2.889
2015-01-06 07:00:00,12966,-2.849
2015-01-06 08:00:00,13055,-2.299
2015-01-06 09:00:00,12973,-1.357
2015-01-06 10:00:00,13002,-0.284
2015-01-06 11:00:00,12819,0.621
2015-01-06 12:00:00,12794,1.173
2015-01-06 13:00:00,12760,1.325
2015-01-06 14:00:00,12728,0.965
2015-01-06 15:00:00,12851,0.405
2015-01-06 16:00:00,13511,0.624
2015-01-06 17:00:00,13551,1.15
2015-01-06 18:00:00,12984,1.735
2015-01-06 19:00:00,12372,2.362
2015-01-06 20:00:00,11706,2.901
2015-01-06 21:00:00,11872,3.21
2015-01-06 22:00:00,11783,3.016
2015-01-06 23:00:00,11079,2.521
2015-01-07 00:00:00,10511,1.899
2015-01-07 01:00:00,10177,1.663
2015-01-07 02:00:00,10019,1.502
2015-01-07 03:00:00,10003,1.32
2015-01-07 04:00:00,10361,0.986
2015-01-07 05:00:00,11397,0.752
2015-01-07 06:00:00,12471,0.752
2015-01-07 07:00:00,12856,0.563
2015-01-07 08:00:00,12799,0.645
2015-01-07 09:00:00,12662,1.006
2015-01-07 10:00:00,12769,1.627
2015-01-07 11:00:00,12580,2.529
2015-01-07 12:00:00,12561,3.428
2015-01-07 13:00:00,12507,3.59
2015-01-07 14:00:00,12503,3.003
2015-01-07 15:00:00,12646,1.973
2015-01-07 16:00:00,13388,1.385
2015-01-07 17:00:00,13398,1.028
2015-01-07 18:00:00,12779,0.746
2015-01-07 19:00:00,12210,0.615
2015-01-07 20:00:00,11580,0.623
2015-01-07 21:00:00,11651,0.818
2015-01-07 22:00:00,11735,1.071
2015-01-07 23:00:00,10996,1.288
2015-01-08 00:00:00,10519,1.499
2015-01-08 01:00:00,10083,1.842
2015-01-08 02:00:00,9803,2.338
2015-01-08 03:00:00,9828,2.934
2015-01-08 04:00:00,10238,3.446
2015-01-08 05:00:00,11277,3.888
2015-01-08 06:00:00,12299,4.337
2015-01-08 07:00:00,12731,4.518
2015-01-08 08:00:00,12854,4.755
2015-01-08 09:00:00,12926,5.151
2015-01-08 10:00:00,13087,5.671
2015-01-08 11:00:00,12757,6.149
2015-01-08 12:00:00,12868,6.596
2015-01-08 13:00:00,12825,7.009
2015-01-08 14:00:00,12772,7.112
2015-01-08 15:00:00,12828,6.551
2015-01-08 16:00:00,13380,5.457
2015-01-08 17:00:00,13326,4.591
2015-01-08 18:00:00,12690,4.333
2015-01-08 19:00:00,12076,4.37
2015-01-08 20:00:00,11582,4.481
2015-01-08 21:00:00,11764,4.487
2015-01-08 22:00:00,11608,4.492
2015-01-08 23:00:00,10944,4.614
2015-01-09 00:00:00,10393,4.795
2015-01-09 01:00:00,10041,4.974
2015-01-09 02:00:00,9870,5.073
2015-01-09 03:00:00,9750,5.023
2015-01-09 04:00:00,10206,5.338
2015-01-09 05:00:00,11222,6.104
2015-01-09 06:00:00,12107,6.594
2015-01-09 07:00:00,12682,6.985
2015-01-09 08:00:00,12725,7.66
2015-01-09 09:00:00,12757,8.51
2015-01-09 10:00:00,12913,9.489
2015-01-09 11:00:00,12608,10.286
2015-01-09 12:00:00,12505,10.764
2015-01-09 13:00:00,12279,10.805
2015-01-09 14:00:00,12169,10.62
2015-01-09 15:00:00,12350,10.23
2015-01-09 16:00:00,12776,9.946
2015-01-09 17:00:00,12703,9.953
2015-01-09 18:00:00,12133,10.314
2015-01-09 19:00:00,11426,11.139
2015-01-09 20:00:00,10908,11.776
2015-01-09 21:00:00,11108,12.046
2015-01-09 22:00:00,11104,12.193
2015-01-09 23:00:00,10498,12.236
2015-01-10 00:00:00,9836,12.17
2015-01-10 01:00:00,9323,12.07
2015-01-10 02:00:00,9085,11.918
2015-01-10 03:00:00,8771,11.688
2015-01-10 04:00:00,8896,11.493
2015-01-10 05:00:00,9099,11.357
2015-01-10 06:00:00,9490,11.217
2015-01-10 07:00:00,10176,11.087
2015-01-10 08:00:00,10684,11.13
2015-01-10 09:00:00,11085,11.36
2015-01-10 10:00:00,11232,11.692
2015-01-10 11:00:00,11292,11.938
2015-01-10 12:00:00,11068,12.109
2015-01-10 13:00:00,10862,11.869
2015-01-10 14:00:00,10872,10.696
2015-01-10 15:00:00,10887,9.135
2015-01-10 16:00:00,11481,7.633
2015-01-10 17:00:00,11694,6.343
2015-01-10 18:00:00,11249,5.078
2015-01-10 19:00:00,10810,3.935
2015-01-10 20:00:00,10403,3.193
2015-01-10 21:00:00,10497,2.582
2015-01-10 22:00:00,10555,2.109
2015-01-10 23:00:00,10035,1.814
2015-01-11 00:00:00,9648,1.57
2015-01-11 01:00:00,9216,1.338
2015-01-11 02:00:00,8983,1.259
2015-01-11 03:00:00,8943,1.358
2015-01-11 04:00:00,8868,1.585
2015-01-11 05:00:00,8955,1.903
2015-01-11 06:00:00,8976,2.314
2015-01-11 07:00:00,9403,2.418
2015-01-11 08:00:00,9962,2.752
2015-01-11 09:00:00,10349,3.554
2015-01-11 10:00:00,10680,4.549
2015-01-11 11:00:00,10896,5.31
2015-01-11 12:00:00,10659,5.661
2015-01-11 13:00:00,10345,5.606
2015-01-11 14:00:00,10187,5.197
2015-01-11 15:00:00,10286,4.737
2015-01-11 16:00:00,11097,4.574
2015-01-11 17:00:00,11454,4.596
2015-01-11 18:00:00,11315,4.664
2015-01-11 19:00:00,10948,4.956
2015-01-11 20:00:00,10460,5.312
2015-01-11 21:00:00,10567,5.553
2015-01-11 22:00:00,10564,5.732
2015-01-11 23:00:00,10024,5.923
2015-01-12 00:00:00,9550,6.132
2015-01-12 01:00:00,9166,6.249
2015-01-12 02:00:00,8946,6.231
2015-01-12 03:00:00,9027,6.156
2015-01-12 04:00:00,9493,5.994
2015-01-12 05:00:00,10801,5.775
2015-01-12 06:00:00,11927,5.601
2015-01-12 07:00:00,12415,5.567
2015-01-12 08:00:00,12440,5.737
2015-01-12 09:00:00,12480,6.048
2015-01-12 10:00:00,12631,6.432
2015-01-12 11:00:00,12537,6.847
2015-01-12 12:00:00,12612,7.164
2015-01-12 13:00:00,12477,7.335
2015-01-12 14:00:00,12404,7.403
2015-01-12 15:00:00,12454,7.372
2015-01-12 16:00:00,13034,7.317
2015-01-12 17:00:00,13064,7.234
2015-01-12 18:00:00,12546,7.097
2015-01-12 19:00:00,11839,6.935
2015-01-12 20:00:00,11230,6.78
2015-01-12 21:00:00,11294,6.749
2015-01-12 22:00:00,11132,6.906
2015-01-12 23:00:00,10483,7.227
2015-01-13 00:00:00,9877,7.568
2015-01-13 01:00:00,9537,7.736
2015-01-13 02:00:00,9217,7.742
2015-01-13 03:00:00,9246,7.725
2015-01-13 04:00:00,9819,7.747
2015-01-13 05:00:00,10972,7.726
2015-01-13 06:00:00,11944,7.632
2015-01-13 07:00:00,12236,7.476
2015-01-13 08:00:00,12320,7.585
2015-01-13 09:00:00,12491,7.931
2015-01-13 10:00:00,12825,8.142
2015-01-13 11:00:00,12691,8.211
2015-01-13 12:00:00,12723,8.313
2015-01-13 13:00:00,12545,8.354
2015-01-13 14:00:00,12357,8.258
2015-01-13 15:00:00,12309,8.051
2015-01-13 16:00:00,12821,7.901
2015-01-13 17:00:00,13036,7.763
2015-01-13 18:00:00,12446,7.414
2015-01-13 19:00:00,11790,6.865
2015-01-13 20:00:00,11192,6.414
2015-01-13 21:00:00,11347,6.124
2015-01-13 22:00:00,11299,5.709
2015-01-13 23:00:00,10564,5.224
2015-01-14 00:00:00,10058,4.685
2015-01-14 01:00:00,9628,3.944
2015-01-14 02:00:00,9504,3.625
2015-01-14 03:00:00,9488,3.294
2015-01-14 04:00:00,10021,3.204
2015-01-14 05:00:00,11107,3.328
2015-01-14 06:00:00,12048,3.34
2015-01-14 07:00:00,12663,3.199
2015-01-14 08:00:00,12857,3.25
2015-01-14 09:00:00,12847,3.422
2015-01-14 10:00:00,13039,3.75
2015-01-14 11:00:00,12678,4.218
2015-01-14 12:00:00,12617,4.671
2015-01-14 13:00:00,12496,4.818
2015-01-14 14:00:00,12427,4.475
2015-01-14 15:00:00,12349,3.182
2015-01-14 16:00:00,12941,1.802
2015-01-14 17:00:00,13231,1.556
2015-01-14 18:00:00,12747,1.577
2015-01-14 19:00:00,12082,1.934
2015-01-14 20:00:00,11466,2.335
2015-01-14 21:00:00,11594,2.716
2015-01-14 22:00:00,11496,3.112
2015-01-14 23:00:00,10742,3.733
2015-01-15 00:00:00,10145,4.722
2015-01-15 01:00:00,9723,5.751
2015-01-15 02:00:00,9557,6.571
2015-01-15 03:00:00,9520,7.044
2015-01-15 04:00:00,10017,7.206
2015-01-15 05:00:00,11024,7.198
2015-01-15 06:00:00,12056,7.224
2015-01-15 07:00:00,12538,7.338
2015-01-15 08:00:00,12570,7.633
2015-01-15 09:00:00,12653,7.993
2015-01-15 10:00:00,12861,8.345
2015-01-15 11:00:00,12602,8.606
2015-01-15 12:00:00,12672,8.716
2015-01-15 13:00:00,12560,8.68
2015-01-15 14:00:00,12487,8.528
2015-01-15 15:00:00,12426,8.225
2015-01-15 16:00:00,13035,7.806
2015-01-15 17:00:00,13144,7.416
2015-01-15 18:00:00,12597,6.996
2015-01-15 19:00:00,12008,6.549
2015-01-15 20:00:00,11380,6.073
2015-01-15 21:00:00,11573,5.66
2015-01-15 22:00:00,11486,5.372
2015-01-15 23:00:00,10762,5.035
2015-01-16 00:00:00,10338,4.644
2015-01-16 01:00:00,9938,4.302
2015-01-16 02:00:00,9740,3.977
2015-01-16 03:00:00,9739,3.684
2015-01-16 04:00:00,10166,3.495
2015-01-16 05:00:00,11339,3.327
2015-01-16 06:00:00,12273,3.218
2015-01-16 07:00:00,12558,3.068
