ept,mw,tmp
2015-01-01 00:00:00,7640.14,-9.152
2015-01-01 01:00:00,7640.14,-8.946
2015-01-01 02:00:00,7391.44,-8.676
2015-01-01 03:00:00,7332.57,-8.373
2015-01-01 04:00:00,7002.08,-8.14
2015-01-01 05:00:00,7043.26,-7.899
2015-01-01 06:00:00,6836.73,-7.76
2015-01-01 07:00:00,6616.56,-7.532
2015-01-01 08:00:00,6559.91,-6.257
2015-01-01 09:00:00,6809.8,-4.145
2015-01-01 10:00:00,6837.15,-2.261
2015-01-01 11:00:00,6611.04,-1.028
2015-01-01 12:00:00,7135.8,-0.453
2015-01-01 13:00:00,7070.55,-0.331
2015-01-01 14:00:00,7079.35,-0.927
2015-01-01 15:00:00,7075.43,-2.861
2015-01-01 16:00:00,7322.82,-4.925
2015-01-01 17:00:00,7617.17,-4.873
2015-01-01 18:00:00,7801.2,-4.795
2015-01-01 19:00:00,7706.09,-4.832
2015-01-01 20:00:00,7444.88,-4.755
2015-01-01 21:00:00,7357.92,-4.524
2015-01-01 22:00:00,7448.93,-4.608
2015-01-01 23:00:00,7233.81,-4.82
2015-01-02 00:00:00,7064.11,-4.864
2015-01-02 01:00:00,7043.94,-4.674
2015-01-02 02:00:00,7184.27,-4.287
2015-01-02 03:00:00,7103.62,-4.072
2015-01-02 04:00:00,6971.97,-4.043
2015-01-02 05:00:00,6785.89,-4.096
2015-01-02 06:00:00,6779.81,-4.352
2015-01-02 07:00:00,6692.03,-4.343
2015-01-02 08:00:00,6816.85,-2.527
2015-01-02 09:00:00,7097.18,0.421
2015-01-02 10:00:00,7204.67,1.735
2015-01-02 11:00:00,7119.74,2.208
2015-01-02 12:00:00,7516.05,2.342
2015-01-02 13:00:00,7445.5,2.057
2015-01-02 14:00:00,7306.63,1.501
2015-01-02 15:00:00,7276.04,1.172
2015-01-02 16:00:00,7504.45,1.153
2015-01-02 17:00:00,8060.32,1.213
2015-01-02 18:00:00,8156.98,1.253
2015-01-02 19:00:00,7919.33,1.312
2015-01-02 20:00:00,7545.05,1.08
2015-01-02 21:00:00,7371.79,0.814
2015-01-02 22:00:00,7378.48,0.689
2015-01-02 23:00:00,7100.36,0.581
2015-01-03 00:00:00,6933.96,0.299
2015-01-03 01:00:00,6926.69,-0.144
2015-01-03 02:00:00,6984.37,-0.429
2015-01-03 03:00:00,6915.96,-0.714
2015-01-03 04:00:00,6749.97,-1.047
2015-01-03 05:00:00,6854.61,-1.423
2015-01-03 06:00:00,6890.5,-1.745
2015-01-03 07:00:00,6874.12,-1.988
2015-01-03 08:00:00,6967.07,-0.824
2015-01-03 09:00:00,7212.83,0.926
