ept,mw,tmp
2015-01-01 00:00:00,5957.57,-2.372
2015-01-01 01:00:00,5957.57,-2.126
2015-01-01 02:00:00,5878.87,-1.839
2015-01-01 03:00:00,5827.8,-1.521
2015-01-01 04:00:00,5730.89,-1.223
2015-01-01 05:00:00,5668.53,-0.971
2015-01-01 06:00:00,5600.76,-0.761
2015-01-01 07:00:00,5651.05,-0.442
2015-01-01 08:00:00,6114.63,0.285
2015-01-01 09:00:00,6481.25,0.993
2015-01-01 10:00:00,6608.71,1.623
2015-01-01 11:00:00,6694.39,1.992
2015-01-01 12:00:00,6754.3,1.96
2015-01-01 13:00:00,6864.21,1.603
2015-01-01 14:00:00,6932.59,0.504
2015-01-01 15:00:00,7085.23,-0.694
2015-01-01 16:00:00,7204.97,-0.968
2015-01-01 17:00:00,7164.21,-1.113
2015-01-01 18:00:00,7008.47,-1.249
2015-01-01 19:00:00,6931.78,-1.312
2015-01-01 20:00:00,6586.66,-1.304
2015-01-01 21:00:00,6369.96,-1.167
2015-01-01 22:00:00,6078.25,-1.09
2015-01-01 23:00:00,5919.82,-1.106
2015-01-02 00:00:00,5963.14,-1.082
2015-01-02 01:00:00,5890.23,-1.056
2015-01-02 02:00:00,5742.16,-1.137
2015-01-02 03:00:00,5759.39,-1.383
2015-01-02 04:00:00,5976.91,-1.676
2015-01-02 05:00:00,6394.58,-1.836
2015-01-02 06:00:00,6707.46,-2.003
2015-01-02 07:00:00,7028.95,-1.965
2015-01-02 08:00:00,7425.95,-1.272
2015-01-02 09:00:00,7755.33,-0.186
2015-01-02 10:00:00,7926.18,0.843
2015-01-02 11:00:00,7971.82,1.389
2015-01-02 12:00:00,8048.68,1.5
2015-01-02 13:00:00,8051.63,1.187
2015-01-02 14:00:00,8164.08,0.876
2015-01-02 15:00:00,8131.84,0.747
2015-01-02 16:00:00,8154.23,0.68
2015-01-02 17:00:00,8009.76,0.426
2015-01-02 18:00:00,7856.46,0.272
2015-01-02 19:00:00,7645.98,0.16
2015-01-02 20:00:00,7280.81,0.089
2015-01-02 21:00:00,6916.77,0.03
2015-01-02 22:00:00,6581.37,-0.026
2015-01-02 23:00:00,6105.57,-0.004
2015-01-03 00:00:00,6001.52,0.075
2015-01-03 01:00:00,6023.81,0.128
2015-01-03 02:00:00,5965.41,0.157
2015-01-03 03:00:00,5995.28,0.071
2015-01-03 04:00:00,5976.01,-0.203
2015-01-03 05:00:00,6197.56,-0.617
2015-01-03 06:00:00,6370.0,-1.058
2015-01-03 07:00:00,6558.46,-0.948
2015-01-03 08:00:00,7032.48,-0.245
2015-01-03 09:00:00,7389.51,0.469
2015-01-03 10:00:00,7492.89,0.92
2015-01-03 11:00:00,7573.28,0.991
2015-01-03 12:00:00,7625.24,0.826
2015-01-03 13:00:00,7601.25,0.521
2015-01-03 14:00:00,7643.31,0.125
2015-01-03 15:00:00,7872.7,-0.246
2015-01-03 16:00:00,7827.85,-0.657
2015-01-03 17:00:00,7752.22,-1.051
2015-01-03 18:00:00,7550.28,-1.517
2015-01-03 19:00:00,7343.85,-1.895
2015-01-03 20:00:00,6921.65,-2.027
2015-01-03 21:00:00,6734.35,-1.982
2015-01-03 22:00:00,6409.92,-1.904
2015-01-03 23:00:00,6120.2,-1.73
2015-01-04 00:00:00,5987.89,-1.503
2015-01-04 01:00:00,6066.51,-1.295
2015-01-04 02:00:00,6039.46,-1.121
2015-01-04 03:00:00,6002.41,-0.962
2015-01-04 04:00:00,5942.26,-0.831
