ept,mw,tmp
2015-01-01 00:00:00,3100.02,3.983
2015-01-01 01:00:00,3100.02,4.273
2015-01-01 02:00:00,2980.39,4.563
2015-01-01 03:00:00,2933.49,4.674
2015-01-01 04:00:00,2941.54,4.635
2015-01-01 05:00:00,2999.89,4.724
2015-01-01 06:00:00,3176.8,4.918
2015-01-01 07:00:00,3292.27,5.125
2015-01-01 08:00:00,3378.64,5.232
2015-01-01 09:00:00,3562.9,5.401
2015-01-01 10:00:00,3736.05,5.513
2015-01-01 11:00:00,3837.81,5.629
2015-01-01 12:00:00,3878.28,5.638
2015-01-01 13:00:00,3856.4,5.571
2015-01-01 14:00:00,3985.15,5.447
2015-01-01 15:00:00,4262.07,5.249
2015-01-01 16:00:00,4495.76,5.088
2015-01-01 17:00:00,4491.8,4.997
2015-01-01 18:00:00,4290.82,4.901
2015-01-01 19:00:00,4047.51,4.78
2015-01-01 20:00:00,3857.01,4.64
2015-01-01 21:00:00,3588.33,4.64
2015-01-01 22:00:00,3412.59,4.783
2015-01-01 23:00:00,3212.1,5.01
2015-01-02 00:00:00,2996.22,5.339
2015-01-02 01:00:00,2942.88,5.644
2015-01-02 02:00:00,2944.18,5.999
2015-01-02 03:00:00,3019.46,6.451
2015-01-02 04:00:00,3104.17,7.003
2015-01-02 05:00:00,3523.94,7.523
2015-01-02 06:00:00,3868.58,7.739
2015-01-02 07:00:00,4190.57,7.626
2015-01-02 08:00:00,4337.33,7.32
2015-01-02 09:00:00,4515.6,6.771
2015-01-02 10:00:00,4523.41,6.486
2015-01-02 11:00:00,4474.24,6.366
2015-01-02 12:00:00,4449.32,6.206
2015-01-02 13:00:00,4396.41,5.953
2015-01-02 14:00:00,4429.72,5.645
2015-01-02 15:00:00,4741.13,5.354
2015-01-02 16:00:00,5178.7,5.09
2015-01-02 17:00:00,5091.42,4.896
2015-01-02 18:00:00,4725.76,4.761
2015-01-02 19:00:00,4319.18,4.611
2015-01-02 20:00:00,4131.82,4.387
2015-01-02 21:00:00,3823.52,4.222
2015-01-02 22:00:00,3530.62,4.165
2015-01-02 23:00:00,3391.71,4.251
2015-01-03 00:00:00,3277.54,4.445
2015-01-03 01:00:00,3116.86,4.62
2015-01-03 02:00:00,3041.39,4.714
2015-01-03 03:00:00,3015.66,4.713
2015-01-03 04:00:00,3078.47,4.654
2015-01-03 05:00:00,3322.07,4.572
2015-01-03 06:00:00,3636.03,4.536
2015-01-03 07:00:00,3888.58,4.518
2015-01-03 08:00:00,4062.27,4.567
2015-01-03 09:00:00,4177.13,4.776
2015-01-03 10:00:00,4136.56,4.996
2015-01-03 11:00:00,4073.81,5.117
2015-01-03 12:00:00,4048.1,5.033
2015-01-03 13:00:00,3986.69,4.712
